time,open,high,low,close,tick_volume,spread,real_volume
2023-07-28 10:00:00,103.0,103.2,101.0,101.45,36,11500,0
2023-07-28 11:00:00,101.55,102.25,99.26,100.75,75,4000,0
2023-07-28 12:00:00,100.85,102.15,100.65,101.75,79,4500,0
2023-07-28 13:00:00,101.75,102.9,101.75,102.8,37,4500,0
2023-07-28 14:00:00,102.8,103.25,102.55,103.25,30,3500,0
2023-07-28 15:00:00,102.8,104.2,102.8,104.2,54,3500,0
2023-07-28 16:00:00,104.3,105.45,103.0,103.45,98,1500,0
2023-07-28 17:00:00,102.9,105.45,102.75,103.45,111,2500,0
2023-07-28 18:00:00,103.45,103.6,102.65,103.6,88,2500,0
2023-07-31 10:00:00,104.45,105.2,102.5,102.5,75,4500,0
2023-07-31 11:00:00,104.75,105.05,102.5,104.4,99,2500,0
2023-07-31 12:00:00,104.05,104.3,103.0,104.3,73,6000,0
2023-07-31 13:00:00,104.1,104.3,102.35,103.35,73,2500,0
2023-07-31 14:00:00,103.45,103.6,102.45,103.45,67,2500,0
2023-07-31 15:00:00,103.5,104.95,103.45,104.95,93,2500,0
2023-07-31 16:00:00,104.85,105.35,103.2,103.85,88,1500,0
2023-07-31 17:00:00,104.75,105.35,102.65,103.3,104,1500,0
2023-07-31 18:00:00,103.3,103.7,102.4,102.5,79,2500,0
2023-08-01 10:00:00,72.0,102.85,72.0,101.7,42,5500,0
2023-08-01 11:00:00,101.8,103.0,100.65,101.8,85,3000,0
2023-08-01 12:00:00,101.6,102.7,100.65,102.0,80,5000,0
2023-08-01 13:00:00,102.0,102.8,102.0,102.4,37,4500,0
2023-08-01 14:00:00,102.4,102.65,102.0,102.2,37,2500,0
2023-08-01 15:00:00,102.45,102.45,100.55,102.2,110,1500,0
2023-08-01 16:00:00,102.05,102.65,101.05,101.95,92,1500,0
2023-08-01 17:00:00,102.2,102.35,101.05,102.0,97,1500,0
2023-08-01 18:00:00,102.05,102.4,100.95,102.05,60,1500,0
2023-08-02 10:00:00,101.0,101.25,99.8,101.0,90,10500,0
2023-08-02 11:00:00,100.1,101.65,99.92,100.7,99,5000,0
2023-08-02 12:00:00,100.65,101.65,100.25,100.6,87,5000,0
2023-08-02 13:00:00,100.6,102.8,100.25,101.85,79,5500,0
2023-08-02 14:00:00,101.5,102.2,101.0,101.9,76,2500,0
2023-08-02 15:00:00,101.7,102.1,101.1,101.1,47,3500,0
2023-08-02 16:00:00,101.3,101.95,100.7,101.85,61,1500,0
2023-08-02 17:00:00,101.85,101.85,98.62,100.95,86,1500,0
2023-08-02 18:00:00,100.95,100.95,98.84,100.0,49,3500,0
2023-08-03 10:00:00,72.0,99.86,72.0,98.14,27,13400,0
2023-08-03 11:00:00,98.14,99.86,72.0,98.32,124,2800,0
2023-08-03 12:00:00,98.58,98.92,98.26,98.82,100,3400,0
2023-08-03 13:00:00,98.82,99.08,98.14,98.98,95,1800,0
2023-08-03 14:00:00,98.54,99.0,98.36,98.66,63,2400,0
2023-08-03 15:00:00,98.38,99.74,98.24,99.38,128,3000,0
2023-08-03 16:00:00,99.38,101.0,98.26,99.96,111,2200,0
2023-08-03 17:00:00,100.0,101.0,98.26,100.45,138,2500,0
2023-08-03 18:00:00,100.65,101.65,99.98,100.05,104,500,0
2023-08-04 10:00:00,72.0,97.76,72.0,97.76,5,67400,0
2023-08-04 11:00:00,97.76,103.3,97.76,101.5,161,7000,0
2023-08-04 12:00:00,102.45,102.45,100.3,101.25,173,4500,0
2023-08-04 13:00:00,100.3,102.45,100.25,100.9,112,4000,0
2023-08-04 14:00:00,100.9,101.95,99.64,101.1,102,2000,0
2023-08-04 15:00:00,101.1,102.4,99.64,102.4,151,2000,0
2023-08-04 16:00:00,102.35,104.55,101.85,103.3,165,1000,0
2023-08-04 17:00:00,104.3,105.15,103.3,104.6,154,1000,0
2023-08-04 18:00:00,104.6,106.1,103.15,104.7,84,1500,0
2023-08-07 10:00:00,101.7,108.45,101.7,107.65,60,8500,0
2023-08-07 11:00:00,107.7,109.2,106.55,107.85,220,4000,0
2023-08-07 12:00:00,107.85,108.3,105.85,108.1,129,3000,0
2023-08-07 13:00:00,107.85,108.3,103.55,104.5,157,0,0
2023-08-07 14:00:00,104.75,106.15,104.0,105.05,66,6000,0
2023-08-07 15:00:00,104.8,105.45,104.5,105.3,86,6000,0
2023-08-07 16:00:00,105.3,105.3,104.0,104.5,88,4500,0
2023-08-07 17:00:00,104.0,105.55,104.0,105.0,97,4500,0
2023-08-07 18:00:00,105.0,106.5,105.0,105.75,73,3000,0
2023-08-08 10:00:00,105.7,107.75,104.2,106.9,165,2500,0
2023-08-08 11:00:00,106.3,107.2,103.75,105.0,183,3000,0
2023-08-08 12:00:00,104.9,105.5,104.35,104.7,135,3000,0
2023-08-08 13:00:00,104.65,105.0,102.85,104.15,119,2000,0
2023-08-08 14:00:00,103.7,105.25,102.55,104.55,149,500,0
2023-08-08 15:00:00,102.6,104.8,102.6,104.05,183,1000,0
2023-08-08 16:00:00,104.55,104.8,103.1,103.95,135,4000,0
2023-08-08 17:00:00,103.75,105.9,103.3,104.55,181,1000,0
2023-08-08 18:00:00,104.7,105.9,104.0,104.65,98,1000,0
2023-08-09 10:00:00,103.65,106.05,103.65,105.65,71,11000,0
2023-08-09 11:00:00,106.0,106.8,104.4,106.65,159,1500,0
2023-08-09 12:00:00,106.2,106.8,104.8,105.7,113,4000,0
2023-08-09 13:00:00,105.1,106.15,104.9,105.05,83,2500,0
2023-08-09 14:00:00,105.5,105.65,104.9,105.65,53,7500,0
2023-08-09 15:00:00,105.65,105.65,103.75,104.25,93,3500,0
2023-08-09 16:00:00,104.0,105.3,102.85,104.1,115,5500,0
2023-08-09 17:00:00,104.55,105.55,103.5,104.15,77,2500,0
2023-08-09 18:00:00,103.65,104.6,102.9,103.95,68,2500,0
2023-08-10 10:00:00,103.3,105.9,72.0,72.0,19,4000,0
2023-08-10 11:00:00,72.0,105.6,72.0,105.05,34,4000,0
2023-08-10 12:00:00,105.5,105.5,102.05,102.75,94,1000,0
2023-08-10 13:00:00,102.75,104.8,102.75,104.15,73,3500,0
2023-08-10 14:00:00,104.25,104.8,103.0,103.9,67,3500,0
2023-08-10 15:00:00,104.1,104.95,103.0,103.4,96,2500,0
2023-08-10 16:00:00,103.85,104.85,103.0,104.75,86,3000,0
2023-08-10 17:00:00,104.75,104.9,102.9,103.8,109,2000,0
2023-08-10 18:00:00,103.25,104.4,102.25,103.65,94,2000,0
2023-08-11 10:00:00,103.1,104.2,101.9,103.35,102,4000,0
2023-08-11 11:00:00,103.35,103.35,102.1,103.15,117,4500,0
2023-08-11 12:00:00,102.6,103.2,102.6,102.85,63,1500,0
2023-08-11 13:00:00,102.75,103.5,102.55,102.95,80,2500,0
2023-08-11 14:00:00,102.95,102.95,102.25,102.5,54,1000,0
2023-08-11 15:00:00,102.5,103.1,101.0,102.25,68,2000,0
2023-08-11 16:00:00,102.05,103.3,101.7,102.8,115,2500,0
2023-08-11 17:00:00,102.6,103.6,102.55,103.1,141,1500,0
2023-08-11 18:00:00,102.75,103.15,102.35,103.15,60,1000,0
2023-08-14 10:00:00,97.58,102.2,97.58,100.95,84,4500,0
2023-08-14 11:00:00,101.4,102.2,100.85,101.45,59,2500,0
2023-08-14 12:00:00,101.25,101.75,101.0,101.75,54,2500,0
2023-08-14 13:00:00,101.5,103.2,101.5,102.0,103,3000,0
2023-08-14 14:00:00,102.0,102.45,102.0,102.1,53,2500,0
2023-08-14 15:00:00,102.1,102.1,101.9,102.0,38,2000,0
2023-08-14 16:00:00,102.0,102.0,100.85,101.45,106,2000,0
2023-08-14 17:00:00,101.45,101.45,98.46,99.22,95,1500,0
2023-08-14 18:00:00,99.22,100.55,95.54,96.16,109,1800,0
2023-08-15 10:00:00,95.48,97.68,95.24,95.24,146,7800,0
2023-08-15 11:00:00,95.24,99.52,95.24,98.86,251,8000,0
2023-08-15 12:00:00,97.6,99.52,96.86,97.04,83,2200,0
2023-08-15 13:00:00,97.98,98.3,96.58,96.58,52,2200,0
2023-08-15 14:00:00,97.66,99.0,96.58,98.94,72,6800,0
2023-08-15 15:00:00,97.94,99.08,96.58,98.64,97,2800,0
2023-08-15 16:00:00,98.9,99.04,97.44,98.34,90,3600,0
2023-08-15 17:00:00,98.86,98.86,97.44,98.46,124,3800,0
2023-08-15 18:00:00,98.44,99.04,97.52,99.0,78,2600,0
2023-08-16 10:00:00,95.94,100.05,95.9,98.94,194,6200,0
2023-08-16 11:00:00,99.04,100.65,98.2,99.6,132,5200,0
2023-08-16 12:00:00,99.6,99.6,98.02,99.12,85,3800,0
2023-08-16 13:00:00,99.2,99.32,98.58,99.18,102,5000,0
2023-08-16 14:00:00,99.18,99.7,99.12,99.52,85,1000,0
2023-08-16 15:00:00,99.54,99.66,98.62,99.58,83,2400,0
2023-08-16 16:00:00,98.72,99.24,97.74,98.68,110,3000,0
2023-08-16 17:00:00,98.68,99.68,98.56,99.54,109,2000,0
2023-08-16 18:00:00,98.82,99.68,98.08,98.92,92,1400,0
2023-08-17 10:00:00,72.0,100.8,72.0,100.8,48,5500,0
2023-08-17 11:00:00,100.6,101.6,97.7,97.78,160,2000,0
2023-08-17 12:00:00,97.86,99.56,97.7,98.2,102,5400,0
2023-08-17 13:00:00,98.44,99.2,97.78,98.74,136,5400,0
2023-08-17 14:00:00,98.74,98.76,72.0,97.88,76,2600,0
2023-08-17 15:00:00,98.16,98.16,72.0,97.98,135,7400,0
2023-08-17 16:00:00,97.98,98.0,95.24,95.24,193,5600,0
2023-08-17 17:00:00,96.66,97.12,94.74,96.2,138,4200,0
2023-08-17 18:00:00,96.2,96.5,95.4,96.22,82,2200,0
2023-08-18 10:00:00,93.0,93.5,89.68,90.74,273,3000,0
2023-08-18 11:00:00,90.14,90.82,72.0,87.0,173,1600,0
2023-08-18 12:00:00,87.0,88.92,72.0,72.0,74,7200,0
2023-08-18 13:00:00,72.0,86.94,72.0,86.3,56,10400,0
2023-08-18 14:00:00,86.3,87.0,72.0,72.0,52,4600,0
2023-08-18 15:00:00,72.0,72.0,72.0,72.0,43,164800,0
