time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,20.21,20.37,20.2,20.32,283,100,0
2023-11-03 12:00:00,20.36,20.37,20.23,20.3,197,100,0
2023-11-03 13:00:00,20.31,20.32,20.14,20.16,233,100,0
2023-11-03 14:00:00,20.16,20.17,20.03,20.08,144,100,0
2023-11-03 15:00:00,20.07,20.08,19.98,20.07,317,50,0
2023-11-03 16:00:00,20.04,20.1,20.01,20.04,242,100,0
2023-11-03 17:00:00,20.05,20.05,19.935,19.975,492,50,0
2023-11-03 18:00:00,19.98,20.01,19.895,19.91,365,50,0
2023-11-03 19:00:00,19.91,19.93,19.87,19.91,142,50,0
2023-11-06 10:00:00,19.9,19.94,19.815,19.885,403,50,0
2023-11-06 11:00:00,19.88,20.0,19.83,19.965,364,50,0
2023-11-06 12:00:00,19.975,20.0,19.915,19.925,258,50,0
2023-11-06 13:00:00,19.92,19.935,19.875,19.88,202,50,0
2023-11-06 14:00:00,19.87,19.935,19.82,19.9,228,50,0
2023-11-06 15:00:00,19.9,19.995,19.895,19.96,253,50,0
2023-11-06 16:00:00,19.98,19.995,19.86,19.865,305,50,0
2023-11-06 17:00:00,19.87,19.91,19.79,19.795,318,50,0
2023-11-06 18:00:00,19.795,19.81,19.715,19.77,154,50,0
2023-11-07 10:00:00,19.8,19.965,19.8,19.875,421,50,0
2023-11-07 11:00:00,19.875,19.945,19.83,19.86,385,50,0
2023-11-07 12:00:00,19.86,20.01,19.83,19.98,362,50,0
2023-11-07 13:00:00,19.985,20.0,19.88,19.95,303,50,0
2023-11-07 14:00:00,19.95,19.965,19.92,19.94,310,50,0
2023-11-07 15:00:00,19.94,19.985,19.915,19.94,282,50,0
2023-11-07 16:00:00,19.94,19.955,19.85,19.89,396,50,0
2023-11-07 17:00:00,19.885,19.915,19.85,19.905,287,50,0
2023-11-07 18:00:00,19.905,19.95,19.865,19.895,114,50,0
2023-11-08 10:00:00,19.765,19.985,19.72,19.955,439,50,0
2023-11-08 11:00:00,19.92,20.0,19.905,19.975,312,50,0
2023-11-08 12:00:00,19.97,20.11,19.905,20.08,203,100,0
2023-11-08 13:00:00,20.07,20.11,20.04,20.05,140,100,0
2023-11-08 14:00:00,20.05,20.11,20.03,20.08,161,100,0
2023-11-08 15:00:00,20.09,20.19,20.07,20.17,177,100,0
2023-11-08 16:00:00,20.16,20.48,20.13,20.47,223,100,0
2023-11-08 17:00:00,20.46,20.48,20.28,20.38,338,100,0
2023-11-08 18:00:00,20.38,20.42,20.35,20.38,117,100,0
2023-11-09 10:00:00,20.52,20.52,19.64,20.03,534,100,0
2023-11-09 11:00:00,20.0,20.12,19.98,20.01,253,100,0
2023-11-09 12:00:00,20.05,20.8,20.01,20.66,380,100,0
2023-11-09 13:00:00,20.67,20.77,20.39,20.4,231,100,0
2023-11-09 14:00:00,20.58,20.64,19.955,20.31,279,100,0
2023-11-09 15:00:00,20.32,20.36,20.17,20.26,203,100,0
2023-11-09 16:00:00,20.23,20.32,20.15,20.27,170,100,0
2023-11-09 17:00:00,20.26,20.28,20.03,20.19,192,100,0
2023-11-09 18:00:00,20.19,20.29,20.18,20.29,95,100,0
2023-11-10 10:00:00,20.13,20.38,20.13,20.28,384,100,0
2023-11-10 11:00:00,20.28,20.48,20.15,20.48,237,100,0
2023-11-10 12:00:00,20.47,20.48,20.3,20.3,262,100,0
2023-11-10 13:00:00,20.33,20.36,20.1,20.2,194,100,0
2023-11-10 14:00:00,20.18,20.33,20.1,20.27,175,100,0
2023-11-10 15:00:00,20.31,20.35,20.22,20.22,248,100,0
2023-11-10 16:00:00,20.33,20.33,20.2,20.27,308,100,0
2023-11-10 17:00:00,20.25,20.33,20.16,20.25,319,100,0
2023-11-10 18:00:00,20.25,20.34,20.24,20.29,106,100,0
2023-11-13 10:00:00,20.41,20.47,20.37,20.42,283,100,0
2023-11-13 11:00:00,20.43,20.44,20.28,20.31,304,100,0
2023-11-13 12:00:00,20.29,20.34,20.24,20.27,179,100,0
2023-11-13 13:00:00,20.27,20.3,20.2,20.21,249,100,0
2023-11-13 14:00:00,20.21,20.22,20.09,20.09,230,100,0
2023-11-13 15:00:00,20.13,20.13,20.04,20.08,228,100,0
2023-11-13 16:00:00,20.05,20.24,20.04,20.16,301,100,0
2023-11-13 17:00:00,20.16,20.41,20.16,20.34,392,100,0
2023-11-13 18:00:00,20.41,20.44,20.34,20.36,132,100,0
2023-11-14 10:00:00,20.33,20.54,20.33,20.45,363,100,0
2023-11-14 11:00:00,20.45,20.48,20.33,20.34,244,100,0
2023-11-14 12:00:00,20.36,20.37,20.31,20.33,270,100,0
2023-11-14 13:00:00,20.33,20.37,20.31,20.35,179,100,0
2023-11-14 14:00:00,20.35,20.41,20.32,20.33,179,100,0
2023-11-14 15:00:00,20.33,20.56,20.31,20.55,389,100,0
2023-11-14 16:00:00,20.55,20.66,20.51,20.65,364,100,0
2023-11-14 17:00:00,20.66,20.74,20.64,20.7,235,100,0
2023-11-14 18:00:00,20.71,20.76,20.67,20.74,150,100,0
2023-11-15 10:00:00,20.78,20.99,20.78,20.92,514,100,0
2023-11-15 11:00:00,20.99,21.01,20.8,20.87,428,100,0
2023-11-15 12:00:00,20.86,20.93,20.8,20.91,363,100,0
2023-11-15 13:00:00,20.91,20.97,20.83,20.97,220,100,0
2023-11-15 14:00:00,20.98,21.01,20.93,21.0,322,100,0
2023-11-15 15:00:00,21.01,21.08,20.96,21.03,371,100,0
2023-11-15 16:00:00,21.03,21.08,20.95,21.01,464,100,0
2023-11-15 17:00:00,21.01,21.14,20.97,21.01,368,100,0
2023-11-15 18:00:00,21.01,21.06,20.93,21.04,132,100,0
2023-11-16 10:00:00,21.13,21.33,21.1,21.28,340,100,0
2023-11-16 11:00:00,21.28,21.28,21.05,21.14,380,100,0
2023-11-16 12:00:00,21.15,21.25,21.07,21.23,260,100,0
2023-11-16 13:00:00,21.24,21.31,21.21,21.31,356,100,0
2023-11-16 14:00:00,21.29,21.33,21.25,21.26,240,100,0
2023-11-16 15:00:00,21.25,21.38,21.11,21.21,291,100,0
2023-11-16 16:00:00,21.22,21.27,21.11,21.19,353,100,0
2023-11-16 17:00:00,21.16,21.2,20.99,21.04,374,100,0
2023-11-16 18:00:00,21.04,21.12,20.99,21.07,145,100,0
2023-11-17 10:00:00,21.16,21.39,21.14,21.38,345,100,0
2023-11-17 11:00:00,21.38,21.53,21.34,21.52,307,100,0
2023-11-17 12:00:00,21.53,21.65,21.49,21.64,311,100,0
2023-11-17 13:00:00,21.63,21.68,21.57,21.63,344,100,0
2023-11-17 14:00:00,21.64,21.68,21.56,21.56,242,100,0
2023-11-17 15:00:00,21.57,21.62,21.49,21.52,198,100,0
2023-11-17 16:00:00,21.52,21.62,21.47,21.61,252,100,0
2023-11-17 17:00:00,21.62,21.73,21.57,21.71,295,100,0
2023-11-17 18:00:00,21.69,21.72,21.64,21.67,134,100,0
2023-11-20 10:00:00,21.68,21.76,21.64,21.67,386,100,0
2023-11-20 11:00:00,21.68,21.77,21.66,21.67,374,100,0
2023-11-20 12:00:00,21.68,21.74,21.57,21.58,347,100,0
2023-11-20 13:00:00,21.57,21.64,21.57,21.59,255,100,0
2023-11-20 14:00:00,21.59,21.63,21.57,21.57,292,100,0
2023-11-20 15:00:00,21.58,21.6,21.56,21.57,167,100,0
2023-11-20 16:00:00,21.57,21.61,21.51,21.55,247,100,0
2023-11-20 17:00:00,21.54,21.57,21.51,21.52,250,100,0
2023-11-20 18:00:00,21.53,21.55,21.51,21.53,93,100,0
2023-11-21 10:00:00,21.52,21.64,21.49,21.59,285,100,0
2023-11-21 11:00:00,21.59,21.6,21.48,21.51,252,100,0
2023-11-21 12:00:00,21.51,21.57,21.48,21.54,234,100,0
2023-11-21 13:00:00,21.54,21.58,21.51,21.54,137,100,0
2023-11-21 14:00:00,21.54,21.58,21.5,21.56,193,100,0
2023-11-21 15:00:00,21.53,21.58,21.46,21.46,265,100,0
2023-11-21 16:00:00,21.47,21.59,21.46,21.54,313,100,0
2023-11-21 17:00:00,21.54,21.59,21.5,21.55,289,100,0
2023-11-21 18:00:00,21.54,21.55,21.48,21.52,116,100,0
2023-11-22 10:00:00,21.54,21.67,21.48,21.58,238,100,0
2023-11-22 11:00:00,21.6,21.64,21.53,21.56,182,100,0
2023-11-22 12:00:00,21.58,21.64,21.53,21.63,177,100,0
2023-11-22 13:00:00,21.58,21.72,21.58,21.72,166,100,0
2023-11-22 14:00:00,21.72,21.78,21.67,21.78,168,100,0
2023-11-22 15:00:00,21.77,21.86,21.68,21.75,327,100,0
2023-11-22 16:00:00,21.71,21.77,21.64,21.71,314,100,0
2023-11-22 17:00:00,21.72,21.76,21.67,21.67,479,100,0
2023-11-22 18:00:00,21.67,21.73,21.65,21.66,199,100,0
2023-11-23 10:00:00,21.69,21.79,21.67,21.77,243,100,0
2023-11-23 11:00:00,21.78,21.82,21.69,21.69,281,100,0
2023-11-23 12:00:00,21.69,21.73,21.6,21.62,217,100,0
2023-11-23 13:00:00,21.61,21.71,21.61,21.67,196,100,0
2023-11-23 14:00:00,21.66,21.67,21.55,21.57,222,100,0
2023-11-23 15:00:00,21.57,21.58,21.54,21.56,217,100,0
2023-11-23 16:00:00,21.56,21.61,21.54,21.59,204,100,0
2023-11-23 17:00:00,21.61,21.65,21.58,21.62,206,100,0
2023-11-23 18:00:00,21.61,21.63,21.58,21.58,130,100,0
2023-11-24 10:00:00,21.51,21.64,21.49,21.57,219,100,0
2023-11-24 11:00:00,21.57,21.66,21.53,21.66,186,100,0
2023-11-24 12:00:00,21.67,21.76,21.6,21.76,142,100,0
2023-11-24 13:00:00,21.75,21.78,21.71,21.75,128,100,0
2023-11-24 14:00:00,21.75,21.8,21.73,21.76,146,100,0
2023-11-24 15:00:00,21.77,21.8,21.72,21.76,198,100,0
2023-11-24 16:00:00,21.77,21.78,21.69,21.74,269,100,0
2023-11-24 17:00:00,21.74,21.81,21.72,21.81,233,100,0
2023-11-24 18:00:00,21.81,21.84,21.77,21.81,94,100,0
2023-11-27 10:00:00,21.79,21.95,21.78,21.85,260,100,0
2023-11-27 11:00:00,21.89,21.89,21.73,21.76,213,100,0
2023-11-27 12:00:00,21.76,21.89,21.73,21.85,161,100,0
2023-11-27 13:00:00,21.85,21.91,21.85,21.86,176,100,0
2023-11-27 14:00:00,21.85,21.89,21.81,21.83,123,100,0
2023-11-27 15:00:00,21.83,21.92,21.83,21.89,134,100,0
2023-11-27 16:00:00,21.89,21.99,21.87,21.93,207,100,0
