time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.71,2.742,2.624,2.712,130,100,0
2023-11-03 12:00:00,2.712,2.732,2.712,2.722,37,120,0
2023-11-03 13:00:00,2.724,2.728,2.704,2.714,20,80,0
2023-11-03 14:00:00,2.714,2.718,2.714,2.716,23,60,0
2023-11-03 15:00:00,2.718,2.76,2.716,2.75,52,0,0
2023-11-03 16:00:00,2.732,2.752,2.716,2.73,86,40,0
2023-11-03 17:00:00,2.732,2.744,2.718,2.744,72,60,0
2023-11-03 18:00:00,2.728,2.75,2.726,2.734,40,60,0
2023-11-03 19:00:00,2.744,2.746,2.708,2.72,47,20,0
2023-11-06 10:00:00,2.686,2.752,2.686,2.732,52,220,0
2023-11-06 11:00:00,2.732,2.744,2.708,2.744,62,80,0
2023-11-06 12:00:00,2.734,2.758,2.706,2.71,59,80,0
2023-11-06 13:00:00,2.75,2.75,2.686,2.72,99,40,0
2023-11-06 14:00:00,2.72,2.728,2.698,2.728,42,100,0
2023-11-06 15:00:00,2.71,2.728,2.708,2.718,32,40,0
2023-11-06 16:00:00,2.718,2.72,2.698,2.708,74,40,0
2023-11-06 17:00:00,2.712,2.73,2.698,2.726,90,80,0
2023-11-06 18:00:00,2.722,2.732,2.71,2.728,48,20,0
2023-11-07 10:00:00,2.666,2.708,2.662,2.692,92,140,0
2023-11-07 11:00:00,2.696,2.72,2.678,2.72,58,100,0
2023-11-07 12:00:00,2.72,2.732,2.702,2.72,66,60,0
2023-11-07 13:00:00,2.72,2.732,2.706,2.732,32,80,0
2023-11-07 14:00:00,2.726,2.736,2.724,2.73,37,20,0
2023-11-07 15:00:00,2.736,2.736,2.716,2.726,48,60,0
2023-11-07 16:00:00,2.726,2.74,2.72,2.72,84,40,0
2023-11-07 17:00:00,2.72,2.744,2.72,2.74,98,40,0
2023-11-07 18:00:00,2.734,2.744,2.728,2.74,54,40,0
2023-11-08 10:00:00,2.73,2.748,2.596,2.648,230,0,0
