time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,10.18,10.22,10.12,10.2,36,800,0
2023-11-03 12:00:00,10.2,10.22,10.2,10.2,9,800,0
2023-11-03 13:00:00,10.2,10.2,10.2,10.2,12,800,0
2023-11-03 14:00:00,10.2,10.2,10.2,10.2,1,800,0
2023-11-03 15:00:00,10.2,10.26,10.2,10.26,41,200,0
2023-11-03 16:00:00,10.26,10.26,10.2,10.24,75,200,0
2023-11-03 17:00:00,10.24,10.26,10.22,10.24,60,400,0
2023-11-03 18:00:00,10.24,10.26,10.22,10.22,65,200,0
2023-11-03 19:00:00,10.24,10.26,10.22,10.24,19,200,0
2023-11-06 10:00:00,10.22,10.22,10.2,10.2,5,2000,0
2023-11-06 11:00:00,10.24,10.24,10.2,10.2,13,1200,0
2023-11-06 12:00:00,10.2,10.2,10.2,10.2,13,1000,0
2023-11-06 13:00:00,10.2,10.22,10.2,10.22,52,600,0
2023-11-06 14:00:00,10.22,10.24,10.2,10.22,94,600,0
2023-11-06 15:00:00,10.24,10.24,10.24,10.24,3,400,0
2023-11-06 16:00:00,10.24,10.24,10.18,10.22,42,400,0
2023-11-06 17:00:00,10.22,10.22,10.18,10.2,26,200,0
2023-11-06 18:00:00,10.2,10.22,10.2,10.22,14,400,0
2023-11-07 10:00:00,10.1,10.22,10.1,10.22,20,600,0
2023-11-07 13:00:00,10.22,10.22,10.22,10.22,1,400,0
2023-11-07 14:00:00,10.22,10.26,10.22,10.26,11,400,0
2023-11-07 15:00:00,10.26,10.26,10.26,10.26,13,400,0
2023-11-07 16:00:00,10.26,10.3,10.2,10.3,56,200,0
2023-11-07 17:00:00,10.32,10.34,10.26,10.34,73,200,0
2023-11-07 18:00:00,10.32,10.34,10.32,10.32,40,400,0
2023-11-08 10:00:00,10.22,10.32,10.18,10.32,31,1000,0
2023-11-08 11:00:00,10.32,10.32,10.32,10.32,18,800,0
2023-11-08 12:00:00,10.32,10.34,10.32,10.32,28,600,0
2023-11-08 13:00:00,10.34,10.34,10.26,10.34,47,400,0
2023-11-08 14:00:00,10.34,10.36,10.28,10.36,46,400,0
2023-11-08 15:00:00,10.36,10.36,10.28,10.36,110,400,0
2023-11-08 16:00:00,10.34,10.36,10.34,10.34,37,400,0
2023-11-08 17:00:00,10.36,10.36,10.32,10.34,116,200,0
2023-11-08 18:00:00,10.32,10.34,10.32,10.34,15,400,0
2023-11-09 10:00:00,10.28,10.34,10.26,10.34,12,1000,0
2023-11-09 11:00:00,10.3,10.34,10.3,10.34,8,600,0
2023-11-09 12:00:00,10.34,10.38,10.34,10.38,14,200,0
2023-11-09 13:00:00,10.38,10.38,10.38,10.38,7,200,0
2023-11-09 14:00:00,10.38,10.38,10.3,10.38,7,200,0
2023-11-09 15:00:00,10.38,10.42,10.38,10.42,38,200,0
2023-11-09 16:00:00,10.42,10.42,10.38,10.38,20,200,0
2023-11-09 17:00:00,10.38,10.38,10.34,10.36,67,200,0
2023-11-09 18:00:00,10.36,10.38,10.34,10.38,35,400,0
2023-11-10 10:00:00,10.28,10.32,10.26,10.32,14,1000,0
2023-11-10 11:00:00,10.32,10.32,10.32,10.32,11,600,0
2023-11-10 12:00:00,10.32,10.32,10.28,10.28,16,400,0
2023-11-10 13:00:00,10.3,10.3,10.3,10.3,6,400,0
2023-11-10 14:00:00,10.3,10.36,10.3,10.36,17,200,0
2023-11-10 15:00:00,10.36,10.38,10.36,10.38,12,200,0
2023-11-10 16:00:00,10.38,10.38,10.32,10.36,35,200,0
2023-11-10 17:00:00,10.36,10.36,10.28,10.36,61,400,0
2023-11-10 18:00:00,10.36,10.4,10.34,10.4,51,400,0
2023-11-13 10:00:00,10.38,10.4,10.38,10.4,8,1400,0
2023-11-13 11:00:00,10.4,10.46,10.4,10.46,14,600,0
2023-11-13 12:00:00,10.46,10.48,10.42,10.44,20,400,0
2023-11-13 13:00:00,10.44,10.44,10.44,10.44,4,600,0
2023-11-13 14:00:00,10.44,10.44,10.42,10.44,22,400,0
2023-11-13 15:00:00,10.44,10.44,10.34,10.42,19,400,0
2023-11-13 16:00:00,10.42,10.42,10.34,10.42,25,200,0
2023-11-13 17:00:00,10.42,10.42,10.38,10.42,81,200,0
2023-11-13 18:00:00,10.42,10.42,10.4,10.42,19,400,0
2023-11-14 10:00:00,10.34,10.4,10.34,10.36,17,1000,0
2023-11-14 11:00:00,10.36,10.46,10.34,10.42,24,400,0
2023-11-14 12:00:00,10.44,10.44,10.42,10.44,34,400,0
2023-11-14 13:00:00,10.42,10.44,10.42,10.44,84,400,0
2023-11-14 14:00:00,10.42,10.44,10.42,10.42,18,400,0
2023-11-14 15:00:00,10.42,10.48,10.4,10.48,58,400,0
2023-11-14 16:00:00,10.46,10.48,10.46,10.46,59,200,0
2023-11-14 17:00:00,10.46,10.5,10.46,10.48,27,200,0
2023-11-14 18:00:00,10.48,10.5,10.48,10.5,44,200,0
2023-11-15 10:00:00,10.46,10.5,10.44,10.5,19,1400,0
2023-11-15 11:00:00,10.52,10.58,10.52,10.54,21,1000,0
2023-11-15 12:00:00,10.54,10.58,10.54,10.56,13,1000,0
2023-11-15 13:00:00,10.58,10.58,10.56,10.56,15,1200,0
2023-11-15 14:00:00,10.6,10.6,10.56,10.58,20,400,0
2023-11-15 15:00:00,10.6,10.64,10.56,10.58,41,200,0
2023-11-15 16:00:00,10.58,10.6,10.56,10.6,54,400,0
2023-11-15 17:00:00,10.58,10.64,10.58,10.62,21,200,0
2023-11-15 18:00:00,10.62,10.62,10.58,10.58,25,200,0
2023-11-16 10:00:00,10.46,10.56,10.46,10.56,11,1000,0
2023-11-16 11:00:00,10.58,10.58,10.56,10.56,7,600,0
2023-11-16 12:00:00,10.56,10.58,10.56,10.58,9,400,0
2023-11-16 13:00:00,10.58,10.58,10.56,10.56,7,400,0
2023-11-16 14:00:00,10.58,10.58,10.56,10.56,44,400,0
2023-11-16 15:00:00,10.58,10.58,10.54,10.56,30,400,0
2023-11-16 16:00:00,10.56,10.58,10.56,10.56,18,400,0
2023-11-16 17:00:00,10.58,10.58,10.54,10.56,36,200,0
2023-11-16 18:00:00,10.52,10.58,10.52,10.54,68,200,0
2023-11-17 10:00:00,10.58,10.58,10.58,10.58,10,1200,0
2023-11-17 11:00:00,10.6,10.66,10.6,10.66,17,600,0
2023-11-17 12:00:00,10.66,10.66,10.66,10.66,9,400,0
2023-11-17 13:00:00,10.66,10.68,10.64,10.64,15,400,0
2023-11-17 14:00:00,10.64,10.66,10.64,10.64,3,200,0
2023-11-17 15:00:00,10.66,10.66,10.64,10.66,7,200,0
2023-11-17 16:00:00,10.66,10.66,10.62,10.64,42,200,0
2023-11-17 17:00:00,10.62,10.64,10.6,10.62,29,400,0
2023-11-17 18:00:00,10.62,10.62,10.6,10.62,8,400,0
2023-11-20 10:00:00,10.56,10.62,10.54,10.6,20,800,0
2023-11-20 11:00:00,10.6,10.62,10.6,10.6,24,1000,0
2023-11-20 12:00:00,10.62,10.62,10.6,10.62,41,600,0
2023-11-20 13:00:00,10.62,10.62,10.62,10.62,5,600,0
2023-11-20 14:00:00,10.62,10.62,10.6,10.6,10,600,0
2023-11-20 15:00:00,10.6,10.6,10.6,10.6,9,400,0
2023-11-20 16:00:00,10.6,10.62,10.6,10.6,43,400,0
2023-11-20 17:00:00,10.6,10.6,10.6,10.6,3,400,0
2023-11-20 18:00:00,10.6,10.6,10.6,10.6,6,200,0
2023-11-21 10:00:00,10.58,10.6,10.58,10.58,12,800,0
2023-11-21 12:00:00,10.58,10.62,10.58,10.6,15,400,0
2023-11-21 13:00:00,10.6,10.6,10.6,10.6,10,400,0
2023-11-21 14:00:00,10.6,10.6,10.56,10.56,73,400,0
2023-11-21 15:00:00,10.58,10.58,10.56,10.56,34,400,0
2023-11-21 16:00:00,10.56,10.58,10.56,10.58,55,200,0
2023-11-21 17:00:00,10.56,10.58,10.56,10.56,22,200,0
2023-11-21 18:00:00,10.56,10.56,10.54,10.54,6,200,0
2023-11-22 10:00:00,10.54,10.54,10.54,10.54,10,1400,0
2023-11-22 11:00:00,10.54,10.56,10.54,10.56,6,1000,0
2023-11-22 12:00:00,10.56,10.58,10.56,10.56,15,600,0
2023-11-22 13:00:00,10.58,10.58,10.56,10.58,13,600,0
2023-11-22 14:00:00,10.56,10.58,10.56,10.58,37,600,0
2023-11-22 15:00:00,10.56,10.6,10.56,10.58,17,400,0
2023-11-22 16:00:00,10.58,10.6,10.56,10.6,46,200,0
2023-11-22 17:00:00,10.6,10.62,10.6,10.62,26,200,0
2023-11-22 18:00:00,10.62,10.62,10.62,10.62,10,200,0
2023-11-23 10:00:00,10.52,10.56,10.48,10.56,8,1800,0
2023-11-23 11:00:00,10.56,10.56,10.56,10.56,1,1800,0
2023-11-23 12:00:00,10.52,10.52,10.52,10.52,5,2000,0
2023-11-23 13:00:00,10.5,10.54,10.5,10.5,14,1200,0
2023-11-23 14:00:00,10.5,10.6,10.5,10.58,25,600,0
2023-11-23 15:00:00,10.58,10.58,10.58,10.58,3,1600,0
2023-11-23 16:00:00,10.58,10.6,10.52,10.52,17,600,0
2023-11-23 17:00:00,10.6,10.6,10.52,10.52,28,400,0
2023-11-23 18:00:00,10.52,10.6,10.5,10.6,10,400,0
2023-11-24 10:00:00,10.5,10.5,10.5,10.5,3,1800,0
2023-11-24 11:00:00,10.5,10.52,10.5,10.52,6,1200,0
2023-11-24 12:00:00,10.52,10.54,10.52,10.54,13,600,0
2023-11-24 13:00:00,10.54,10.54,10.54,10.54,3,600,0
2023-11-24 14:00:00,10.48,10.48,10.48,10.48,3,2000,0
2023-11-24 15:00:00,10.5,10.5,10.48,10.48,5,1800,0
2023-11-24 16:00:00,10.56,10.56,10.5,10.54,13,600,0
2023-11-24 17:00:00,10.54,10.54,10.5,10.54,26,600,0
2023-11-24 18:00:00,10.54,10.54,10.54,10.54,1,600,0
2023-11-27 10:00:00,10.48,10.48,10.46,10.48,7,1800,0
2023-11-27 11:00:00,10.48,10.5,10.48,10.5,30,1200,0
2023-11-27 12:00:00,10.5,10.54,10.48,10.54,27,600,0
2023-11-27 13:00:00,10.52,10.54,10.46,10.52,52,600,0
