time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,13.61,13.785,13.585,13.775,316,100,0
2023-11-03 12:00:00,13.77,13.775,13.575,13.625,412,50,0
2023-11-03 13:00:00,13.605,13.635,13.5,13.54,321,50,0
2023-11-03 14:00:00,13.54,13.6,13.495,13.525,281,50,0
2023-11-03 15:00:00,13.525,13.665,13.445,13.6,324,50,0
2023-11-03 16:00:00,13.6,13.77,13.6,13.74,457,50,0
2023-11-03 17:00:00,13.74,13.775,13.585,13.625,502,50,0
2023-11-03 18:00:00,13.62,13.655,13.57,13.61,325,50,0
2023-11-03 19:00:00,13.61,13.61,13.565,13.58,126,50,0
2023-11-06 10:00:00,13.65,13.675,13.555,13.62,398,100,0
2023-11-06 11:00:00,13.62,13.71,13.605,13.66,343,50,0
2023-11-06 12:00:00,13.685,13.715,13.615,13.645,350,50,0
2023-11-06 13:00:00,13.665,13.67,13.6,13.61,276,50,0
2023-11-06 14:00:00,13.605,13.625,13.59,13.61,269,50,0
2023-11-06 15:00:00,13.61,13.63,13.575,13.595,316,50,0
2023-11-06 16:00:00,13.595,13.625,13.525,13.54,557,50,0
2023-11-06 17:00:00,13.535,13.6,13.52,13.58,418,50,0
2023-11-06 18:00:00,13.58,13.59,13.52,13.565,212,50,0
2023-11-07 10:00:00,13.36,13.42,13.265,13.305,403,50,0
2023-11-07 11:00:00,13.29,13.335,13.19,13.19,385,50,0
2023-11-07 12:00:00,13.195,13.28,13.15,13.25,377,50,0
2023-11-07 13:00:00,13.25,13.28,13.185,13.205,292,50,0
2023-11-07 14:00:00,13.205,13.265,13.155,13.19,335,50,0
2023-11-07 15:00:00,13.18,13.215,13.095,13.145,377,50,0
2023-11-07 16:00:00,13.125,13.18,13.005,13.055,635,50,0
2023-11-07 17:00:00,13.06,13.09,13.015,13.065,512,50,0
2023-11-07 18:00:00,13.07,13.08,13.03,13.05,183,50,0
2023-11-08 10:00:00,13.025,13.04,12.94,13.005,438,50,0
2023-11-08 11:00:00,12.995,13.03,12.97,13.0,354,50,0
2023-11-08 12:00:00,12.99,12.995,12.89,12.95,294,50,0
2023-11-08 13:00:00,12.955,13.015,12.945,13.0,233,50,0
2023-11-08 14:00:00,13.01,13.01,12.95,13.005,200,50,0
2023-11-08 15:00:00,12.985,13.02,12.97,12.99,239,50,0
2023-11-08 16:00:00,12.995,13.08,12.97,13.055,364,50,0
2023-11-08 17:00:00,13.06,13.08,12.99,12.99,329,50,0
2023-11-08 18:00:00,12.99,13.035,12.99,13.01,150,50,0
2023-11-09 10:00:00,12.98,13.13,12.965,13.06,399,50,0
2023-11-09 11:00:00,13.06,13.115,13.02,13.08,389,50,0
2023-11-09 12:00:00,13.085,13.22,13.07,13.21,254,50,0
2023-11-09 13:00:00,13.21,13.27,13.195,13.265,259,50,0
