time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.678,1.735,1.668,1.724,150,60,0
2023-11-03 12:00:00,1.717,1.735,1.7,1.7029999999999998,146,30,0
2023-11-03 13:00:00,1.7029999999999998,1.709,1.694,1.706,53,60,0
2023-11-03 14:00:00,1.7029999999999998,1.71,1.6989999999999998,1.704,37,20,0
2023-11-03 15:00:00,1.708,1.74,1.702,1.73,113,40,0
2023-11-03 16:00:00,1.74,1.762,1.723,1.75,132,50,0
2023-11-03 17:00:00,1.752,1.767,1.749,1.757,131,30,0
2023-11-03 18:00:00,1.757,1.773,1.757,1.765,88,20,0
2023-11-03 19:00:00,1.771,1.773,1.763,1.769,46,20,0
2023-11-06 10:00:00,1.763,1.776,1.744,1.744,235,40,0
2023-11-06 11:00:00,1.755,1.755,1.731,1.742,154,30,0
2023-11-06 12:00:00,1.741,1.753,1.731,1.735,103,30,0
2023-11-06 13:00:00,1.737,1.74,1.704,1.735,88,60,0
2023-11-06 14:00:00,1.714,1.733,1.698,1.704,114,30,0
2023-11-06 15:00:00,1.704,1.709,1.688,1.694,113,30,0
2023-11-06 16:00:00,1.6949999999999998,1.6989999999999998,1.683,1.69,132,30,0
2023-11-06 17:00:00,1.692,1.697,1.663,1.6720000000000002,235,20,0
2023-11-06 18:00:00,1.667,1.675,1.661,1.671,84,30,0
2023-11-07 10:00:00,1.651,1.6720000000000002,1.651,1.669,98,30,0
2023-11-07 11:00:00,1.668,1.669,1.646,1.656,73,30,0
2023-11-07 12:00:00,1.655,1.669,1.646,1.668,94,20,0
2023-11-07 13:00:00,1.657,1.668,1.645,1.65,90,40,0
2023-11-07 14:00:00,1.65,1.656,1.639,1.649,109,20,0
2023-11-07 15:00:00,1.653,1.665,1.649,1.652,114,20,0
2023-11-07 16:00:00,1.651,1.659,1.647,1.657,139,20,0
2023-11-07 17:00:00,1.649,1.667,1.649,1.664,120,20,0
2023-11-07 18:00:00,1.664,1.667,1.656,1.662,61,10,0
2023-11-08 10:00:00,1.655,1.6760000000000002,1.646,1.66,214,90,0
2023-11-08 11:00:00,1.652,1.674,1.652,1.6720000000000002,109,40,0
2023-11-08 12:00:00,1.6720000000000002,1.675,1.666,1.673,53,40,0
2023-11-08 13:00:00,1.673,1.675,1.673,1.673,18,50,0
2023-11-08 14:00:00,1.665,1.673,1.663,1.667,47,50,0
2023-11-08 15:00:00,1.677,1.677,1.667,1.6720000000000002,32,70,0
2023-11-08 16:00:00,1.6720000000000002,1.694,1.671,1.694,83,20,0
2023-11-08 17:00:00,1.686,1.694,1.6800000000000002,1.683,122,20,0
2023-11-08 18:00:00,1.686,1.688,1.677,1.679,77,20,0
2023-11-09 10:00:00,1.667,1.671,1.649,1.654,64,400,0
2023-11-09 11:00:00,1.653,1.656,1.652,1.655,19,400,0
2023-11-09 12:00:00,1.654,1.697,1.654,1.693,58,40,0
2023-11-09 13:00:00,1.697,1.697,1.682,1.69,58,40,0
2023-11-09 14:00:00,1.692,1.697,1.682,1.69,42,30,0
2023-11-09 15:00:00,1.694,1.713,1.69,1.705,73,30,0
2023-11-09 16:00:00,1.705,1.71,1.697,1.704,73,30,0
2023-11-09 17:00:00,1.698,1.71,1.69,1.702,112,40,0
2023-11-09 18:00:00,1.7029999999999998,1.717,1.693,1.706,73,30,0
2023-11-10 10:00:00,1.671,1.704,1.671,1.6949999999999998,170,120,0
2023-11-10 11:00:00,1.6949999999999998,1.7029999999999998,1.686,1.6909999999999998,91,30,0
2023-11-10 12:00:00,1.69,1.697,1.678,1.678,76,30,0
2023-11-10 13:00:00,1.679,1.686,1.675,1.679,32,40,0
2023-11-10 14:00:00,1.675,1.682,1.675,1.681,30,20,0
2023-11-10 15:00:00,1.679,1.688,1.675,1.683,52,40,0
2023-11-10 16:00:00,1.682,1.688,1.677,1.6800000000000002,55,30,0
2023-11-10 17:00:00,1.679,1.681,1.675,1.675,36,30,0
2023-11-10 18:00:00,1.6760000000000002,1.681,1.675,1.678,30,30,0
2023-11-13 10:00:00,1.683,1.683,1.673,1.682,56,250,0
2023-11-13 11:00:00,1.682,1.688,1.673,1.674,68,30,0
2023-11-13 12:00:00,1.686,1.686,1.661,1.667,43,40,0
