time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,21.0,21.3,20.89,21.2,299,100,0
2023-11-03 12:00:00,21.2,21.27,21.16,21.25,251,100,0
2023-11-03 13:00:00,21.28,21.28,21.2,21.21,198,100,0
2023-11-03 14:00:00,21.21,21.27,21.2,21.24,135,100,0
2023-11-03 15:00:00,21.25,21.41,21.24,21.38,227,100,0
2023-11-03 16:00:00,21.38,21.47,21.37,21.46,216,100,0
2023-11-03 17:00:00,21.46,21.47,21.38,21.42,222,100,0
2023-11-03 18:00:00,21.42,21.49,21.3,21.32,226,100,0
2023-11-03 19:00:00,21.33,21.35,21.3,21.32,102,100,0
2023-11-06 10:00:00,21.16,21.28,21.11,21.18,229,100,0
2023-11-06 11:00:00,21.19,21.21,21.1,21.1,241,100,0
2023-11-06 12:00:00,21.1,21.21,21.1,21.17,192,100,0
2023-11-06 13:00:00,21.17,21.24,21.13,21.24,121,100,0
2023-11-06 14:00:00,21.24,21.26,21.19,21.22,106,100,0
2023-11-06 15:00:00,21.23,21.28,21.22,21.26,117,100,0
2023-11-06 16:00:00,21.28,21.28,21.16,21.21,114,100,0
2023-11-06 17:00:00,21.21,21.25,21.06,21.12,225,100,0
2023-11-06 18:00:00,21.1,21.16,21.07,21.07,88,100,0
2023-11-07 10:00:00,21.06,22.46,21.06,22.46,603,100,0
2023-11-07 11:00:00,22.47,22.53,22.18,22.21,396,100,0
2023-11-07 12:00:00,22.22,22.44,22.15,22.38,468,100,0
2023-11-07 13:00:00,22.38,22.51,22.29,22.51,369,100,0
2023-11-07 14:00:00,22.38,22.66,22.37,22.52,271,100,0
2023-11-07 15:00:00,22.52,22.75,22.38,22.52,311,100,0
2023-11-07 16:00:00,22.51,22.68,22.39,22.55,346,100,0
2023-11-07 17:00:00,22.56,22.66,22.47,22.56,322,100,0
2023-11-07 18:00:00,22.55,22.57,22.33,22.46,184,100,0
2023-11-08 10:00:00,22.33,23.15,22.27,23.12,536,100,0
2023-11-08 11:00:00,23.03,23.21,22.77,22.89,443,100,0
2023-11-08 12:00:00,22.81,23.06,22.78,22.99,260,100,0
2023-11-08 13:00:00,22.98,23.11,22.98,23.07,270,100,0
2023-11-08 14:00:00,23.07,23.22,23.07,23.2,273,100,0
