time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.438,0.4452,0.438,0.441,147,16,0
2023-11-03 12:00:00,0.441,0.4488,0.441,0.4488,93,12,0
2023-11-03 13:00:00,0.4486,0.4492,0.446,0.4466,64,12,0
2023-11-03 14:00:00,0.448,0.4482,0.4464,0.4468,21,12,0
2023-11-03 15:00:00,0.4472,0.4504,0.446,0.448,68,2,0
2023-11-03 16:00:00,0.4504,0.4522,0.4474,0.45,114,2,0
2023-11-03 17:00:00,0.4504,0.4528,0.4478,0.4506,134,12,0
2023-11-03 18:00:00,0.4506,0.451,0.4462,0.4504,83,8,0
2023-11-03 19:00:00,0.4504,0.4516,0.4486,0.4504,39,10,0
2023-11-06 10:00:00,0.4456,0.4464,0.4418,0.4454,122,22,0
2023-11-06 11:00:00,0.4454,0.4476,0.4422,0.4442,97,14,0
2023-11-06 12:00:00,0.4452,0.4464,0.4424,0.4442,97,18,0
2023-11-06 13:00:00,0.4458,0.4458,0.4418,0.4424,61,12,0
2023-11-06 14:00:00,0.4418,0.4454,0.4414,0.4414,74,6,0
2023-11-06 15:00:00,0.4414,0.444,0.4386,0.4386,67,6,0
2023-11-06 16:00:00,0.4402,0.4418,0.4332,0.4338,165,10,0
2023-11-06 17:00:00,0.4338,0.4372,0.4302,0.4318,153,8,0
2023-11-06 18:00:00,0.4334,0.4346,0.4312,0.434,52,10,0
2023-11-07 10:00:00,0.4276,0.4362,0.422,0.4326,189,18,0
2023-11-07 11:00:00,0.433,0.4362,0.431,0.4324,113,16,0
2023-11-07 12:00:00,0.4322,0.4368,0.4314,0.4334,92,12,0
2023-11-07 13:00:00,0.4328,0.4336,0.4292,0.4312,63,6,0
2023-11-07 14:00:00,0.4312,0.4344,0.4312,0.432,53,10,0
2023-11-07 15:00:00,0.432,0.433,0.4284,0.4308,96,10,0
2023-11-07 16:00:00,0.4314,0.433,0.4194,0.4242,115,8,0
2023-11-07 17:00:00,0.4242,0.4282,0.4194,0.4276,191,8,0
2023-11-07 18:00:00,0.4264,0.4276,0.4238,0.4262,69,8,0
2023-11-08 10:00:00,0.4216,0.429,0.4216,0.4264,105,24,0
2023-11-08 11:00:00,0.4268,0.429,0.4258,0.427,48,12,0
2023-11-08 12:00:00,0.426,0.43,0.424,0.4274,65,6,0
2023-11-08 13:00:00,0.4284,0.4308,0.4274,0.4308,69,8,0
2023-11-08 14:00:00,0.4308,0.4314,0.4298,0.4312,57,4,0
