time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.032,4.085,4.032,4.059,613,20,0
2023-11-03 12:00:00,4.059,4.068,4.034,4.045,459,10,0
2023-11-03 13:00:00,4.045,4.063,4.044,4.054,384,10,0
2023-11-03 14:00:00,4.054,4.057,4.048,4.052,291,10,0
2023-11-03 15:00:00,4.051,4.065,4.041,4.054,348,10,0
2023-11-03 16:00:00,4.057,4.073,4.056,4.066,352,10,0
2023-11-03 17:00:00,4.067,4.072,4.049,4.059,462,10,0
2023-11-03 18:00:00,4.059,4.069,4.051,4.062,328,10,0
2023-11-03 19:00:00,4.064,4.066,4.059,4.062,108,10,0
2023-11-06 10:00:00,4.064,4.065,4.037,4.049,455,10,0
2023-11-06 11:00:00,4.05,4.058,4.042,4.052,312,10,0
2023-11-06 12:00:00,4.05,4.058,4.042,4.052,270,10,0
2023-11-06 13:00:00,4.053,4.062,4.049,4.054,244,10,0
2023-11-06 14:00:00,4.052,4.063,4.052,4.061,257,10,0
2023-11-06 15:00:00,4.061,4.083,4.058,4.083,302,10,0
2023-11-06 16:00:00,4.084,4.09,4.069,4.076,418,10,0
2023-11-06 17:00:00,4.076,4.085,4.053,4.062,386,10,0
2023-11-06 18:00:00,4.061,4.065,4.056,4.056,97,10,0
2023-11-07 10:00:00,4.053,4.081,4.052,4.073,656,10,0
2023-11-07 11:00:00,4.066,4.079,4.056,4.056,397,10,0
2023-11-07 12:00:00,4.057,4.068,4.053,4.067,320,10,0
2023-11-07 13:00:00,4.066,4.067,4.054,4.06,306,10,0
2023-11-07 14:00:00,4.061,4.065,4.055,4.06,309,10,0
2023-11-07 15:00:00,4.06,4.063,4.053,4.058,291,10,0
2023-11-07 16:00:00,4.058,4.064,4.054,4.06,302,10,0
2023-11-07 17:00:00,4.062,4.065,4.057,4.063,331,10,0
2023-11-07 18:00:00,4.062,4.064,4.054,4.057,131,10,0
2023-11-08 10:00:00,4.013,4.035,3.986,4.034,498,10,0
