time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,10.98,11.08,10.98,11.05,357,50,0
2023-11-03 12:00:00,11.08,11.08,11.025,11.05,242,50,0
2023-11-03 13:00:00,11.045,11.055,11.025,11.03,202,50,0
2023-11-03 14:00:00,11.03,11.055,11.025,11.03,184,50,0
2023-11-03 15:00:00,11.035,11.05,11.005,11.03,206,50,0
2023-11-03 16:00:00,11.015,11.05,10.77,10.785,302,50,0
2023-11-03 17:00:00,10.785,10.875,10.72,10.76,388,50,0
2023-11-03 18:00:00,10.76,10.82,10.725,10.785,278,50,0
2023-11-03 19:00:00,10.785,10.79,10.77,10.78,69,50,0
2023-11-06 10:00:00,10.78,10.92,10.745,10.83,384,50,0
2023-11-06 11:00:00,10.825,10.83,10.775,10.815,284,50,0
2023-11-06 12:00:00,10.825,10.83,10.77,10.79,210,50,0
2023-11-06 13:00:00,10.795,10.8,10.78,10.785,142,50,0
2023-11-06 14:00:00,10.785,10.8,10.725,10.765,235,50,0
2023-11-06 15:00:00,10.765,10.785,10.735,10.785,207,50,0
2023-11-06 16:00:00,10.77,10.785,10.74,10.76,237,50,0
2023-11-06 17:00:00,10.765,10.8,10.75,10.785,241,50,0
2023-11-06 18:00:00,10.8,10.8,10.77,10.78,83,50,0
2023-11-07 10:00:00,10.75,10.81,10.73,10.765,384,50,0
2023-11-07 11:00:00,10.755,10.785,10.72,10.77,303,50,0
2023-11-07 12:00:00,10.775,10.785,10.76,10.785,232,50,0
2023-11-07 13:00:00,10.785,10.795,10.745,10.75,213,50,0
2023-11-07 14:00:00,10.75,10.785,10.74,10.76,163,50,0
2023-11-07 15:00:00,10.775,10.805,10.76,10.8,236,50,0
2023-11-07 16:00:00,10.8,10.825,10.775,10.795,277,50,0
2023-11-07 17:00:00,10.805,10.815,10.765,10.795,221,50,0
2023-11-07 18:00:00,10.79,10.805,10.76,10.78,100,50,0
2023-11-08 10:00:00,10.74,10.875,10.725,10.865,328,50,0
2023-11-08 11:00:00,10.865,10.87,10.79,10.85,319,50,0
2023-11-08 12:00:00,10.82,10.85,10.79,10.84,246,50,0
2023-11-08 13:00:00,10.835,10.86,10.835,10.855,183,50,0
2023-11-08 14:00:00,10.86,10.865,10.835,10.84,192,50,0
2023-11-08 15:00:00,10.84,10.85,10.82,10.825,260,50,0
2023-11-08 16:00:00,10.83,10.855,10.81,10.825,299,50,0
2023-11-08 17:00:00,10.83,10.835,10.785,10.805,273,50,0
2023-11-08 18:00:00,10.805,10.815,10.795,10.8,107,50,0
2023-11-09 10:00:00,10.825,10.92,10.77,10.9,498,50,0
2023-11-09 11:00:00,10.895,10.92,10.835,10.89,336,50,0
2023-11-09 12:00:00,10.89,10.91,10.82,10.865,248,50,0
2023-11-09 13:00:00,10.865,10.865,10.76,10.805,334,50,0
2023-11-09 14:00:00,10.78,10.81,10.77,10.785,225,50,0
2023-11-09 15:00:00,10.785,10.825,10.77,10.81,291,50,0
2023-11-09 16:00:00,10.805,10.855,10.795,10.81,329,50,0
2023-11-09 17:00:00,10.845,10.92,10.82,10.885,347,50,0
2023-11-09 18:00:00,10.885,10.92,10.88,10.92,93,50,0
2023-11-10 10:00:00,10.9,11.04,10.855,11.035,442,50,0
2023-11-10 11:00:00,11.03,11.115,10.995,11.115,393,50,0
2023-11-10 12:00:00,11.115,11.12,11.035,11.095,362,50,0
2023-11-10 13:00:00,11.095,11.12,11.06,11.08,298,50,0
2023-11-10 14:00:00,11.08,11.125,11.075,11.095,229,50,0
2023-11-10 15:00:00,11.095,11.12,11.045,11.07,240,50,0
2023-11-10 16:00:00,11.055,11.075,11.02,11.055,270,50,0
2023-11-10 17:00:00,11.055,11.055,10.985,10.99,292,50,0
2023-11-10 18:00:00,10.99,11.015,10.97,11.01,107,50,0
2023-11-13 10:00:00,11.05,11.15,11.02,11.085,394,50,0
2023-11-13 11:00:00,11.085,11.095,11.055,11.095,271,50,0
2023-11-13 12:00:00,11.09,11.12,11.06,11.1,161,50,0
2023-11-13 13:00:00,11.1,11.115,11.05,11.07,152,50,0
2023-11-13 14:00:00,11.065,11.08,11.035,11.055,170,50,0
2023-11-13 15:00:00,11.06,11.06,11.02,11.04,197,50,0
2023-11-13 16:00:00,11.04,11.06,11.015,11.055,315,50,0
2023-11-13 17:00:00,11.05,11.06,11.015,11.02,235,50,0
2023-11-13 18:00:00,11.025,11.06,11.015,11.06,100,50,0
2023-11-14 10:00:00,10.975,11.065,10.975,11.055,353,50,0
2023-11-14 11:00:00,11.035,11.065,11.005,11.02,220,50,0
2023-11-14 12:00:00,11.015,11.04,11.0,11.035,238,50,0
2023-11-14 13:00:00,11.025,11.035,10.995,11.005,144,50,0
2023-11-14 14:00:00,11.02,11.03,10.985,10.995,152,50,0
2023-11-14 15:00:00,10.995,11.055,10.94,10.945,409,50,0
2023-11-14 16:00:00,10.94,10.995,10.755,10.77,476,50,0
2023-11-14 17:00:00,10.765,10.81,10.71,10.74,346,50,0
2023-11-14 18:00:00,10.74,10.745,10.71,10.725,102,50,0
2023-11-15 10:00:00,10.685,10.755,10.625,10.715,449,50,0
2023-11-15 11:00:00,10.715,10.76,10.685,10.735,346,50,0
2023-11-15 12:00:00,10.74,10.81,10.73,10.775,210,50,0
2023-11-15 13:00:00,10.785,10.785,10.715,10.725,205,50,0
2023-11-15 14:00:00,10.725,10.75,10.685,10.745,189,50,0
2023-11-15 15:00:00,10.73,10.785,10.73,10.745,312,50,0
2023-11-15 16:00:00,10.745,10.77,10.68,10.7,287,50,0
2023-11-15 17:00:00,10.715,10.72,10.635,10.645,260,50,0
2023-11-15 18:00:00,10.645,10.68,10.635,10.665,158,50,0
2023-11-16 10:00:00,10.67,10.71,10.605,10.68,397,50,0
