time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,24.065,24.155,23.995,24.035,515,150,0
2023-11-03 12:00:00,24.035,24.09,23.755,23.855,451,50,0
2023-11-03 13:00:00,23.855,23.86,23.765,23.805,385,100,0
2023-11-03 14:00:00,23.805,23.89,23.77,23.88,490,100,0
2023-11-03 15:00:00,23.875,23.895,23.73,23.85,586,100,0
2023-11-03 16:00:00,23.855,24.085,23.785,24.045,855,50,0
2023-11-03 17:00:00,24.05,24.08,23.875,23.94,704,50,0
2023-11-03 18:00:00,23.945,23.955,23.83,23.87,485,50,0
2023-11-03 19:00:00,23.86,23.895,23.855,23.865,147,50,0
2023-11-06 10:00:00,23.83,23.9,23.715,23.81,576,100,0
2023-11-06 11:00:00,23.8,23.86,23.72,23.835,399,150,0
2023-11-06 12:00:00,23.84,23.935,23.785,23.875,366,50,0
2023-11-06 13:00:00,23.875,23.89,23.79,23.82,311,150,0
2023-11-06 14:00:00,23.82,23.86,23.735,23.84,370,100,0
2023-11-06 15:00:00,23.84,23.93,23.785,23.92,489,150,0
2023-11-06 16:00:00,23.92,24.015,23.75,23.775,680,100,0
2023-11-06 17:00:00,23.825,23.875,23.75,23.85,468,100,0
2023-11-06 18:00:00,23.855,23.875,23.72,23.825,205,50,0
2023-11-07 10:00:00,23.73,23.78,23.54,23.595,361,100,0
2023-11-07 11:00:00,23.595,23.635,23.41,23.425,424,100,0
2023-11-07 12:00:00,23.425,23.535,23.405,23.51,574,100,0
2023-11-07 13:00:00,23.51,23.535,23.46,23.485,499,50,0
2023-11-07 14:00:00,23.49,23.53,23.44,23.47,495,50,0
2023-11-07 15:00:00,23.465,23.485,23.365,23.4,566,50,0
2023-11-07 16:00:00,23.39,23.455,23.225,23.34,692,50,0
2023-11-07 17:00:00,23.345,23.375,23.19,23.36,598,50,0
2023-11-07 18:00:00,23.365,23.39,23.285,23.35,261,50,0
2023-11-08 10:00:00,23.345,23.395,23.135,23.36,622,100,0
2023-11-08 11:00:00,23.355,23.385,23.21,23.33,368,100,0
2023-11-08 12:00:00,23.34,23.35,23.145,23.26,445,100,0
2023-11-08 13:00:00,23.26,23.365,23.235,23.34,430,100,0
2023-11-08 14:00:00,23.335,23.35,23.17,23.33,322,100,0
2023-11-08 15:00:00,23.325,23.35,23.255,23.315,306,100,0
2023-11-08 16:00:00,23.315,23.43,23.22,23.375,572,50,0
2023-11-08 17:00:00,23.385,23.4,23.265,23.265,456,50,0
2023-11-08 18:00:00,23.275,23.34,23.19,23.19,201,50,0
2023-11-09 10:00:00,23.435,23.465,23.175,23.405,511,100,0
2023-11-09 11:00:00,23.34,23.395,23.23,23.355,435,150,0
2023-11-09 12:00:00,23.355,23.495,23.285,23.43,398,100,0
2023-11-09 13:00:00,23.45,23.48,23.38,23.435,404,100,0
2023-11-09 14:00:00,23.435,23.51,23.415,23.495,376,100,0
2023-11-09 15:00:00,23.395,23.57,23.37,23.55,479,50,0
2023-11-09 16:00:00,23.55,23.735,23.51,23.7,693,50,0
2023-11-09 17:00:00,23.7,23.76,23.545,23.745,623,50,0
2023-11-09 18:00:00,23.755,23.755,23.675,23.71,223,50,0
2023-11-10 10:00:00,23.465,23.6,23.465,23.535,451,100,0
2023-11-10 11:00:00,23.495,23.59,23.41,23.49,453,100,0
2023-11-10 12:00:00,23.49,23.505,23.37,23.455,350,50,0
2023-11-10 13:00:00,23.455,23.48,23.325,23.375,282,50,0
2023-11-10 14:00:00,23.345,23.57,23.34,23.555,387,100,0
2023-11-10 15:00:00,23.54,23.595,23.445,23.51,447,50,0
2023-11-10 16:00:00,23.58,23.595,23.44,23.49,651,100,0
2023-11-10 17:00:00,23.475,23.565,23.395,23.525,629,50,0
2023-11-10 18:00:00,23.49,23.6,23.485,23.585,185,50,0
2023-11-13 10:00:00,23.795,23.9,23.745,23.88,519,100,0
2023-11-13 11:00:00,23.88,23.96,23.815,23.9,393,100,0
2023-11-13 12:00:00,23.875,23.94,23.83,23.895,341,100,0
2023-11-13 13:00:00,23.905,23.915,23.82,23.86,314,50,0
2023-11-13 14:00:00,23.87,23.895,23.83,23.87,363,100,0
2023-11-13 15:00:00,23.87,23.9,23.765,23.815,366,100,0
2023-11-13 16:00:00,23.815,23.865,23.71,23.85,685,50,0
2023-11-13 17:00:00,23.85,23.865,23.715,23.825,621,100,0
2023-11-13 18:00:00,23.8,23.855,23.795,23.835,173,100,0
2023-11-14 10:00:00,23.925,23.95,23.795,23.82,560,100,0
2023-11-14 11:00:00,23.82,23.96,23.765,23.895,566,50,0
2023-11-14 12:00:00,23.885,23.915,23.74,23.805,554,50,0
2023-11-14 13:00:00,23.81,23.81,23.56,23.68,491,50,0
2023-11-14 14:00:00,23.675,23.8,23.65,23.765,358,50,0
2023-11-14 15:00:00,23.77,24.07,23.68,24.065,895,50,0
2023-11-14 16:00:00,24.005,24.395,23.875,24.22,1050,100,0
2023-11-14 17:00:00,24.31,24.385,24.175,24.305,612,100,0
2023-11-14 18:00:00,24.305,24.365,24.185,24.28,240,50,0
2023-11-15 10:00:00,24.6,24.705,24.35,24.47,876,100,0
2023-11-15 11:00:00,24.475,24.48,24.275,24.475,689,50,0
2023-11-15 12:00:00,24.47,24.55,24.35,24.495,643,50,0
2023-11-15 13:00:00,24.505,24.67,24.405,24.65,513,50,0
2023-11-15 14:00:00,24.64,24.705,24.465,24.61,489,100,0
2023-11-15 15:00:00,24.55,24.645,24.295,24.355,657,100,0
2023-11-15 16:00:00,24.355,24.47,24.19,24.4,846,50,0
2023-11-15 17:00:00,24.415,24.555,24.355,24.505,470,100,0
2023-11-15 18:00:00,24.505,24.505,24.385,24.385,195,50,0
2023-11-16 10:00:00,24.38,24.51,24.345,24.46,822,50,0
2023-11-16 11:00:00,24.485,24.555,24.395,24.52,704,100,0
2023-11-16 12:00:00,24.515,24.54,24.4,24.47,765,100,0
2023-11-16 13:00:00,24.475,24.5,24.325,24.38,515,50,0
2023-11-16 14:00:00,24.38,24.4,24.215,24.275,653,50,0
2023-11-16 15:00:00,24.275,24.35,24.25,24.285,550,100,0
2023-11-16 16:00:00,24.285,24.35,24.045,24.255,886,100,0
2023-11-16 17:00:00,24.31,24.35,24.115,24.26,665,100,0
