time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.072,4.092,4.024,4.064,89,100,0
2023-11-03 12:00:00,4.026,4.064,4.01,4.038,96,60,0
2023-11-03 13:00:00,4.042,4.056,4.028,4.048,70,40,0
2023-11-03 14:00:00,4.048,4.068,4.036,4.046,69,40,0
2023-11-03 15:00:00,4.044,4.08,4.036,4.074,78,40,0
2023-11-03 16:00:00,4.078,4.092,4.056,4.082,72,40,0
2023-11-03 17:00:00,4.086,4.092,4.036,4.036,83,40,0
2023-11-03 18:00:00,4.05,4.07,4.026,4.04,81,40,0
2023-11-03 19:00:00,4.042,4.05,4.026,4.026,43,20,0
2023-11-06 10:00:00,4.046,4.082,3.978,4.018,136,140,0
2023-11-06 11:00:00,4.004,4.026,3.978,4.006,129,40,0
2023-11-06 12:00:00,4.004,4.02,3.986,4.014,62,40,0
2023-11-06 13:00:00,4.0,4.016,3.98,3.996,128,40,0
2023-11-06 14:00:00,3.992,3.996,3.96,3.98,103,40,0
2023-11-06 15:00:00,3.98,3.986,3.96,3.974,96,40,0
2023-11-06 16:00:00,3.974,3.976,3.908,3.91,133,20,0
2023-11-06 17:00:00,3.89,3.942,3.88,3.892,196,20,0
2023-11-06 18:00:00,3.892,3.904,3.884,3.9,56,20,0
2023-11-07 10:00:00,3.846,3.876,3.846,3.874,67,60,0
2023-11-07 11:00:00,3.874,3.898,3.86,3.898,109,40,0
2023-11-07 12:00:00,3.898,3.92,3.864,3.896,90,40,0
2023-11-07 13:00:00,3.896,3.9,3.86,3.868,84,40,0
2023-11-07 14:00:00,3.868,3.892,3.868,3.876,108,40,0
2023-11-07 15:00:00,3.876,3.9,3.872,3.888,80,40,0
2023-11-07 16:00:00,3.888,3.894,3.868,3.882,93,40,0
2023-11-07 17:00:00,3.882,3.914,3.87,3.898,120,20,0
2023-11-07 18:00:00,3.888,3.914,3.872,3.884,67,20,0
2023-11-08 10:00:00,3.828,3.928,3.828,3.88,162,80,0
2023-11-08 11:00:00,3.898,3.916,3.866,3.906,118,60,0
2023-11-08 12:00:00,3.906,3.906,3.864,3.874,114,60,0
2023-11-08 13:00:00,3.874,3.918,3.868,3.918,99,40,0
2023-11-08 14:00:00,3.918,3.92,3.882,3.904,111,80,0
2023-11-08 15:00:00,3.904,3.906,3.884,3.898,92,40,0
2023-11-08 16:00:00,3.898,3.926,3.898,3.922,142,20,0
2023-11-08 17:00:00,3.924,3.936,3.9,3.928,192,20,0
2023-11-08 18:00:00,3.93,3.956,3.912,3.952,90,20,0
2023-11-09 10:00:00,3.952,4.002,3.924,3.97,150,60,0
2023-11-09 11:00:00,3.954,4.002,3.916,3.94,107,40,0
2023-11-09 12:00:00,3.938,3.968,3.916,3.952,57,40,0
2023-11-09 13:00:00,3.964,3.968,3.942,3.942,31,40,0
2023-11-09 14:00:00,3.946,3.952,3.888,3.94,86,20,0
2023-11-09 15:00:00,3.888,3.978,3.888,3.948,115,20,0
2023-11-09 16:00:00,3.954,3.984,3.942,3.974,116,60,0
2023-11-09 17:00:00,3.972,3.996,3.964,3.976,75,20,0
2023-11-09 18:00:00,3.976,3.996,3.958,3.978,108,20,0
2023-11-10 10:00:00,3.972,3.988,3.934,3.988,100,100,0
2023-11-10 11:00:00,3.988,4.0,3.964,3.994,90,60,0
2023-11-10 12:00:00,3.994,4.008,3.97,3.986,104,60,0
2023-11-10 13:00:00,3.98,4.002,3.97,3.998,64,40,0
2023-11-10 14:00:00,4.038,4.124,3.98,4.03,251,40,0
2023-11-10 15:00:00,4.03,4.03,3.994,4.006,74,80,0
2023-11-10 16:00:00,3.992,4.108,3.988,4.076,209,40,0
2023-11-10 17:00:00,4.044,4.142,4.02,4.12,266,60,0
2023-11-10 18:00:00,4.12,4.16,4.102,4.14,120,20,0
2023-11-13 10:00:00,4.126,4.218,4.126,4.164,126,220,0
2023-11-13 11:00:00,4.18,4.234,4.164,4.212,152,60,0
2023-11-13 12:00:00,4.214,4.226,4.168,4.186,171,40,0
2023-11-13 13:00:00,4.176,4.23,4.158,4.162,139,60,0
2023-11-13 14:00:00,4.17,4.186,4.134,4.16,148,80,0
2023-11-13 15:00:00,4.16,4.172,4.12,4.14,175,60,0
2023-11-13 16:00:00,4.156,4.18,4.13,4.136,268,60,0
2023-11-13 17:00:00,4.138,4.176,4.116,4.122,183,40,0
2023-11-13 18:00:00,4.122,4.138,4.088,4.108,87,20,0
2023-11-14 10:00:00,4.168,4.232,4.072,4.184,102,240,0
2023-11-14 11:00:00,4.154,4.194,4.114,4.178,154,120,0
2023-11-14 12:00:00,4.176,4.188,4.074,4.132,162,80,0
