time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,3.116,3.21,3.116,3.208,108,20,0
2023-11-03 12:00:00,3.2,3.21,3.17,3.172,94,20,0
2023-11-03 13:00:00,3.182,3.2,3.17,3.2,71,40,0
2023-11-03 14:00:00,3.198,3.204,3.198,3.202,35,60,0
2023-11-03 15:00:00,3.202,3.216,3.198,3.216,57,60,0
2023-11-03 16:00:00,3.216,3.216,3.21,3.21,25,40,0
2023-11-03 17:00:00,3.21,3.224,3.202,3.204,84,20,0
2023-11-03 18:00:00,3.202,3.204,3.178,3.184,123,40,0
2023-11-03 19:00:00,3.18,3.19,3.176,3.19,51,40,0
2023-11-06 10:00:00,3.154,3.178,3.14,3.174,103,100,0
2023-11-06 11:00:00,3.178,3.186,3.16,3.168,101,40,0
2023-11-06 12:00:00,3.18,3.182,3.168,3.178,69,20,0
2023-11-06 13:00:00,3.18,3.182,3.168,3.168,45,20,0
2023-11-06 14:00:00,3.174,3.184,3.168,3.18,28,40,0
2023-11-06 15:00:00,3.18,3.182,3.168,3.182,36,40,0
2023-11-06 16:00:00,3.18,3.182,3.136,3.16,117,20,0
2023-11-06 17:00:00,3.136,3.162,3.122,3.128,152,20,0
2023-11-06 18:00:00,3.13,3.13,3.122,3.13,66,20,0
2023-11-07 10:00:00,3.1,3.134,3.092,3.128,121,60,0
2023-11-07 11:00:00,3.128,3.132,3.102,3.118,84,60,0
2023-11-07 12:00:00,3.09,3.116,3.09,3.092,69,40,0
2023-11-07 13:00:00,3.11,3.11,3.09,3.09,76,60,0
2023-11-07 14:00:00,3.092,3.102,3.09,3.098,39,40,0
2023-11-07 15:00:00,3.098,3.102,3.09,3.092,65,40,0
2023-11-07 16:00:00,3.098,3.098,3.064,3.082,82,40,0
2023-11-07 17:00:00,3.084,3.088,3.07,3.082,126,20,0
2023-11-07 18:00:00,3.084,3.086,3.066,3.074,77,20,0
2023-11-08 10:00:00,3.024,3.092,3.024,3.092,96,60,0
2023-11-08 11:00:00,3.092,3.098,3.084,3.094,80,60,0
2023-11-08 12:00:00,3.094,3.098,3.08,3.088,72,40,0
2023-11-08 13:00:00,3.088,3.09,3.08,3.088,27,40,0
2023-11-08 14:00:00,3.09,3.104,3.088,3.1,62,40,0
2023-11-08 15:00:00,3.102,3.106,3.084,3.098,106,40,0
2023-11-08 16:00:00,3.104,3.146,3.098,3.146,92,40,0
2023-11-08 17:00:00,3.142,3.152,3.124,3.146,95,40,0
2023-11-08 18:00:00,3.146,3.152,3.138,3.144,48,20,0
2023-11-09 10:00:00,3.084,3.106,3.044,3.08,117,100,0
2023-11-09 11:00:00,3.078,3.106,3.054,3.068,84,80,0
2023-11-09 12:00:00,3.07,3.116,3.054,3.106,99,80,0
2023-11-09 13:00:00,3.106,3.12,3.098,3.106,29,60,0
2023-11-09 14:00:00,3.106,3.118,3.096,3.106,45,60,0
2023-11-09 15:00:00,3.11,3.14,3.098,3.124,81,40,0
2023-11-09 16:00:00,3.13,3.138,3.124,3.126,53,40,0
2023-11-09 17:00:00,3.126,3.134,3.114,3.12,69,40,0
2023-11-09 18:00:00,3.128,3.14,3.096,3.104,95,20,0
2023-11-10 10:00:00,3.118,3.158,3.096,3.142,129,40,0
2023-11-10 11:00:00,3.142,3.142,3.098,3.116,67,40,0
2023-11-10 12:00:00,3.116,3.124,3.11,3.12,57,40,0
2023-11-10 13:00:00,3.12,3.14,3.116,3.136,81,60,0
2023-11-10 14:00:00,3.136,3.148,3.136,3.136,77,40,0
2023-11-10 15:00:00,3.138,3.17,3.136,3.156,103,40,0
2023-11-10 16:00:00,3.154,3.168,3.154,3.16,101,20,0
2023-11-10 17:00:00,3.154,3.16,3.144,3.148,81,40,0
2023-11-10 18:00:00,3.144,3.154,3.144,3.15,47,20,0
2023-11-13 10:00:00,3.104,3.158,3.104,3.148,118,60,0
2023-11-13 11:00:00,3.15,3.16,3.132,3.146,70,40,0
2023-11-13 12:00:00,3.144,3.146,3.128,3.146,21,60,0
2023-11-13 13:00:00,3.138,3.154,3.138,3.152,10,60,0
2023-11-13 14:00:00,3.146,3.166,3.144,3.156,60,20,0
2023-11-13 15:00:00,3.158,3.174,3.144,3.156,57,20,0
2023-11-13 16:00:00,3.152,3.192,3.152,3.19,88,40,0
2023-11-13 17:00:00,3.182,3.198,3.164,3.176,122,20,0
2023-11-13 18:00:00,3.164,3.182,3.162,3.172,94,20,0
2023-11-14 10:00:00,3.144,3.18,3.126,3.174,67,60,0
2023-11-14 11:00:00,3.174,3.212,3.174,3.204,73,20,0
2023-11-14 12:00:00,3.204,3.214,3.192,3.206,87,40,0
2023-11-14 13:00:00,3.202,3.204,3.172,3.174,59,40,0
2023-11-14 14:00:00,3.174,3.2,3.166,3.198,73,20,0
2023-11-14 15:00:00,3.196,3.216,3.192,3.2,89,20,0
2023-11-14 16:00:00,3.2,3.22,3.2,3.218,100,20,0
2023-11-14 17:00:00,3.218,3.276,3.212,3.276,114,20,0
2023-11-14 18:00:00,3.276,3.286,3.262,3.274,64,40,0
2023-11-15 10:00:00,3.258,3.334,3.258,3.324,161,20,0
2023-11-15 11:00:00,3.324,3.324,3.274,3.284,84,40,0
2023-11-15 12:00:00,3.292,3.294,3.27,3.272,84,20,0
2023-11-15 13:00:00,3.272,3.302,3.264,3.3,132,20,0
2023-11-15 14:00:00,3.29,3.302,3.288,3.29,58,40,0
2023-11-15 15:00:00,3.292,3.292,3.268,3.276,86,20,0
2023-11-15 16:00:00,3.278,3.292,3.274,3.288,86,20,0
2023-11-15 17:00:00,3.288,3.292,3.27,3.272,81,20,0
2023-11-15 18:00:00,3.272,3.276,3.258,3.266,34,20,0
2023-11-16 10:00:00,3.228,3.258,3.228,3.258,139,100,0
2023-11-16 11:00:00,3.256,3.256,3.21,3.218,132,20,0
2023-11-16 12:00:00,3.218,3.232,3.21,3.228,126,20,0
2023-11-16 13:00:00,3.228,3.232,3.222,3.228,45,40,0
2023-11-16 14:00:00,3.222,3.23,3.206,3.218,56,40,0
2023-11-16 15:00:00,3.218,3.228,3.214,3.224,57,20,0
2023-11-16 16:00:00,3.224,3.24,3.212,3.238,120,40,0
2023-11-16 17:00:00,3.226,3.24,3.206,3.216,117,20,0
2023-11-16 18:00:00,3.218,3.22,3.204,3.22,73,20,0
2023-11-17 10:00:00,3.208,3.27,3.208,3.256,107,40,0
2023-11-17 11:00:00,3.256,3.27,3.254,3.268,71,40,0
2023-11-17 12:00:00,3.268,3.298,3.268,3.278,91,40,0
2023-11-17 13:00:00,3.284,3.286,3.256,3.266,106,20,0
2023-11-17 14:00:00,3.272,3.272,3.256,3.268,33,20,0
2023-11-17 15:00:00,3.27,3.28,3.264,3.28,75,20,0
2023-11-17 16:00:00,3.28,3.284,3.274,3.276,63,20,0
2023-11-17 17:00:00,3.278,3.292,3.274,3.28,50,20,0
2023-11-17 18:00:00,3.29,3.298,3.28,3.286,59,20,0
2023-11-20 10:00:00,3.272,3.28,3.262,3.27,40,100,0
2023-11-20 11:00:00,3.282,3.286,3.262,3.28,56,40,0
2023-11-20 12:00:00,3.272,3.282,3.272,3.272,52,40,0
2023-11-20 13:00:00,3.276,3.276,3.256,3.262,41,40,0
2023-11-20 14:00:00,3.266,3.266,3.26,3.26,36,40,0
2023-11-20 15:00:00,3.262,3.262,3.25,3.256,31,40,0
2023-11-20 16:00:00,3.256,3.26,3.234,3.254,54,20,0
2023-11-20 17:00:00,3.254,3.26,3.236,3.256,58,40,0
2023-11-20 18:00:00,3.252,3.26,3.238,3.244,62,40,0
2023-11-21 10:00:00,3.238,3.288,3.238,3.27,127,20,0
2023-11-21 11:00:00,3.27,3.28,3.236,3.236,88,40,0
2023-11-21 12:00:00,3.248,3.256,3.236,3.236,109,40,0
2023-11-21 13:00:00,3.242,3.248,3.236,3.244,49,20,0
2023-11-21 14:00:00,3.248,3.248,3.236,3.236,69,40,0
2023-11-21 15:00:00,3.236,3.238,3.204,3.22,56,40,0
2023-11-21 16:00:00,3.22,3.23,3.22,3.228,56,20,0
2023-11-21 17:00:00,3.228,3.234,3.212,3.222,96,20,0
2023-11-21 18:00:00,3.222,3.226,3.212,3.222,54,20,0
2023-11-22 10:00:00,3.194,3.24,3.186,3.234,82,100,0
2023-11-22 11:00:00,3.232,3.234,3.212,3.228,47,60,0
2023-11-22 12:00:00,3.222,3.23,3.204,3.218,36,20,0
2023-11-22 13:00:00,3.216,3.238,3.204,3.238,74,40,0
2023-11-22 14:00:00,3.238,3.24,3.224,3.228,58,40,0
2023-11-22 15:00:00,3.224,3.226,3.2,3.222,65,40,0
2023-11-22 16:00:00,3.222,3.222,3.212,3.222,79,20,0
2023-11-22 17:00:00,3.222,3.242,3.212,3.24,102,40,0
2023-11-22 18:00:00,3.222,3.242,3.222,3.23,46,20,0
2023-11-23 10:00:00,3.168,3.25,3.166,3.234,80,120,0
2023-11-23 11:00:00,3.244,3.252,3.234,3.24,49,20,0
2023-11-23 12:00:00,3.24,3.248,3.232,3.238,53,20,0
2023-11-23 13:00:00,3.24,3.242,3.236,3.242,40,40,0
2023-11-23 14:00:00,3.244,3.256,3.242,3.256,35,60,0
2023-11-23 15:00:00,3.246,3.26,3.246,3.256,38,40,0
2023-11-23 16:00:00,3.258,3.276,3.256,3.276,83,20,0
2023-11-23 17:00:00,3.272,3.276,3.26,3.262,77,20,0
2023-11-23 18:00:00,3.268,3.268,3.252,3.258,56,20,0
2023-11-24 10:00:00,3.224,3.244,3.224,3.24,20,420,0
2023-11-24 11:00:00,3.24,3.28,3.24,3.278,24,60,0
2023-11-24 12:00:00,3.278,3.28,3.244,3.268,47,60,0
2023-11-24 13:00:00,3.268,3.27,3.252,3.264,34,40,0
2023-11-24 14:00:00,3.254,3.264,3.244,3.26,48,40,0
2023-11-24 15:00:00,3.26,3.262,3.246,3.254,59,40,0
2023-11-24 16:00:00,3.258,3.266,3.242,3.258,93,40,0
2023-11-24 17:00:00,3.26,3.262,3.25,3.258,71,60,0
2023-11-24 18:00:00,3.258,3.264,3.258,3.264,36,40,0
2023-11-27 10:00:00,3.25,3.3,3.246,3.28,87,100,0
2023-11-27 11:00:00,3.268,3.276,3.252,3.26,57,60,0
2023-11-27 12:00:00,3.26,3.268,3.26,3.26,48,40,0
2023-11-27 13:00:00,3.26,3.262,3.242,3.242,42,40,0
2023-11-27 14:00:00,3.25,3.254,3.242,3.246,46,20,0
2023-11-27 15:00:00,3.246,3.254,3.246,3.248,54,20,0
2023-11-27 16:00:00,3.248,3.254,3.248,3.254,42,40,0
2023-11-27 17:00:00,3.254,3.254,3.248,3.252,79,40,0
2023-11-27 18:00:00,3.252,3.254,3.248,3.248,58,20,0
2023-11-28 10:00:00,3.216,3.248,3.214,3.244,83,40,0
2023-11-28 11:00:00,3.244,3.254,3.228,3.248,98,40,0
2023-11-28 12:00:00,3.248,3.262,3.24,3.242,68,60,0
2023-11-28 13:00:00,3.24,3.256,3.24,3.25,43,40,0
2023-11-28 14:00:00,3.252,3.252,3.246,3.246,60,40,0
2023-11-28 15:00:00,3.246,3.254,3.246,3.252,57,40,0
2023-11-28 16:00:00,3.252,3.254,3.234,3.246,69,40,0
2023-11-28 17:00:00,3.252,3.262,3.242,3.262,38,40,0
2023-11-28 18:00:00,3.266,3.266,3.256,3.26,53,20,0
