time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.279,4.37,4.279,4.359,426,30,0
2023-11-03 12:00:00,4.35,4.375,4.334,4.368,235,20,0
2023-11-03 13:00:00,4.373,4.375,4.334,4.363,284,20,0
2023-11-03 14:00:00,4.362,4.389,4.346,4.383,268,10,0
2023-11-03 15:00:00,4.382,4.435,4.367,4.415,354,10,0
2023-11-03 16:00:00,4.415,4.469,4.411,4.461,362,20,0
2023-11-03 17:00:00,4.461,4.467,4.417,4.431,438,20,0
2023-11-03 18:00:00,4.431,4.433,4.389,4.406,338,20,0
2023-11-03 19:00:00,4.407,4.418,4.399,4.404,151,10,0
2023-11-06 10:00:00,4.42,4.429,4.37,4.385,400,40,0
2023-11-06 11:00:00,4.388,4.407,4.377,4.397,246,20,0
2023-11-06 12:00:00,4.397,4.41,4.383,4.389,185,20,0
2023-11-06 13:00:00,4.389,4.409,4.383,4.383,169,10,0
2023-11-06 14:00:00,4.383,4.402,4.383,4.383,120,30,0
2023-11-06 15:00:00,4.397,4.411,4.383,4.408,157,20,0
2023-11-06 16:00:00,4.408,4.414,4.371,4.381,280,20,0
2023-11-06 17:00:00,4.38,4.406,4.371,4.406,273,20,0
2023-11-06 18:00:00,4.406,4.406,4.385,4.394,130,20,0
2023-11-07 10:00:00,4.39,4.468,4.39,4.457,482,20,0
2023-11-07 11:00:00,4.459,4.509,4.439,4.485,400,20,0
2023-11-07 12:00:00,4.485,4.515,4.473,4.506,378,20,0
2023-11-07 13:00:00,4.506,4.521,4.482,4.52,331,10,0
2023-11-07 14:00:00,4.52,4.526,4.49,4.517,304,10,0
2023-11-07 15:00:00,4.515,4.537,4.496,4.5280000000000005,304,10,0
2023-11-07 16:00:00,4.525,4.537,4.504,4.533,235,20,0
2023-11-07 17:00:00,4.527,4.533,4.495,4.518,315,10,0
2023-11-07 18:00:00,4.521,4.523,4.495,4.499,158,10,0
2023-11-08 10:00:00,4.47,4.479,4.424,4.47,320,20,0
2023-11-08 11:00:00,4.473,4.482,4.45,4.464,260,10,0
2023-11-08 12:00:00,4.464,4.482,4.461,4.472,127,20,0
2023-11-08 13:00:00,4.472,4.489,4.464,4.486,143,30,0
2023-11-08 14:00:00,4.487,4.49,4.47,4.478,136,10,0
2023-11-08 15:00:00,4.479,4.49,4.453,4.458,198,10,0
2023-11-08 16:00:00,4.461,4.521,4.453,4.517,216,30,0
2023-11-08 17:00:00,4.517,4.52,4.458,4.477,218,20,0
2023-11-08 18:00:00,4.487,4.491,4.471,4.476,109,10,0
2023-11-09 10:00:00,4.453,4.513,4.452,4.477,460,20,0
2023-11-09 11:00:00,4.478,4.499,4.458,4.478,306,20,0
2023-11-09 12:00:00,4.479,4.519,4.469,4.497,295,30,0
2023-11-09 13:00:00,4.513,4.523,4.49,4.498,217,30,0
2023-11-09 14:00:00,4.5,4.539,4.498,4.526,175,10,0
2023-11-09 15:00:00,4.536,4.551,4.524,4.54,218,20,0
2023-11-09 16:00:00,4.541,4.562,4.524,4.561,324,20,0
2023-11-09 17:00:00,4.561,4.566,4.53,4.54,474,20,0
2023-11-09 18:00:00,4.54,4.578,4.539,4.564,161,10,0
2023-11-10 10:00:00,4.5,4.515,4.474,4.492,409,30,0
2023-11-10 11:00:00,4.485,4.495,4.423,4.43,311,30,0
2023-11-10 12:00:00,4.43,4.438,4.371,4.38,338,30,0
2023-11-10 13:00:00,4.38,4.414,4.373,4.384,344,20,0
2023-11-10 14:00:00,4.385,4.405,4.378,4.4030000000000005,248,20,0
2023-11-10 15:00:00,4.399,4.415,4.384,4.401,239,20,0
2023-11-10 16:00:00,4.407,4.442,4.395,4.43,309,10,0
2023-11-10 17:00:00,4.434,4.44,4.4030000000000005,4.42,315,10,0
2023-11-10 18:00:00,4.422,4.44,4.408,4.435,173,10,0
2023-11-13 10:00:00,4.392,4.478,4.392,4.457,337,40,0
2023-11-13 11:00:00,4.449,4.473,4.439,4.451,226,30,0
2023-11-13 12:00:00,4.452,4.467,4.434,4.435,167,20,0
2023-11-13 13:00:00,4.438,4.463,4.432,4.439,177,20,0
2023-11-13 14:00:00,4.455,4.458,4.425,4.426,194,10,0
2023-11-13 15:00:00,4.448,4.461,4.425,4.451,288,10,0
2023-11-13 16:00:00,4.451,4.5,4.436,4.483,300,20,0
2023-11-13 17:00:00,4.475,4.504,4.459,4.5,309,20,0
2023-11-13 18:00:00,4.486,4.511,4.483,4.497,127,10,0
2023-11-14 10:00:00,4.498,4.509,4.451,4.5,253,30,0
2023-11-14 11:00:00,4.506,4.562,4.489,4.539,238,50,0
2023-11-14 12:00:00,4.539,4.546,4.514,4.536,159,30,0
2023-11-14 13:00:00,4.536,4.536,4.514,4.514,123,30,0
2023-11-14 14:00:00,4.514,4.524,4.504,4.507,141,30,0
2023-11-14 15:00:00,4.504,4.617,4.496,4.558,354,20,0
2023-11-14 16:00:00,4.571,4.66,4.559,4.646,374,20,0
2023-11-14 17:00:00,4.645,4.732,4.643,4.717,392,10,0
2023-11-14 18:00:00,4.725,4.746,4.703,4.745,187,10,0
2023-11-15 10:00:00,4.725,4.843,4.725,4.828,482,30,0
2023-11-15 11:00:00,4.828,4.848,4.751,4.761,338,30,0
2023-11-15 12:00:00,4.77,4.781,4.752,4.756,266,20,0
2023-11-15 13:00:00,4.757,4.791,4.754,4.789,261,30,0
2023-11-15 14:00:00,4.776,4.789,4.768,4.769,199,20,0
2023-11-15 15:00:00,4.769,4.785,4.726,4.728,307,30,0
2023-11-15 16:00:00,4.728,4.767,4.715,4.74,300,30,0
2023-11-15 17:00:00,4.74,4.767,4.703,4.724,338,20,0
2023-11-15 18:00:00,4.724,4.735,4.696,4.701,163,20,0
2023-11-16 10:00:00,4.697,4.76,4.686,4.76,311,60,0
2023-11-16 11:00:00,4.76,4.76,4.689,4.703,311,30,0
2023-11-16 12:00:00,4.703,4.738,4.692,4.71,317,20,0
2023-11-16 13:00:00,4.711,4.724,4.692,4.703,235,20,0
2023-11-16 14:00:00,4.699,4.722,4.695,4.701,241,20,0
2023-11-16 15:00:00,4.715,4.752,4.7,4.727,349,30,0
2023-11-16 16:00:00,4.727,4.743,4.701,4.719,285,30,0
2023-11-16 17:00:00,4.714,4.726,4.68,4.706,369,10,0
2023-11-16 18:00:00,4.706,4.716,4.6850000000000005,4.716,122,10,0
