time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,21.7,22.0,21.6,22.0,136,200,0
2023-11-03 12:00:00,21.94,22.0,21.76,21.76,100,200,0
2023-11-03 13:00:00,21.78,21.9,21.76,21.82,55,200,0
2023-11-03 14:00:00,21.86,21.92,21.84,21.88,38,200,0
2023-11-03 15:00:00,21.88,22.1,21.88,22.0,170,200,0
2023-11-03 16:00:00,22.0,22.28,22.0,22.24,145,200,0
2023-11-03 17:00:00,22.26,22.28,22.04,22.06,91,200,0
2023-11-03 18:00:00,22.14,22.14,21.94,21.96,93,200,0
2023-11-03 19:00:00,21.96,21.98,21.88,21.88,34,200,0
2023-11-06 10:00:00,21.9,21.96,21.84,21.94,65,400,0
2023-11-06 11:00:00,21.96,21.96,21.82,21.9,48,200,0
2023-11-06 12:00:00,21.84,22.06,21.84,22.04,55,200,0
2023-11-06 13:00:00,22.04,22.04,21.92,21.96,48,200,0
2023-11-06 14:00:00,21.94,22.0,21.88,21.92,66,200,0
2023-11-06 15:00:00,21.9,21.98,21.88,21.88,48,400,0
2023-11-06 16:00:00,21.94,21.94,21.8,21.8,77,200,0
2023-11-06 17:00:00,21.8,21.88,21.7,21.86,107,200,0
2023-11-06 18:00:00,21.86,21.86,21.78,21.82,55,200,0
2023-11-07 10:00:00,21.6,22.08,21.6,22.06,130,600,0
2023-11-07 11:00:00,21.96,22.28,21.96,22.18,93,200,0
2023-11-07 12:00:00,22.2,22.28,22.1,22.18,114,200,0
2023-11-07 13:00:00,22.2,22.22,22.08,22.2,119,200,0
2023-11-07 14:00:00,22.2,22.32,22.18,22.22,96,200,0
2023-11-07 15:00:00,22.24,22.32,22.18,22.26,121,200,0
2023-11-07 16:00:00,22.26,22.34,22.12,22.24,144,200,0
2023-11-07 17:00:00,22.26,22.34,22.14,22.3,128,200,0
2023-11-07 18:00:00,22.28,22.34,22.16,22.2,69,200,0
2023-11-08 10:00:00,21.96,22.16,21.86,22.04,146,400,0
2023-11-08 11:00:00,22.04,22.2,22.04,22.2,60,400,0
2023-11-08 12:00:00,22.16,22.22,22.1,22.2,57,400,0
2023-11-08 13:00:00,22.16,22.22,22.12,22.12,51,200,0
2023-11-08 14:00:00,22.14,22.2,22.1,22.16,68,200,0
2023-11-08 15:00:00,22.16,22.18,22.08,22.08,69,200,0
2023-11-08 16:00:00,22.08,22.34,22.08,22.28,90,200,0
2023-11-08 17:00:00,22.3,22.34,22.24,22.3,82,200,0
2023-11-08 18:00:00,22.24,22.28,22.16,22.24,34,200,0
2023-11-09 10:00:00,22.04,22.24,22.02,22.06,100,400,0
2023-11-09 11:00:00,22.06,22.18,22.0,22.12,104,200,0
2023-11-09 12:00:00,22.1,22.32,22.06,22.26,93,400,0
2023-11-09 13:00:00,22.28,22.3,22.2,22.26,81,200,0
2023-11-09 14:00:00,22.28,22.34,22.24,22.34,82,400,0
2023-11-09 15:00:00,22.34,22.46,22.28,22.42,88,200,0
2023-11-09 16:00:00,22.44,22.56,22.4,22.52,87,200,0
2023-11-09 17:00:00,22.5,22.64,22.44,22.6,159,200,0
2023-11-09 18:00:00,22.58,22.66,22.58,22.66,55,200,0
2023-11-10 10:00:00,22.08,22.28,22.08,22.14,91,600,0
2023-11-10 11:00:00,22.12,22.14,21.92,21.96,120,400,0
2023-11-10 12:00:00,21.94,21.96,21.78,21.78,48,400,0
2023-11-10 13:00:00,21.86,21.86,21.78,21.8,62,400,0
2023-11-10 14:00:00,21.8,21.86,21.8,21.84,58,200,0
2023-11-10 15:00:00,21.88,22.04,21.82,21.96,138,400,0
2023-11-10 16:00:00,21.94,22.08,21.94,22.04,124,400,0
2023-11-10 17:00:00,22.06,22.08,21.96,22.0,113,200,0
2023-11-10 18:00:00,22.0,22.08,21.96,22.08,66,200,0
2023-11-13 10:00:00,22.06,22.4,22.06,22.34,103,400,0
2023-11-13 11:00:00,22.38,22.38,22.26,22.26,62,400,0
2023-11-13 12:00:00,22.26,22.34,22.16,22.26,65,400,0
2023-11-13 13:00:00,22.24,22.28,22.1,22.14,59,400,0
2023-11-13 14:00:00,22.16,22.16,22.0,22.08,65,400,0
2023-11-13 15:00:00,22.04,22.2,22.04,22.12,72,200,0
2023-11-13 16:00:00,22.12,22.48,22.1,22.42,139,200,0
2023-11-13 17:00:00,22.44,22.46,22.22,22.38,149,200,0
2023-11-13 18:00:00,22.3,22.38,22.3,22.36,30,200,0
2023-11-14 10:00:00,22.32,22.46,22.16,22.46,72,600,0
2023-11-14 11:00:00,22.46,22.7,22.36,22.56,125,400,0
2023-11-14 12:00:00,22.56,22.66,22.52,22.6,106,200,0
2023-11-14 13:00:00,22.64,22.64,22.46,22.46,58,400,0
2023-11-14 14:00:00,22.46,22.6,22.44,22.48,114,200,0
2023-11-14 15:00:00,22.42,23.04,22.4,22.82,150,400,0
2023-11-14 16:00:00,22.84,23.18,22.84,23.14,170,200,0
2023-11-14 17:00:00,23.14,23.4,23.1,23.36,118,200,0
2023-11-14 18:00:00,23.3,23.5,23.28,23.5,64,200,0
2023-11-15 10:00:00,23.66,24.54,23.64,24.5,245,200,0
2023-11-15 11:00:00,24.58,24.62,24.08,24.14,248,200,0
2023-11-15 12:00:00,24.14,24.24,23.98,24.02,233,200,0
2023-11-15 13:00:00,24.12,24.24,23.98,24.24,158,200,0
2023-11-15 14:00:00,24.24,24.24,24.08,24.14,97,200,0
2023-11-15 15:00:00,24.1,24.16,23.8,23.9,221,200,0
2023-11-15 16:00:00,23.9,24.08,23.82,24.04,205,200,0
2023-11-15 17:00:00,23.98,24.08,23.82,23.9,156,200,0
2023-11-15 18:00:00,23.9,24.0,23.82,23.86,56,200,0
2023-11-16 10:00:00,23.84,23.9,23.74,23.86,106,400,0
2023-11-16 11:00:00,23.84,23.88,23.5,23.62,129,400,0
2023-11-16 12:00:00,23.62,23.74,23.58,23.64,143,200,0
2023-11-16 13:00:00,23.64,23.68,23.58,23.6,87,400,0
2023-11-16 14:00:00,23.62,23.62,23.46,23.54,81,200,0
2023-11-16 15:00:00,23.54,23.72,23.52,23.6,118,200,0
2023-11-16 16:00:00,23.6,23.7,23.5,23.54,120,200,0
2023-11-16 17:00:00,23.54,23.6,23.38,23.46,166,200,0
