time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,42.07,42.25,41.83,42.03,177,200,0
2023-11-03 12:00:00,42.2,42.25,41.93,42.06,152,300,0
2023-11-03 13:00:00,42.06,42.14,41.95,42.06,113,200,0
2023-11-03 14:00:00,42.15,42.24,41.99,42.21,102,200,0
2023-11-03 15:00:00,42.18,42.62,42.11,42.51,210,200,0
2023-11-03 16:00:00,42.57,42.79,42.37,42.68,319,100,0
2023-11-03 17:00:00,42.75,42.83,42.46,42.53,358,100,0
2023-11-03 18:00:00,42.53,42.62,42.24,42.29,331,100,0
2023-11-03 19:00:00,42.29,42.37,42.19,42.29,152,100,0
2023-11-06 10:00:00,42.49,42.49,41.9,41.98,187,300,0
2023-11-06 11:00:00,41.98,42.12,41.88,41.96,165,200,0
2023-11-06 12:00:00,41.91,42.05,41.88,41.98,156,200,0
2023-11-06 13:00:00,42.01,42.04,41.83,41.94,105,300,0
2023-11-06 14:00:00,41.94,42.04,41.82,42.0,118,200,0
2023-11-06 15:00:00,41.98,42.1,41.9,42.02,161,200,0
2023-11-06 16:00:00,42.03,42.08,41.74,41.83,223,100,0
2023-11-06 17:00:00,41.89,42.0,41.75,41.95,224,100,0
2023-11-06 18:00:00,41.97,42.0,41.85,41.88,125,100,0
2023-11-07 10:00:00,41.99,42.2,41.76,42.12,220,300,0
2023-11-07 11:00:00,42.14,42.48,41.94,42.21,214,100,0
2023-11-07 12:00:00,42.21,42.35,42.13,42.25,175,100,0
2023-11-07 13:00:00,42.24,42.29,42.18,42.22,151,100,0
2023-11-07 14:00:00,42.22,42.32,42.17,42.24,171,200,0
2023-11-07 15:00:00,42.24,42.42,42.14,42.32,147,100,0
2023-11-07 16:00:00,42.32,42.42,42.28,42.38,151,200,0
2023-11-07 17:00:00,42.38,42.44,42.21,42.37,201,100,0
2023-11-07 18:00:00,42.37,42.41,42.22,42.26,98,100,0
2023-11-08 10:00:00,42.28,42.34,42.0,42.26,223,300,0
2023-11-08 11:00:00,42.29,42.33,42.18,42.25,181,300,0
2023-11-08 12:00:00,42.29,42.36,42.18,42.36,141,200,0
2023-11-08 13:00:00,42.35,42.36,42.24,42.3,95,100,0
2023-11-08 14:00:00,42.33,42.35,42.18,42.3,88,200,0
2023-11-08 15:00:00,42.3,42.36,42.13,42.3,147,200,0
2023-11-08 16:00:00,42.3,42.58,42.29,42.55,204,100,0
2023-11-08 17:00:00,42.56,42.57,42.34,42.5,215,100,0
2023-11-08 18:00:00,42.48,42.48,42.34,42.42,131,100,0
2023-11-09 10:00:00,42.43,42.52,42.19,42.27,159,300,0
2023-11-09 11:00:00,42.27,42.51,42.27,42.44,131,200,0
2023-11-09 12:00:00,42.51,42.7,42.44,42.66,170,200,0
2023-11-09 13:00:00,42.66,42.74,42.55,42.72,146,100,0
2023-11-09 14:00:00,42.72,42.76,42.59,42.72,125,200,0
2023-11-09 15:00:00,42.76,42.89,42.64,42.82,220,100,0
2023-11-09 16:00:00,42.85,43.07,42.64,42.96,252,100,0
2023-11-09 17:00:00,42.96,43.07,42.73,42.87,283,100,0
2023-11-09 18:00:00,42.8,42.95,42.8,42.83,129,100,0
2023-11-10 10:00:00,42.31,42.65,42.3,42.41,250,200,0
2023-11-10 11:00:00,42.25,42.41,42.11,42.17,217,200,0
2023-11-10 12:00:00,42.15,42.18,41.89,41.96,198,100,0
2023-11-10 13:00:00,41.91,41.99,41.82,41.88,144,300,0
2023-11-10 14:00:00,41.83,42.12,41.83,42.07,169,200,0
2023-11-10 15:00:00,42.1,42.35,42.05,42.22,189,100,0
2023-11-10 16:00:00,42.26,42.36,42.09,42.19,270,100,0
2023-11-10 17:00:00,42.2,42.38,42.08,42.26,276,100,0
2023-11-10 18:00:00,42.34,42.47,42.26,42.46,89,100,0
2023-11-13 10:00:00,42.45,42.71,42.41,42.59,182,500,0
2023-11-13 11:00:00,42.61,42.71,42.49,42.61,181,400,0
2023-11-13 12:00:00,42.6,42.67,42.48,42.53,124,200,0
2023-11-13 13:00:00,42.52,42.66,42.43,42.58,140,300,0
2023-11-13 14:00:00,42.57,42.62,42.4,42.57,116,200,0
2023-11-13 15:00:00,42.5,42.71,42.4,42.6,165,200,0
2023-11-13 16:00:00,42.66,42.91,42.51,42.67,269,200,0
2023-11-13 17:00:00,42.68,42.95,42.65,42.95,263,100,0
2023-11-13 18:00:00,42.83,43.03,42.77,42.99,138,100,0
2023-11-14 10:00:00,42.94,43.1,42.69,43.01,177,300,0
2023-11-14 11:00:00,42.94,43.24,42.94,43.07,192,100,0
2023-11-14 12:00:00,43.14,43.2,42.98,43.07,164,200,0
2023-11-14 13:00:00,43.07,43.09,42.86,42.95,132,200,0
2023-11-14 14:00:00,42.86,43.04,42.84,42.9,123,400,0
2023-11-14 15:00:00,42.9,43.58,42.83,43.48,205,200,0
2023-11-14 16:00:00,43.48,43.91,43.38,43.82,244,200,0
2023-11-14 17:00:00,43.82,44.29,43.78,44.23,280,100,0
2023-11-14 18:00:00,44.23,44.36,44.14,44.3,145,100,0
2023-11-15 10:00:00,44.91,45.57,44.85,45.57,316,200,0
2023-11-15 11:00:00,45.6,45.69,44.97,45.12,329,100,0
2023-11-15 12:00:00,45.11,45.26,44.97,45.2,305,100,0
2023-11-15 13:00:00,45.2,45.4,45.07,45.39,196,100,0
2023-11-15 14:00:00,45.36,45.41,45.23,45.23,196,100,0
2023-11-15 15:00:00,45.23,45.4,44.76,44.87,214,200,0
2023-11-15 16:00:00,44.84,45.08,44.76,45.0,307,200,0
2023-11-15 17:00:00,44.98,45.06,44.59,44.93,316,100,0
2023-11-15 18:00:00,44.93,44.95,44.66,44.78,149,100,0
2023-11-16 10:00:00,44.66,44.97,44.49,44.88,150,300,0
2023-11-16 11:00:00,44.91,44.96,44.49,44.65,182,100,0
2023-11-16 12:00:00,44.61,44.85,44.61,44.68,224,100,0
2023-11-16 13:00:00,44.7,44.76,44.6,44.66,192,100,0
2023-11-16 14:00:00,44.66,44.71,44.41,44.43,220,100,0
2023-11-16 15:00:00,44.45,44.78,44.31,44.71,271,100,0
2023-11-16 16:00:00,44.71,44.72,44.46,44.66,274,100,0
2023-11-16 17:00:00,44.66,44.68,44.32,44.47,353,100,0
2023-11-16 18:00:00,44.36,44.52,44.33,44.43,172,100,0
2023-11-17 10:00:00,44.52,44.97,44.48,44.9,292,300,0
2023-11-17 11:00:00,44.9,45.11,44.82,44.92,221,200,0
2023-11-17 12:00:00,44.94,45.17,44.87,45.11,148,200,0
2023-11-17 13:00:00,45.12,45.13,44.82,44.85,126,200,0
2023-11-17 14:00:00,44.91,45.0,44.82,44.88,106,100,0
2023-11-17 15:00:00,44.88,45.12,44.88,45.12,148,200,0
2023-11-17 16:00:00,45.13,45.31,44.96,45.12,289,200,0
2023-11-17 17:00:00,45.13,45.33,45.1,45.31,283,100,0
2023-11-17 18:00:00,45.31,45.38,45.23,45.3,120,100,0
2023-11-20 10:00:00,45.07,45.29,45.02,45.16,186,100,0
2023-11-20 11:00:00,45.18,45.32,45.12,45.25,166,100,0
2023-11-20 12:00:00,45.25,45.39,45.25,45.31,123,200,0
2023-11-20 13:00:00,45.25,45.38,45.18,45.24,120,200,0
2023-11-20 14:00:00,45.26,45.33,45.19,45.22,155,200,0
