time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,10.08,10.24,10.06,10.21,104,400,0
2023-11-03 12:00:00,10.21,10.34,10.21,10.32,96,300,0
2023-11-03 13:00:00,10.31,10.38,10.29,10.38,103,100,0
2023-11-03 14:00:00,10.37,10.39,10.25,10.36,78,200,0
2023-11-03 15:00:00,10.35,10.51,10.35,10.49,77,200,0
2023-11-03 16:00:00,10.49,10.54,10.46,10.54,99,100,0
2023-11-03 17:00:00,10.56,10.57,10.49,10.49,101,200,0
2023-11-03 18:00:00,10.51,10.55,10.49,10.54,105,100,0
2023-11-03 19:00:00,10.55,10.58,10.52,10.55,54,100,0
2023-11-06 10:00:00,10.45,10.45,10.28,10.38,79,300,0
2023-11-06 11:00:00,10.41,10.42,10.33,10.36,81,200,0
2023-11-06 12:00:00,10.36,10.42,10.33,10.39,73,200,0
2023-11-06 13:00:00,10.38,10.39,10.29,10.35,71,200,0
2023-11-06 14:00:00,10.33,10.39,10.29,10.39,67,100,0
2023-11-06 15:00:00,10.39,10.39,10.32,10.33,55,100,0
2023-11-06 16:00:00,10.33,10.36,10.16,10.19,118,200,0
2023-11-06 17:00:00,10.19,10.27,10.15,10.27,109,100,0
2023-11-06 18:00:00,10.23,10.27,10.23,10.23,44,200,0
2023-11-07 10:00:00,10.26,10.34,10.17,10.2,135,300,0
2023-11-07 11:00:00,10.2,10.35,10.2,10.33,88,300,0
2023-11-07 12:00:00,10.3,10.41,10.3,10.38,70,200,0
2023-11-07 13:00:00,10.38,10.38,10.32,10.37,75,200,0
2023-11-07 14:00:00,10.35,10.37,10.31,10.36,77,200,0
2023-11-07 15:00:00,10.36,10.39,10.34,10.34,81,200,0
2023-11-07 16:00:00,10.34,10.45,10.34,10.39,135,200,0
2023-11-07 17:00:00,10.38,10.42,10.32,10.39,153,100,0
2023-11-07 18:00:00,10.39,10.42,10.33,10.36,58,100,0
2023-11-08 10:00:00,10.16,10.29,10.14,10.29,125,200,0
2023-11-08 11:00:00,10.26,10.35,10.22,10.33,70,200,0
2023-11-08 12:00:00,10.33,10.35,10.29,10.34,40,200,0
2023-11-08 13:00:00,10.33,10.37,10.33,10.35,37,100,0
2023-11-08 14:00:00,10.34,10.39,10.33,10.38,48,100,0
2023-11-08 15:00:00,10.4,10.44,10.38,10.43,65,100,0
2023-11-08 16:00:00,10.41,10.49,10.39,10.46,103,200,0
2023-11-08 17:00:00,10.45,10.51,10.44,10.44,108,200,0
2023-11-08 18:00:00,10.44,10.48,10.34,10.4,71,200,0
2023-11-09 10:00:00,10.3,10.38,10.25,10.35,102,200,0
2023-11-09 11:00:00,10.28,10.35,10.17,10.28,93,200,0
2023-11-09 12:00:00,10.24,10.36,10.24,10.33,83,300,0
2023-11-09 13:00:00,10.33,10.38,10.28,10.31,43,200,0
2023-11-09 14:00:00,10.31,10.45,10.28,10.34,119,200,0
2023-11-09 15:00:00,10.31,10.49,10.31,10.42,151,300,0
2023-11-09 16:00:00,10.42,10.52,10.33,10.45,100,200,0
2023-11-09 17:00:00,10.45,10.48,10.39,10.43,70,200,0
2023-11-09 18:00:00,10.42,10.48,10.42,10.46,37,200,0
2023-11-10 10:00:00,10.2,10.29,10.12,10.26,111,400,0
2023-11-10 11:00:00,10.28,10.29,10.24,10.24,46,200,0
2023-11-10 12:00:00,10.24,10.25,10.24,10.24,17,400,0
2023-11-10 13:00:00,10.24,10.26,10.21,10.26,18,200,0
2023-11-10 14:00:00,10.26,10.26,10.21,10.25,19,200,0
2023-11-10 15:00:00,10.24,10.32,10.21,10.27,52,100,0
2023-11-10 16:00:00,10.27,10.35,10.27,10.28,68,300,0
2023-11-10 17:00:00,10.28,10.33,10.24,10.24,183,200,0
2023-11-10 18:00:00,10.28,10.33,10.24,10.33,65,200,0
2023-11-13 10:00:00,10.37,10.41,10.23,10.38,87,300,0
2023-11-13 11:00:00,10.41,10.41,10.27,10.28,85,300,0
2023-11-13 12:00:00,10.28,10.33,10.26,10.31,57,300,0
2023-11-13 13:00:00,10.27,10.33,10.27,10.31,32,400,0
2023-11-13 14:00:00,10.31,10.33,10.23,10.23,58,200,0
2023-11-13 15:00:00,10.24,10.29,10.22,10.24,60,200,0
2023-11-13 16:00:00,10.23,10.26,10.19,10.24,65,200,0
2023-11-13 17:00:00,10.23,10.27,10.19,10.24,54,200,0
2023-11-13 18:00:00,10.23,10.24,10.13,10.19,46,200,0
2023-11-14 10:00:00,9.995,10.2,9.95,10.14,132,300,0
2023-11-14 11:00:00,10.18,10.3,10.1,10.28,119,300,0
2023-11-14 12:00:00,10.25,10.3,10.19,10.28,70,300,0
2023-11-14 13:00:00,10.25,10.28,10.14,10.16,52,300,0
2023-11-14 14:00:00,10.18,10.29,10.14,10.24,66,200,0
2023-11-14 15:00:00,10.24,10.61,10.22,10.39,113,200,0
2023-11-14 16:00:00,10.39,10.74,10.39,10.67,178,100,0
2023-11-14 17:00:00,10.7,10.84,10.67,10.83,145,100,0
2023-11-14 18:00:00,10.83,10.87,10.78,10.84,84,100,0
2023-11-15 10:00:00,10.83,11.08,10.79,10.95,130,300,0
2023-11-15 11:00:00,11.05,11.1,10.84,10.88,130,200,0
2023-11-15 12:00:00,10.95,10.98,10.82,10.88,78,200,0
2023-11-15 13:00:00,10.84,10.91,10.81,10.91,67,200,0
2023-11-15 14:00:00,10.91,10.95,10.87,10.87,74,200,0
2023-11-15 15:00:00,10.87,10.91,10.64,10.73,128,200,0
2023-11-15 16:00:00,10.73,10.78,10.68,10.77,81,100,0
2023-11-15 17:00:00,10.77,10.79,10.62,10.68,160,200,0
2023-11-15 18:00:00,10.66,10.7,10.54,10.59,100,200,0
2023-11-16 10:00:00,10.52,10.71,10.52,10.69,67,300,0
2023-11-16 11:00:00,10.71,10.71,10.46,10.53,95,200,0
2023-11-16 12:00:00,10.52,10.61,10.52,10.56,152,200,0
2023-11-16 13:00:00,10.57,10.57,10.51,10.57,45,100,0
2023-11-16 14:00:00,10.55,10.57,10.49,10.5,56,200,0
2023-11-16 15:00:00,10.5,10.57,10.47,10.57,161,100,0
2023-11-16 16:00:00,10.58,10.58,10.49,10.55,149,100,0
2023-11-16 17:00:00,10.55,10.55,10.38,10.45,140,100,0
2023-11-16 18:00:00,10.39,10.48,10.38,10.41,76,200,0
2023-11-17 10:00:00,10.47,10.61,10.45,10.55,72,300,0
2023-11-17 11:00:00,10.55,10.62,10.51,10.62,65,200,0
2023-11-17 12:00:00,10.64,10.66,10.58,10.65,74,200,0
2023-11-17 13:00:00,10.65,10.66,10.62,10.63,78,100,0
2023-11-17 14:00:00,10.63,10.66,10.62,10.62,66,200,0
2023-11-17 15:00:00,10.62,10.62,10.47,10.53,95,100,0
2023-11-17 16:00:00,10.53,10.6,10.39,10.48,131,100,0
2023-11-17 17:00:00,10.47,10.55,10.43,10.54,162,100,0
2023-11-17 18:00:00,10.51,10.57,10.45,10.54,64,100,0
2023-11-20 10:00:00,10.59,10.63,10.51,10.57,77,300,0
2023-11-20 11:00:00,10.57,10.77,10.57,10.73,122,200,0
2023-11-20 12:00:00,10.74,10.79,10.69,10.71,74,200,0
2023-11-20 13:00:00,10.7,10.74,10.66,10.71,53,200,0
2023-11-20 14:00:00,10.7,10.71,10.64,10.69,73,200,0
2023-11-20 15:00:00,10.69,10.7,10.67,10.68,46,100,0
2023-11-20 16:00:00,10.67,10.69,10.64,10.69,67,100,0
2023-11-20 17:00:00,10.66,10.69,10.64,10.64,53,100,0
2023-11-20 18:00:00,10.65,10.65,10.58,10.62,55,100,0
2023-11-21 10:00:00,10.79,11.15,10.79,11.03,93,200,0
2023-11-21 11:00:00,11.03,11.1,10.99,11.06,66,200,0
2023-11-21 12:00:00,11.04,11.14,10.98,10.99,79,200,0
2023-11-21 13:00:00,11.0,11.04,10.9,10.93,122,200,0
2023-11-21 14:00:00,10.94,10.99,10.84,10.84,87,200,0
2023-11-21 15:00:00,10.82,10.91,10.75,10.83,115,200,0
2023-11-21 16:00:00,10.78,10.84,10.67,10.71,126,200,0
2023-11-21 17:00:00,10.73,10.8,10.67,10.79,180,100,0
2023-11-21 18:00:00,10.77,10.79,10.61,10.67,90,200,0
2023-11-22 10:00:00,10.57,10.81,10.57,10.78,104,400,0
