time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,3.161,3.252,3.136,3.226,396,40,0
2023-11-03 12:00:00,3.231,3.252,3.222,3.239,337,30,0
2023-11-03 13:00:00,3.24,3.25,3.223,3.239,205,20,0
2023-11-03 14:00:00,3.231,3.24,3.216,3.231,185,20,0
2023-11-03 15:00:00,3.223,3.273,3.217,3.261,250,30,0
2023-11-03 16:00:00,3.268,3.293,3.249,3.274,369,20,0
2023-11-03 17:00:00,3.274,3.284,3.223,3.237,400,20,0
2023-11-03 18:00:00,3.237,3.251,3.206,3.231,385,20,0
2023-11-03 19:00:00,3.234,3.25,3.231,3.238,146,20,0
2023-11-06 10:00:00,3.254,3.254,3.201,3.208,388,40,0
2023-11-06 11:00:00,3.221,3.227,3.181,3.2,213,30,0
2023-11-06 12:00:00,3.195,3.226,3.181,3.211,221,10,0
2023-11-06 13:00:00,3.211,3.215,3.186,3.202,197,20,0
2023-11-06 14:00:00,3.202,3.212,3.181,3.181,175,10,0
2023-11-06 15:00:00,3.181,3.206,3.164,3.171,198,10,0
2023-11-06 16:00:00,3.171,3.182,3.136,3.146,311,20,0
2023-11-06 17:00:00,3.146,3.173,3.131,3.152,320,10,0
2023-11-06 18:00:00,3.152,3.152,3.134,3.143,128,10,0
2023-11-07 10:00:00,3.122,3.164,3.119,3.154,234,20,0
2023-11-07 11:00:00,3.135,3.186,3.135,3.164,216,20,0
2023-11-07 12:00:00,3.164,3.196,3.155,3.169,181,40,0
2023-11-07 13:00:00,3.169,3.173,3.141,3.164,194,10,0
2023-11-07 14:00:00,3.151,3.17,3.144,3.165,176,20,0
2023-11-07 15:00:00,3.163,3.174,3.151,3.168,252,20,0
2023-11-07 16:00:00,3.159,3.18,3.155,3.176,306,20,0
2023-11-07 17:00:00,3.177,3.183,3.155,3.183,272,20,0
2023-11-07 18:00:00,3.178,3.183,3.156,3.168,161,10,0
2023-11-08 10:00:00,3.155,3.187,3.143,3.167,278,40,0
2023-11-08 11:00:00,3.162,3.182,3.153,3.176,233,40,0
2023-11-08 12:00:00,3.176,3.18,3.158,3.166,144,20,0
2023-11-08 13:00:00,3.166,3.181,3.163,3.163,118,20,0
2023-11-08 14:00:00,3.169,3.176,3.163,3.175,125,20,0
2023-11-08 15:00:00,3.167,3.185,3.163,3.165,215,30,0
2023-11-08 16:00:00,3.176,3.187,3.159,3.181,275,20,0
2023-11-08 17:00:00,3.175,3.187,3.154,3.158,292,20,0
2023-11-08 18:00:00,3.158,3.165,3.147,3.154,118,20,0
2023-11-09 10:00:00,3.146,3.157,3.098,3.099,292,100,0
2023-11-09 11:00:00,3.101,3.137,3.098,3.117,222,60,0
2023-11-09 12:00:00,3.105,3.144,3.104,3.135,190,60,0
2023-11-09 13:00:00,3.135,3.139,3.12,3.123,169,20,0
2023-11-09 14:00:00,3.12,3.16,3.12,3.151,207,30,0
2023-11-09 15:00:00,3.152,3.177,3.144,3.163,202,40,0
2023-11-09 16:00:00,3.165,3.176,3.157,3.169,153,20,0
2023-11-09 17:00:00,3.169,3.179,3.135,3.149,309,20,0
2023-11-09 18:00:00,3.149,3.162,3.137,3.144,134,20,0
2023-11-10 10:00:00,3.086,3.095,3.062,3.069,310,40,0
2023-11-10 11:00:00,3.07,3.087,3.069,3.081,154,50,0
2023-11-10 12:00:00,3.084,3.101,3.079,3.095,168,20,0
2023-11-10 13:00:00,3.095,3.1,3.076,3.084,144,40,0
2023-11-10 14:00:00,3.086,3.096,3.071,3.09,192,20,0
2023-11-10 15:00:00,3.09,3.12,3.084,3.112,203,30,0
2023-11-10 16:00:00,3.111,3.12,3.097,3.116,168,30,0
2023-11-10 17:00:00,3.116,3.126,3.095,3.112,266,30,0
2023-11-10 18:00:00,3.113,3.151,3.113,3.144,166,20,0
2023-11-13 10:00:00,3.152,3.33,3.152,3.318,439,100,0
2023-11-13 11:00:00,3.318,3.325,3.277,3.277,286,90,0
2023-11-13 12:00:00,3.278,3.299,3.267,3.294,232,80,0
2023-11-13 13:00:00,3.294,3.301,3.252,3.255,183,80,0
2023-11-13 14:00:00,3.255,3.262,3.232,3.232,166,90,0
2023-11-13 15:00:00,3.232,3.259,3.204,3.219,235,90,0
2023-11-13 16:00:00,3.222,3.243,3.201,3.227,250,20,0
2023-11-13 17:00:00,3.204,3.23,3.201,3.209,238,30,0
2023-11-13 18:00:00,3.213,3.222,3.187,3.191,126,40,0
2023-11-14 10:00:00,3.209,3.246,3.177,3.222,303,60,0
2023-11-14 11:00:00,3.222,3.267,3.221,3.263,268,40,0
2023-11-14 12:00:00,3.253,3.276,3.243,3.262,216,30,0
2023-11-14 13:00:00,3.264,3.293,3.256,3.283,184,30,0
2023-11-14 14:00:00,3.274,3.31,3.27,3.292,207,30,0
2023-11-14 15:00:00,3.289,3.403,3.286,3.401,599,20,0
2023-11-14 16:00:00,3.372,3.464,3.362,3.448,643,10,0
2023-11-14 17:00:00,3.448,3.492,3.43,3.474,395,10,0
2023-11-14 18:00:00,3.474,3.497,3.461,3.485,163,10,0
2023-11-15 10:00:00,3.56,3.694,3.53,3.692,651,20,0
2023-11-15 11:00:00,3.697,3.704,3.63,3.64,575,20,0
2023-11-15 12:00:00,3.64,3.66,3.61,3.622,462,30,0
2023-11-15 13:00:00,3.624,3.639,3.591,3.611,425,10,0
2023-11-15 14:00:00,3.613,3.631,3.597,3.609,345,20,0
2023-11-15 15:00:00,3.609,3.616,3.557,3.584,478,10,0
2023-11-15 16:00:00,3.584,3.606,3.563,3.603,459,20,0
2023-11-15 17:00:00,3.603,3.619,3.574,3.587,474,10,0
2023-11-15 18:00:00,3.587,3.602,3.557,3.565,190,20,0
2023-11-16 10:00:00,3.507,3.583,3.499,3.563,356,60,0
2023-11-16 11:00:00,3.563,3.566,3.506,3.506,399,40,0
2023-11-16 12:00:00,3.507,3.542,3.506,3.524,281,50,0
