time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.54,8.625,8.475,8.59,225,50,0
2023-11-03 12:00:00,8.59,8.62,8.57,8.575,75,50,0
2023-11-03 13:00:00,8.59,8.6,8.57,8.585,86,50,0
2023-11-03 14:00:00,8.595,8.6,8.58,8.585,47,50,0
2023-11-03 15:00:00,8.58,8.615,8.55,8.595,74,50,0
2023-11-03 16:00:00,8.595,8.62,8.58,8.615,102,50,0
2023-11-03 17:00:00,8.61,8.625,8.565,8.61,109,50,0
2023-11-03 18:00:00,8.615,8.62,8.57,8.59,53,50,0
2023-11-03 19:00:00,8.575,8.595,8.55,8.575,27,50,0
2023-11-06 10:00:00,8.465,8.585,8.435,8.565,164,150,0
2023-11-06 11:00:00,8.565,8.585,8.545,8.565,58,150,0
2023-11-06 12:00:00,8.56,8.57,8.555,8.555,27,50,0
2023-11-06 13:00:00,8.555,8.555,8.535,8.535,31,100,0
2023-11-06 14:00:00,8.555,8.555,8.515,8.54,74,100,0
2023-11-06 15:00:00,8.54,8.565,8.535,8.55,67,50,0
2023-11-06 16:00:00,8.555,8.565,8.525,8.525,79,50,0
2023-11-06 17:00:00,8.525,8.555,8.525,8.54,107,50,0
2023-11-06 18:00:00,8.54,8.55,8.525,8.54,41,50,0
2023-11-07 10:00:00,8.485,8.535,8.45,8.525,119,50,0
2023-11-07 11:00:00,8.525,8.55,8.5,8.525,112,50,0
2023-11-07 12:00:00,8.545,8.555,8.52,8.535,87,50,0
2023-11-07 13:00:00,8.535,8.535,8.48,8.5,76,50,0
2023-11-07 14:00:00,8.5,8.505,8.47,8.5,97,50,0
2023-11-07 15:00:00,8.49,8.505,8.485,8.49,64,50,0
2023-11-07 16:00:00,8.49,8.525,8.485,8.5,129,50,0
2023-11-07 17:00:00,8.5,8.52,8.49,8.51,111,50,0
2023-11-07 18:00:00,8.515,8.515,8.49,8.505,49,50,0
2023-11-08 10:00:00,8.45,8.515,8.43,8.51,143,50,0
2023-11-08 11:00:00,8.495,8.55,8.49,8.505,109,50,0
2023-11-08 12:00:00,8.525,8.54,8.47,8.475,90,50,0
2023-11-08 13:00:00,8.47,8.5,8.46,8.495,49,50,0
2023-11-08 14:00:00,8.495,8.515,8.48,8.505,102,50,0
2023-11-08 15:00:00,8.495,8.515,8.47,8.485,107,50,0
2023-11-08 16:00:00,8.485,8.54,8.48,8.54,91,50,0
2023-11-08 17:00:00,8.535,8.54,8.505,8.515,78,50,0
2023-11-08 18:00:00,8.525,8.525,8.505,8.51,55,50,0
2023-11-09 10:00:00,8.43,8.545,8.425,8.53,123,100,0
2023-11-09 11:00:00,8.525,8.545,8.51,8.535,82,100,0
2023-11-09 12:00:00,8.515,8.57,8.51,8.555,65,50,0
2023-11-09 13:00:00,8.545,8.575,8.545,8.55,56,50,0
2023-11-09 14:00:00,8.57,8.585,8.55,8.57,58,50,0
2023-11-09 15:00:00,8.585,8.62,8.575,8.605,48,50,0
2023-11-09 16:00:00,8.615,8.62,8.58,8.585,81,50,0
2023-11-09 17:00:00,8.585,8.595,8.53,8.565,96,50,0
2023-11-09 18:00:00,8.565,8.595,8.56,8.575,58,50,0
2023-11-10 10:00:00,8.47,8.495,8.375,8.405,216,50,0
2023-11-10 11:00:00,8.405,8.43,8.375,8.41,142,50,0
2023-11-10 12:00:00,8.4,8.42,8.345,8.355,128,50,0
2023-11-10 13:00:00,8.35,8.41,8.335,8.41,123,50,0
2023-11-10 14:00:00,8.405,8.43,8.4,8.405,105,50,0
2023-11-10 15:00:00,8.41,8.425,8.38,8.42,115,50,0
2023-11-10 16:00:00,8.415,8.44,8.36,8.365,95,50,0
2023-11-10 17:00:00,8.37,8.395,8.345,8.36,113,50,0
2023-11-10 18:00:00,8.36,8.405,8.36,8.4,73,50,0
2023-11-13 10:00:00,8.36,8.45,8.31,8.425,120,50,0
2023-11-13 11:00:00,8.435,8.46,8.42,8.45,75,50,0
2023-11-13 12:00:00,8.45,8.465,8.435,8.465,75,50,0
2023-11-13 13:00:00,8.465,8.465,8.405,8.425,64,50,0
2023-11-13 14:00:00,8.43,8.455,8.405,8.425,48,50,0
2023-11-13 15:00:00,8.43,8.45,8.405,8.435,51,50,0
2023-11-13 16:00:00,8.43,8.465,8.415,8.45,100,50,0
2023-11-13 17:00:00,8.45,8.5,8.445,8.485,104,50,0
2023-11-13 18:00:00,8.485,8.5,8.47,8.47,46,50,0
2023-11-14 10:00:00,8.375,8.445,8.375,8.425,116,50,0
2023-11-14 11:00:00,8.42,8.45,8.415,8.415,87,50,0
2023-11-14 12:00:00,8.415,8.45,8.385,8.435,114,50,0
2023-11-14 13:00:00,8.445,8.45,8.42,8.43,104,50,0
2023-11-14 14:00:00,8.425,8.44,8.41,8.425,74,50,0
2023-11-14 15:00:00,8.43,8.5,8.425,8.47,129,0,0
2023-11-14 16:00:00,8.47,8.485,8.43,8.445,120,50,0
2023-11-14 17:00:00,8.445,8.48,8.42,8.455,133,50,0
2023-11-14 18:00:00,8.465,8.47,8.45,8.45,58,50,0
2023-11-15 10:00:00,8.51,8.57,8.48,8.57,128,100,0
2023-11-15 11:00:00,8.57,8.575,8.465,8.485,117,50,0
2023-11-15 12:00:00,8.485,8.52,8.465,8.51,82,50,0
2023-11-15 13:00:00,8.51,8.535,8.49,8.52,93,100,0
2023-11-15 14:00:00,8.52,8.535,8.51,8.535,46,50,0
2023-11-15 15:00:00,8.535,8.545,8.51,8.525,81,50,0
2023-11-15 16:00:00,8.525,8.555,8.5,8.55,106,50,0
2023-11-15 17:00:00,8.55,8.555,8.42,8.445,138,50,0
2023-11-15 18:00:00,8.445,8.47,8.425,8.445,72,50,0
2023-11-16 10:00:00,8.375,8.47,8.3,8.43,95,100,0
2023-11-16 11:00:00,8.435,8.435,8.375,8.38,101,50,0
2023-11-16 12:00:00,8.38,8.42,8.355,8.365,89,50,0
2023-11-16 13:00:00,8.36,8.395,8.36,8.375,91,50,0
2023-11-16 14:00:00,8.375,8.39,8.33,8.34,83,50,0
2023-11-16 15:00:00,8.335,8.365,8.33,8.36,95,50,0
2023-11-16 16:00:00,8.345,8.365,8.32,8.365,97,50,0
2023-11-16 17:00:00,8.365,8.375,8.345,8.365,114,50,0
2023-11-16 18:00:00,8.36,8.375,8.31,8.34,49,50,0
2023-11-17 10:00:00,8.165,8.385,8.165,8.37,119,50,0
2023-11-17 11:00:00,8.375,8.395,8.35,8.385,87,50,0
2023-11-17 12:00:00,8.365,8.415,8.36,8.415,105,100,0
2023-11-17 13:00:00,8.415,8.415,8.38,8.385,92,50,0
2023-11-17 14:00:00,8.385,8.385,8.35,8.365,44,100,0
2023-11-17 15:00:00,8.365,8.37,8.32,8.37,95,50,0
2023-11-17 16:00:00,8.375,8.415,8.345,8.375,129,50,0
2023-11-17 17:00:00,8.37,8.39,8.365,8.38,77,50,0
2023-11-17 18:00:00,8.375,8.4,8.375,8.4,39,50,0
2023-11-20 10:00:00,8.29,8.375,8.26,8.355,91,150,0
2023-11-20 11:00:00,8.355,8.37,8.325,8.335,81,50,0
