time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,29.4,29.51,29.3,29.4,173,100,0
2023-11-03 12:00:00,29.36,29.51,29.31,29.36,171,100,0
2023-11-03 13:00:00,29.31,29.38,29.22,29.32,123,200,0
2023-11-03 14:00:00,29.31,29.39,29.31,29.34,77,100,0
2023-11-03 15:00:00,29.35,29.45,29.3,29.38,153,100,0
2023-11-03 16:00:00,29.42,29.45,29.18,29.32,210,100,0
2023-11-03 17:00:00,29.32,29.38,29.21,29.25,304,100,0
2023-11-03 18:00:00,29.25,29.32,29.08,29.2,200,100,0
2023-11-03 19:00:00,29.24,29.24,29.1,29.21,99,100,0
2023-11-06 10:00:00,29.05,29.17,28.81,28.89,236,200,0
2023-11-06 11:00:00,28.84,28.91,28.62,28.68,160,100,0
2023-11-06 12:00:00,28.7,28.77,28.42,28.5,180,100,0
2023-11-06 13:00:00,28.44,28.61,28.39,28.55,133,100,0
2023-11-06 14:00:00,28.58,28.62,28.52,28.6,99,100,0
2023-11-06 15:00:00,28.6,28.73,28.52,28.71,123,100,0
2023-11-06 16:00:00,28.67,28.73,28.55,28.64,207,100,0
2023-11-06 17:00:00,28.64,28.8,28.55,28.79,228,100,0
2023-11-06 18:00:00,28.78,28.81,28.62,28.7,129,100,0
2023-11-07 10:00:00,28.58,28.98,28.58,28.97,250,100,0
2023-11-07 11:00:00,28.97,28.99,28.84,28.92,176,100,0
2023-11-07 12:00:00,28.92,28.99,28.88,28.98,155,100,0
2023-11-07 13:00:00,28.98,29.04,28.88,29.04,144,100,0
2023-11-07 14:00:00,29.02,29.15,28.99,29.13,155,100,0
2023-11-07 15:00:00,29.13,29.2,29.12,29.18,149,100,0
2023-11-07 16:00:00,29.18,29.25,29.16,29.2,188,100,0
2023-11-07 17:00:00,29.21,29.23,28.99,29.14,254,100,0
2023-11-07 18:00:00,29.16,29.16,29.0,29.07,132,100,0
2023-11-08 10:00:00,28.9,29.03,28.73,28.99,277,100,0
2023-11-08 11:00:00,28.99,29.03,28.89,28.98,172,100,0
2023-11-08 12:00:00,28.98,29.05,28.9,29.05,148,100,0
2023-11-08 13:00:00,29.05,29.11,29.01,29.08,95,100,0
2023-11-08 14:00:00,29.08,29.11,29.02,29.09,132,100,0
2023-11-08 15:00:00,29.09,29.11,29.07,29.1,143,100,0
2023-11-08 16:00:00,29.1,29.19,29.08,29.18,165,100,0
2023-11-08 17:00:00,29.18,29.21,29.06,29.16,191,100,0
2023-11-08 18:00:00,29.14,29.17,29.13,29.17,62,100,0
2023-11-09 10:00:00,29.13,29.28,29.12,29.24,186,100,0
2023-11-09 11:00:00,29.23,29.27,29.14,29.15,149,100,0
2023-11-09 12:00:00,29.15,29.28,29.14,29.25,128,100,0
2023-11-09 13:00:00,29.25,29.28,29.21,29.21,100,100,0
2023-11-09 14:00:00,29.25,29.31,29.2,29.29,135,100,0
2023-11-09 15:00:00,29.28,29.43,29.28,29.37,187,100,0
2023-11-09 16:00:00,29.38,29.43,29.31,29.34,207,100,0
2023-11-09 17:00:00,29.36,29.36,29.24,29.28,234,100,0
2023-11-09 18:00:00,29.28,29.38,29.27,29.36,102,100,0
2023-11-10 10:00:00,29.33,29.38,29.19,29.23,231,200,0
2023-11-10 11:00:00,29.24,29.31,29.04,29.16,196,100,0
2023-11-10 12:00:00,29.16,29.17,28.97,29.04,233,100,0
2023-11-10 13:00:00,29.05,29.11,29.0,29.02,250,100,0
2023-11-10 14:00:00,29.03,29.11,29.0,29.01,169,100,0
2023-11-10 15:00:00,29.04,29.14,29.0,29.12,157,100,0
2023-11-10 16:00:00,29.1,29.17,29.07,29.14,229,100,0
2023-11-10 17:00:00,29.1,29.14,29.03,29.05,221,100,0
2023-11-10 18:00:00,29.09,29.19,29.05,29.16,118,100,0
2023-11-13 10:00:00,29.28,29.37,29.14,29.31,236,100,0
2023-11-13 11:00:00,29.33,29.39,29.3,29.33,160,100,0
2023-11-13 12:00:00,29.34,29.38,29.29,29.32,112,100,0
2023-11-13 13:00:00,29.35,29.38,29.26,29.26,178,100,0
2023-11-13 14:00:00,29.27,29.45,29.26,29.4,227,100,0
2023-11-13 15:00:00,29.45,29.45,29.32,29.42,151,100,0
2023-11-13 16:00:00,29.37,29.51,29.32,29.5,199,100,0
2023-11-13 17:00:00,29.46,29.6,29.45,29.55,216,100,0
2023-11-13 18:00:00,29.56,29.61,29.55,29.58,89,100,0
2023-11-14 10:00:00,29.52,29.52,29.23,29.32,221,100,0
2023-11-14 11:00:00,29.32,29.43,29.24,29.27,220,100,0
2023-11-14 12:00:00,29.37,29.44,29.25,29.4,162,100,0
2023-11-14 13:00:00,29.41,29.44,29.32,29.4,153,100,0
2023-11-14 14:00:00,29.38,29.49,29.32,29.35,138,100,0
2023-11-14 15:00:00,29.43,29.62,29.33,29.62,206,100,0
2023-11-14 16:00:00,29.62,29.63,29.46,29.55,216,100,0
2023-11-14 17:00:00,29.55,29.56,29.44,29.49,218,100,0
2023-11-14 18:00:00,29.49,29.53,29.43,29.51,115,100,0
2023-11-15 10:00:00,29.47,29.76,29.35,29.71,225,100,0
2023-11-15 11:00:00,29.76,29.91,29.55,29.6,263,100,0
2023-11-15 12:00:00,29.6,29.65,29.5,29.65,155,100,0
2023-11-15 13:00:00,29.65,29.75,29.6,29.7,132,100,0
2023-11-15 14:00:00,29.7,29.75,29.5,29.51,152,100,0
2023-11-15 15:00:00,29.63,29.68,29.46,29.56,214,100,0
2023-11-15 16:00:00,29.55,29.58,29.33,29.4,271,100,0
2023-11-15 17:00:00,29.47,29.56,29.39,29.42,236,100,0
2023-11-15 18:00:00,29.42,29.48,29.35,29.39,90,100,0
2023-11-16 10:00:00,29.39,29.42,29.23,29.37,281,200,0
2023-11-16 11:00:00,29.38,29.39,29.15,29.15,352,100,0
2023-11-16 12:00:00,29.2,29.28,29.15,29.21,189,100,0
2023-11-16 13:00:00,29.18,29.32,29.16,29.31,153,100,0
2023-11-16 14:00:00,29.31,29.31,29.19,29.2,212,100,0
2023-11-16 15:00:00,29.23,29.27,29.18,29.19,221,100,0
2023-11-16 16:00:00,29.21,29.3,29.15,29.3,360,100,0
2023-11-16 17:00:00,29.3,29.31,29.17,29.21,289,100,0
2023-11-16 18:00:00,29.22,29.26,29.08,29.15,157,100,0
2023-11-17 10:00:00,29.26,29.4,29.25,29.31,236,100,0
2023-11-17 11:00:00,29.3,29.35,29.21,29.26,189,100,0
2023-11-17 12:00:00,29.25,29.33,29.21,29.29,223,100,0
2023-11-17 13:00:00,29.28,29.32,29.26,29.29,274,100,0
2023-11-17 14:00:00,29.28,29.32,29.28,29.28,191,100,0
2023-11-17 15:00:00,29.29,29.41,29.28,29.4,198,100,0
2023-11-17 16:00:00,29.41,29.45,29.36,29.42,268,100,0
2023-11-17 17:00:00,29.43,29.5,29.36,29.46,295,100,0
2023-11-17 18:00:00,29.5,29.5,29.43,29.45,147,100,0
2023-11-20 10:00:00,29.26,29.34,28.92,29.24,342,100,0
2023-11-20 11:00:00,29.24,29.36,29.21,29.31,260,100,0
2023-11-20 12:00:00,29.31,29.36,29.29,29.33,217,100,0
2023-11-20 13:00:00,29.32,29.35,29.23,29.27,201,100,0
2023-11-20 14:00:00,29.27,29.3,29.22,29.25,170,100,0
2023-11-20 15:00:00,29.22,29.29,29.21,29.28,157,100,0
2023-11-20 16:00:00,29.28,29.34,29.17,29.19,262,100,0
2023-11-20 17:00:00,29.2,29.27,29.14,29.15,314,100,0
2023-11-20 18:00:00,29.16,29.21,29.14,29.18,118,100,0
2023-11-21 10:00:00,29.12,29.13,28.76,28.91,205,100,0
2023-11-21 11:00:00,28.91,28.93,28.63,28.72,183,100,0
2023-11-21 12:00:00,28.71,28.91,28.71,28.88,139,100,0
2023-11-21 13:00:00,28.88,28.95,28.78,28.95,141,100,0
2023-11-21 14:00:00,28.94,28.96,28.87,28.9,145,100,0
2023-11-21 15:00:00,28.87,28.96,28.87,28.95,156,100,0
2023-11-21 16:00:00,28.94,29.05,28.93,29.0,204,100,0
2023-11-21 17:00:00,29.0,29.12,29.0,29.1,232,100,0
2023-11-21 18:00:00,29.1,29.16,29.05,29.16,86,100,0
2023-11-22 10:00:00,29.33,29.44,29.28,29.35,284,100,0
2023-11-22 11:00:00,29.35,29.43,29.21,29.24,219,100,0
2023-11-22 12:00:00,29.27,29.33,29.24,29.31,147,100,0
2023-11-22 13:00:00,29.3,29.37,29.29,29.29,98,100,0
2023-11-22 14:00:00,29.33,29.33,29.23,29.29,125,100,0
2023-11-22 15:00:00,29.3,29.35,29.24,29.33,216,100,0
2023-11-22 16:00:00,29.29,29.46,29.28,29.42,239,100,0
2023-11-22 17:00:00,29.41,29.45,29.4,29.44,290,100,0
2023-11-22 18:00:00,29.44,29.46,29.38,29.39,140,100,0
2023-11-23 10:00:00,29.58,29.65,29.47,29.64,254,200,0
2023-11-23 11:00:00,29.61,29.73,29.58,29.6,254,100,0
2023-11-23 12:00:00,29.61,29.63,29.58,29.62,135,100,0
2023-11-23 13:00:00,29.61,29.64,29.57,29.57,131,100,0
2023-11-23 14:00:00,29.58,29.63,29.57,29.59,64,100,0
2023-11-23 15:00:00,29.59,29.62,29.59,29.6,76,100,0
2023-11-23 16:00:00,29.59,29.69,29.59,29.66,122,100,0
2023-11-23 17:00:00,29.66,29.71,29.66,29.7,175,100,0
2023-11-23 18:00:00,29.7,29.71,29.67,29.68,75,100,0
2023-11-24 10:00:00,29.56,29.65,29.44,29.5,192,100,0
2023-11-24 11:00:00,29.44,29.58,29.44,29.53,175,100,0
2023-11-24 12:00:00,29.54,29.57,29.53,29.54,148,100,0
2023-11-24 13:00:00,29.54,29.6,29.54,29.6,116,100,0
2023-11-24 14:00:00,29.6,29.62,29.56,29.6,94,100,0
2023-11-24 15:00:00,29.59,29.62,29.54,29.58,110,100,0
2023-11-24 16:00:00,29.58,29.6,29.54,29.6,252,100,0
2023-11-24 17:00:00,29.61,29.68,29.55,29.66,186,100,0
2023-11-24 18:00:00,29.66,29.71,29.65,29.65,60,100,0
2023-11-27 10:00:00,29.77,29.86,29.65,29.84,284,200,0
2023-11-27 11:00:00,29.85,29.85,29.66,29.68,201,100,0
2023-11-27 12:00:00,29.66,29.85,29.66,29.83,237,100,0
2023-11-27 13:00:00,29.83,29.84,29.73,29.76,183,200,0
2023-11-27 14:00:00,29.75,29.79,29.71,29.78,150,100,0
2023-11-27 15:00:00,29.78,29.81,29.67,29.69,246,100,0
2023-11-27 16:00:00,29.69,29.72,29.65,29.7,157,100,0
2023-11-27 17:00:00,29.7,29.77,29.68,29.76,253,100,0
2023-11-27 18:00:00,29.75,29.78,29.74,29.76,106,100,0
2023-11-28 10:00:00,29.56,29.63,29.4,29.45,379,100,0
2023-11-28 11:00:00,29.45,29.56,29.44,29.49,279,100,0
2023-11-28 12:00:00,29.53,29.59,29.47,29.58,234,100,0
2023-11-28 13:00:00,29.53,29.64,29.52,29.63,181,100,0
2023-11-28 14:00:00,29.63,29.73,29.62,29.67,183,100,0
2023-11-28 15:00:00,29.68,29.72,29.61,29.69,241,100,0
2023-11-28 16:00:00,29.69,29.77,29.68,29.7,225,100,0
2023-11-28 17:00:00,29.7,29.8,29.7,29.79,234,100,0
2023-11-28 18:00:00,29.79,29.81,29.75,29.78,103,100,0
