time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.678,8.85,8.678,8.81,270,100,0
2023-11-03 12:00:00,8.81,8.85,8.742,8.798,160,80,0
2023-11-03 13:00:00,8.792,8.796,8.736,8.772,117,180,0
2023-11-03 14:00:00,8.738,8.768,8.7,8.748,145,80,0
2023-11-03 15:00:00,8.756,8.802,8.708,8.786,271,120,0
2023-11-03 16:00:00,8.786,9.226,8.76,9.174,798,120,0
2023-11-03 17:00:00,9.174,9.272,9.016,9.078,891,100,0
2023-11-03 18:00:00,9.084,9.116,9.016,9.076,610,60,0
2023-11-03 19:00:00,9.08,9.112,9.052,9.092,176,20,0
2023-11-06 10:00:00,9.038,9.132,9.018,9.1,217,80,0
2023-11-06 11:00:00,9.1,9.132,9.07,9.076,176,40,0
2023-11-06 12:00:00,9.11,9.136,9.078,9.12,108,100,0
2023-11-06 13:00:00,9.112,9.128,9.086,9.118,82,80,0
2023-11-06 14:00:00,9.09,9.138,9.09,9.11,96,100,0
2023-11-06 15:00:00,9.11,9.164,9.092,9.112,161,100,0
2023-11-06 16:00:00,9.112,9.166,8.858,8.868,351,100,0
2023-11-06 17:00:00,8.96,8.972,8.788,8.866,435,100,0
2023-11-06 18:00:00,8.912,8.912,8.8,8.836,173,120,0
2023-11-07 10:00:00,8.784,8.916,8.784,8.842,245,120,0
2023-11-07 11:00:00,8.864,8.894,8.824,8.88,139,140,0
2023-11-07 12:00:00,8.88,8.934,8.856,8.928,199,100,0
2023-11-07 13:00:00,8.924,8.924,8.862,8.904,135,80,0
2023-11-07 14:00:00,8.91,8.92,8.808,8.808,147,80,0
2023-11-07 15:00:00,8.81,8.86,8.784,8.838,227,40,0
2023-11-07 16:00:00,8.838,8.962,8.784,8.95,648,20,0
2023-11-07 17:00:00,8.874,9.02,8.856,8.974,766,60,0
2023-11-07 18:00:00,8.974,9.018,8.942,8.988,240,60,0
2023-11-08 10:00:00,8.994,9.146,8.994,9.102,211,120,0
2023-11-08 11:00:00,9.092,9.146,9.014,9.058,282,20,0
2023-11-08 12:00:00,9.058,9.112,9.04,9.074,259,20,0
2023-11-08 13:00:00,9.082,9.156,9.058,9.13,129,160,0
2023-11-08 14:00:00,9.152,9.166,9.096,9.154,154,80,0
2023-11-08 15:00:00,9.154,9.176,9.108,9.146,261,120,0
2023-11-08 16:00:00,9.168,9.236,9.038,9.184,601,60,0
2023-11-08 17:00:00,9.188,9.298,9.174,9.214,771,60,0
2023-11-08 18:00:00,9.278,9.284,9.204,9.27,220,60,0
2023-11-09 10:00:00,9.232,9.236,9.112,9.164,134,160,0
2023-11-09 11:00:00,9.146,9.254,9.142,9.248,99,160,0
2023-11-09 12:00:00,9.248,9.3,9.198,9.294,94,120,0
2023-11-09 13:00:00,9.296,9.338,9.288,9.32,59,120,0
2023-11-09 14:00:00,9.32,9.342,9.264,9.328,72,180,0
2023-11-09 15:00:00,9.298,9.328,9.242,9.31,105,300,0
2023-11-09 16:00:00,9.31,9.342,9.18,9.224,391,200,0
2023-11-09 17:00:00,9.266,9.31,9.07,9.12,472,160,0
2023-11-09 18:00:00,9.108,9.162,9.096,9.114,143,140,0
2023-11-10 10:00:00,8.762,8.918,8.76,8.824,261,60,0
2023-11-10 11:00:00,8.866,8.878,8.794,8.844,230,20,0
2023-11-10 12:00:00,8.85,8.878,8.786,8.794,381,80,0
2023-11-10 13:00:00,8.83,8.846,8.78,8.836,269,80,0
2023-11-10 14:00:00,8.836,8.898,8.78,8.868,268,120,0
2023-11-10 15:00:00,8.868,8.94,8.834,8.892,294,40,0
2023-11-10 16:00:00,8.884,9.102,8.852,9.056,568,40,0
2023-11-10 17:00:00,9.028,9.102,8.96,9.05,701,120,0
2023-11-10 18:00:00,8.988,9.062,8.988,9.032,251,120,0
2023-11-13 10:00:00,9.148,9.212,9.118,9.194,209,140,0
2023-11-13 11:00:00,9.194,9.238,9.16,9.22,275,80,0
2023-11-13 12:00:00,9.22,9.264,9.158,9.262,123,100,0
2023-11-13 13:00:00,9.24,9.268,9.186,9.256,116,120,0
2023-11-13 14:00:00,9.254,9.262,9.19,9.222,138,60,0
2023-11-13 15:00:00,9.216,9.226,9.164,9.164,114,80,0
2023-11-13 16:00:00,9.17,9.186,8.982,9.138,566,60,0
2023-11-13 17:00:00,9.138,9.218,9.068,9.188,497,80,0
2023-11-13 18:00:00,9.178,9.244,9.176,9.238,190,40,0
2023-11-14 10:00:00,9.226,9.334,9.178,9.334,311,80,0
2023-11-14 11:00:00,9.314,9.334,9.278,9.286,214,20,0
2023-11-14 12:00:00,9.32,9.346,9.28,9.306,233,60,0
2023-11-14 13:00:00,9.314,9.35,9.3,9.324,132,60,0
2023-11-14 14:00:00,9.324,9.364,9.322,9.348,153,60,0
2023-11-14 15:00:00,9.348,9.616,9.318,9.506,488,60,0
2023-11-14 16:00:00,9.506,9.812,9.506,9.776,912,60,0
2023-11-14 17:00:00,9.77,9.972,9.654,9.91,626,40,0
2023-11-14 18:00:00,9.91,10.05,9.896,10.04,204,50,0
2023-11-15 10:00:00,9.912,10.19,9.896,10.165,427,100,0
2023-11-15 11:00:00,10.165,10.19,10.08,10.085,278,150,0
2023-11-15 12:00:00,10.085,10.125,10.035,10.08,213,100,0
2023-11-15 13:00:00,10.075,10.175,10.055,10.16,226,150,0
2023-11-15 14:00:00,10.14,10.19,10.09,10.17,218,100,0
2023-11-15 15:00:00,10.135,10.215,9.98,9.992,320,50,0
2023-11-15 16:00:00,9.996,10.29,9.98,10.29,460,150,0
2023-11-15 17:00:00,10.265,10.435,10.2,10.335,446,100,0
2023-11-15 18:00:00,10.335,10.41,10.29,10.31,201,100,0
2023-11-16 10:00:00,10.335,10.465,10.33,10.41,196,100,0
2023-11-16 11:00:00,10.43,10.46,10.31,10.31,181,150,0
2023-11-16 12:00:00,10.315,10.385,10.31,10.375,122,150,0
2023-11-16 13:00:00,10.345,10.405,10.325,10.385,96,150,0
2023-11-16 14:00:00,10.385,10.395,10.25,10.25,135,100,0
2023-11-16 15:00:00,10.305,10.33,10.25,10.33,176,50,0
2023-11-16 16:00:00,10.33,10.425,10.25,10.26,454,50,0
2023-11-16 17:00:00,10.315,10.37,10.25,10.28,460,50,0
2023-11-16 18:00:00,10.295,10.395,10.265,10.34,173,100,0
2023-11-17 10:00:00,10.465,10.625,10.46,10.51,223,150,0
2023-11-17 11:00:00,10.53,10.61,10.5,10.59,128,100,0
2023-11-17 12:00:00,10.605,10.62,10.565,10.595,131,100,0
2023-11-17 13:00:00,10.595,10.62,10.55,10.62,128,100,0
2023-11-17 14:00:00,10.62,10.62,10.56,10.565,92,100,0
2023-11-17 15:00:00,10.61,10.63,10.565,10.61,130,100,0
2023-11-17 16:00:00,10.615,10.67,10.425,10.565,364,50,0
2023-11-17 17:00:00,10.53,10.58,10.425,10.46,401,150,0
2023-11-17 18:00:00,10.45,10.51,10.405,10.405,128,50,0
2023-11-20 10:00:00,10.505,10.505,10.36,10.46,141,200,0
2023-11-20 11:00:00,10.495,10.5,10.375,10.395,167,50,0
2023-11-20 12:00:00,10.41,10.485,10.39,10.405,175,50,0
2023-11-20 13:00:00,10.435,10.45,10.4,10.44,144,50,0
2023-11-20 14:00:00,10.435,10.45,10.39,10.39,144,100,0
2023-11-20 15:00:00,10.39,10.455,10.375,10.405,194,50,0
2023-11-20 16:00:00,10.405,10.62,10.365,10.42,453,50,0
2023-11-20 17:00:00,10.42,10.545,10.335,10.425,437,100,0
2023-11-20 18:00:00,10.455,10.475,10.38,10.4,146,50,0
2023-11-21 10:00:00,10.285,10.365,10.24,10.27,279,250,0
2023-11-21 11:00:00,10.26,10.315,10.225,10.255,152,50,0
2023-11-21 12:00:00,10.225,10.275,10.2,10.205,172,100,0
2023-11-21 13:00:00,10.24,10.255,10.2,10.225,74,100,0
2023-11-21 14:00:00,10.24,10.26,10.2,10.21,108,100,0
2023-11-21 15:00:00,10.21,10.225,10.155,10.175,113,50,0
2023-11-21 16:00:00,10.19,10.21,9.786,9.982,747,50,0
2023-11-21 17:00:00,10.005,10.115,9.82,10.055,592,50,0
2023-11-21 18:00:00,10.085,10.12,10.045,10.105,194,100,0
2023-11-22 10:00:00,9.976,10.1,9.954,10.005,265,150,0
2023-11-22 11:00:00,10.005,10.09,9.954,10.025,182,100,0
2023-11-22 12:00:00,10.045,10.085,10.025,10.075,211,100,0
2023-11-22 13:00:00,10.07,10.11,10.025,10.025,167,50,0
2023-11-22 14:00:00,10.025,10.165,10.025,10.095,235,150,0
2023-11-22 15:00:00,10.095,10.225,10.07,10.18,286,50,0
2023-11-22 16:00:00,10.22,10.415,10.18,10.305,589,100,0
2023-11-22 17:00:00,10.36,10.455,10.255,10.415,362,150,0
2023-11-22 18:00:00,10.435,10.475,10.345,10.38,192,100,0
2023-11-23 10:00:00,10.23,10.25,10.185,10.195,109,300,0
2023-11-23 11:00:00,10.19,10.215,10.085,10.1,98,250,0
2023-11-23 12:00:00,10.085,10.145,10.025,10.055,143,250,0
2023-11-23 13:00:00,10.025,10.07,9.944,9.944,158,50,0
2023-11-23 14:00:00,9.944,9.966,9.872,9.902,120,100,0
2023-11-23 15:00:00,9.92,9.968,9.864,9.898,185,80,0
2023-11-23 16:00:00,9.9,10.035,9.852,9.9,183,40,0
2023-11-23 17:00:00,9.9,9.978,9.878,9.956,221,60,0
2023-11-23 18:00:00,9.964,9.992,9.904,9.968,114,60,0
2023-11-24 10:00:00,9.926,9.998,9.926,9.978,161,270,0
2023-11-24 11:00:00,9.994,10.03,9.954,10.01,236,150,0
2023-11-24 12:00:00,10.035,10.04,9.958,9.962,107,150,0
2023-11-24 13:00:00,10.005,10.01,9.94,9.972,107,120,0
2023-11-24 14:00:00,9.968,10.035,9.94,10.02,151,130,0
2023-11-24 15:00:00,10.025,10.04,9.976,9.988,97,150,0
2023-11-24 16:00:00,9.986,10.04,9.84,9.952,312,50,0
2023-11-24 17:00:00,9.952,10.045,9.946,10.015,335,100,0
2023-11-24 18:00:00,10.015,10.05,9.956,9.98,116,100,0
2023-11-27 10:00:00,10.04,10.17,10.02,10.085,250,100,0
2023-11-27 11:00:00,10.09,10.17,10.015,10.04,105,150,0
2023-11-27 12:00:00,10.03,10.07,10.025,10.035,94,50,0
2023-11-27 13:00:00,10.04,10.13,9.974,10.105,157,100,0
2023-11-27 14:00:00,10.105,10.12,10.025,10.07,115,100,0
2023-11-27 15:00:00,10.07,10.145,10.035,10.075,156,100,0
2023-11-27 16:00:00,10.075,10.175,9.974,10.005,370,100,0
2023-11-27 17:00:00,10.05,10.275,10.04,10.225,342,100,0
2023-11-27 18:00:00,10.225,10.275,10.18,10.21,151,100,0
2023-11-28 10:00:00,10.195,10.25,10.055,10.085,124,150,0
2023-11-28 11:00:00,10.08,10.205,10.05,10.19,143,150,0
2023-11-28 12:00:00,10.185,10.26,10.155,10.23,115,50,0
2023-11-28 13:00:00,10.23,10.26,10.185,10.23,92,50,0
2023-11-28 14:00:00,10.24,10.265,10.19,10.22,99,100,0
2023-11-28 15:00:00,10.235,10.27,10.18,10.23,181,50,0
2023-11-28 16:00:00,10.23,10.265,10.105,10.135,368,100,0
2023-11-28 17:00:00,10.17,10.28,10.105,10.28,304,100,0
2023-11-28 18:00:00,10.27,10.285,10.21,10.265,131,50,0
