time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,21.0,21.39,21.0,21.34,282,100,0
2023-11-03 12:00:00,21.32,21.39,21.18,21.27,228,100,0
2023-11-03 13:00:00,21.29,21.31,21.19,21.26,143,100,0
2023-11-03 14:00:00,21.25,21.32,21.25,21.3,68,100,0
2023-11-03 15:00:00,21.3,21.33,21.14,21.16,208,100,0
2023-11-03 16:00:00,21.24,21.31,21.15,21.15,280,100,0
2023-11-03 17:00:00,21.17,21.23,21.06,21.15,355,100,0
2023-11-03 18:00:00,21.11,21.19,20.99,21.06,238,100,0
2023-11-03 19:00:00,21.06,21.09,20.97,21.07,98,100,0
2023-11-06 10:00:00,21.11,21.26,21.05,21.2,281,100,0
2023-11-06 11:00:00,21.21,21.21,21.08,21.2,136,100,0
2023-11-06 12:00:00,21.21,21.21,21.07,21.11,139,100,0
2023-11-06 13:00:00,21.12,21.19,21.11,21.13,108,100,0
2023-11-06 14:00:00,21.19,21.24,21.13,21.22,118,100,0
2023-11-06 15:00:00,21.21,21.31,21.21,21.31,116,100,0
2023-11-06 16:00:00,21.31,21.33,21.25,21.27,145,100,0
2023-11-06 17:00:00,21.26,21.29,21.22,21.24,164,100,0
2023-11-06 18:00:00,21.24,21.25,21.18,21.23,68,100,0
2023-11-07 10:00:00,21.22,21.32,21.07,21.19,273,100,0
2023-11-07 11:00:00,21.19,21.26,21.07,21.12,223,100,0
2023-11-07 12:00:00,21.13,21.24,21.02,21.09,200,100,0
2023-11-07 13:00:00,21.09,21.13,20.94,21.01,181,100,0
2023-11-07 14:00:00,21.01,21.1,20.95,21.08,142,100,0
2023-11-07 15:00:00,21.09,21.09,20.99,21.04,91,100,0
2023-11-07 16:00:00,21.04,21.16,20.99,21.11,177,100,0
2023-11-07 17:00:00,21.11,21.29,21.11,21.22,172,100,0
2023-11-07 18:00:00,21.22,21.27,21.21,21.21,104,100,0
2023-11-08 10:00:00,20.98,21.42,20.95,21.28,226,100,0
2023-11-08 11:00:00,21.27,21.32,21.08,21.2,233,100,0
2023-11-08 12:00:00,21.22,21.22,21.0,21.02,187,100,0
2023-11-08 13:00:00,21.0,21.17,21.0,21.09,124,100,0
2023-11-08 14:00:00,21.12,21.14,20.97,21.14,123,100,0
2023-11-08 15:00:00,21.15,21.19,21.03,21.17,161,100,0
2023-11-08 16:00:00,21.18,21.21,21.16,21.2,126,100,0
2023-11-08 17:00:00,21.2,21.21,21.17,21.19,156,100,0
2023-11-08 18:00:00,21.19,21.26,21.17,21.22,88,100,0
2023-11-09 10:00:00,21.17,21.34,21.06,21.3,255,100,0
2023-11-09 11:00:00,21.3,21.39,21.18,21.35,168,100,0
2023-11-09 12:00:00,21.26,21.37,21.19,21.35,135,100,0
2023-11-09 13:00:00,21.36,21.4,21.3,21.35,142,100,0
2023-11-09 14:00:00,21.35,21.38,21.32,21.36,80,100,0
2023-11-09 15:00:00,21.37,21.4,21.34,21.36,95,100,0
2023-11-09 16:00:00,21.37,21.4,21.25,21.32,133,100,0
2023-11-09 17:00:00,21.33,21.35,21.28,21.32,133,100,0
2023-11-09 18:00:00,21.32,21.38,21.32,21.36,73,100,0
2023-11-10 10:00:00,21.12,21.25,20.93,20.97,316,100,0
2023-11-10 11:00:00,21.03,21.05,20.87,20.97,255,100,0
2023-11-10 12:00:00,21.02,21.02,20.79,20.86,232,100,0
2023-11-10 13:00:00,20.82,20.91,20.81,20.89,159,100,0
2023-11-10 14:00:00,20.89,20.96,20.84,20.9,179,100,0
2023-11-10 15:00:00,20.86,20.9,20.74,20.87,132,100,0
2023-11-10 16:00:00,20.88,20.93,20.75,20.75,212,100,0
2023-11-10 17:00:00,20.79,20.83,20.65,20.73,243,100,0
2023-11-10 18:00:00,20.73,20.84,20.72,20.83,90,100,0
2023-11-13 10:00:00,20.9,20.97,20.75,20.91,197,200,0
2023-11-13 11:00:00,20.91,20.98,20.88,20.95,202,100,0
2023-11-13 12:00:00,20.94,20.96,20.88,20.94,188,100,0
2023-11-13 13:00:00,20.88,20.94,20.78,20.86,166,100,0
2023-11-13 14:00:00,20.91,20.95,20.78,20.91,154,100,0
2023-11-13 15:00:00,20.86,20.9,20.75,20.84,198,100,0
2023-11-13 16:00:00,20.84,20.91,20.77,20.89,198,100,0
2023-11-13 17:00:00,20.89,20.95,20.82,20.93,172,100,0
2023-11-13 18:00:00,20.92,20.96,20.9,20.94,81,100,0
2023-11-14 10:00:00,20.85,20.97,20.82,20.88,201,100,0
2023-11-14 11:00:00,20.87,20.91,20.72,20.81,137,100,0
2023-11-14 12:00:00,20.77,20.86,20.72,20.82,101,100,0
2023-11-14 13:00:00,20.84,20.86,20.64,20.71,153,100,0
2023-11-14 14:00:00,20.65,20.74,20.59,20.71,157,100,0
2023-11-14 15:00:00,20.69,20.83,20.58,20.75,215,100,0
2023-11-14 16:00:00,20.75,20.8,20.72,20.77,212,100,0
2023-11-14 17:00:00,20.78,20.83,20.7,20.74,192,100,0
2023-11-14 18:00:00,20.74,20.75,20.7,20.74,50,100,0
2023-11-15 10:00:00,20.87,20.98,20.69,20.98,241,100,0
2023-11-15 11:00:00,20.98,21.04,20.77,20.84,319,100,0
2023-11-15 12:00:00,20.84,21.04,20.78,21.01,217,100,0
2023-11-15 13:00:00,21.02,21.12,20.98,21.12,183,100,0
2023-11-15 14:00:00,21.12,21.12,21.07,21.07,157,100,0
2023-11-15 15:00:00,21.09,21.12,20.95,21.05,226,100,0
2023-11-15 16:00:00,21.05,21.08,20.92,21.02,300,100,0
2023-11-15 17:00:00,21.02,21.03,20.78,20.86,255,100,0
2023-11-15 18:00:00,20.87,20.87,20.74,20.81,85,100,0
2023-11-16 10:00:00,20.88,21.05,20.78,21.0,255,100,0
2023-11-16 11:00:00,21.02,21.07,20.95,21.01,239,100,0
2023-11-16 12:00:00,21.02,21.04,20.88,20.95,141,100,0
2023-11-16 13:00:00,20.95,20.99,20.75,20.84,162,100,0
2023-11-16 14:00:00,20.85,20.85,20.69,20.81,110,100,0
2023-11-16 15:00:00,20.8,20.85,20.69,20.83,110,100,0
2023-11-16 16:00:00,20.83,21.01,20.69,21.01,234,100,0
2023-11-16 17:00:00,21.01,21.01,20.9,20.91,242,100,0
2023-11-16 18:00:00,20.91,21.01,20.9,21.0,90,100,0
2023-11-17 10:00:00,21.01,21.14,20.85,21.12,203,100,0
2023-11-17 11:00:00,21.12,21.2,21.06,21.2,189,100,0
2023-11-17 12:00:00,21.2,21.3,21.11,21.24,142,100,0
2023-11-17 13:00:00,21.26,21.28,21.07,21.12,170,100,0
2023-11-17 14:00:00,21.13,21.22,21.04,21.1,139,100,0
2023-11-17 15:00:00,21.12,21.14,21.04,21.14,151,100,0
2023-11-17 16:00:00,21.09,21.31,21.09,21.21,224,100,0
2023-11-17 17:00:00,21.21,21.25,21.06,21.16,198,100,0
2023-11-17 18:00:00,21.14,21.17,21.06,21.14,82,100,0
2023-11-20 10:00:00,21.04,21.25,20.98,21.2,215,200,0
2023-11-20 11:00:00,21.2,21.21,20.99,21.08,213,100,0
2023-11-20 12:00:00,21.08,21.15,21.08,21.09,180,100,0
2023-11-20 13:00:00,21.08,21.11,21.01,21.05,118,100,0
2023-11-20 14:00:00,21.03,21.07,21.0,21.04,145,100,0
2023-11-20 15:00:00,21.04,21.05,20.92,20.96,152,100,0
2023-11-20 16:00:00,20.97,20.99,20.81,20.9,182,100,0
2023-11-20 17:00:00,20.86,20.97,20.81,20.91,208,100,0
2023-11-20 18:00:00,20.89,20.94,20.88,20.93,98,100,0
2023-11-21 10:00:00,21.19,21.62,21.15,21.62,362,100,0
2023-11-21 11:00:00,21.62,21.74,21.47,21.66,273,100,0
2023-11-21 12:00:00,21.69,21.83,21.55,21.83,161,100,0
2023-11-21 13:00:00,21.76,21.93,21.75,21.89,162,100,0
2023-11-21 14:00:00,21.89,22.01,21.87,21.99,132,100,0
2023-11-21 15:00:00,21.99,22.01,21.9,21.96,210,100,0
2023-11-21 16:00:00,21.96,21.98,21.85,21.96,222,100,0
2023-11-21 17:00:00,21.96,21.99,21.82,21.91,213,100,0
2023-11-21 18:00:00,21.96,21.97,21.77,21.83,100,100,0
2023-11-22 10:00:00,21.75,21.84,21.65,21.8,327,100,0
2023-11-22 11:00:00,21.8,21.87,21.69,21.75,242,100,0
2023-11-22 12:00:00,21.76,21.79,21.72,21.76,150,100,0
2023-11-22 13:00:00,21.75,21.81,21.73,21.8,148,100,0
2023-11-22 14:00:00,21.8,21.8,21.73,21.78,141,100,0
2023-11-22 15:00:00,21.78,21.86,21.75,21.84,181,100,0
2023-11-22 16:00:00,21.84,21.86,21.78,21.82,195,100,0
2023-11-22 17:00:00,21.82,21.87,21.8,21.85,169,100,0
2023-11-22 18:00:00,21.85,21.85,21.81,21.84,84,100,0
2023-11-23 10:00:00,21.89,21.91,21.77,21.87,257,100,0
2023-11-23 11:00:00,21.89,22.0,21.78,21.81,227,100,0
2023-11-23 12:00:00,21.84,21.95,21.81,21.87,211,100,0
2023-11-23 13:00:00,21.86,21.89,21.82,21.85,155,100,0
2023-11-23 14:00:00,21.86,21.89,21.78,21.83,173,100,0
2023-11-23 15:00:00,21.83,21.92,21.83,21.91,134,100,0
2023-11-23 16:00:00,21.9,21.99,21.89,21.97,185,100,0
2023-11-23 17:00:00,21.97,21.99,21.84,21.92,130,100,0
2023-11-23 18:00:00,21.92,21.93,21.87,21.9,69,100,0
2023-11-24 10:00:00,21.84,21.88,21.7,21.8,145,200,0
2023-11-24 11:00:00,21.78,21.82,21.71,21.77,140,100,0
2023-11-24 12:00:00,21.79,21.82,21.7,21.75,158,100,0
2023-11-24 13:00:00,21.72,21.76,21.71,21.75,127,100,0
2023-11-24 14:00:00,21.74,21.8,21.72,21.8,97,100,0
2023-11-24 15:00:00,21.8,21.81,21.77,21.77,114,100,0
2023-11-24 16:00:00,21.79,21.85,21.77,21.84,122,100,0
2023-11-24 17:00:00,21.84,21.9,21.76,21.82,157,100,0
2023-11-24 18:00:00,21.83,21.85,21.81,21.83,53,100,0
2023-11-27 10:00:00,21.83,21.87,21.7,21.82,182,100,0
2023-11-27 11:00:00,21.86,21.87,21.72,21.77,100,100,0
2023-11-27 12:00:00,21.77,21.87,21.72,21.87,85,100,0
2023-11-27 13:00:00,21.88,21.88,21.81,21.82,49,100,0
2023-11-27 14:00:00,21.82,21.84,21.79,21.83,41,100,0
2023-11-27 15:00:00,21.84,21.95,21.8,21.95,103,100,0
2023-11-27 16:00:00,21.95,21.95,21.77,21.9,138,100,0
2023-11-27 17:00:00,21.9,21.93,21.8,21.89,161,100,0
2023-11-27 18:00:00,21.88,21.93,21.8,21.84,101,100,0
2023-11-28 10:00:00,21.62,21.84,21.59,21.65,322,100,0
2023-11-28 11:00:00,21.67,21.75,21.61,21.64,228,100,0
2023-11-28 12:00:00,21.66,21.81,21.63,21.8,177,100,0
2023-11-28 13:00:00,21.81,21.9,21.69,21.88,189,100,0
2023-11-28 14:00:00,21.87,21.92,21.77,21.77,185,100,0
2023-11-28 15:00:00,21.88,21.95,21.75,21.92,218,100,0
2023-11-28 16:00:00,21.92,21.99,21.82,21.97,200,100,0
2023-11-28 17:00:00,21.98,22.05,21.92,22.04,164,100,0
2023-11-28 18:00:00,22.04,22.08,21.93,22.0,94,100,0
