time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,20.93,21.04,20.93,21.02,265,100,0
2023-11-03 12:00:00,21.03,21.03,20.94,20.95,153,100,0
2023-11-03 13:00:00,20.96,20.97,20.82,20.82,188,100,0
2023-11-03 14:00:00,20.82,20.85,20.76,20.77,187,100,0
2023-11-03 15:00:00,20.76,20.78,20.63,20.72,150,100,0
2023-11-03 16:00:00,20.63,20.71,20.58,20.59,224,100,0
2023-11-03 17:00:00,20.6,20.67,20.45,20.46,307,100,0
2023-11-03 18:00:00,20.5,20.57,20.46,20.47,269,100,0
2023-11-03 19:00:00,20.47,20.5,20.46,20.5,68,100,0
2023-11-06 10:00:00,20.45,20.57,20.44,20.55,245,100,0
2023-11-06 11:00:00,20.55,20.57,20.5,20.54,160,100,0
2023-11-06 12:00:00,20.54,20.56,20.53,20.53,152,100,0
2023-11-06 13:00:00,20.53,20.57,20.53,20.55,157,100,0
2023-11-06 14:00:00,20.55,20.59,20.52,20.59,181,100,0
2023-11-06 15:00:00,20.55,20.67,20.54,20.67,179,100,0
2023-11-06 16:00:00,20.68,20.7,20.6,20.62,188,100,0
2023-11-06 17:00:00,20.62,20.68,20.59,20.68,160,100,0
2023-11-06 18:00:00,20.68,20.68,20.65,20.66,67,100,0
2023-11-07 10:00:00,20.45,20.6,20.4,20.55,306,100,0
2023-11-07 11:00:00,20.55,20.6,20.51,20.54,243,100,0
2023-11-07 12:00:00,20.53,20.59,20.52,20.53,206,100,0
2023-11-07 13:00:00,20.52,20.6,20.52,20.56,158,100,0
2023-11-07 14:00:00,20.56,20.58,20.54,20.58,147,100,0
2023-11-07 15:00:00,20.57,20.6,20.52,20.55,126,100,0
2023-11-07 16:00:00,20.55,20.56,20.51,20.56,206,100,0
2023-11-07 17:00:00,20.52,20.56,20.47,20.52,195,100,0
2023-11-07 18:00:00,20.52,20.54,20.45,20.48,76,100,0
2023-11-08 10:00:00,20.52,20.77,20.5,20.76,291,100,0
2023-11-08 11:00:00,20.74,20.78,20.7,20.72,197,100,0
2023-11-08 12:00:00,20.71,20.77,20.68,20.73,173,100,0
2023-11-08 13:00:00,20.74,20.77,20.68,20.7,122,100,0
2023-11-08 14:00:00,20.69,20.71,20.67,20.7,98,100,0
2023-11-08 15:00:00,20.69,20.74,20.68,20.74,131,100,0
2023-11-08 16:00:00,20.74,20.77,20.7,20.71,125,100,0
2023-11-08 17:00:00,20.72,20.79,20.7,20.78,189,100,0
2023-11-08 18:00:00,20.78,20.79,20.7,20.71,110,100,0
2023-11-09 10:00:00,20.69,20.7,20.59,20.69,258,100,0
2023-11-09 11:00:00,20.65,20.68,20.62,20.63,154,100,0
2023-11-09 12:00:00,20.63,20.67,20.61,20.65,158,100,0
2023-11-09 13:00:00,20.64,20.7,20.63,20.65,234,100,0
2023-11-09 14:00:00,20.68,20.72,20.65,20.7,173,100,0
2023-11-09 15:00:00,20.7,20.75,20.68,20.72,130,100,0
2023-11-09 16:00:00,20.73,20.86,20.72,20.78,252,100,0
2023-11-09 17:00:00,20.78,20.84,20.72,20.75,191,100,0
2023-11-09 18:00:00,20.75,20.78,20.74,20.78,90,100,0
2023-11-10 10:00:00,20.78,20.87,20.77,20.87,273,100,0
2023-11-10 11:00:00,20.82,20.87,20.78,20.79,168,100,0
2023-11-10 12:00:00,20.85,20.86,20.78,20.78,256,100,0
2023-11-10 13:00:00,20.79,20.81,20.78,20.8,154,100,0
2023-11-10 14:00:00,20.79,20.81,20.78,20.78,125,100,0
2023-11-10 15:00:00,20.78,20.82,20.76,20.82,137,100,0
2023-11-10 16:00:00,20.82,20.86,20.78,20.8,178,100,0
2023-11-10 17:00:00,20.79,20.86,20.74,20.77,176,100,0
2023-11-10 18:00:00,20.77,20.85,20.74,20.85,87,100,0
2023-11-13 10:00:00,20.9,21.04,20.81,20.98,372,100,0
2023-11-13 11:00:00,20.99,21.04,20.97,21.01,193,100,0
2023-11-13 12:00:00,20.99,21.02,20.94,20.97,115,100,0
2023-11-13 13:00:00,20.98,21.05,20.94,21.03,173,100,0
2023-11-13 14:00:00,21.04,21.07,20.98,20.99,123,100,0
2023-11-13 15:00:00,21.0,21.0,20.9,20.94,126,100,0
2023-11-13 16:00:00,20.92,21.0,20.92,20.97,168,100,0
2023-11-13 17:00:00,20.97,21.03,20.96,21.0,183,100,0
2023-11-13 18:00:00,20.99,20.99,20.97,20.99,59,100,0
2023-11-14 10:00:00,20.95,21.0,20.87,20.91,211,100,0
2023-11-14 11:00:00,20.91,20.97,20.89,20.9,152,100,0
2023-11-14 12:00:00,20.92,20.95,20.89,20.92,149,100,0
2023-11-14 13:00:00,20.93,20.95,20.87,20.9,150,100,0
2023-11-14 14:00:00,20.9,20.91,20.83,20.86,161,100,0
2023-11-14 15:00:00,20.85,20.91,20.81,20.9,226,100,0
2023-11-14 16:00:00,20.89,20.92,20.82,20.88,215,100,0
2023-11-14 17:00:00,20.83,20.89,20.66,20.67,250,100,0
2023-11-14 18:00:00,20.7,20.72,20.58,20.6,102,100,0
2023-11-15 10:00:00,20.9,20.95,20.74,20.8,399,100,0
2023-11-15 11:00:00,20.81,20.83,20.75,20.81,206,100,0
2023-11-15 12:00:00,20.8,20.88,20.76,20.83,209,100,0
2023-11-15 13:00:00,20.83,20.85,20.78,20.79,193,100,0
2023-11-15 14:00:00,20.78,20.83,20.77,20.83,158,100,0
2023-11-15 15:00:00,20.8,20.91,20.79,20.86,182,100,0
2023-11-15 16:00:00,20.9,20.91,20.76,20.76,289,100,0
2023-11-15 17:00:00,20.84,20.84,20.73,20.75,199,100,0
2023-11-15 18:00:00,20.75,20.79,20.74,20.79,80,100,0
2023-11-16 10:00:00,20.8,20.87,20.74,20.82,255,100,0
2023-11-16 11:00:00,20.8,20.84,20.73,20.78,229,100,0
2023-11-16 12:00:00,20.78,20.81,20.73,20.74,190,100,0
2023-11-16 13:00:00,20.74,20.8,20.73,20.8,122,100,0
2023-11-16 14:00:00,20.77,20.82,20.76,20.78,156,100,0
2023-11-16 15:00:00,20.78,20.8,20.74,20.76,164,100,0
2023-11-16 16:00:00,20.78,20.85,20.74,20.85,164,100,0
2023-11-16 17:00:00,20.85,20.88,20.78,20.8,190,100,0
2023-11-16 18:00:00,20.8,20.8,20.76,20.77,71,100,0
2023-11-17 10:00:00,20.84,20.86,20.82,20.84,253,100,0
2023-11-17 11:00:00,20.86,20.86,20.76,20.8,187,100,0
2023-11-17 12:00:00,20.77,20.82,20.74,20.78,211,100,0
2023-11-17 13:00:00,20.77,20.81,20.72,20.77,254,100,0
2023-11-17 14:00:00,20.77,20.77,20.69,20.73,159,100,0
2023-11-17 15:00:00,20.7,20.76,20.68,20.76,159,100,0
2023-11-17 16:00:00,20.75,20.85,20.72,20.83,215,100,0
2023-11-17 17:00:00,20.83,20.91,20.82,20.87,180,100,0
2023-11-17 18:00:00,20.86,20.9,20.82,20.88,85,100,0
2023-11-20 10:00:00,19.91,20.02,19.61,19.915,867,50,0
2023-11-20 11:00:00,19.855,19.935,19.8,19.845,577,50,0
2023-11-20 12:00:00,19.845,20.06,19.81,20.03,471,50,0
2023-11-20 13:00:00,20.04,20.13,19.995,20.1,280,100,0
2023-11-20 14:00:00,20.09,20.15,20.05,20.1,276,100,0
2023-11-20 15:00:00,20.09,20.12,19.98,20.03,242,100,0
2023-11-20 16:00:00,20.02,20.17,20.01,20.13,300,100,0
2023-11-20 17:00:00,20.13,20.49,20.09,20.45,353,100,0
2023-11-20 18:00:00,20.46,20.54,20.42,20.48,183,100,0
2023-11-21 10:00:00,20.45,20.45,20.14,20.23,360,100,0
2023-11-21 11:00:00,20.23,20.23,20.07,20.16,266,100,0
2023-11-21 12:00:00,20.15,20.21,20.11,20.19,216,100,0
2023-11-21 13:00:00,20.19,20.2,20.16,20.19,167,100,0
2023-11-21 14:00:00,20.19,20.2,20.13,20.15,159,100,0
2023-11-21 15:00:00,20.16,20.16,20.08,20.14,175,100,0
2023-11-21 16:00:00,20.13,20.31,20.13,20.25,223,100,0
2023-11-21 17:00:00,20.26,20.39,20.25,20.39,226,100,0
2023-11-21 18:00:00,20.38,20.47,20.29,20.46,102,100,0
2023-11-22 10:00:00,20.61,20.83,20.61,20.8,231,100,0
2023-11-22 11:00:00,20.8,20.83,20.72,20.72,166,100,0
2023-11-22 12:00:00,20.75,20.75,20.7,20.73,159,100,0
2023-11-22 13:00:00,20.71,20.74,20.7,20.7,98,100,0
2023-11-22 14:00:00,20.7,20.71,20.65,20.65,153,100,0
