time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,26.24,26.46,26.22,26.36,42,1000,0
2023-11-03 12:00:00,26.36,26.48,26.06,26.16,79,200,0
2023-11-03 13:00:00,26.16,26.16,25.98,26.1,49,600,0
2023-11-03 14:00:00,26.1,26.1,26.02,26.02,33,600,0
2023-11-03 15:00:00,26.02,26.1,25.94,26.1,92,400,0
2023-11-03 16:00:00,26.0,26.08,25.94,26.0,86,400,0
2023-11-03 17:00:00,26.02,26.34,26.0,26.24,116,200,0
2023-11-03 18:00:00,26.18,26.34,26.0,26.1,80,200,0
2023-11-03 19:00:00,26.16,26.16,26.1,26.16,27,200,0
2023-11-06 10:00:00,26.1,26.1,25.82,26.02,37,400,0
2023-11-06 11:00:00,25.82,26.08,25.82,26.08,47,200,0
2023-11-06 12:00:00,26.08,26.12,25.88,26.04,61,200,0
2023-11-06 13:00:00,26.04,26.04,25.82,25.86,30,400,0
2023-11-06 14:00:00,25.86,25.98,25.84,25.98,27,400,0
2023-11-06 15:00:00,26.0,26.12,25.94,26.0,46,400,0
2023-11-06 16:00:00,25.98,26.14,25.78,26.04,111,200,0
2023-11-06 17:00:00,25.94,26.1,25.82,25.94,195,200,0
2023-11-06 18:00:00,25.98,26.1,25.96,26.0,119,200,0
2023-11-07 10:00:00,25.92,26.1,25.92,26.06,78,400,0
2023-11-07 11:00:00,26.06,26.06,25.88,25.94,40,400,0
2023-11-07 12:00:00,25.98,26.14,25.9,26.02,72,400,0
2023-11-07 13:00:00,25.98,26.06,25.86,25.92,46,400,0
2023-11-07 14:00:00,25.96,26.02,25.86,25.96,67,200,0
2023-11-07 15:00:00,26.0,26.04,25.86,26.0,97,200,0
2023-11-07 16:00:00,26.0,26.04,25.88,26.0,84,200,0
2023-11-07 17:00:00,26.0,26.1,25.96,26.06,70,200,0
2023-11-07 18:00:00,26.06,26.1,25.9,26.02,53,200,0
2023-11-08 10:00:00,25.94,26.16,25.94,26.02,77,600,0
2023-11-08 11:00:00,26.0,26.04,25.78,25.92,51,200,0
2023-11-08 12:00:00,25.92,26.06,25.92,26.0,13,600,0
2023-11-08 13:00:00,26.0,26.1,25.9,25.92,33,400,0
2023-11-08 14:00:00,26.08,26.08,25.9,25.94,48,400,0
2023-11-08 15:00:00,25.94,25.94,25.9,25.92,26,400,0
2023-11-08 16:00:00,25.92,26.22,25.76,26.2,75,400,0
2023-11-08 17:00:00,26.2,26.22,25.98,26.02,41,200,0
2023-11-08 18:00:00,26.02,26.02,26.02,26.02,21,600,0
2023-11-09 10:00:00,26.0,26.18,26.0,26.04,25,600,0
2023-11-09 11:00:00,26.12,26.14,26.0,26.0,37,400,0
2023-11-09 12:00:00,26.0,26.24,26.0,26.24,45,400,0
2023-11-09 13:00:00,26.26,26.26,26.22,26.26,16,600,0
2023-11-09 14:00:00,26.3,26.3,26.1,26.26,56,400,0
2023-11-09 15:00:00,26.22,26.34,26.16,26.32,41,400,0
2023-11-09 16:00:00,26.34,26.44,26.28,26.42,44,400,0
2023-11-09 17:00:00,26.42,26.44,26.14,26.24,66,200,0
2023-11-09 18:00:00,26.24,26.36,26.16,26.22,61,200,0
2023-11-10 10:00:00,25.86,26.08,25.84,25.96,70,600,0
2023-11-10 11:00:00,25.96,25.98,25.84,25.94,62,600,0
2023-11-10 12:00:00,25.94,25.96,25.66,25.74,47,400,0
2023-11-10 13:00:00,25.7,25.94,25.66,25.84,61,200,0
2023-11-10 14:00:00,25.86,25.86,25.64,25.64,58,400,0
2023-11-10 15:00:00,25.64,25.76,25.64,25.76,53,600,0
2023-11-10 16:00:00,25.76,25.86,25.76,25.86,52,400,0
2023-11-10 17:00:00,25.84,25.9,25.76,25.88,58,400,0
2023-11-10 18:00:00,25.86,26.04,25.86,25.98,45,400,0
2023-11-13 10:00:00,25.96,25.98,25.96,25.96,32,600,0
2023-11-13 11:00:00,25.96,26.02,25.88,25.96,50,200,0
2023-11-13 12:00:00,25.98,26.12,25.88,26.12,55,200,0
2023-11-13 13:00:00,26.12,26.14,26.0,26.08,34,200,0
2023-11-13 14:00:00,26.08,26.08,26.06,26.06,20,200,0
2023-11-13 15:00:00,26.1,26.18,26.06,26.18,47,400,0
2023-11-13 16:00:00,26.06,26.34,26.06,26.18,92,200,0
2023-11-13 17:00:00,26.18,26.44,26.14,26.38,119,200,0
2023-11-13 18:00:00,26.38,26.5,26.38,26.46,41,200,0
2023-11-14 10:00:00,26.1,26.34,26.1,26.22,27,800,0
2023-11-14 11:00:00,26.22,26.42,26.22,26.4,45,400,0
2023-11-14 12:00:00,26.4,26.42,26.2,26.4,64,200,0
2023-11-14 13:00:00,26.36,26.46,26.28,26.4,44,200,0
2023-11-14 14:00:00,26.44,26.62,26.44,26.54,72,200,0
2023-11-14 15:00:00,26.54,26.9,26.46,26.78,121,200,0
2023-11-14 16:00:00,26.82,27.02,26.72,26.98,114,200,0
2023-11-14 17:00:00,26.94,27.02,26.56,26.78,88,200,0
2023-11-14 18:00:00,26.78,26.86,26.56,26.82,51,200,0
2023-11-15 10:00:00,26.62,26.86,26.5,26.84,90,400,0
2023-11-15 11:00:00,26.9,27.0,26.52,26.58,139,400,0
2023-11-15 12:00:00,26.58,26.74,26.58,26.74,56,200,0
2023-11-15 13:00:00,26.72,26.78,26.68,26.76,62,400,0
2023-11-15 14:00:00,26.76,27.02,26.76,27.02,74,400,0
2023-11-15 15:00:00,26.9,27.04,26.86,26.92,77,400,0
2023-11-15 16:00:00,26.98,27.04,26.88,27.0,83,200,0
2023-11-15 17:00:00,26.92,27.04,26.92,26.94,98,200,0
2023-11-15 18:00:00,26.94,26.98,26.58,26.68,56,200,0
2023-11-16 10:00:00,26.74,26.94,26.72,26.78,23,1000,0
2023-11-16 11:00:00,26.82,26.94,26.48,26.6,86,400,0
2023-11-16 12:00:00,26.6,26.84,26.5,26.72,79,800,0
2023-11-16 13:00:00,26.64,26.84,26.64,26.76,64,400,0
2023-11-16 14:00:00,26.76,26.82,26.48,26.48,79,400,0
2023-11-16 15:00:00,26.62,26.7,26.48,26.68,92,400,0
2023-11-16 16:00:00,26.7,26.84,26.6,26.82,61,400,0
2023-11-16 17:00:00,26.82,26.84,26.72,26.74,111,200,0
2023-11-16 18:00:00,26.74,26.8,26.64,26.78,61,200,0
2023-11-17 10:00:00,27.1,27.14,26.84,27.12,64,1000,0
2023-11-17 11:00:00,27.08,27.16,26.98,27.1,70,200,0
2023-11-17 12:00:00,27.1,27.24,26.98,27.2,97,200,0
2023-11-17 13:00:00,27.2,27.2,27.06,27.16,70,200,0
