time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.078,2.096,2.076,2.094,73,40,0
2023-11-03 12:00:00,2.092,2.094,2.086,2.09,31,20,0
2023-11-03 13:00:00,2.094,2.096,2.086,2.096,45,20,0
2023-11-03 14:00:00,2.094,2.096,2.076,2.084,41,20,0
2023-11-03 15:00:00,2.086,2.114,2.082,2.112,83,20,0
2023-11-03 16:00:00,2.092,2.118,2.092,2.118,88,20,0
2023-11-03 17:00:00,2.114,2.124,2.096,2.104,125,20,0
2023-11-03 18:00:00,2.104,2.11,2.098,2.106,73,20,0
2023-11-03 19:00:00,2.106,2.11,2.104,2.108,27,20,0
2023-11-06 10:00:00,2.128,2.128,2.098,2.108,86,20,0
2023-11-06 11:00:00,2.106,2.114,2.104,2.112,44,20,0
2023-11-06 12:00:00,2.112,2.126,2.11,2.126,48,20,0
2023-11-06 13:00:00,2.126,2.126,2.12,2.124,40,20,0
2023-11-06 14:00:00,2.124,2.128,2.12,2.122,46,20,0
2023-11-06 15:00:00,2.122,2.122,2.11,2.11,28,20,0
2023-11-06 16:00:00,2.122,2.122,2.096,2.096,73,20,0
2023-11-06 17:00:00,2.098,2.11,2.096,2.106,87,20,0
2023-11-06 18:00:00,2.106,2.108,2.088,2.092,48,20,0
2023-11-07 10:00:00,2.078,2.09,2.072,2.086,102,20,0
2023-11-07 11:00:00,2.084,2.086,2.07,2.08,108,20,0
2023-11-07 12:00:00,2.08,2.09,2.072,2.082,97,20,0
2023-11-07 13:00:00,2.074,2.086,2.072,2.082,73,20,0
2023-11-07 14:00:00,2.08,2.082,2.07,2.08,64,20,0
2023-11-07 15:00:00,2.082,2.09,2.078,2.084,87,20,0
2023-11-07 16:00:00,2.092,2.11,2.078,2.1,137,20,0
2023-11-07 17:00:00,2.102,2.106,2.086,2.104,145,20,0
2023-11-07 18:00:00,2.102,2.104,2.096,2.098,67,20,0
2023-11-08 10:00:00,2.074,2.102,2.072,2.1,107,20,0
2023-11-08 11:00:00,2.098,2.104,2.088,2.098,89,20,0
2023-11-08 12:00:00,2.102,2.112,2.102,2.112,41,20,0
2023-11-08 13:00:00,2.112,2.112,2.11,2.112,30,40,0
2023-11-08 14:00:00,2.11,2.114,2.11,2.11,46,20,0
2023-11-08 15:00:00,2.11,2.122,2.11,2.118,59,20,0
2023-11-08 16:00:00,2.116,2.128,2.116,2.126,92,20,0
2023-11-08 17:00:00,2.126,2.126,2.114,2.118,126,20,0
2023-11-08 18:00:00,2.116,2.12,2.114,2.118,69,20,0
2023-11-09 10:00:00,2.092,2.114,2.092,2.114,90,20,0
2023-11-09 11:00:00,2.112,2.112,2.092,2.112,65,40,0
2023-11-09 12:00:00,2.11,2.126,2.11,2.124,51,20,0
2023-11-09 13:00:00,2.126,2.136,2.124,2.134,47,20,0
2023-11-09 14:00:00,2.136,2.142,2.134,2.138,65,20,0
2023-11-09 15:00:00,2.138,2.14,2.13,2.13,64,20,0
2023-11-09 16:00:00,2.13,2.138,2.12,2.124,90,20,0
2023-11-09 17:00:00,2.128,2.132,2.12,2.126,91,20,0
2023-11-09 18:00:00,2.126,2.134,2.122,2.132,48,20,0
2023-11-10 10:00:00,2.112,2.128,2.11,2.118,105,20,0
2023-11-10 11:00:00,2.114,2.12,2.102,2.114,43,20,0
2023-11-10 12:00:00,2.1,2.114,2.09,2.096,47,20,0
2023-11-10 13:00:00,2.098,2.102,2.092,2.096,32,40,0
2023-11-10 14:00:00,2.098,2.1,2.084,2.092,57,20,0
2023-11-10 15:00:00,2.092,2.1,2.084,2.098,88,20,0
2023-11-10 16:00:00,2.09,2.1,2.064,2.074,118,20,0
2023-11-10 17:00:00,2.074,2.082,2.064,2.076,97,20,0
2023-11-10 18:00:00,2.08,2.086,2.078,2.082,38,20,0
2023-11-13 10:00:00,2.09,2.106,2.07,2.1,171,20,0
2023-11-13 11:00:00,2.1,2.108,2.09,2.092,81,20,0
2023-11-13 12:00:00,2.092,2.106,2.086,2.094,91,40,0
2023-11-13 13:00:00,2.094,2.102,2.086,2.094,52,20,0
2023-11-13 14:00:00,2.094,2.096,2.082,2.082,83,20,0
2023-11-13 15:00:00,2.082,2.092,2.074,2.09,109,20,0
2023-11-13 16:00:00,2.09,2.09,2.076,2.082,99,20,0
2023-11-13 17:00:00,2.086,2.086,2.074,2.082,130,20,0
2023-11-13 18:00:00,2.078,2.088,2.072,2.078,95,20,0
2023-11-14 10:00:00,2.1,2.154,2.084,2.152,146,20,0
2023-11-14 11:00:00,2.134,2.162,2.134,2.15,152,20,0
2023-11-14 12:00:00,2.15,2.156,2.142,2.148,73,20,0
2023-11-14 13:00:00,2.144,2.16,2.144,2.158,52,20,0
2023-11-14 14:00:00,2.158,2.16,2.15,2.158,37,20,0
2023-11-14 15:00:00,2.152,2.178,2.142,2.178,117,20,0
2023-11-14 16:00:00,2.172,2.184,2.158,2.18,115,20,0
2023-11-14 17:00:00,2.18,2.182,2.166,2.168,114,20,0
2023-11-14 18:00:00,2.17,2.2,2.168,2.198,69,20,0
2023-11-15 10:00:00,2.2,2.254,2.184,2.254,144,20,0
2023-11-15 11:00:00,2.254,2.258,2.236,2.242,132,20,0
2023-11-15 12:00:00,2.248,2.25,2.226,2.242,89,20,0
2023-11-15 13:00:00,2.246,2.25,2.238,2.246,37,20,0
2023-11-15 14:00:00,2.246,2.258,2.238,2.248,93,20,0
2023-11-15 15:00:00,2.248,2.258,2.234,2.24,130,20,0
2023-11-15 16:00:00,2.234,2.246,2.224,2.244,148,20,0
2023-11-15 17:00:00,2.246,2.254,2.232,2.254,141,20,0
2023-11-15 18:00:00,2.254,2.26,2.248,2.25,57,20,0
2023-11-16 10:00:00,2.204,2.256,2.204,2.254,97,40,0
2023-11-16 11:00:00,2.254,2.256,2.244,2.248,90,40,0
2023-11-16 12:00:00,2.246,2.248,2.232,2.232,77,40,0
2023-11-16 13:00:00,2.232,2.242,2.232,2.232,57,40,0
2023-11-16 14:00:00,2.238,2.238,2.208,2.208,76,20,0
2023-11-16 15:00:00,2.202,2.228,2.202,2.224,93,20,0
2023-11-16 16:00:00,2.226,2.24,2.216,2.236,173,20,0
2023-11-16 17:00:00,2.23,2.244,2.228,2.232,163,20,0
2023-11-16 18:00:00,2.238,2.244,2.226,2.228,70,20,0
2023-11-17 10:00:00,2.234,2.258,2.22,2.258,97,40,0
2023-11-17 11:00:00,2.256,2.266,2.252,2.256,76,20,0
2023-11-17 12:00:00,2.264,2.268,2.234,2.262,86,20,0
2023-11-17 13:00:00,2.262,2.266,2.252,2.258,86,20,0
2023-11-17 14:00:00,2.258,2.268,2.25,2.262,51,40,0
2023-11-17 15:00:00,2.262,2.27,2.258,2.268,58,40,0
2023-11-17 16:00:00,2.27,2.27,2.25,2.266,119,20,0
2023-11-17 17:00:00,2.266,2.268,2.25,2.262,116,20,0
2023-11-17 18:00:00,2.264,2.27,2.258,2.266,55,20,0
2023-11-20 10:00:00,2.256,2.26,2.236,2.248,101,20,0
2023-11-20 11:00:00,2.242,2.25,2.24,2.246,40,20,0
2023-11-20 12:00:00,2.25,2.256,2.246,2.252,54,20,0
2023-11-20 13:00:00,2.252,2.252,2.238,2.242,52,20,0
2023-11-20 14:00:00,2.244,2.246,2.234,2.236,38,20,0
2023-11-20 15:00:00,2.238,2.238,2.222,2.222,53,20,0
2023-11-20 16:00:00,2.228,2.242,2.222,2.242,78,20,0
2023-11-20 17:00:00,2.242,2.246,2.236,2.24,85,20,0
2023-11-20 18:00:00,2.24,2.24,2.224,2.234,30,20,0
2023-11-21 10:00:00,2.228,2.238,2.216,2.228,104,20,0
2023-11-21 11:00:00,2.232,2.234,2.218,2.226,68,20,0
2023-11-21 12:00:00,2.226,2.23,2.22,2.224,62,20,0
2023-11-21 13:00:00,2.224,2.234,2.222,2.232,60,20,0
2023-11-21 14:00:00,2.23,2.23,2.222,2.228,26,20,0
2023-11-21 15:00:00,2.228,2.23,2.22,2.226,84,20,0
2023-11-21 16:00:00,2.23,2.232,2.222,2.228,105,20,0
2023-11-21 17:00:00,2.226,2.244,2.226,2.234,151,20,0
2023-11-21 18:00:00,2.234,2.238,2.228,2.23,87,20,0
2023-11-22 10:00:00,2.25,2.256,2.24,2.254,73,20,0
2023-11-22 11:00:00,2.252,2.26,2.248,2.248,71,20,0
2023-11-22 12:00:00,2.248,2.266,2.248,2.262,75,40,0
2023-11-22 13:00:00,2.262,2.272,2.256,2.268,57,20,0
2023-11-22 14:00:00,2.268,2.272,2.264,2.27,54,20,0
2023-11-22 15:00:00,2.274,2.278,2.266,2.272,57,40,0
2023-11-22 16:00:00,2.268,2.28,2.266,2.27,87,20,0
2023-11-22 17:00:00,2.27,2.278,2.262,2.27,148,20,0
2023-11-22 18:00:00,2.27,2.276,2.258,2.264,56,20,0
2023-11-23 10:00:00,2.26,2.266,2.242,2.266,77,40,0
2023-11-23 11:00:00,2.266,2.266,2.254,2.258,65,40,0
2023-11-23 12:00:00,2.258,2.26,2.248,2.26,46,20,0
2023-11-23 13:00:00,2.26,2.26,2.248,2.258,56,20,0
2023-11-23 14:00:00,2.258,2.268,2.25,2.264,51,20,0
2023-11-23 15:00:00,2.264,2.264,2.256,2.26,44,40,0
2023-11-23 16:00:00,2.26,2.274,2.258,2.27,108,20,0
2023-11-23 17:00:00,2.274,2.278,2.27,2.272,74,20,0
2023-11-23 18:00:00,2.276,2.278,2.26,2.268,55,20,0
2023-11-24 10:00:00,2.266,2.274,2.252,2.264,91,40,0
2023-11-24 11:00:00,2.264,2.278,2.26,2.274,79,40,0
2023-11-24 12:00:00,2.274,2.278,2.264,2.274,51,20,0
2023-11-24 13:00:00,2.272,2.278,2.268,2.276,25,20,0
2023-11-24 14:00:00,2.276,2.276,2.266,2.266,37,20,0
2023-11-24 15:00:00,2.266,2.274,2.262,2.272,66,20,0
2023-11-24 16:00:00,2.272,2.278,2.266,2.274,97,20,0
2023-11-24 17:00:00,2.274,2.278,2.272,2.272,58,20,0
2023-11-24 18:00:00,2.272,2.278,2.264,2.276,53,20,0
2023-11-27 10:00:00,2.274,2.294,2.27,2.288,90,20,0
2023-11-27 11:00:00,2.29,2.292,2.284,2.284,51,20,0
2023-11-27 12:00:00,2.284,2.292,2.284,2.284,46,40,0
2023-11-27 13:00:00,2.284,2.288,2.284,2.288,56,40,0
2023-11-27 14:00:00,2.288,2.288,2.276,2.28,52,20,0
2023-11-27 15:00:00,2.28,2.282,2.272,2.28,55,20,0
2023-11-27 16:00:00,2.278,2.28,2.262,2.27,70,20,0
2023-11-27 17:00:00,2.272,2.278,2.264,2.272,97,20,0
2023-11-27 18:00:00,2.272,2.28,2.272,2.278,71,20,0
2023-11-28 10:00:00,2.26,2.27,2.246,2.258,116,20,0
2023-11-28 11:00:00,2.256,2.262,2.248,2.256,100,20,0
2023-11-28 12:00:00,2.258,2.266,2.248,2.258,80,20,0
2023-11-28 13:00:00,2.264,2.266,2.256,2.256,68,20,0
2023-11-28 14:00:00,2.256,2.262,2.256,2.258,38,20,0
2023-11-28 15:00:00,2.258,2.262,2.256,2.26,82,20,0
2023-11-28 16:00:00,2.26,2.26,2.256,2.258,75,20,0
2023-11-28 17:00:00,2.258,2.266,2.256,2.264,73,20,0
2023-11-28 18:00:00,2.264,2.266,2.26,2.266,41,20,0
