time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,36.44,36.7,36.44,36.7,14,600,0
2023-11-03 12:00:00,36.68,36.7,36.36,36.4,41,600,0
2023-11-03 13:00:00,36.42,36.42,36.12,36.28,29,600,0
2023-11-03 14:00:00,36.24,36.28,36.24,36.28,10,600,0
2023-11-03 15:00:00,36.28,36.28,36.02,36.16,32,400,0
2023-11-03 16:00:00,36.16,36.66,36.14,36.52,76,200,0
2023-11-03 17:00:00,36.66,36.8,36.52,36.66,73,400,0
2023-11-03 18:00:00,36.72,36.74,36.56,36.6,55,400,0
2023-11-03 19:00:00,36.62,36.62,36.48,36.56,30,200,0
2023-11-06 10:00:00,35.94,35.96,35.74,35.9,31,1400,0
2023-11-06 11:00:00,35.9,35.92,35.74,35.9,22,1200,0
2023-11-06 12:00:00,35.88,35.92,35.58,35.62,43,800,0
2023-11-06 13:00:00,35.66,35.7,35.54,35.66,66,600,0
2023-11-06 14:00:00,35.48,35.66,35.28,35.6,22,400,0
2023-11-06 15:00:00,35.36,35.68,35.28,35.62,40,400,0
2023-11-06 16:00:00,35.64,35.68,35.46,35.48,52,400,0
2023-11-06 17:00:00,35.64,35.64,35.24,35.44,67,600,0
2023-11-06 18:00:00,35.4,35.4,35.2,35.3,35,600,0
2023-11-07 10:00:00,35.0,35.68,35.0,35.66,80,800,0
2023-11-07 11:00:00,35.66,35.7,35.62,35.66,19,800,0
2023-11-07 12:00:00,35.7,36.18,35.62,36.12,45,600,0
2023-11-07 13:00:00,36.12,36.34,36.08,36.3,52,600,0
2023-11-07 14:00:00,36.26,36.52,36.26,36.52,46,800,0
2023-11-07 15:00:00,36.48,36.52,36.32,36.46,48,400,0
2023-11-07 16:00:00,36.46,36.52,36.26,36.44,88,600,0
2023-11-07 17:00:00,36.44,36.44,35.82,35.82,163,400,0
2023-11-07 18:00:00,35.96,36.04,35.66,35.94,93,200,0
2023-11-08 10:00:00,35.48,35.72,35.48,35.72,12,1400,0
2023-11-08 11:00:00,35.58,35.62,35.52,35.62,9,1000,0
2023-11-08 12:00:00,35.6,35.64,35.28,35.28,28,600,0
2023-11-08 13:00:00,35.5,35.5,35.46,35.5,13,1000,0
2023-11-08 14:00:00,35.5,35.54,35.38,35.5,39,1000,0
2023-11-08 15:00:00,35.5,35.62,35.5,35.6,32,600,0
2023-11-08 16:00:00,35.62,35.86,35.52,35.86,87,600,0
2023-11-08 17:00:00,35.86,35.86,35.64,35.68,87,400,0
2023-11-08 18:00:00,35.68,35.76,35.58,35.6,56,400,0
2023-11-09 10:00:00,36.1,36.26,36.1,36.1,13,1800,0
2023-11-09 11:00:00,36.1,36.28,36.02,36.24,29,800,0
