time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,46.67,46.83,46.67,46.75,78,400,0
2023-11-03 12:00:00,46.75,46.83,46.67,46.71,105,400,0
2023-11-03 13:00:00,46.74,46.78,46.67,46.67,75,200,0
2023-11-03 14:00:00,46.69,46.7,46.37,46.37,76,300,0
2023-11-03 15:00:00,46.37,46.71,46.34,46.68,88,300,0
2023-11-03 16:00:00,46.7,46.71,46.46,46.68,113,300,0
2023-11-03 17:00:00,46.68,46.79,46.5,46.66,221,100,0
2023-11-03 18:00:00,46.67,46.71,46.38,46.56,188,100,0
2023-11-03 19:00:00,46.48,46.54,46.32,46.52,82,200,0
2023-11-06 10:00:00,45.93,46.32,45.93,46.06,71,500,0
2023-11-06 11:00:00,46.1,46.11,45.85,45.97,34,600,0
2023-11-06 12:00:00,45.89,46.11,45.85,45.92,52,300,0
2023-11-06 13:00:00,45.82,45.94,45.73,45.88,87,200,0
2023-11-06 14:00:00,45.87,45.87,45.6,45.67,77,200,0
2023-11-06 15:00:00,45.81,45.89,45.68,45.87,85,100,0
2023-11-06 16:00:00,45.91,45.91,45.65,45.68,153,100,0
2023-11-06 17:00:00,45.77,45.89,45.53,45.81,171,200,0
2023-11-06 18:00:00,45.82,45.86,45.61,45.68,81,300,0
2023-11-07 10:00:00,45.62,45.91,45.44,45.9,159,300,0
2023-11-07 11:00:00,45.76,45.96,45.66,45.7,103,400,0
2023-11-07 12:00:00,45.7,46.0,45.67,45.9,128,200,0
2023-11-07 13:00:00,45.9,45.91,45.71,45.8,82,200,0
2023-11-07 14:00:00,45.8,45.89,45.66,45.86,107,200,0
2023-11-07 15:00:00,45.89,45.99,45.66,45.96,128,200,0
2023-11-07 16:00:00,45.95,46.15,45.84,46.07,147,300,0
2023-11-07 17:00:00,46.02,46.12,45.87,46.05,166,200,0
2023-11-07 18:00:00,46.05,46.07,45.78,45.95,84,300,0
2023-11-08 10:00:00,45.33,45.64,45.33,45.54,33,600,0
2023-11-08 11:00:00,45.51,45.63,45.45,45.45,9,500,0
2023-11-08 12:00:00,45.41,45.69,45.33,45.62,26,400,0
2023-11-08 13:00:00,45.63,45.72,45.52,45.65,25,400,0
2023-11-08 14:00:00,45.65,45.78,45.52,45.7,42,700,0
2023-11-08 15:00:00,45.7,45.7,45.56,45.56,36,400,0
2023-11-08 16:00:00,45.56,46.01,45.47,45.89,93,300,0
2023-11-08 17:00:00,45.83,46.04,45.71,45.75,107,300,0
2023-11-08 18:00:00,45.83,45.88,45.71,45.77,73,100,0
2023-11-09 10:00:00,45.63,45.94,45.62,45.73,97,700,0
2023-11-09 11:00:00,45.73,45.94,45.7,45.73,20,700,0
2023-11-09 12:00:00,45.87,46.06,45.87,45.91,35,200,0
2023-11-09 13:00:00,45.99,46.1,45.88,46.05,37,200,0
2023-11-09 14:00:00,46.06,46.32,46.05,46.3,66,200,0
2023-11-09 15:00:00,46.26,46.5,46.24,46.37,84,300,0
2023-11-09 16:00:00,46.42,46.51,46.25,46.36,96,200,0
2023-11-09 17:00:00,46.32,46.42,46.12,46.39,197,200,0
2023-11-09 18:00:00,46.39,46.62,46.29,46.53,74,100,0
2023-11-10 10:00:00,46.51,46.63,46.21,46.26,193,100,0
2023-11-10 11:00:00,46.32,46.43,46.18,46.37,65,200,0
2023-11-10 12:00:00,46.33,46.37,46.1,46.18,146,200,0
2023-11-10 13:00:00,46.19,46.24,46.0,46.09,101,200,0
2023-11-10 14:00:00,46.02,46.2,46.02,46.19,109,100,0
2023-11-10 15:00:00,46.15,46.42,46.15,46.38,129,100,0
2023-11-10 16:00:00,46.38,46.42,46.08,46.08,178,200,0
