time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,19.9,20.46,19.9,20.34,101,600,0
2023-11-03 12:00:00,20.38,20.46,20.26,20.4,138,600,0
2023-11-03 13:00:00,20.38,20.46,20.16,20.26,90,400,0
2023-11-03 14:00:00,20.34,20.36,20.2,20.22,59,600,0
2023-11-03 15:00:00,20.22,20.54,20.18,20.54,115,400,0
2023-11-03 16:00:00,20.52,20.74,20.4,20.7,201,600,0
2023-11-03 17:00:00,20.7,20.76,20.46,20.46,147,400,0
2023-11-03 18:00:00,20.56,20.56,20.38,20.5,159,400,0
2023-11-03 19:00:00,20.5,20.58,20.5,20.54,64,200,0
2023-11-06 10:00:00,20.34,20.44,20.14,20.4,96,800,0
2023-11-06 11:00:00,20.26,20.5,20.24,20.36,90,400,0
2023-11-06 12:00:00,20.28,20.52,20.26,20.42,95,400,0
2023-11-06 13:00:00,20.44,20.5,20.36,20.5,58,600,0
2023-11-06 14:00:00,20.46,20.54,20.4,20.46,77,400,0
2023-11-06 15:00:00,20.5,20.5,20.36,20.44,85,200,0
2023-11-06 16:00:00,20.44,20.46,20.06,20.16,182,400,0
2023-11-06 17:00:00,20.16,20.38,20.12,20.38,132,200,0
2023-11-06 18:00:00,20.36,20.38,20.28,20.34,45,400,0
2023-11-07 10:00:00,20.5,20.82,20.44,20.44,151,400,0
2023-11-07 11:00:00,20.44,20.76,20.44,20.7,123,400,0
2023-11-07 12:00:00,20.72,20.8,20.68,20.68,103,400,0
2023-11-07 13:00:00,20.68,20.74,20.6,20.64,84,400,0
2023-11-07 14:00:00,20.62,20.64,20.44,20.44,86,400,0
2023-11-07 15:00:00,20.44,20.54,20.42,20.46,105,400,0
2023-11-07 16:00:00,20.42,20.54,20.32,20.52,152,200,0
2023-11-07 17:00:00,20.52,20.58,20.32,20.5,172,400,0
2023-11-07 18:00:00,20.54,20.58,20.44,20.5,63,400,0
2023-11-08 10:00:00,20.28,20.44,20.24,20.44,55,800,0
2023-11-08 11:00:00,20.4,20.44,20.34,20.4,50,400,0
