time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,4.294,4.418,4.209,4.406,277,130,0
2023-11-03 12:00:00,4.406,4.437,4.364,4.412,150,110,0
2023-11-03 13:00:00,4.412,4.445,4.408,4.436,76,140,0
2023-11-03 14:00:00,4.436,4.465,4.424,4.446,86,20,0
2023-11-03 15:00:00,4.466,4.5,4.428,4.466,212,50,0
2023-11-03 16:00:00,4.471,4.504,4.457,4.492,189,40,0
2023-11-03 17:00:00,4.492,4.503,4.341,4.341,252,40,0
2023-11-03 18:00:00,4.391,4.404,4.271,4.327,290,50,0
2023-11-03 19:00:00,4.331,4.356,4.309,4.355,91,30,0
2023-11-06 10:00:00,4.359,4.381,4.308,4.328,140,50,0
2023-11-06 11:00:00,4.329,4.381,4.245,4.298,136,50,0
2023-11-06 12:00:00,4.317,4.354,4.298,4.33,104,140,0
2023-11-06 13:00:00,4.33,4.349,4.271,4.286,110,150,0
2023-11-06 14:00:00,4.284,4.304,4.284,4.293,87,120,0
2023-11-06 15:00:00,4.304,4.341,4.293,4.338,136,90,0
2023-11-06 16:00:00,4.33,4.338,4.288,4.3,155,40,0
2023-11-06 17:00:00,4.3,4.322,4.286,4.316,191,30,0
2023-11-06 18:00:00,4.304,4.316,4.286,4.296,73,30,0
2023-11-07 10:00:00,4.217,4.309,4.217,4.309,125,130,0
2023-11-07 11:00:00,4.286,4.339,4.286,4.323,109,120,0
2023-11-07 12:00:00,4.33,4.343,4.296,4.322,106,40,0
2023-11-07 13:00:00,4.322,4.322,4.266,4.306,145,80,0
2023-11-07 14:00:00,4.298,4.314,4.279,4.292,108,20,0
2023-11-07 15:00:00,4.296,4.363,4.283,4.349,160,80,0
2023-11-07 16:00:00,4.349,4.355,4.324,4.324,158,40,0
2023-11-07 17:00:00,4.324,4.35,4.309,4.345,182,30,0
2023-11-07 18:00:00,4.345,4.35,4.335,4.336,77,30,0
2023-11-08 10:00:00,4.239,4.28,4.239,4.28,98,150,0
2023-11-08 11:00:00,4.276,4.288,4.251,4.286,92,70,0
2023-11-08 12:00:00,4.286,4.286,4.269,4.2780000000000005,44,100,0
2023-11-08 13:00:00,4.2780000000000005,4.304,4.272,4.293,83,40,0
2023-11-08 14:00:00,4.284,4.304,4.189,4.241,188,60,0
2023-11-08 15:00:00,4.247,4.259,4.222,4.247,86,70,0
2023-11-08 16:00:00,4.247,4.279,4.235,4.255,107,40,0
2023-11-08 17:00:00,4.255,4.277,4.234,4.245,168,30,0
2023-11-08 18:00:00,4.259,4.261,4.234,4.256,94,20,0
2023-11-09 10:00:00,4.223,4.298,4.223,4.284,136,160,0
2023-11-09 11:00:00,4.284,4.298,4.232,4.233,78,90,0
2023-11-09 12:00:00,4.233,4.284,4.229,4.266,123,60,0
2023-11-09 13:00:00,4.259,4.325,4.254,4.315,130,90,0
2023-11-09 14:00:00,4.315,4.315,4.19,4.255,197,90,0
2023-11-09 15:00:00,4.255,4.259,4.215,4.242,115,50,0
2023-11-09 16:00:00,4.235,4.259,4.159,4.214,167,50,0
2023-11-09 17:00:00,4.21,4.216,4.148,4.204,390,30,0
2023-11-09 18:00:00,4.204,4.212,4.143,4.153,198,50,0
2023-11-10 10:00:00,4.032,4.108,4.022,4.069,226,90,0
2023-11-10 11:00:00,4.091,4.173,4.055,4.135,169,30,0
2023-11-10 12:00:00,4.166,4.175,4.132,4.148,152,50,0
2023-11-10 13:00:00,4.145,4.151,4.082,4.133,182,40,0
2023-11-10 14:00:00,4.13,4.156,4.096,4.145,209,40,0
2023-11-10 15:00:00,4.145,4.199,4.122,4.149,232,20,0
2023-11-10 16:00:00,4.164,4.187,4.128,4.183,216,40,0
2023-11-10 17:00:00,4.187,4.208,4.158,4.2,219,30,0
2023-11-10 18:00:00,4.201,4.246,4.152,4.222,130,30,0
2023-11-13 10:00:00,4.118,4.201,4.118,4.189,201,170,0
2023-11-13 11:00:00,4.189,4.198,4.141,4.154,162,130,0
2023-11-13 12:00:00,4.155,4.173,4.141,4.169,66,60,0
2023-11-13 13:00:00,4.166,4.183,4.15,4.173,62,60,0
2023-11-13 14:00:00,4.16,4.187,4.16,4.177,85,80,0
2023-11-13 15:00:00,4.177,4.187,4.16,4.175,112,50,0
2023-11-13 16:00:00,4.175,4.183,4.145,4.15,86,50,0
2023-11-13 17:00:00,4.166,4.185,4.145,4.166,107,40,0
2023-11-13 18:00:00,4.166,4.2,4.166,4.194,92,30,0
2023-11-14 10:00:00,4.157,4.214,4.157,4.19,107,70,0
2023-11-14 11:00:00,4.199,4.229,4.18,4.217,85,60,0
2023-11-14 12:00:00,4.217,4.225,4.187,4.187,81,70,0
2023-11-14 13:00:00,4.187,4.192,4.155,4.156,59,80,0
2023-11-14 14:00:00,4.156,4.201,4.155,4.201,75,60,0
2023-11-14 15:00:00,4.195,4.331,4.19,4.32,183,60,0
2023-11-14 16:00:00,4.303,4.374,4.292,4.363,278,40,0
2023-11-14 17:00:00,4.342,4.371,4.307,4.326,271,30,0
2023-11-14 18:00:00,4.338,4.345,4.318,4.34,106,30,0
2023-11-15 10:00:00,4.383,4.476,4.351,4.463,220,110,0
2023-11-15 11:00:00,4.47,4.486,4.401,4.414,217,30,0
2023-11-15 12:00:00,4.416,4.497,4.411,4.486,253,30,0
2023-11-15 13:00:00,4.481,4.554,4.457,4.532,234,30,0
2023-11-15 14:00:00,4.532,4.554,4.499,4.535,172,50,0
2023-11-15 15:00:00,4.535,4.542,4.469,4.498,302,30,0
2023-11-15 16:00:00,4.498,4.525,4.477,4.497,244,20,0
2023-11-15 17:00:00,4.497,4.559,4.497,4.547,362,20,0
2023-11-15 18:00:00,4.547,4.568,4.499,4.521,224,30,0
2023-11-16 10:00:00,4.482,4.521,4.452,4.493,228,70,0
2023-11-16 11:00:00,4.493,4.527,4.477,4.527,155,40,0
