time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.995,10.28,9.995,10.25,121,400,0
2023-11-03 12:00:00,10.25,10.28,10.16,10.17,72,200,0
2023-11-03 13:00:00,10.21,10.26,10.16,10.16,77,200,0
2023-11-03 14:00:00,10.24,10.27,10.16,10.16,31,300,0
2023-11-03 15:00:00,10.21,10.38,10.16,10.34,37,300,0
2023-11-03 16:00:00,10.36,10.43,10.22,10.43,106,100,0
2023-11-03 17:00:00,10.43,10.43,10.3,10.3,73,100,0
2023-11-03 18:00:00,10.3,10.36,10.24,10.3,55,100,0
2023-11-03 19:00:00,10.31,10.33,10.23,10.32,32,100,0
2023-11-06 10:00:00,10.27,10.27,10.15,10.26,26,500,0
2023-11-06 11:00:00,10.27,10.29,10.15,10.28,55,300,0
2023-11-06 12:00:00,10.29,10.34,10.26,10.27,75,200,0
2023-11-06 13:00:00,10.27,10.36,10.27,10.34,46,200,0
2023-11-06 14:00:00,10.34,10.36,10.33,10.33,32,200,0
2023-11-06 15:00:00,10.33,10.34,10.31,10.31,40,200,0
2023-11-06 16:00:00,10.32,10.35,10.24,10.24,71,100,0
2023-11-06 17:00:00,10.29,10.29,10.22,10.27,81,100,0
2023-11-06 18:00:00,10.27,10.27,10.19,10.21,48,200,0
2023-11-07 10:00:00,10.16,10.27,10.13,10.15,83,200,0
2023-11-07 11:00:00,10.15,10.24,10.13,10.2,27,200,0
2023-11-07 12:00:00,10.17,10.24,10.17,10.23,31,300,0
2023-11-07 13:00:00,10.23,10.23,10.11,10.11,41,200,0
2023-11-07 14:00:00,10.15,10.17,10.14,10.14,32,200,0
2023-11-07 15:00:00,10.16,10.19,10.14,10.17,38,300,0
2023-11-07 16:00:00,10.17,10.23,10.11,10.19,59,100,0
2023-11-07 17:00:00,10.19,10.27,10.18,10.25,96,200,0
2023-11-07 18:00:00,10.27,10.3,10.24,10.25,48,200,0
2023-11-08 10:00:00,10.25,10.37,10.12,10.35,58,200,0
2023-11-08 11:00:00,10.36,10.37,10.19,10.27,55,200,0
2023-11-08 12:00:00,10.28,10.3,10.15,10.15,87,300,0
2023-11-08 13:00:00,10.15,10.29,10.15,10.24,73,300,0
2023-11-08 14:00:00,10.24,10.26,10.19,10.26,87,300,0
2023-11-08 15:00:00,10.2,10.29,10.2,10.27,59,100,0
2023-11-08 16:00:00,10.27,10.38,10.27,10.37,63,200,0
