time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,3.749,3.893,3.749,3.849,354,60,0
2023-11-03 12:00:00,3.847,3.893,3.821,3.821,226,40,0
2023-11-03 13:00:00,3.856,3.862,3.82,3.824,310,30,0
2023-11-03 14:00:00,3.822,3.846,3.82,3.841,251,40,0
2023-11-03 15:00:00,3.841,3.885,3.821,3.87,288,30,0
2023-11-03 16:00:00,3.869,3.943,3.86,3.917,458,30,0
2023-11-03 17:00:00,3.907,3.949,3.901,3.908,331,30,0
2023-11-03 18:00:00,3.913,3.937,3.89,3.929,399,20,0
2023-11-03 19:00:00,3.929,3.936,3.898,3.911,191,30,0
2023-11-06 10:00:00,4.037,4.077,3.945,4.018,520,70,0
2023-11-06 11:00:00,4.032,4.062,4.02,4.047,247,20,0
2023-11-06 12:00:00,4.045,4.082,4.032,4.076,341,20,0
2023-11-06 13:00:00,4.064,4.088,4.053,4.082,225,30,0
2023-11-06 14:00:00,4.082,4.119,4.053,4.109,216,30,0
2023-11-06 15:00:00,4.112,4.112,4.06,4.068,222,30,0
2023-11-06 16:00:00,4.068,4.08,3.993,4.03,322,30,0
2023-11-06 17:00:00,4.031,4.032,3.978,4.0,405,20,0
2023-11-06 18:00:00,4.001,4.002,3.967,3.977,212,10,0
2023-11-07 10:00:00,3.947,4.033,3.94,4.009,193,50,0
2023-11-07 11:00:00,4.009,4.041,3.979,3.994,270,50,0
2023-11-07 12:00:00,3.996,4.02,3.986,3.999,203,30,0
2023-11-07 13:00:00,4.001,4.005,3.987,3.988,134,30,0
2023-11-07 14:00:00,3.983,3.999,3.98,3.992,204,20,0
2023-11-07 15:00:00,3.99,3.994,3.96,3.967,155,20,0
2023-11-07 16:00:00,3.962,4.0,3.96,3.998,207,30,0
2023-11-07 17:00:00,3.998,4.024,3.977,4.004,239,30,0
2023-11-07 18:00:00,4.004,4.024,4.0,4.006,109,20,0
2023-11-08 10:00:00,3.904,4.013,3.904,4.0,322,40,0
2023-11-08 11:00:00,4.001,4.021,3.959,4.003,315,50,0
2023-11-08 12:00:00,4.003,4.016,3.988,4.012,235,50,0
2023-11-08 13:00:00,4.013,4.016,3.998,4.008,169,40,0
2023-11-08 14:00:00,4.004,4.03,3.998,4.014,210,40,0
2023-11-08 15:00:00,4.026,4.039,4.007,4.022,182,40,0
2023-11-08 16:00:00,4.03,4.055,4.018,4.022,306,20,0
2023-11-08 17:00:00,4.043,4.055,4.019,4.037,449,20,0
2023-11-08 18:00:00,4.037,4.044,4.021,4.04,192,10,0
2023-11-09 10:00:00,4.048,4.064,3.986,4.001,441,30,0
2023-11-09 11:00:00,4.005,4.055,3.99,4.039,301,20,0
2023-11-09 12:00:00,4.043,4.091,4.032,4.081,206,20,0
2023-11-09 13:00:00,4.082,4.093,4.061,4.087,181,40,0
