time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,26.0,26.23,25.85,26.15,349,100,0
2023-11-03 12:00:00,26.14,26.27,26.14,26.24,416,100,0
2023-11-03 13:00:00,26.25,26.26,26.17,26.2,323,100,0
2023-11-03 14:00:00,26.21,26.23,26.1,26.16,315,100,0
2023-11-03 15:00:00,26.16,26.32,26.12,26.22,388,100,0
2023-11-03 16:00:00,26.22,26.36,26.21,26.35,460,100,0
2023-11-03 17:00:00,26.37,26.5,26.23,26.39,516,100,0
2023-11-03 18:00:00,26.38,26.49,26.35,26.39,321,100,0
2023-11-03 19:00:00,26.39,26.41,26.35,26.39,116,100,0
2023-11-06 10:00:00,26.4,26.45,26.23,26.27,446,100,0
2023-11-06 11:00:00,26.27,26.33,26.1,26.2,356,100,0
2023-11-06 12:00:00,26.2,26.25,26.08,26.16,389,100,0
2023-11-06 13:00:00,26.1,26.17,25.97,26.04,241,100,0
2023-11-06 14:00:00,26.03,26.13,26.03,26.13,276,100,0
2023-11-06 15:00:00,26.13,26.21,26.07,26.15,252,100,0
2023-11-06 16:00:00,26.15,26.18,25.97,26.05,420,100,0
2023-11-06 17:00:00,26.05,26.14,25.99,26.12,321,100,0
2023-11-06 18:00:00,26.1,26.14,26.07,26.1,115,100,0
2023-11-07 10:00:00,26.08,26.38,26.01,26.27,389,100,0
2023-11-07 11:00:00,26.27,26.38,26.22,26.24,353,100,0
2023-11-07 12:00:00,26.25,26.36,26.23,26.33,427,100,0
2023-11-07 13:00:00,26.33,26.48,26.29,26.48,366,100,0
2023-11-07 14:00:00,26.48,26.48,26.35,26.39,321,100,0
2023-11-07 15:00:00,26.36,26.44,26.32,26.37,347,100,0
2023-11-07 16:00:00,26.42,26.6,26.36,26.57,395,100,0
2023-11-07 17:00:00,26.58,26.6,26.48,26.56,421,100,0
2023-11-07 18:00:00,26.56,26.6,26.5,26.52,146,100,0
2023-11-08 10:00:00,26.49,26.6,26.39,26.55,478,100,0
2023-11-08 11:00:00,26.56,26.6,26.48,26.52,345,100,0
2023-11-08 12:00:00,26.55,26.6,26.47,26.56,341,100,0
2023-11-08 13:00:00,26.57,26.6,26.55,26.57,350,100,0
2023-11-08 14:00:00,26.56,26.71,26.53,26.7,365,100,0
2023-11-08 15:00:00,26.69,26.73,26.53,26.55,302,100,0
2023-11-08 16:00:00,26.54,26.72,26.54,26.65,385,100,0
2023-11-08 17:00:00,26.66,26.72,26.53,26.56,405,100,0
2023-11-08 18:00:00,26.56,26.59,26.53,26.56,122,100,0
2023-11-09 10:00:00,26.62,26.86,26.56,26.69,475,100,0
2023-11-09 11:00:00,26.7,26.77,26.62,26.69,329,100,0
2023-11-09 12:00:00,26.7,26.9,26.65,26.89,316,100,0
2023-11-09 13:00:00,26.9,26.98,26.83,26.93,376,100,0
2023-11-09 14:00:00,26.95,27.05,26.93,26.97,330,100,0
2023-11-09 15:00:00,26.99,27.07,26.98,27.03,393,100,0
2023-11-09 16:00:00,27.03,27.18,27.02,27.12,421,100,0
2023-11-09 17:00:00,27.12,27.18,26.93,27.04,475,100,0
2023-11-09 18:00:00,27.04,27.13,26.99,27.08,158,100,0
2023-11-10 10:00:00,26.89,27.07,26.89,26.96,503,100,0
2023-11-10 11:00:00,26.96,26.98,26.8,26.87,406,100,0
2023-11-10 12:00:00,26.87,26.89,26.69,26.76,340,100,0
2023-11-10 13:00:00,26.76,26.8,26.69,26.76,402,100,0
2023-11-10 14:00:00,26.76,26.9,26.73,26.89,342,100,0
2023-11-10 15:00:00,26.89,26.9,26.81,26.85,246,100,0
2023-11-10 16:00:00,26.86,26.98,26.78,26.83,362,100,0
2023-11-10 17:00:00,26.82,26.88,26.63,26.74,427,100,0
2023-11-10 18:00:00,26.74,26.83,26.7,26.77,152,100,0
2023-11-13 10:00:00,26.8,26.9,26.78,26.85,420,100,0
2023-11-13 11:00:00,26.85,26.88,26.74,26.77,283,100,0
2023-11-13 12:00:00,26.81,26.81,26.67,26.68,244,100,0
2023-11-13 13:00:00,26.68,26.73,26.56,26.57,292,100,0
2023-11-13 14:00:00,26.56,26.61,26.47,26.49,239,100,0
2023-11-13 15:00:00,26.49,26.54,26.47,26.49,242,100,0
2023-11-13 16:00:00,26.5,26.52,26.41,26.47,301,100,0
2023-11-13 17:00:00,26.5,26.51,26.43,26.45,246,100,0
2023-11-13 18:00:00,26.45,26.51,26.43,26.51,134,100,0
2023-11-14 10:00:00,26.39,26.5,26.11,26.47,432,100,0
2023-11-14 11:00:00,26.46,26.58,26.28,26.56,302,100,0
2023-11-14 12:00:00,26.55,26.56,26.41,26.43,239,100,0
2023-11-14 13:00:00,26.43,26.46,26.34,26.37,208,100,0
2023-11-14 14:00:00,26.37,26.47,26.35,26.47,202,100,0
2023-11-14 15:00:00,26.47,26.81,26.38,26.61,367,100,0
2023-11-14 16:00:00,26.62,26.9,26.61,26.74,451,100,0
2023-11-14 17:00:00,26.74,26.9,26.67,26.73,323,100,0
2023-11-14 18:00:00,26.74,26.84,26.68,26.74,161,100,0
2023-11-15 10:00:00,27.53,28.41,27.53,28.24,501,100,0
2023-11-15 11:00:00,28.25,28.33,28.1,28.17,414,100,0
2023-11-15 12:00:00,28.18,28.39,28.18,28.37,314,100,0
2023-11-15 13:00:00,28.38,28.74,28.27,28.62,319,100,0
2023-11-15 14:00:00,28.62,28.67,28.19,28.43,386,100,0
2023-11-15 15:00:00,28.42,28.53,28.3,28.43,301,100,0
2023-11-15 16:00:00,28.44,28.55,28.33,28.51,350,100,0
2023-11-15 17:00:00,28.51,28.75,28.47,28.71,361,100,0
2023-11-15 18:00:00,28.71,28.75,28.56,28.61,174,100,0
2023-11-16 10:00:00,28.91,29.25,28.76,29.16,554,100,0
2023-11-16 11:00:00,29.16,29.24,28.94,29.01,344,100,0
2023-11-16 12:00:00,29.05,29.17,28.94,29.06,333,100,0
2023-11-16 13:00:00,29.06,29.16,29.02,29.16,211,100,0
2023-11-16 14:00:00,29.12,29.16,29.04,29.13,315,100,0
2023-11-16 15:00:00,29.11,29.24,29.08,29.12,347,100,0
2023-11-16 16:00:00,29.11,29.26,29.04,29.25,330,100,0
2023-11-16 17:00:00,29.26,29.26,29.07,29.15,364,100,0
2023-11-16 18:00:00,29.11,29.22,29.0,29.05,187,100,0
2023-11-17 10:00:00,29.17,29.36,29.05,29.36,422,100,0
2023-11-17 11:00:00,29.37,29.42,29.23,29.34,316,100,0
2023-11-17 12:00:00,29.34,29.41,29.26,29.28,263,100,0
2023-11-17 13:00:00,29.28,29.33,29.16,29.22,297,100,0
2023-11-17 14:00:00,29.24,29.31,29.18,29.22,177,100,0
2023-11-17 15:00:00,29.22,29.32,29.18,29.32,217,100,0
2023-11-17 16:00:00,29.32,29.34,29.24,29.28,327,100,0
2023-11-17 17:00:00,29.29,29.37,29.25,29.31,252,100,0
2023-11-17 18:00:00,29.34,29.37,29.26,29.29,98,100,0
2023-11-20 10:00:00,29.24,29.36,29.04,29.28,277,100,0
2023-11-20 11:00:00,29.24,29.63,29.23,29.59,285,100,0
2023-11-20 12:00:00,29.51,29.7,29.42,29.52,296,100,0
2023-11-20 13:00:00,29.54,29.55,29.26,29.37,176,100,0
2023-11-20 14:00:00,29.37,29.4,29.32,29.35,150,100,0
2023-11-20 15:00:00,29.37,29.42,29.33,29.41,180,100,0
2023-11-20 16:00:00,29.4,29.47,29.28,29.29,266,100,0
2023-11-20 17:00:00,29.34,29.47,29.25,29.43,244,100,0
2023-11-20 18:00:00,29.43,29.46,29.29,29.36,116,100,0
2023-11-21 10:00:00,29.17,29.42,29.17,29.31,320,100,0
2023-11-21 11:00:00,29.32,29.4,29.24,29.37,261,100,0
2023-11-21 12:00:00,29.38,29.54,29.35,29.49,225,100,0
2023-11-21 13:00:00,29.51,29.54,29.38,29.47,205,100,0
2023-11-21 14:00:00,29.39,29.54,29.38,29.53,169,100,0
2023-11-21 15:00:00,29.52,29.53,29.39,29.44,264,100,0
2023-11-21 16:00:00,29.44,29.51,29.34,29.34,252,100,0
2023-11-21 17:00:00,29.34,29.46,29.13,29.3,343,100,0
2023-11-21 18:00:00,29.34,29.37,29.29,29.32,116,100,0
2023-11-22 10:00:00,29.38,29.47,29.24,29.37,424,100,0
2023-11-22 11:00:00,29.36,29.45,29.21,29.26,322,100,0
2023-11-22 12:00:00,29.31,29.35,29.22,29.32,280,100,0
2023-11-22 13:00:00,29.3,29.5,29.28,29.41,266,100,0
2023-11-22 14:00:00,29.41,29.46,29.19,29.28,205,100,0
2023-11-22 15:00:00,29.31,29.46,29.19,29.33,315,100,0
2023-11-22 16:00:00,29.34,29.39,29.13,29.18,270,100,0
2023-11-22 17:00:00,29.18,29.29,29.13,29.25,254,100,0
2023-11-22 18:00:00,29.25,29.28,29.21,29.22,112,100,0
2023-11-23 10:00:00,29.13,29.21,28.97,29.14,252,100,0
2023-11-23 11:00:00,29.12,29.18,28.93,28.97,207,100,0
2023-11-23 12:00:00,29.02,29.02,28.87,28.99,163,100,0
2023-11-23 13:00:00,28.98,29.07,28.94,29.0,176,100,0
2023-11-23 14:00:00,29.0,29.05,28.98,29.03,131,100,0
2023-11-23 15:00:00,29.03,29.09,29.02,29.07,133,100,0
2023-11-23 16:00:00,29.06,29.13,29.04,29.1,151,100,0
2023-11-23 17:00:00,29.1,29.19,29.08,29.13,169,100,0
2023-11-23 18:00:00,29.19,29.21,29.13,29.14,110,100,0
2023-11-24 10:00:00,28.95,29.07,28.91,28.93,239,100,0
2023-11-24 11:00:00,28.93,29.0,28.9,28.95,196,100,0
2023-11-24 12:00:00,28.91,29.0,28.9,28.92,142,100,0
2023-11-24 13:00:00,28.94,28.98,28.89,28.94,154,100,0
2023-11-24 14:00:00,28.95,29.05,28.91,29.02,135,100,0
2023-11-24 15:00:00,29.02,29.05,28.95,29.0,195,100,0
2023-11-24 16:00:00,29.03,29.08,28.94,29.06,183,100,0
