time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.66,8.76,8.66,8.71,65,500,0
2023-11-03 12:00:00,8.75,8.75,8.72,8.75,29,200,0
2023-11-03 13:00:00,8.72,8.75,8.7,8.71,15,200,0
2023-11-03 14:00:00,8.7,8.73,8.7,8.71,34,300,0
2023-11-03 15:00:00,8.7,8.73,8.69,8.71,101,400,0
2023-11-03 16:00:00,8.71,8.76,8.69,8.73,119,100,0
2023-11-03 17:00:00,8.73,8.76,8.71,8.71,121,200,0
2023-11-03 18:00:00,8.71,8.72,8.71,8.72,72,100,0
2023-11-03 19:00:00,8.71,8.73,8.69,8.72,71,100,0
2023-11-06 10:00:00,8.81,8.81,8.75,8.75,46,400,0
2023-11-06 11:00:00,8.75,8.79,8.75,8.75,39,500,0
2023-11-06 12:00:00,8.75,8.77,8.74,8.74,21,500,0
2023-11-06 13:00:00,8.74,8.77,8.73,8.76,38,200,0
2023-11-06 14:00:00,8.73,8.76,8.72,8.74,72,200,0
2023-11-06 15:00:00,8.74,8.76,8.73,8.76,83,200,0
2023-11-06 16:00:00,8.77,8.77,8.72,8.73,68,200,0
2023-11-06 17:00:00,8.74,8.74,8.72,8.74,108,300,0
2023-11-06 18:00:00,8.73,8.75,8.7,8.75,25,300,0
2023-11-07 10:00:00,8.68,8.77,8.63,8.72,75,200,0
2023-11-07 11:00:00,8.76,8.76,8.72,8.74,55,200,0
2023-11-07 12:00:00,8.72,8.77,8.72,8.76,38,200,0
2023-11-07 13:00:00,8.76,8.77,8.73,8.77,25,100,0
2023-11-07 14:00:00,8.76,8.77,8.76,8.76,9,100,0
2023-11-07 15:00:00,8.76,8.77,8.73,8.74,36,100,0
2023-11-07 16:00:00,8.74,8.78,8.73,8.77,58,200,0
2023-11-07 17:00:00,8.78,8.79,8.74,8.77,70,100,0
2023-11-07 18:00:00,8.79,8.8,8.76,8.76,48,200,0
2023-11-08 10:00:00,8.66,8.77,8.66,8.76,60,200,0
2023-11-08 11:00:00,8.76,8.78,8.74,8.78,63,200,0
2023-11-08 12:00:00,8.78,8.78,8.77,8.77,5,300,0
2023-11-08 13:00:00,8.77,8.79,8.74,8.77,37,100,0
2023-11-08 14:00:00,8.77,8.85,8.77,8.84,67,100,0
2023-11-08 15:00:00,8.84,8.85,8.81,8.85,36,100,0
2023-11-08 16:00:00,8.84,8.89,8.82,8.85,58,100,0
2023-11-08 17:00:00,8.85,8.89,8.84,8.84,92,100,0
2023-11-08 18:00:00,8.88,8.88,8.83,8.87,24,100,0
2023-11-09 10:00:00,8.81,8.85,8.77,8.82,68,200,0
2023-11-09 11:00:00,8.79,8.82,8.78,8.82,58,200,0
2023-11-09 12:00:00,8.81,8.88,8.81,8.88,53,200,0
2023-11-09 13:00:00,8.88,8.91,8.87,8.89,27,200,0
2023-11-09 14:00:00,8.9,8.95,8.9,8.94,25,100,0
2023-11-09 15:00:00,8.94,8.95,8.92,8.95,22,100,0
2023-11-09 16:00:00,8.92,8.98,8.92,8.95,87,100,0
2023-11-09 17:00:00,8.95,8.95,8.91,8.94,87,200,0
2023-11-09 18:00:00,8.93,8.98,8.92,8.96,40,100,0
2023-11-10 10:00:00,8.97,8.98,8.9,8.93,48,400,0
2023-11-10 11:00:00,8.95,8.98,8.9,8.93,46,300,0
2023-11-10 12:00:00,8.9,8.93,8.87,8.87,53,300,0
2023-11-10 13:00:00,8.88,8.89,8.87,8.88,54,400,0
2023-11-10 14:00:00,8.88,8.91,8.88,8.91,57,300,0
2023-11-10 15:00:00,8.91,8.92,8.89,8.9,73,200,0
2023-11-10 16:00:00,8.91,8.93,8.89,8.91,203,200,0
2023-11-10 17:00:00,8.91,8.93,8.87,8.87,103,100,0
2023-11-10 18:00:00,8.9,8.93,8.87,8.9,33,200,0
2023-11-13 10:00:00,8.84,8.97,8.84,8.93,54,600,0
2023-11-13 11:00:00,8.91,9.02,8.91,8.96,72,200,0
2023-11-13 12:00:00,8.95,9.0,8.95,8.97,37,200,0
2023-11-13 13:00:00,8.96,9.0,8.96,8.96,108,200,0
2023-11-13 14:00:00,8.96,8.97,8.95,8.96,49,300,0
2023-11-13 15:00:00,8.96,8.96,8.89,8.93,33,200,0
2023-11-13 16:00:00,8.93,8.96,8.92,8.96,76,100,0
2023-11-13 17:00:00,8.96,9.0,8.92,9.0,84,100,0
2023-11-13 18:00:00,9.0,9.03,8.99,9.03,27,100,0
2023-11-14 10:00:00,9.01,9.01,8.96,9.0,66,200,0
2023-11-14 11:00:00,9.0,9.03,8.98,9.02,40,200,0
2023-11-14 12:00:00,9.02,9.05,9.02,9.04,24,100,0
2023-11-14 13:00:00,9.04,9.04,9.01,9.01,18,100,0
2023-11-14 14:00:00,9.02,9.03,9.0,9.0,20,100,0
2023-11-14 15:00:00,9.0,9.1,8.98,9.05,93,100,0
2023-11-14 16:00:00,9.06,9.06,9.04,9.04,90,100,0
2023-11-14 17:00:00,9.04,9.05,9.03,9.04,68,100,0
2023-11-14 18:00:00,9.04,9.05,9.03,9.05,28,100,0
2023-11-15 10:00:00,9.08,9.16,9.01,9.12,49,200,0
2023-11-15 11:00:00,9.12,9.18,9.1,9.13,59,300,0
2023-11-15 12:00:00,9.13,9.16,9.12,9.13,31,500,0
2023-11-15 13:00:00,9.12,9.13,9.05,9.07,55,300,0
2023-11-15 14:00:00,9.1,9.12,9.05,9.11,58,200,0
2023-11-15 15:00:00,9.12,9.16,9.08,9.11,113,200,0
2023-11-15 16:00:00,9.11,9.15,9.1,9.12,80,300,0
2023-11-15 17:00:00,9.11,9.17,9.11,9.15,85,200,0
2023-11-15 18:00:00,9.13,9.16,9.11,9.13,21,300,0
2023-11-16 10:00:00,9.04,9.16,9.0,9.15,84,200,0
2023-11-16 11:00:00,9.14,9.15,9.06,9.07,53,200,0
2023-11-16 12:00:00,9.06,9.12,9.06,9.12,18,300,0
2023-11-16 13:00:00,9.12,9.13,9.07,9.07,77,100,0
2023-11-16 14:00:00,9.08,9.09,9.03,9.07,92,100,0
2023-11-16 15:00:00,9.05,9.07,9.03,9.04,98,200,0
2023-11-16 16:00:00,9.04,9.06,9.02,9.04,73,100,0
2023-11-16 17:00:00,9.04,9.06,9.02,9.02,71,100,0
2023-11-16 18:00:00,9.02,9.02,9.01,9.01,42,100,0
2023-11-17 10:00:00,9.06,9.15,8.98,9.15,53,200,0
2023-11-17 11:00:00,9.14,9.15,9.14,9.14,21,100,0
2023-11-17 12:00:00,9.15,9.15,8.98,9.11,43,100,0
2023-11-17 13:00:00,9.11,9.13,9.04,9.07,55,100,0
2023-11-17 14:00:00,9.07,9.07,9.04,9.05,55,100,0
2023-11-17 15:00:00,9.05,9.06,9.02,9.03,100,100,0
2023-11-17 16:00:00,9.03,9.06,9.03,9.05,41,200,0
2023-11-17 17:00:00,9.05,9.07,9.03,9.04,60,100,0
2023-11-17 18:00:00,9.05,9.09,9.04,9.09,9,200,0
2023-11-20 10:00:00,9.06,9.1,9.04,9.07,53,300,0
2023-11-20 11:00:00,9.1,9.11,9.07,9.08,34,400,0
2023-11-20 12:00:00,9.08,9.11,9.08,9.09,23,400,0
2023-11-20 13:00:00,9.09,9.12,9.01,9.05,56,200,0
2023-11-20 14:00:00,9.06,9.07,9.01,9.01,51,100,0
2023-11-20 15:00:00,9.01,9.02,9.01,9.02,125,200,0
2023-11-20 16:00:00,9.02,9.04,8.99,9.02,75,100,0
2023-11-20 17:00:00,9.04,9.07,9.02,9.03,51,100,0
2023-11-20 18:00:00,9.04,9.09,9.04,9.08,20,200,0
2023-11-21 10:00:00,9.05,9.1,9.03,9.06,64,500,0
2023-11-21 11:00:00,9.06,9.09,9.0,9.0,26,300,0
2023-11-21 12:00:00,9.01,9.04,9.0,9.03,45,200,0
2023-11-21 13:00:00,9.02,9.03,9.01,9.01,49,100,0
2023-11-21 14:00:00,9.02,9.02,8.98,8.98,85,100,0
2023-11-21 15:00:00,8.98,9.01,8.91,8.98,36,200,0
2023-11-21 16:00:00,8.99,9.01,8.96,8.97,91,200,0
2023-11-21 17:00:00,9.0,9.04,8.97,8.98,95,100,0
2023-11-21 18:00:00,8.99,9.02,8.98,9.01,50,200,0
2023-11-22 10:00:00,8.97,9.0,8.93,9.0,49,300,0
2023-11-22 11:00:00,8.96,9.0,8.93,8.96,78,300,0
2023-11-22 12:00:00,8.97,9.02,8.95,9.02,60,300,0
2023-11-22 13:00:00,9.02,9.02,8.99,8.99,65,200,0
2023-11-22 14:00:00,8.98,9.0,8.93,8.97,82,100,0
2023-11-22 15:00:00,8.96,8.99,8.95,8.97,140,200,0
2023-11-22 16:00:00,8.99,9.03,8.96,8.96,116,100,0
2023-11-22 17:00:00,8.96,9.06,8.96,9.03,109,100,0
2023-11-22 18:00:00,9.03,9.06,9.01,9.04,57,100,0
2023-11-23 10:00:00,8.95,9.06,8.89,9.04,26,400,0
2023-11-23 11:00:00,9.04,9.06,8.96,8.96,62,300,0
2023-11-23 12:00:00,8.96,8.99,8.93,8.95,46,200,0
2023-11-23 13:00:00,8.96,8.99,8.94,8.99,36,200,0
2023-11-23 14:00:00,8.98,9.0,8.94,8.94,31,200,0
2023-11-23 15:00:00,9.0,9.01,8.96,9.0,23,100,0
2023-11-23 16:00:00,9.0,9.01,8.94,9.0,30,100,0
2023-11-23 17:00:00,9.0,9.02,8.94,9.02,24,100,0
2023-11-23 18:00:00,9.02,9.02,8.97,8.98,25,100,0
2023-11-24 10:00:00,8.93,8.94,8.86,8.87,46,200,0
2023-11-24 11:00:00,8.87,8.95,8.86,8.95,60,200,0
2023-11-24 12:00:00,8.93,8.98,8.93,8.98,44,400,0
2023-11-24 13:00:00,8.97,8.98,8.94,8.94,26,200,0
2023-11-24 14:00:00,8.94,8.96,8.89,8.93,37,200,0
2023-11-24 15:00:00,8.93,8.96,8.88,8.95,46,100,0
2023-11-24 16:00:00,8.92,8.96,8.87,8.92,61,100,0
2023-11-24 17:00:00,8.92,8.95,8.87,8.94,51,100,0
2023-11-24 18:00:00,8.94,8.95,8.91,8.95,31,100,0
2023-11-27 10:00:00,8.89,8.95,8.85,8.91,60,500,0
2023-11-27 11:00:00,8.94,8.95,8.84,8.87,27,400,0
2023-11-27 12:00:00,8.88,8.92,8.84,8.89,37,400,0
2023-11-27 13:00:00,8.89,8.89,8.88,8.88,22,500,0
2023-11-27 14:00:00,8.88,8.89,8.85,8.85,19,200,0
2023-11-27 15:00:00,8.86,8.86,8.85,8.86,69,300,0
2023-11-27 16:00:00,8.86,8.87,8.84,8.85,87,200,0
2023-11-27 17:00:00,8.85,8.89,8.84,8.89,140,200,0
2023-11-27 18:00:00,8.86,8.91,8.86,8.89,48,100,0
2023-11-28 10:00:00,8.89,8.89,8.75,8.77,103,200,0
2023-11-28 11:00:00,8.77,8.81,8.76,8.8,70,300,0
2023-11-28 12:00:00,8.81,8.82,8.77,8.81,40,200,0
2023-11-28 13:00:00,8.81,8.82,8.78,8.82,54,100,0
2023-11-28 14:00:00,8.82,8.84,8.78,8.83,29,100,0
2023-11-28 15:00:00,8.84,8.85,8.78,8.82,74,100,0
2023-11-28 16:00:00,8.82,8.86,8.82,8.85,93,100,0
2023-11-28 17:00:00,8.84,8.88,8.82,8.85,71,100,0
2023-11-28 18:00:00,8.84,8.88,8.84,8.87,42,100,0
