time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.762,0.7865,0.7475,0.784,129,95,0
2023-11-03 12:00:00,0.78,0.7865,0.7715,0.775,101,70,0
2023-11-03 13:00:00,0.775,0.775,0.7675,0.768,33,70,0
2023-11-03 14:00:00,0.7715,0.776,0.768,0.771,44,70,0
2023-11-03 15:00:00,0.771,0.7795,0.771,0.7795,34,50,0
2023-11-03 16:00:00,0.78,0.794,0.7755,0.788,61,45,0
2023-11-03 17:00:00,0.7925,0.8,0.7885,0.79,116,75,0
2023-11-03 18:00:00,0.791,0.792,0.789,0.789,50,80,0
2023-11-03 19:00:00,0.7905,0.7905,0.787,0.787,27,65,0
2023-11-06 10:00:00,0.768,0.7985,0.768,0.7985,72,145,0
2023-11-06 11:00:00,0.797,0.797,0.7855,0.786,33,70,0
2023-11-06 12:00:00,0.786,0.7965,0.7855,0.7875,92,15,0
2023-11-06 13:00:00,0.787,0.7935,0.787,0.7895,24,80,0
2023-11-06 14:00:00,0.79,0.792,0.7895,0.79,13,55,0
2023-11-06 15:00:00,0.792,0.7965,0.79,0.792,27,35,0
2023-11-06 16:00:00,0.793,0.793,0.777,0.7835,76,55,0
2023-11-06 17:00:00,0.7765,0.7835,0.769,0.777,93,45,0
2023-11-06 18:00:00,0.779,0.7825,0.773,0.7775,61,70,0
2023-11-07 10:00:00,0.767,0.7865,0.767,0.7855,50,160,0
2023-11-07 11:00:00,0.79,0.7945,0.782,0.7915,49,90,0
2023-11-07 12:00:00,0.7915,0.7915,0.7655,0.774,63,70,0
2023-11-07 13:00:00,0.768,0.772,0.7655,0.7675,62,55,0
2023-11-07 14:00:00,0.767,0.772,0.7645,0.765,31,75,0
2023-11-07 15:00:00,0.77,0.77,0.762,0.7665,39,25,0
2023-11-07 16:00:00,0.7625,0.7665,0.7615,0.765,20,15,0
2023-11-07 17:00:00,0.765,0.765,0.748,0.7525,41,15,0
2023-11-07 18:00:00,0.7525,0.7535,0.7525,0.7535,15,5,0
2023-11-08 10:00:00,0.7395,0.7515,0.7245,0.742,51,55,0
2023-11-08 11:00:00,0.741,0.7425,0.7255,0.7255,51,70,0
2023-11-08 12:00:00,0.7265,0.7335,0.7175,0.732,135,45,0
2023-11-08 13:00:00,0.727,0.736,0.727,0.7295,51,20,0
2023-11-08 14:00:00,0.7295,0.7385,0.7295,0.735,71,30,0
2023-11-08 15:00:00,0.736,0.7415,0.735,0.739,39,40,0
2023-11-08 16:00:00,0.7445,0.753,0.739,0.7485,89,35,0
2023-11-08 17:00:00,0.7535,0.7535,0.743,0.747,68,15,0
2023-11-08 18:00:00,0.749,0.7505,0.74,0.743,35,25,0
2023-11-09 10:00:00,0.721,0.7375,0.721,0.737,51,320,0
2023-11-09 11:00:00,0.7365,0.7425,0.7365,0.7425,25,170,0
2023-11-09 12:00:00,0.743,0.743,0.7335,0.74,29,110,0
2023-11-09 13:00:00,0.741,0.7445,0.7405,0.744,22,35,0
2023-11-09 14:00:00,0.744,0.746,0.744,0.746,15,25,0
2023-11-09 15:00:00,0.746,0.7485,0.744,0.7485,27,55,0
2023-11-09 16:00:00,0.744,0.748,0.7435,0.7435,17,40,0
2023-11-09 17:00:00,0.7445,0.767,0.7435,0.7565,59,35,0
2023-11-09 18:00:00,0.766,0.767,0.7565,0.7635,55,40,0
2023-11-10 10:00:00,0.7535,0.775,0.7535,0.7705,66,110,0
2023-11-10 11:00:00,0.77,0.774,0.759,0.7635,84,65,0
2023-11-10 12:00:00,0.764,0.764,0.759,0.7615,16,100,0
2023-11-10 13:00:00,0.7615,0.7645,0.7515,0.764,48,50,0
2023-11-10 14:00:00,0.764,0.77,0.764,0.7695,13,25,0
2023-11-10 15:00:00,0.7695,0.7715,0.7655,0.7665,20,20,0
2023-11-10 16:00:00,0.767,0.7715,0.7635,0.765,29,20,0
2023-11-10 17:00:00,0.758,0.7705,0.758,0.767,49,35,0
2023-11-10 18:00:00,0.762,0.77,0.762,0.769,34,25,0
2023-11-13 10:00:00,0.7625,0.7805,0.7625,0.77,29,50,0
2023-11-13 11:00:00,0.777,0.7875,0.7745,0.7845,52,50,0
2023-11-13 12:00:00,0.7875,0.7875,0.7755,0.7795,19,40,0
2023-11-13 13:00:00,0.7795,0.7795,0.7765,0.7765,10,45,0
2023-11-13 14:00:00,0.7765,0.7765,0.7685,0.769,12,95,0
2023-11-13 15:00:00,0.769,0.773,0.769,0.773,9,125,0
2023-11-13 16:00:00,0.7735,0.7795,0.773,0.777,32,35,0
2023-11-13 17:00:00,0.777,0.777,0.7765,0.777,10,60,0
2023-11-13 18:00:00,0.7785,0.78,0.7735,0.778,24,10,0
2023-11-14 10:00:00,0.7555,0.7865,0.7555,0.7795,97,115,0
2023-11-14 11:00:00,0.7865,0.7915,0.779,0.7865,47,35,0
2023-11-14 12:00:00,0.7865,0.7865,0.7765,0.777,50,25,0
2023-11-14 13:00:00,0.7765,0.777,0.7705,0.7705,19,75,0
2023-11-14 14:00:00,0.7705,0.778,0.7705,0.7775,32,40,0
2023-11-14 15:00:00,0.781,0.783,0.7755,0.779,47,5,0
2023-11-14 16:00:00,0.779,0.7895,0.778,0.7895,62,5,0
2023-11-14 17:00:00,0.7835,0.7905,0.7835,0.7905,45,15,0
2023-11-14 18:00:00,0.79,0.797,0.7895,0.795,26,15,0
2023-11-15 10:00:00,0.783,0.812,0.7825,0.805,96,80,0
2023-11-15 11:00:00,0.808,0.8165,0.791,0.806,157,55,0
2023-11-15 12:00:00,0.8065,0.8115,0.8005,0.807,66,50,0
2023-11-15 13:00:00,0.8075,0.8155,0.8055,0.813,52,45,0
2023-11-15 14:00:00,0.814,0.814,0.806,0.81,27,20,0
2023-11-15 15:00:00,0.8095,0.814,0.7895,0.793,124,30,0
2023-11-15 16:00:00,0.7965,0.8015,0.7895,0.7975,117,40,0
2023-11-15 17:00:00,0.798,0.805,0.7915,0.802,101,10,0
2023-11-15 18:00:00,0.805,0.805,0.7955,0.802,53,10,0
2023-11-16 10:00:00,0.767,0.782,0.767,0.779,32,185,0
2023-11-16 11:00:00,0.779,0.7925,0.778,0.7865,76,45,0
2023-11-16 12:00:00,0.7895,0.794,0.787,0.7935,61,80,0
2023-11-16 13:00:00,0.7935,0.7945,0.7905,0.7925,19,40,0
2023-11-16 14:00:00,0.794,0.794,0.775,0.7885,72,35,0
2023-11-16 15:00:00,0.7855,0.795,0.7855,0.795,82,60,0
2023-11-16 16:00:00,0.789,0.795,0.7845,0.789,101,60,0
2023-11-16 17:00:00,0.787,0.7935,0.7845,0.7915,72,10,0
2023-11-16 18:00:00,0.7915,0.7915,0.777,0.7775,15,10,0
2023-11-17 10:00:00,0.7665,0.7835,0.7665,0.7835,33,230,0
2023-11-17 11:00:00,0.7875,0.7985,0.781,0.7855,67,25,0
