time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.16,8.23,8.16,8.22,73,400,0
2023-11-03 12:00:00,8.23,8.23,8.21,8.22,68,400,0
2023-11-03 13:00:00,8.22,8.22,8.19,8.2,45,400,0
2023-11-03 14:00:00,8.19,8.2,8.19,8.19,32,400,0
2023-11-03 15:00:00,8.19,8.22,8.19,8.2,52,300,0
2023-11-03 16:00:00,8.21,8.22,8.17,8.21,104,300,0
2023-11-03 17:00:00,8.21,8.21,8.18,8.2,89,200,0
2023-11-03 18:00:00,8.2,8.21,8.18,8.19,84,200,0
2023-11-03 19:00:00,8.19,8.19,8.19,8.19,16,200,0
2023-11-06 10:00:00,8.1,8.21,8.1,8.17,70,400,0
2023-11-06 11:00:00,8.16,8.18,8.15,8.16,62,200,0
2023-11-06 12:00:00,8.16,8.16,8.14,8.15,35,200,0
2023-11-06 13:00:00,8.14,8.15,8.14,8.15,26,300,0
2023-11-06 14:00:00,8.15,8.15,8.15,8.15,16,200,0
2023-11-06 15:00:00,8.15,8.17,8.15,8.17,45,300,0
2023-11-06 16:00:00,8.17,8.18,8.12,8.14,107,200,0
2023-11-06 17:00:00,8.14,8.14,8.11,8.13,58,200,0
2023-11-06 18:00:00,8.13,8.14,8.12,8.14,23,300,0
2023-11-07 10:00:00,8.14,8.18,8.14,8.18,52,400,0
2023-11-07 11:00:00,8.18,8.18,8.15,8.16,76,300,0
2023-11-07 12:00:00,8.17,8.18,8.15,8.18,46,300,0
2023-11-07 13:00:00,8.18,8.18,8.16,8.17,50,300,0
2023-11-07 14:00:00,8.17,8.18,8.16,8.18,56,300,0
2023-11-07 15:00:00,8.17,8.19,8.17,8.18,46,300,0
2023-11-07 16:00:00,8.18,8.2,8.18,8.2,85,200,0
2023-11-07 17:00:00,8.19,8.22,8.18,8.2,130,300,0
2023-11-07 18:00:00,8.2,8.22,8.18,8.19,76,300,0
2023-11-08 10:00:00,8.13,8.21,8.12,8.19,73,200,0
2023-11-08 11:00:00,8.19,8.21,8.15,8.19,94,300,0
2023-11-08 12:00:00,8.2,8.2,8.18,8.2,78,300,0
2023-11-08 13:00:00,8.19,8.2,8.18,8.18,69,300,0
2023-11-08 14:00:00,8.19,8.2,8.18,8.2,51,300,0
2023-11-08 15:00:00,8.2,8.21,8.15,8.2,79,300,0
2023-11-08 16:00:00,8.21,8.26,8.2,8.24,93,200,0
2023-11-08 17:00:00,8.25,8.26,8.23,8.23,66,200,0
2023-11-08 18:00:00,8.23,8.25,8.22,8.23,65,200,0
2023-11-09 10:00:00,8.18,8.25,8.16,8.25,59,400,0
2023-11-09 11:00:00,8.25,8.26,8.19,8.26,42,300,0
2023-11-09 12:00:00,8.26,8.28,8.26,8.28,31,300,0
2023-11-09 13:00:00,8.28,8.3,8.27,8.29,62,200,0
2023-11-09 14:00:00,8.3,8.32,8.27,8.3,48,200,0
2023-11-09 15:00:00,8.3,8.33,8.3,8.31,77,200,0
2023-11-09 16:00:00,8.32,8.33,8.31,8.32,91,200,0
2023-11-09 17:00:00,8.33,8.33,8.3,8.32,90,200,0
2023-11-09 18:00:00,8.31,8.33,8.27,8.32,25,200,0
