time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,161.9,164.1,161.5,162.4,87,4000,0
2023-11-03 12:00:00,162.5,162.5,160.8,161.0,65,3000,0
2023-11-03 13:00:00,161.3,161.5,160.6,161.2,101,2000,0
2023-11-03 14:00:00,161.1,161.9,161.0,161.3,52,3000,0
2023-11-03 15:00:00,161.9,162.6,161.3,162.6,95,2000,0
2023-11-03 16:00:00,162.4,163.0,162.2,162.4,68,2000,0
2023-11-03 17:00:00,162.4,162.6,160.9,161.2,59,2000,0
2023-11-03 18:00:00,161.2,161.2,159.9,159.9,84,2000,0
2023-11-03 19:00:00,160.3,160.8,159.8,160.0,40,2000,0
2023-11-06 10:00:00,161.3,161.5,159.9,160.7,75,3000,0
2023-11-06 11:00:00,160.1,161.5,159.9,161.5,66,2000,0
2023-11-06 12:00:00,161.5,162.1,161.3,162.0,49,1000,0
2023-11-06 13:00:00,162.0,162.4,162.0,162.4,40,2000,0
2023-11-06 14:00:00,162.2,162.7,162.2,162.5,24,1000,0
2023-11-06 15:00:00,162.5,162.6,162.4,162.6,16,1000,0
2023-11-06 16:00:00,162.6,162.6,160.7,161.5,49,2000,0
2023-11-06 17:00:00,161.0,161.5,159.8,160.4,122,1000,0
2023-11-06 18:00:00,160.5,160.5,159.4,159.7,37,1000,0
2023-11-07 10:00:00,157.1,158.6,156.2,158.2,84,4000,0
2023-11-07 11:00:00,158.2,158.7,157.5,158.4,52,2000,0
2023-11-07 12:00:00,157.7,158.8,157.1,157.1,53,2000,0
2023-11-07 13:00:00,157.8,157.8,156.5,157.5,55,3000,0
2023-11-07 14:00:00,157.5,157.6,157.5,157.6,17,3000,0
2023-11-07 15:00:00,157.6,157.8,157.6,157.8,24,3000,0
2023-11-07 16:00:00,157.8,157.8,156.4,156.9,50,3000,0
2023-11-07 17:00:00,157.2,158.1,156.2,157.7,94,2000,0
2023-11-07 18:00:00,157.3,158.1,156.3,157.3,75,2000,0
2023-11-08 10:00:00,152.3,158.2,150.0,157.2,288,3000,0
2023-11-08 11:00:00,156.9,158.8,156.9,158.2,78,3000,0
2023-11-08 12:00:00,157.5,158.4,157.3,158.2,36,3000,0
2023-11-08 13:00:00,157.6,159.0,157.2,158.8,39,3000,0
2023-11-08 14:00:00,158.8,159.6,158.8,159.5,68,3000,0
2023-11-08 15:00:00,159.5,159.5,158.5,158.9,92,2000,0
2023-11-08 16:00:00,158.9,160.9,158.9,160.5,122,2000,0
2023-11-08 17:00:00,160.5,161.2,160.3,160.7,130,2000,0
2023-11-08 18:00:00,161.1,161.1,160.2,160.7,36,1000,0
2023-11-09 10:00:00,160.0,160.4,158.4,158.7,128,9000,0
2023-11-09 11:00:00,160.3,160.6,158.3,160.6,45,7000,0
2023-11-09 12:00:00,159.8,161.1,159.8,160.6,31,3000,0
2023-11-09 13:00:00,161.4,161.5,160.6,161.3,33,6000,0
2023-11-09 14:00:00,161.2,161.5,160.9,161.3,34,4000,0
2023-11-09 15:00:00,161.3,162.3,161.1,161.7,29,5000,0
2023-11-09 16:00:00,161.5,163.0,161.1,162.6,49,3000,0
2023-11-09 17:00:00,162.7,163.5,161.6,162.8,106,3000,0
2023-11-09 18:00:00,163.4,164.4,162.6,164.2,54,2000,0
2023-11-10 10:00:00,161.8,164.6,161.8,163.5,143,2000,0
2023-11-10 11:00:00,163.7,164.2,163.0,163.8,44,3000,0
2023-11-10 12:00:00,164.0,164.1,163.1,163.2,55,2000,0
2023-11-10 13:00:00,163.8,163.9,162.9,163.5,31,2000,0
2023-11-10 14:00:00,163.5,163.5,162.6,163.2,17,3000,0
2023-11-10 15:00:00,163.2,163.3,163.0,163.3,11,2000,0
2023-11-10 16:00:00,163.3,163.7,162.8,163.4,30,2000,0
2023-11-10 17:00:00,163.1,163.8,162.8,163.4,82,2000,0
2023-11-10 18:00:00,163.6,164.0,163.2,163.5,46,1000,0
2023-11-13 10:00:00,156.7,166.5,156.7,166.3,111,3000,0
2023-11-13 11:00:00,165.5,167.0,165.3,166.5,50,1000,0
2023-11-13 12:00:00,166.5,166.8,165.9,166.5,40,2000,0
2023-11-13 13:00:00,166.6,166.6,165.7,165.7,28,3000,0
2023-11-13 14:00:00,165.7,166.1,163.8,164.8,71,2000,0
2023-11-13 15:00:00,164.8,164.8,163.0,164.2,82,2000,0
2023-11-13 16:00:00,163.5,164.2,162.9,163.9,46,2000,0
2023-11-13 17:00:00,162.9,165.2,162.8,163.6,84,3000,0
2023-11-13 18:00:00,164.5,164.9,164.3,164.7,35,3000,0
2023-11-14 10:00:00,163.7,166.2,162.6,165.8,187,3000,0
2023-11-14 11:00:00,165.6,166.5,164.9,165.8,105,3000,0
2023-11-14 12:00:00,165.8,165.8,164.6,165.5,49,2000,0
2023-11-14 13:00:00,165.2,165.5,165.0,165.3,14,2000,0
2023-11-14 14:00:00,165.4,166.9,165.0,166.2,127,2000,0
2023-11-14 15:00:00,166.2,168.1,166.1,167.2,115,2000,0
2023-11-14 16:00:00,167.7,169.1,167.1,168.8,82,1000,0
2023-11-14 17:00:00,168.7,170.3,168.2,169.9,125,1000,0
2023-11-14 18:00:00,169.9,170.3,169.7,170.2,52,1000,0
2023-11-15 10:00:00,171.1,173.5,171.0,172.7,105,2000,0
2023-11-15 11:00:00,172.8,173.8,172.3,172.6,116,2000,0
2023-11-15 12:00:00,172.5,173.1,171.1,171.7,80,2000,0
2023-11-15 13:00:00,171.7,172.1,171.1,172.1,76,2000,0
2023-11-15 14:00:00,172.1,172.9,171.7,172.9,64,1000,0
2023-11-15 15:00:00,172.9,173.6,172.3,172.6,61,2000,0
2023-11-15 16:00:00,172.3,173.7,172.3,173.7,86,2000,0
2023-11-15 17:00:00,173.7,175.1,172.8,174.3,164,2000,0
2023-11-15 18:00:00,173.7,175.1,173.7,174.7,87,2000,0
2023-11-16 10:00:00,164.9,178.4,164.9,177.1,275,2000,0
2023-11-16 11:00:00,176.9,177.9,175.5,176.0,143,2000,0
2023-11-16 12:00:00,176.0,177.3,175.6,176.0,73,2000,0
2023-11-16 13:00:00,175.6,176.7,175.6,175.6,88,2000,0
2023-11-16 14:00:00,175.9,176.7,175.1,175.3,71,6000,0
2023-11-16 15:00:00,175.3,176.7,174.4,176.2,112,1000,0
2023-11-16 16:00:00,176.2,176.7,175.3,176.1,150,1000,0
2023-11-16 17:00:00,176.3,176.5,175.0,176.3,168,1000,0
2023-11-16 18:00:00,175.9,176.3,175.3,176.1,78,1000,0
2023-11-17 10:00:00,166.0,182.7,166.0,181.2,184,7000,0
2023-11-17 11:00:00,181.3,182.0,179.9,181.0,98,3000,0
2023-11-17 12:00:00,181.9,181.9,180.6,180.9,98,2000,0
2023-11-17 13:00:00,180.9,181.7,178.9,179.1,84,2000,0
2023-11-17 14:00:00,179.7,180.2,178.6,179.8,83,2000,0
2023-11-17 15:00:00,179.8,179.8,178.2,179.1,71,2000,0
2023-11-17 16:00:00,179.1,179.4,175.9,177.6,165,2000,0
2023-11-17 17:00:00,176.7,178.2,175.9,177.1,155,1000,0
2023-11-17 18:00:00,177.1,178.4,176.7,178.2,79,1000,0
2023-11-20 10:00:00,167.0,177.5,167.0,176.8,161,3000,0
2023-11-20 11:00:00,176.1,177.2,175.7,176.6,65,2000,0
2023-11-20 12:00:00,176.6,177.1,175.3,177.1,86,2000,0
2023-11-20 13:00:00,177.3,177.4,176.1,176.1,64,3000,0
2023-11-20 14:00:00,176.1,177.4,176.1,176.1,81,2000,0
2023-11-20 15:00:00,176.5,177.5,176.1,176.5,58,2000,0
2023-11-20 16:00:00,176.9,177.2,176.0,177.0,63,2000,0
2023-11-20 17:00:00,177.0,177.5,176.6,177.1,126,2000,0
2023-11-20 18:00:00,177.0,177.3,176.6,177.1,34,2000,0
2023-11-21 10:00:00,171.6,175.6,171.6,175.3,93,8000,0
2023-11-21 11:00:00,174.5,175.5,173.6,174.5,92,3000,0
2023-11-21 12:00:00,174.9,174.9,173.1,173.5,79,2000,0
2023-11-21 13:00:00,173.1,174.9,173.1,174.9,87,1000,0
2023-11-21 14:00:00,174.4,174.9,173.9,174.0,76,3000,0
2023-11-21 15:00:00,174.0,174.7,173.1,173.4,67,3000,0
2023-11-21 16:00:00,173.4,174.5,173.1,173.6,63,3000,0
2023-11-21 17:00:00,172.5,174.3,172.5,173.7,105,2000,0
2023-11-21 18:00:00,173.7,173.8,173.3,173.3,62,1000,0
2023-11-22 10:00:00,170.4,174.7,170.4,173.3,214,4000,0
2023-11-22 11:00:00,174.1,174.3,172.7,173.6,198,2000,0
2023-11-22 12:00:00,173.1,174.7,173.1,173.8,109,2000,0
2023-11-22 13:00:00,173.8,175.0,173.8,174.8,86,2000,0
2023-11-22 14:00:00,174.8,174.9,174.3,174.4,52,2000,0
2023-11-22 15:00:00,174.4,175.0,174.3,174.7,86,2000,0
2023-11-22 16:00:00,174.9,174.9,174.1,174.5,81,1000,0
2023-11-22 17:00:00,174.5,174.9,174.0,174.6,134,1000,0
2023-11-22 18:00:00,174.4,174.8,174.3,174.8,58,1000,0
2023-11-23 10:00:00,174.8,174.8,162.4,168.6,125,0,0
2023-11-23 11:00:00,168.8,169.7,164.8,165.4,144,6000,0
