time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,136.65,138.3,135.7,137.65,366,1000,0
2023-11-03 12:00:00,137.7,138.3,137.1,137.5,369,1000,0
2023-11-03 13:00:00,137.55,137.95,136.85,137.2,286,500,0
2023-11-03 14:00:00,137.2,137.45,136.0,136.85,413,500,0
2023-11-03 15:00:00,136.7,139.1,136.4,137.95,391,500,0
2023-11-03 16:00:00,138.7,139.55,137.85,139.35,450,500,0
2023-11-03 17:00:00,139.15,139.5,137.6,138.35,478,500,0
2023-11-03 18:00:00,138.4,138.65,137.95,138.4,313,500,0
2023-11-03 19:00:00,138.35,138.55,138.15,138.45,124,500,0
2023-11-06 10:00:00,138.7,139.4,138.25,138.45,161,500,0
2023-11-06 11:00:00,138.55,138.9,137.45,137.95,285,500,0
2023-11-06 12:00:00,138.05,138.4,137.75,137.9,300,500,0
2023-11-06 13:00:00,137.8,138.1,136.75,137.05,282,500,0
2023-11-06 14:00:00,137.0,137.25,136.65,136.85,247,500,0
2023-11-06 15:00:00,136.85,137.3,136.65,137.2,347,500,0
2023-11-06 16:00:00,137.15,137.6,136.9,137.3,377,500,0
2023-11-06 17:00:00,137.35,137.5,136.75,136.9,369,500,0
2023-11-06 18:00:00,137.0,137.1,136.65,136.9,142,500,0
2023-11-07 10:00:00,136.45,137.9,136.45,137.1,241,500,0
2023-11-07 11:00:00,136.95,137.25,135.7,135.8,364,500,0
2023-11-07 12:00:00,135.75,136.2,135.3,135.35,338,500,0
2023-11-07 13:00:00,135.65,135.75,135.0,135.3,286,500,0
2023-11-07 14:00:00,135.3,135.5,134.65,135.0,311,500,0
2023-11-07 15:00:00,134.9,135.35,134.7,135.2,268,500,0
2023-11-07 16:00:00,134.7,135.55,134.7,135.5,337,500,0
2023-11-07 17:00:00,135.5,135.85,135.2,135.5,293,500,0
2023-11-07 18:00:00,135.5,135.8,135.4,135.55,150,500,0
2023-11-08 10:00:00,135.95,137.8,135.75,137.35,239,500,0
2023-11-08 11:00:00,137.35,138.1,137.2,137.5,306,500,0
2023-11-08 12:00:00,137.95,138.1,136.85,137.7,311,500,0
2023-11-08 13:00:00,137.8,138.45,137.55,137.65,301,500,0
2023-11-08 14:00:00,137.6,137.8,136.95,137.2,367,500,0
2023-11-08 15:00:00,137.2,137.5,136.65,137.4,451,500,0
2023-11-08 16:00:00,137.4,138.35,136.75,138.05,443,500,0
2023-11-08 17:00:00,138.0,138.3,137.1,137.15,422,500,0
2023-11-08 18:00:00,137.15,137.5,136.9,136.9,181,500,0
2023-11-09 10:00:00,127.1,127.15,120.8,122.55,423,1000,0
2023-11-09 11:00:00,121.4,124.35,120.55,124.0,544,500,0
2023-11-09 12:00:00,123.85,125.15,123.15,124.2,442,500,0
2023-11-09 13:00:00,124.2,125.4,123.75,124.8,369,500,0
2023-11-09 14:00:00,124.85,126.1,124.7,125.35,388,500,0
2023-11-09 15:00:00,125.35,125.7,123.0,123.1,467,500,0
2023-11-09 16:00:00,123.15,124.1,121.35,121.45,625,500,0
