time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,8.13,8.215,8.085,8.18,107,150,0
2023-11-03 12:00:00,8.18,8.215,8.145,8.185,86,50,0
2023-11-03 13:00:00,8.215,8.215,8.135,8.17,99,50,0
2023-11-03 14:00:00,8.16,8.18,8.115,8.125,91,50,0
2023-11-03 15:00:00,8.125,8.2,8.105,8.19,123,50,0
2023-11-03 16:00:00,8.185,8.245,8.15,8.24,167,50,0
2023-11-03 17:00:00,8.235,8.255,8.165,8.165,135,50,0
2023-11-03 18:00:00,8.195,8.235,8.15,8.195,118,50,0
2023-11-03 19:00:00,8.155,8.185,8.145,8.145,32,50,0
2023-11-06 10:00:00,8.18,8.25,8.165,8.195,118,150,0
2023-11-06 11:00:00,8.185,8.235,8.12,8.145,97,100,0
2023-11-06 12:00:00,8.165,8.165,8.095,8.135,107,50,0
2023-11-06 13:00:00,8.13,8.15,8.115,8.135,60,50,0
2023-11-06 14:00:00,8.135,8.145,8.125,8.145,69,50,0
2023-11-06 15:00:00,8.135,8.18,8.135,8.16,91,100,0
2023-11-06 16:00:00,8.155,8.165,8.09,8.11,108,100,0
2023-11-06 17:00:00,8.095,8.125,8.045,8.08,155,50,0
2023-11-06 18:00:00,8.08,8.085,8.04,8.065,65,50,0
2023-11-07 10:00:00,8.125,8.415,8.125,8.36,174,150,0
2023-11-07 11:00:00,8.42,8.45,8.265,8.42,132,150,0
2023-11-07 12:00:00,8.4,8.435,8.3,8.355,125,150,0
2023-11-07 13:00:00,8.355,8.355,8.295,8.315,82,100,0
2023-11-07 14:00:00,8.32,8.375,8.27,8.36,125,100,0
2023-11-07 15:00:00,8.355,8.42,8.325,8.385,89,100,0
2023-11-07 16:00:00,8.385,8.435,8.35,8.415,115,100,0
2023-11-07 17:00:00,8.41,8.42,8.33,8.38,121,100,0
2023-11-07 18:00:00,8.375,8.385,8.32,8.355,60,50,0
2023-11-08 10:00:00,8.21,8.395,8.185,8.37,172,250,0
2023-11-08 11:00:00,8.37,8.395,8.275,8.35,78,200,0
2023-11-08 12:00:00,8.28,8.34,8.25,8.28,51,200,0
2023-11-08 13:00:00,8.285,8.31,8.27,8.285,35,100,0
2023-11-08 14:00:00,8.3,8.3,8.27,8.27,77,100,0
2023-11-08 15:00:00,8.27,8.275,8.255,8.27,58,150,0
2023-11-08 16:00:00,8.26,8.31,8.245,8.245,113,100,0
2023-11-08 17:00:00,8.245,8.31,8.22,8.24,132,100,0
2023-11-08 18:00:00,8.265,8.27,8.21,8.215,59,100,0
2023-11-09 10:00:00,8.185,8.235,8.105,8.16,131,200,0
2023-11-09 11:00:00,8.165,8.22,8.16,8.165,85,150,0
2023-11-09 12:00:00,8.165,8.24,8.165,8.21,69,100,0
2023-11-09 13:00:00,8.21,8.3,8.2,8.3,55,100,0
2023-11-09 14:00:00,8.3,8.345,8.265,8.345,35,100,0
2023-11-09 15:00:00,8.3,8.38,8.3,8.36,67,50,0
2023-11-09 16:00:00,8.345,8.39,8.345,8.39,94,100,0
2023-11-09 17:00:00,8.385,8.395,8.345,8.38,172,50,0
2023-11-09 18:00:00,8.38,8.395,8.35,8.37,48,100,0
2023-11-10 10:00:00,8.215,8.23,8.19,8.205,85,100,0
2023-11-10 11:00:00,8.21,8.22,8.21,8.22,29,100,0
2023-11-10 12:00:00,8.215,8.265,8.175,8.25,99,100,0
2023-11-10 13:00:00,8.25,8.275,8.225,8.27,63,50,0
2023-11-10 14:00:00,8.27,8.3,8.245,8.29,54,50,0
2023-11-10 15:00:00,8.29,8.315,8.275,8.31,56,50,0
2023-11-10 16:00:00,8.31,8.335,8.3,8.315,85,100,0
2023-11-10 17:00:00,8.33,8.355,8.295,8.345,127,50,0
2023-11-10 18:00:00,8.335,8.36,8.33,8.34,45,50,0
2023-11-13 10:00:00,8.36,8.405,8.34,8.35,78,100,0
2023-11-13 11:00:00,8.35,8.39,8.34,8.385,68,100,0
2023-11-13 12:00:00,8.35,8.4,8.35,8.39,67,100,0
2023-11-13 13:00:00,8.395,8.395,8.345,8.39,39,100,0
2023-11-13 14:00:00,8.375,8.39,8.37,8.385,31,150,0
2023-11-13 15:00:00,8.375,8.4,8.345,8.36,54,100,0
2023-11-13 16:00:00,8.375,8.39,8.3,8.365,111,100,0
2023-11-13 17:00:00,8.31,8.39,8.27,8.37,142,100,0
2023-11-13 18:00:00,8.39,8.405,8.345,8.39,55,50,0
2023-11-14 10:00:00,8.34,8.4,8.33,8.375,100,200,0
