time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,5.444,5.542,5.444,5.52,195,100,0
2023-11-03 12:00:00,5.52,5.542,5.484,5.514,92,100,0
2023-11-03 13:00:00,5.52,5.526,5.478,5.478,130,80,0
2023-11-03 14:00:00,5.486,5.498,5.464,5.474,100,120,0
2023-11-03 15:00:00,5.474,5.558,5.452,5.542,163,40,0
2023-11-03 16:00:00,5.526,5.64,5.502,5.606,221,80,0
2023-11-03 17:00:00,5.624,5.64,5.564,5.588,231,60,0
2023-11-03 18:00:00,5.586,5.596,5.534,5.574,255,40,0
2023-11-03 19:00:00,5.586,5.588,5.554,5.576,86,40,0
2023-11-06 10:00:00,5.654,5.726,5.594,5.716,316,80,0
2023-11-06 11:00:00,5.702,5.726,5.686,5.698,142,100,0
2023-11-06 12:00:00,5.69,5.71,5.652,5.668,145,80,0
2023-11-06 13:00:00,5.674,5.674,5.65,5.668,48,60,0
2023-11-06 14:00:00,5.656,5.67,5.636,5.644,71,60,0
2023-11-06 15:00:00,5.644,5.688,5.636,5.652,117,80,0
2023-11-06 16:00:00,5.652,5.684,5.568,5.586,225,60,0
2023-11-06 17:00:00,5.588,5.618,5.552,5.572,189,60,0
2023-11-06 18:00:00,5.59,5.592,5.558,5.568,143,60,0
2023-11-07 10:00:00,5.53,5.568,5.466,5.502,228,100,0
2023-11-07 11:00:00,5.502,5.546,5.48,5.482,137,80,0
2023-11-07 12:00:00,5.486,5.556,5.48,5.536,136,40,0
2023-11-07 13:00:00,5.518,5.556,5.5120000000000005,5.524,113,40,0
2023-11-07 14:00:00,5.524,5.562,5.5120000000000005,5.5120000000000005,134,60,0
2023-11-07 15:00:00,5.518,5.5440000000000005,5.496,5.516,156,60,0
2023-11-07 16:00:00,5.524,5.556,5.482,5.504,241,40,0
2023-11-07 17:00:00,5.49,5.524,5.482,5.5120000000000005,366,40,0
2023-11-07 18:00:00,5.514,5.526,5.486,5.5,175,40,0
2023-11-08 10:00:00,5.5120000000000005,5.546,5.466,5.518,251,100,0
2023-11-08 11:00:00,5.518,5.546,5.45,5.454,189,80,0
2023-11-08 12:00:00,5.454,5.48,5.4,5.434,186,80,0
2023-11-08 13:00:00,5.438,5.476,5.426,5.45,88,100,0
2023-11-08 14:00:00,5.44,5.45,5.408,5.44,113,100,0
2023-11-08 15:00:00,5.44,5.468,5.418,5.458,79,60,0
2023-11-08 16:00:00,5.454,5.5120000000000005,5.424,5.48,183,60,0
2023-11-08 17:00:00,5.474,5.508,5.402,5.424,269,80,0
2023-11-08 18:00:00,5.424,5.426,5.382,5.392,115,40,0
2023-11-09 10:00:00,5.314,5.374,5.27,5.314,360,140,0
2023-11-09 11:00:00,5.296,5.342,5.236,5.24,216,60,0
2023-11-09 12:00:00,5.24,5.306,5.236,5.28,229,80,0
2023-11-09 13:00:00,5.282,5.328,5.276,5.32,133,80,0
2023-11-09 14:00:00,5.322,5.344,5.296,5.316,181,60,0
2023-11-09 15:00:00,5.316,5.376,5.316,5.36,159,40,0
2023-11-09 16:00:00,5.362,5.422,5.336,5.396,266,40,0
2023-11-09 17:00:00,5.4,5.432,5.376,5.43,271,40,0
2023-11-09 18:00:00,5.398,5.438,5.384,5.402,117,20,0
2023-11-10 10:00:00,5.326,5.328,5.26,5.272,237,100,0
2023-11-10 11:00:00,5.272,5.28,5.226,5.246,121,80,0
2023-11-10 12:00:00,5.24,5.276,5.206,5.206,158,100,0
2023-11-10 13:00:00,5.208,5.222,5.164,5.164,127,120,0
2023-11-10 14:00:00,5.166,5.208,5.164,5.188,123,100,0
2023-11-10 15:00:00,5.204,5.216,5.168,5.2,100,80,0
2023-11-10 16:00:00,5.2,5.216,5.172,5.174,146,60,0
2023-11-10 17:00:00,5.17,5.21,5.152,5.154,246,60,0
2023-11-10 18:00:00,5.174,5.194,5.158,5.166,96,60,0
2023-11-13 10:00:00,5.152,5.198,5.134,5.166,219,60,0
2023-11-13 11:00:00,5.138,5.178,5.136,5.15,182,60,0
2023-11-13 12:00:00,5.15,5.176,5.134,5.15,130,60,0
2023-11-13 13:00:00,5.15,5.168,5.12,5.124,92,40,0
2023-11-13 14:00:00,5.128,5.168,5.102,5.132,174,40,0
2023-11-13 15:00:00,5.13,5.168,5.1,5.136,149,40,0
2023-11-13 16:00:00,5.12,5.15,5.102,5.148,193,20,0
2023-11-13 17:00:00,5.134,5.186,5.12,5.186,223,20,0
2023-11-13 18:00:00,5.168,5.21,5.156,5.198,120,40,0
2023-11-14 10:00:00,5.18,5.182,5.128,5.146,356,120,0
2023-11-14 11:00:00,5.15,5.17,5.138,5.15,257,80,0
2023-11-14 12:00:00,5.15,5.164,5.132,5.132,163,40,0
2023-11-14 13:00:00,5.144,5.156,5.1,5.11,102,100,0
2023-11-14 14:00:00,5.11,5.152,5.11,5.118,129,60,0
2023-11-14 15:00:00,5.128,5.2780000000000005,5.106,5.204,205,60,0
2023-11-14 16:00:00,5.208,5.386,5.208,5.344,376,40,0
2023-11-14 17:00:00,5.344,5.386,5.29,5.322,233,60,0
2023-11-14 18:00:00,5.324,5.342,5.29,5.306,135,40,0
2023-11-15 10:00:00,5.45,5.518,5.434,5.516,217,100,0
2023-11-15 11:00:00,5.498,5.526,5.474,5.486,198,60,0
2023-11-15 12:00:00,5.474,5.498,5.452,5.49,173,40,0
2023-11-15 13:00:00,5.49,5.514,5.472,5.508,110,40,0
2023-11-15 14:00:00,5.496,5.5120000000000005,5.462,5.506,123,80,0
2023-11-15 15:00:00,5.508,5.516,5.444,5.45,201,60,0
2023-11-15 16:00:00,5.454,5.492,5.448,5.458,217,100,0
2023-11-15 17:00:00,5.464,5.488,5.44,5.446,213,60,0
2023-11-15 18:00:00,5.46,5.478,5.436,5.448,109,40,0
