time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,9.215,9.465,9.095,9.385,104,200,0
2023-11-03 12:00:00,9.385,9.465,9.27,9.34,117,300,0
2023-11-03 13:00:00,9.34,9.39,9.27,9.3,80,300,0
2023-11-03 14:00:00,9.33,9.4,9.3,9.36,67,300,0
2023-11-03 15:00:00,9.36,9.45,9.31,9.445,77,200,0
2023-11-03 16:00:00,9.435,9.47,9.35,9.415,165,200,0
2023-11-03 17:00:00,9.415,9.555,9.4,9.465,148,100,0
2023-11-03 18:00:00,9.47,9.51,9.375,9.43,135,100,0
2023-11-03 19:00:00,9.43,9.445,9.37,9.395,62,100,0
2023-11-06 10:00:00,9.435,9.53,9.26,9.445,192,500,0
2023-11-06 11:00:00,9.435,9.49,9.275,9.34,108,350,0
2023-11-06 12:00:00,9.31,9.485,9.31,9.455,98,250,0
2023-11-06 13:00:00,9.455,9.485,9.395,9.475,169,100,0
2023-11-06 14:00:00,9.475,9.485,9.39,9.455,161,100,0
2023-11-06 15:00:00,9.42,9.455,9.33,9.365,183,100,0
2023-11-06 16:00:00,9.38,9.445,9.26,9.34,177,150,0
2023-11-06 17:00:00,9.28,9.375,9.185,9.265,199,50,0
2023-11-06 18:00:00,9.245,9.285,9.19,9.2,75,50,0
2023-11-07 10:00:00,9.07,9.23,9.07,9.16,69,250,0
2023-11-07 11:00:00,9.165,9.205,9.09,9.17,68,500,0
2023-11-07 12:00:00,9.145,9.26,9.09,9.21,100,300,0
2023-11-07 13:00:00,9.21,9.21,9.145,9.165,41,350,0
2023-11-07 14:00:00,9.145,9.26,9.145,9.21,94,300,0
2023-11-07 15:00:00,9.18,9.255,9.18,9.225,63,150,0
2023-11-07 16:00:00,9.215,9.25,9.11,9.11,104,200,0
2023-11-07 17:00:00,9.18,9.245,9.11,9.22,145,100,0
2023-11-07 18:00:00,9.18,9.23,9.085,9.13,107,100,0
2023-11-08 10:00:00,8.97,9.135,8.89,9.075,121,200,0
2023-11-08 11:00:00,9.05,9.145,9.05,9.13,107,100,0
2023-11-08 12:00:00,9.095,9.215,9.095,9.2,120,100,0
2023-11-08 13:00:00,9.19,9.23,9.155,9.23,136,50,0
2023-11-08 14:00:00,9.23,9.34,9.19,9.28,141,50,0
2023-11-08 15:00:00,9.28,9.355,9.255,9.32,141,100,0
2023-11-08 16:00:00,9.32,9.45,9.32,9.42,171,100,0
2023-11-08 17:00:00,9.375,9.45,9.125,9.195,231,100,0
2023-11-08 18:00:00,9.175,9.205,9.125,9.165,106,50,0
2023-11-09 10:00:00,8.92,9.08,8.92,9.055,68,450,0
2023-11-09 11:00:00,9.07,9.13,8.98,9.11,118,150,0
2023-11-09 12:00:00,9.13,9.21,9.015,9.14,108,100,0
2023-11-09 13:00:00,9.155,9.225,9.11,9.21,91,100,0
2023-11-09 14:00:00,9.21,9.25,9.16,9.25,109,150,0
2023-11-09 15:00:00,9.25,9.305,9.2,9.245,148,100,0
2023-11-09 16:00:00,9.28,9.28,9.18,9.24,173,100,0
