time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,23.14,23.34,23.02,23.12,71,800,0
2023-11-03 12:00:00,23.26,23.34,23.06,23.1,37,800,0
2023-11-03 13:00:00,23.1,23.1,22.78,22.88,35,800,0
2023-11-03 14:00:00,22.78,22.88,22.6,22.72,25,800,0
2023-11-03 15:00:00,22.66,22.8,22.56,22.72,25,800,0
2023-11-03 16:00:00,22.72,22.94,22.72,22.9,68,400,0
2023-11-03 17:00:00,22.86,22.94,22.58,22.58,67,200,0
2023-11-03 18:00:00,22.58,22.68,22.46,22.56,63,200,0
2023-11-03 19:00:00,22.58,22.72,22.5,22.72,36,400,0
2023-11-06 10:00:00,22.44,22.84,22.44,22.84,20,600,0
2023-11-06 11:00:00,22.9,22.9,22.38,22.5,39,800,0
2023-11-06 12:00:00,22.5,22.66,22.44,22.56,56,800,0
2023-11-06 13:00:00,22.58,22.62,22.44,22.44,38,400,0
2023-11-06 14:00:00,22.4,22.58,22.4,22.58,31,400,0
2023-11-06 15:00:00,22.58,22.6,22.38,22.44,50,200,0
2023-11-06 16:00:00,22.44,22.48,22.04,22.06,87,600,0
2023-11-06 17:00:00,22.1,22.22,22.0,22.1,74,400,0
2023-11-06 18:00:00,22.1,22.1,21.8,21.92,45,400,0
2023-11-07 10:00:00,21.92,21.96,21.76,21.78,49,1200,0
2023-11-07 11:00:00,21.8,21.82,21.66,21.74,33,800,0
2023-11-07 12:00:00,21.78,21.82,21.58,21.66,59,800,0
2023-11-07 13:00:00,21.58,21.66,21.38,21.42,41,800,0
2023-11-07 14:00:00,21.42,21.44,21.22,21.34,58,800,0
2023-11-07 15:00:00,21.3,21.44,21.2,21.24,51,800,0
2023-11-07 16:00:00,21.24,21.62,21.24,21.6,66,600,0
2023-11-07 17:00:00,21.62,21.62,21.38,21.62,68,600,0
2023-11-07 18:00:00,21.5,21.58,21.4,21.5,42,400,0
2023-11-08 10:00:00,21.54,21.64,21.5,21.64,7,1800,0
2023-11-08 11:00:00,21.62,21.62,21.56,21.58,18,1400,0
2023-11-08 12:00:00,21.58,21.62,21.56,21.56,34,1200,0
2023-11-08 13:00:00,21.56,21.72,21.56,21.72,23,1200,0
2023-11-08 14:00:00,21.7,21.78,21.62,21.68,65,800,0
2023-11-08 15:00:00,21.68,21.7,21.68,21.7,12,600,0
2023-11-08 16:00:00,21.7,21.78,21.62,21.78,65,400,0
2023-11-08 17:00:00,21.68,21.78,21.62,21.66,89,400,0
2023-11-08 18:00:00,21.68,21.72,21.62,21.64,38,200,0
2023-11-09 10:00:00,21.24,21.42,21.24,21.36,21,800,0
2023-11-09 11:00:00,21.36,21.48,21.36,21.46,13,800,0
2023-11-09 12:00:00,21.42,21.7,21.42,21.7,48,400,0
2023-11-09 13:00:00,21.7,21.7,21.62,21.64,25,400,0
2023-11-09 14:00:00,21.66,21.66,21.38,21.46,57,400,0
2023-11-09 15:00:00,21.52,21.58,21.38,21.48,49,400,0
2023-11-09 16:00:00,21.48,21.58,21.38,21.58,42,400,0
2023-11-09 17:00:00,21.46,21.52,21.28,21.38,62,400,0
2023-11-09 18:00:00,21.42,21.58,21.38,21.52,49,200,0
2023-11-10 10:00:00,21.3,21.56,21.3,21.36,89,400,0
2023-11-10 11:00:00,21.3,21.6,21.3,21.42,67,400,0
2023-11-10 12:00:00,21.5,21.5,21.34,21.44,56,400,0
2023-11-10 13:00:00,21.38,21.48,21.34,21.44,54,200,0
2023-11-10 14:00:00,21.34,21.52,21.34,21.42,40,400,0
2023-11-10 15:00:00,21.44,21.56,21.36,21.48,50,200,0
2023-11-10 16:00:00,21.48,21.5,21.32,21.32,68,400,0
2023-11-10 17:00:00,21.42,21.42,20.94,21.08,122,200,0
2023-11-10 18:00:00,21.08,21.14,21.04,21.1,49,400,0
2023-11-13 10:00:00,20.78,20.96,20.74,20.86,55,400,0
2023-11-13 11:00:00,20.86,20.96,20.74,20.86,72,200,0
2023-11-13 12:00:00,20.86,20.86,20.72,20.74,40,400,0
2023-11-13 13:00:00,20.72,20.76,20.6,20.62,41,400,0
2023-11-13 14:00:00,20.6,20.6,20.5,20.52,35,1000,0
2023-11-13 15:00:00,20.54,20.78,20.52,20.56,55,400,0
2023-11-13 16:00:00,20.58,20.64,20.52,20.58,53,400,0
2023-11-13 17:00:00,20.58,20.66,20.5,20.5,58,200,0
2023-11-13 18:00:00,20.52,20.58,20.3,20.3,44,200,0
2023-11-14 10:00:00,20.3,21.02,20.3,20.94,51,1000,0
2023-11-14 11:00:00,21.04,21.16,20.96,21.06,40,800,0
2023-11-14 12:00:00,21.12,21.14,20.78,20.82,52,600,0
2023-11-14 13:00:00,20.82,20.9,20.4,20.66,79,400,0
2023-11-14 14:00:00,20.66,20.74,20.4,20.6,73,400,0
2023-11-14 15:00:00,20.6,21.3,20.58,21.3,106,200,0
2023-11-14 16:00:00,21.08,21.82,21.06,21.8,102,400,0
2023-11-14 17:00:00,21.58,22.08,21.58,22.04,93,400,0
2023-11-14 18:00:00,21.98,22.22,21.82,22.14,63,400,0
2023-11-15 10:00:00,21.98,22.8,21.98,22.8,75,400,0
2023-11-15 11:00:00,22.7,22.86,22.46,22.72,122,200,0
2023-11-15 12:00:00,22.76,22.78,22.24,22.56,118,200,0
2023-11-15 13:00:00,22.46,22.68,22.46,22.6,60,200,0
2023-11-15 14:00:00,22.6,22.6,22.4,22.56,51,400,0
2023-11-15 15:00:00,22.42,22.66,22.06,22.38,136,400,0
2023-11-15 16:00:00,22.26,22.52,22.2,22.3,141,400,0
2023-11-15 17:00:00,22.3,22.6,22.3,22.42,128,400,0
2023-11-15 18:00:00,22.6,22.66,22.42,22.5,75,200,0
2023-11-16 10:00:00,22.52,22.92,22.38,22.46,51,1000,0
2023-11-16 11:00:00,22.46,22.46,22.02,22.1,90,400,0
2023-11-16 12:00:00,22.16,22.46,22.12,22.3,92,400,0
2023-11-16 13:00:00,22.32,22.4,21.88,22.14,109,400,0
2023-11-16 14:00:00,22.04,22.28,21.88,22.16,78,800,0
2023-11-16 15:00:00,22.12,22.32,22.12,22.26,30,600,0
2023-11-16 16:00:00,22.26,22.32,22.1,22.1,50,600,0
2023-11-16 17:00:00,22.12,22.14,21.96,21.98,62,200,0
2023-11-16 18:00:00,22.0,22.04,21.98,22.0,25,400,0
2023-11-17 10:00:00,22.12,22.2,21.82,22.12,81,400,0
2023-11-17 11:00:00,21.96,22.36,21.96,22.26,66,400,0
2023-11-17 12:00:00,22.3,22.36,22.14,22.32,67,400,0
2023-11-17 13:00:00,22.32,22.38,22.22,22.26,56,400,0
2023-11-17 14:00:00,22.18,22.24,22.1,22.18,41,600,0
2023-11-17 15:00:00,22.18,22.2,21.94,22.08,43,400,0
2023-11-17 16:00:00,22.16,22.18,21.84,21.92,106,400,0
2023-11-17 17:00:00,22.04,22.26,21.92,22.22,90,200,0
2023-11-17 18:00:00,22.2,22.26,22.06,22.2,29,200,0
2023-11-20 10:00:00,22.04,22.5,22.04,22.5,7,1200,0
2023-11-20 11:00:00,22.54,22.58,22.38,22.52,36,800,0
2023-11-20 12:00:00,22.52,22.66,22.48,22.48,27,800,0
2023-11-20 13:00:00,22.48,22.58,22.04,22.12,58,600,0
2023-11-20 14:00:00,22.18,22.22,22.04,22.2,27,600,0
2023-11-20 15:00:00,22.2,22.24,22.2,22.2,9,200,0
2023-11-20 16:00:00,22.22,22.3,22.08,22.2,57,400,0
2023-11-20 17:00:00,22.14,22.22,22.08,22.14,75,400,0
2023-11-20 18:00:00,22.14,22.24,22.14,22.18,36,400,0
2023-11-21 10:00:00,22.06,22.24,21.96,22.0,57,1000,0
2023-11-21 11:00:00,22.04,22.12,21.7,21.74,40,600,0
2023-11-21 12:00:00,21.96,21.96,21.58,21.58,68,600,0
2023-11-21 13:00:00,21.68,21.72,21.58,21.62,54,1000,0
2023-11-21 14:00:00,21.62,21.84,21.62,21.84,33,600,0
2023-11-21 15:00:00,21.76,21.9,21.48,21.48,46,600,0
2023-11-21 16:00:00,21.48,21.64,21.28,21.28,114,400,0
2023-11-21 17:00:00,21.28,21.58,21.2,21.38,98,400,0
2023-11-21 18:00:00,21.26,21.38,21.1,21.18,62,400,0
2023-11-22 10:00:00,20.82,20.88,20.28,20.28,41,1000,0
2023-11-22 11:00:00,20.52,20.52,20.2,20.28,52,800,0
2023-11-22 12:00:00,20.2,20.48,20.2,20.36,64,800,0
2023-11-22 13:00:00,20.36,20.62,20.3,20.58,72,600,0
2023-11-22 14:00:00,20.5,20.6,20.42,20.44,57,1000,0
2023-11-22 15:00:00,20.48,20.54,20.26,20.46,114,600,0
2023-11-22 16:00:00,20.48,20.5,20.32,20.44,88,400,0
2023-11-22 17:00:00,20.46,20.48,20.36,20.46,80,400,0
2023-11-22 18:00:00,20.46,20.6,20.32,20.38,54,400,0
2023-11-23 11:00:00,20.48,20.54,20.44,20.54,25,800,0
2023-11-23 12:00:00,20.54,20.58,20.48,20.56,46,400,0
2023-11-23 13:00:00,20.52,20.8,20.52,20.68,69,400,0
2023-11-23 14:00:00,20.72,20.84,20.6,20.78,37,800,0
2023-11-23 15:00:00,20.84,21.12,20.68,21.04,73,600,0
2023-11-23 16:00:00,21.02,21.1,20.98,21.04,76,600,0
2023-11-23 17:00:00,21.04,21.12,21.02,21.12,71,400,0
2023-11-23 18:00:00,21.06,21.1,20.82,20.92,52,400,0
2023-11-24 10:00:00,20.8,20.86,20.7,20.8,18,1200,0
2023-11-24 11:00:00,20.82,20.94,20.8,20.94,36,600,0
2023-11-24 12:00:00,20.94,20.94,20.8,20.8,28,600,0
2023-11-24 13:00:00,20.82,20.9,20.8,20.9,15,800,0
2023-11-24 14:00:00,20.82,20.9,20.74,20.8,20,600,0
2023-11-24 15:00:00,20.8,20.86,20.8,20.8,29,600,0
2023-11-24 16:00:00,20.8,20.86,20.8,20.8,60,200,0
2023-11-24 17:00:00,20.82,20.9,20.8,20.86,51,200,0
2023-11-24 18:00:00,20.9,21.04,20.8,20.98,47,200,0
2023-11-27 11:00:00,20.9,21.02,20.8,20.82,32,1000,0
2023-11-27 12:00:00,20.84,21.02,20.84,20.94,44,600,0
2023-11-27 13:00:00,20.94,20.94,20.84,20.84,24,1000,0
2023-11-27 14:00:00,20.84,20.86,20.74,20.86,16,600,0
2023-11-27 15:00:00,20.74,20.82,20.6,20.76,37,400,0
2023-11-27 16:00:00,20.76,20.76,20.52,20.58,56,600,0
2023-11-27 17:00:00,20.58,20.62,20.42,20.62,126,400,0
2023-11-27 18:00:00,20.54,20.62,20.4,20.48,43,400,0
2023-11-28 10:00:00,20.3,20.34,20.1,20.2,19,1000,0
2023-11-28 11:00:00,20.22,20.22,20.0,20.16,33,1600,0
2023-11-28 12:00:00,20.0,20.14,20.0,20.1,25,600,0
2023-11-28 13:00:00,20.1,20.14,19.94,20.1,46,600,0
2023-11-28 14:00:00,20.1,20.1,19.94,20.06,50,600,0
2023-11-28 15:00:00,20.0,20.06,19.85,19.88,53,600,0
2023-11-28 16:00:00,20.0,20.06,19.84,19.93,106,500,0
2023-11-28 17:00:00,19.94,20.06,19.92,20.0,93,300,0
2023-11-28 18:00:00,20.02,20.14,19.99,20.1,53,600,0
