time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,7.874,7.928,7.746,7.906,315,260,0
2023-11-03 12:00:00,7.905,7.928,7.807,7.853,98,230,0
2023-11-03 13:00:00,7.88,7.896,7.846,7.879,62,190,0
2023-11-03 14:00:00,7.879,7.894,7.836,7.856,68,180,0
2023-11-03 15:00:00,7.856,7.953,7.841,7.929,186,160,0
2023-11-03 16:00:00,7.939,7.981,7.911,7.955,155,90,0
2023-11-03 17:00:00,7.955999999999999,7.97,7.888,7.907,165,100,0
2023-11-03 18:00:00,7.907,7.924,7.813,7.841,164,30,0
2023-11-03 19:00:00,7.841,7.859,7.813,7.846999999999999,119,80,0
2023-11-06 10:00:00,7.737,7.845,7.737,7.787,536,480,0
2023-11-06 11:00:00,7.794,7.802,7.757,7.794,161,170,0
2023-11-06 12:00:00,7.795,7.811,7.764,7.774,72,60,0
2023-11-06 13:00:00,7.774,7.803,7.764,7.788,71,60,0
2023-11-06 14:00:00,7.803,7.814,7.765,7.795,59,110,0
2023-11-06 15:00:00,7.792,7.804,7.756,7.766,67,130,0
2023-11-06 16:00:00,7.766,7.792,7.693,7.758,142,70,0
2023-11-06 17:00:00,7.751,7.759,7.679,7.689,154,50,0
2023-11-06 18:00:00,7.691,7.719,7.661,7.68,107,50,0
2023-11-07 10:00:00,7.557,7.717,7.529,7.71,373,250,0
2023-11-07 11:00:00,7.718,7.745,7.684,7.729,153,120,0
2023-11-07 12:00:00,7.688,7.747,7.687,7.727,110,140,0
2023-11-07 13:00:00,7.739,7.756,7.699,7.713,107,150,0
2023-11-07 14:00:00,7.728,7.736,7.701,7.702,96,70,0
2023-11-07 15:00:00,7.705999999999999,7.724,7.658,7.707,122,80,0
2023-11-07 16:00:00,7.697,7.723,7.661,7.704,164,80,0
2023-11-07 17:00:00,7.675,7.741,7.661,7.725,159,40,0
2023-11-07 18:00:00,7.725,7.741,7.683,7.7,91,40,0
2023-11-08 10:00:00,7.584,7.7,7.483,7.636,214,460,0
2023-11-08 11:00:00,7.637,7.682,7.627,7.652,46,200,0
2023-11-08 12:00:00,7.66,7.684,7.617,7.662,89,200,0
2023-11-08 13:00:00,7.662,7.685,7.662,7.682,41,190,0
2023-11-08 14:00:00,7.68,7.696,7.663,7.689999999999999,69,80,0
2023-11-08 15:00:00,7.689999999999999,7.696,7.671,7.671,52,60,0
2023-11-08 16:00:00,7.674,7.843,7.657,7.834,323,80,0
2023-11-08 17:00:00,7.835,7.843,7.787,7.814,228,50,0
2023-11-08 18:00:00,7.814,7.830999999999999,7.777,7.824,100,60,0
2023-11-09 10:00:00,7.751,7.824,7.751,7.756,427,260,0
2023-11-09 11:00:00,7.79,7.794,7.731,7.734,110,130,0
2023-11-09 12:00:00,7.771,7.83,7.732,7.809,177,90,0
2023-11-09 13:00:00,7.818,7.822,7.747,7.781,146,110,0
2023-11-09 14:00:00,7.781,7.829,7.78,7.823,88,100,0
2023-11-09 15:00:00,7.823,7.896,7.799,7.875,137,70,0
2023-11-09 16:00:00,7.876,7.921,7.835,7.911,101,70,0
2023-11-09 17:00:00,7.911,7.924,7.853,7.924,189,100,0
