time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.367,1.406,1.366,1.398,57,20,0
2023-11-03 12:00:00,1.404,1.406,1.386,1.395,41,10,0
2023-11-03 13:00:00,1.395,1.395,1.373,1.39,35,30,0
2023-11-03 14:00:00,1.386,1.4,1.373,1.395,43,20,0
2023-11-03 15:00:00,1.4,1.412,1.388,1.407,66,10,0
2023-11-03 16:00:00,1.409,1.417,1.407,1.411,51,20,0
2023-11-03 17:00:00,1.414,1.414,1.402,1.407,53,30,0
2023-11-03 18:00:00,1.407,1.408,1.398,1.408,23,20,0
2023-11-03 19:00:00,1.408,1.409,1.398,1.398,18,30,0
2023-11-06 10:00:00,1.401,1.405,1.401,1.404,10,100,0
2023-11-06 11:00:00,1.405,1.406,1.405,1.406,3,90,0
2023-11-06 12:00:00,1.409,1.42,1.406,1.42,24,40,0
2023-11-06 13:00:00,1.42,1.42,1.418,1.42,9,40,0
2023-11-06 14:00:00,1.419,1.42,1.413,1.418,9,20,0
2023-11-06 15:00:00,1.418,1.418,1.413,1.414,9,20,0
2023-11-06 16:00:00,1.413,1.415,1.404,1.411,15,10,0
2023-11-06 17:00:00,1.411,1.417,1.407,1.415,52,30,0
2023-11-06 18:00:00,1.415,1.417,1.412,1.415,26,30,0
2023-11-07 10:00:00,1.402,1.421,1.402,1.42,21,40,0
2023-11-07 11:00:00,1.42,1.428,1.418,1.426,42,20,0
2023-11-07 12:00:00,1.421,1.426,1.421,1.426,22,20,0
2023-11-07 13:00:00,1.425,1.426,1.423,1.424,12,20,0
2023-11-07 14:00:00,1.425,1.425,1.425,1.425,6,30,0
2023-11-07 15:00:00,1.428,1.428,1.411,1.42,29,10,0
2023-11-07 16:00:00,1.421,1.421,1.411,1.418,30,30,0
2023-11-07 17:00:00,1.418,1.423,1.415,1.42,40,30,0
2023-11-07 18:00:00,1.419,1.427,1.417,1.424,33,30,0
2023-11-08 10:00:00,1.412,1.434,1.412,1.432,13,60,0
2023-11-08 11:00:00,1.432,1.433,1.432,1.432,19,50,0
2023-11-08 12:00:00,1.432,1.439,1.432,1.435,19,50,0
2023-11-08 13:00:00,1.435,1.435,1.432,1.435,30,40,0
2023-11-08 14:00:00,1.435,1.435,1.427,1.429,39,40,0
2023-11-08 15:00:00,1.429,1.434,1.429,1.434,18,50,0
2023-11-08 16:00:00,1.435,1.44,1.429,1.439,51,30,0
2023-11-08 17:00:00,1.439,1.44,1.43,1.439,14,10,0
2023-11-08 18:00:00,1.439,1.439,1.427,1.435,13,10,0
2023-11-09 10:00:00,1.4,1.412,1.4,1.412,13,100,0
2023-11-09 11:00:00,1.412,1.415,1.412,1.415,6,60,0
2023-11-09 12:00:00,1.414,1.426,1.414,1.425,33,20,0
2023-11-09 13:00:00,1.425,1.426,1.422,1.424,20,40,0
2023-11-09 14:00:00,1.424,1.429,1.424,1.424,15,40,0
2023-11-09 15:00:00,1.429,1.43,1.425,1.43,14,30,0
2023-11-09 16:00:00,1.43,1.43,1.424,1.424,8,30,0
2023-11-09 17:00:00,1.424,1.433,1.421,1.429,32,0,0
2023-11-09 18:00:00,1.43,1.433,1.408,1.422,74,0,0
2023-11-10 10:00:00,1.42,1.432,1.42,1.424,27,60,0
2023-11-10 11:00:00,1.424,1.429,1.424,1.429,6,70,0
2023-11-10 12:00:00,1.429,1.43,1.405,1.421,38,30,0
2023-11-10 13:00:00,1.414,1.421,1.405,1.405,14,30,0
2023-11-10 14:00:00,1.405,1.417,1.405,1.412,25,40,0
2023-11-10 15:00:00,1.416,1.419,1.416,1.418,26,30,0
2023-11-10 16:00:00,1.418,1.419,1.415,1.418,39,60,0
2023-11-10 17:00:00,1.418,1.42,1.415,1.42,19,20,0
2023-11-10 18:00:00,1.42,1.427,1.42,1.423,30,30,0
2023-11-13 10:00:00,1.418,1.423,1.413,1.423,9,80,0
2023-11-13 11:00:00,1.423,1.423,1.413,1.419,21,30,0
2023-11-13 12:00:00,1.419,1.425,1.415,1.422,24,50,0
2023-11-13 13:00:00,1.422,1.435,1.422,1.435,14,40,0
2023-11-13 14:00:00,1.435,1.435,1.426,1.426,21,40,0
2023-11-13 15:00:00,1.428,1.428,1.428,1.428,3,30,0
2023-11-13 16:00:00,1.428,1.428,1.425,1.428,14,30,0
2023-11-13 17:00:00,1.428,1.429,1.426,1.426,24,30,0
2023-11-13 18:00:00,1.429,1.433,1.426,1.429,32,20,0
2023-11-14 10:00:00,1.432,1.435,1.422,1.433,23,40,0
2023-11-14 11:00:00,1.433,1.439,1.432,1.432,30,40,0
2023-11-14 12:00:00,1.432,1.432,1.425,1.425,12,30,0
2023-11-14 13:00:00,1.425,1.435,1.425,1.433,15,30,0
2023-11-14 14:00:00,1.435,1.44,1.433,1.437,21,20,0
2023-11-14 15:00:00,1.44,1.446,1.425,1.438,69,10,0
2023-11-14 16:00:00,1.438,1.454,1.425,1.438,43,30,0
2023-11-14 17:00:00,1.45,1.477,1.44,1.475,106,0,0
2023-11-14 18:00:00,1.475,1.48,1.465,1.477,48,30,0
2023-11-15 10:00:00,1.474,1.521,1.474,1.505,47,30,0
2023-11-15 11:00:00,1.518,1.521,1.491,1.491,44,40,0
2023-11-15 12:00:00,1.491,1.515,1.491,1.499,63,50,0
2023-11-15 13:00:00,1.499,1.515,1.499,1.508,46,20,0
2023-11-15 14:00:00,1.503,1.518,1.503,1.513,44,20,0
