time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,24.9,25.26,24.8,25.12,85,400,0
2023-11-03 12:00:00,25.16,25.26,24.94,25.06,57,600,0
2023-11-03 13:00:00,25.04,25.08,24.8,24.98,48,400,0
2023-11-03 14:00:00,24.98,25.08,24.9,24.94,117,400,0
2023-11-03 15:00:00,25.06,25.14,24.94,25.04,95,200,0
2023-11-03 16:00:00,25.04,25.18,25.0,25.14,70,200,0
2023-11-03 17:00:00,25.2,25.2,24.96,25.02,106,200,0
2023-11-03 18:00:00,25.02,25.08,24.96,24.96,74,200,0
2023-11-03 19:00:00,24.96,25.02,24.96,24.96,34,200,0
2023-11-06 10:00:00,24.9,25.12,24.88,25.12,27,400,0
2023-11-06 11:00:00,25.0,25.18,24.86,24.86,97,400,0
2023-11-06 12:00:00,24.9,25.12,24.9,25.06,67,400,0
2023-11-06 13:00:00,25.1,25.12,25.02,25.1,60,400,0
2023-11-06 14:00:00,25.06,25.14,25.02,25.12,27,400,0
2023-11-06 15:00:00,25.12,25.14,25.0,25.12,70,200,0
2023-11-06 16:00:00,25.08,25.12,24.84,24.9,117,200,0
2023-11-06 17:00:00,24.98,25.04,24.76,24.98,139,200,0
2023-11-06 18:00:00,24.9,25.02,24.9,24.98,67,200,0
2023-11-07 10:00:00,24.84,25.0,24.84,24.98,49,800,0
2023-11-07 11:00:00,24.92,25.12,24.92,25.08,61,400,0
2023-11-07 12:00:00,25.02,25.18,25.02,25.08,46,400,0
2023-11-07 13:00:00,25.08,25.22,25.08,25.16,92,200,0
2023-11-07 14:00:00,25.16,25.22,25.14,25.16,52,200,0
2023-11-07 15:00:00,25.16,25.22,25.14,25.16,58,400,0
2023-11-07 16:00:00,25.16,25.26,25.12,25.26,105,200,0
2023-11-07 17:00:00,25.26,25.26,25.14,25.22,116,200,0
2023-11-07 18:00:00,25.22,25.24,25.12,25.12,67,200,0
2023-11-08 10:00:00,24.96,25.24,24.72,25.24,104,600,0
2023-11-08 11:00:00,25.2,25.3,25.14,25.22,55,400,0
2023-11-08 12:00:00,25.22,25.3,25.16,25.3,38,400,0
2023-11-08 13:00:00,25.26,25.26,25.22,25.24,18,400,0
2023-11-08 14:00:00,25.24,25.3,25.18,25.3,36,200,0
2023-11-08 15:00:00,25.24,25.3,25.18,25.26,39,200,0
2023-11-08 16:00:00,25.26,25.62,25.26,25.58,91,200,0
2023-11-08 17:00:00,25.58,25.62,25.42,25.46,76,200,0
2023-11-08 18:00:00,25.46,25.46,25.38,25.38,25,200,0
2023-11-09 10:00:00,25.18,25.24,25.08,25.18,31,600,0
2023-11-09 11:00:00,25.2,25.3,25.12,25.26,52,200,0
2023-11-09 12:00:00,25.24,25.46,25.18,25.42,50,200,0
2023-11-09 13:00:00,25.46,25.46,25.34,25.42,61,400,0
2023-11-09 14:00:00,25.42,25.56,25.34,25.56,33,200,0
2023-11-09 15:00:00,25.56,25.66,25.5,25.58,74,200,0
2023-11-09 16:00:00,25.62,25.62,25.36,25.42,115,200,0
2023-11-09 17:00:00,25.46,25.48,25.28,25.34,110,200,0
2023-11-09 18:00:00,25.34,25.36,25.3,25.3,59,200,0
2023-11-10 10:00:00,25.2,25.2,25.06,25.14,57,400,0
2023-11-10 11:00:00,25.12,25.28,25.06,25.28,48,400,0
2023-11-10 12:00:00,25.14,25.3,25.14,25.28,73,200,0
2023-11-10 13:00:00,25.2,25.3,25.2,25.28,38,200,0
2023-11-10 14:00:00,25.28,25.32,25.2,25.32,23,400,0
2023-11-10 15:00:00,25.32,25.36,25.26,25.28,57,200,0
2023-11-10 16:00:00,25.28,25.32,25.26,25.28,96,200,0
2023-11-10 17:00:00,25.28,25.34,25.26,25.28,80,200,0
2023-11-10 18:00:00,25.28,25.34,25.28,25.34,24,200,0
2023-11-13 10:00:00,25.46,25.6,25.42,25.52,56,400,0
2023-11-13 11:00:00,25.6,25.74,25.52,25.7,63,400,0
2023-11-13 12:00:00,25.7,25.72,25.64,25.66,50,400,0
2023-11-13 13:00:00,25.66,25.72,25.6,25.6,39,400,0
2023-11-13 14:00:00,25.56,25.64,25.4,25.4,52,200,0
2023-11-13 15:00:00,25.42,25.52,25.34,25.46,59,400,0
2023-11-13 16:00:00,25.38,25.4,25.3,25.34,76,200,0
2023-11-13 17:00:00,25.32,25.46,25.26,25.3,102,200,0
2023-11-13 18:00:00,25.34,25.36,25.2,25.28,65,200,0
2023-11-14 10:00:00,25.3,25.42,25.12,25.38,75,400,0
2023-11-14 11:00:00,25.36,25.48,25.3,25.38,81,200,0
2023-11-14 12:00:00,25.4,25.48,25.36,25.36,36,200,0
2023-11-14 13:00:00,25.36,25.44,25.24,25.24,77,400,0
2023-11-14 14:00:00,25.28,25.42,25.24,25.34,65,200,0
2023-11-14 15:00:00,25.36,25.88,25.26,25.84,97,200,0
2023-11-14 16:00:00,25.64,25.94,25.64,25.88,125,200,0
2023-11-14 17:00:00,25.8,26.08,25.8,25.9,123,200,0
2023-11-14 18:00:00,25.9,25.98,25.86,25.92,50,200,0
2023-11-15 10:00:00,25.96,26.28,25.88,26.28,103,200,0
2023-11-15 11:00:00,26.14,26.32,26.0,26.04,136,200,0
2023-11-15 12:00:00,26.08,26.16,26.02,26.12,115,400,0
2023-11-15 13:00:00,26.12,26.2,26.12,26.2,73,400,0
2023-11-15 14:00:00,26.14,26.2,26.04,26.18,87,200,0
