time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,5.98,6.11,5.98,6.092,943,10,0
2023-11-03 12:00:00,6.092,6.095,6.058,6.074,710,10,0
2023-11-03 13:00:00,6.078,6.085,6.05,6.053,558,10,0
2023-11-03 14:00:00,6.064,6.07,6.048,6.066,538,10,0
2023-11-03 15:00:00,6.065,6.066,6.022,6.023,702,10,0
2023-11-03 16:00:00,6.023,6.052,6.009,6.037,871,10,0
2023-11-03 17:00:00,6.037,6.041,6.01,6.025,801,10,0
2023-11-03 18:00:00,6.026,6.035,6.003,6.007,652,10,0
2023-11-03 19:00:00,6.007,6.017,6.001,6.013,237,10,0
2023-11-06 10:00:00,6.059,6.062,6.034,6.055,1025,10,0
2023-11-06 11:00:00,6.055,6.066,6.043,6.059,570,10,0
2023-11-06 12:00:00,6.058,6.062,6.042,6.05,402,10,0
2023-11-06 13:00:00,6.05,6.073,6.047,6.067,434,10,0
2023-11-06 14:00:00,6.065,6.088,6.056,6.088,536,10,0
2023-11-06 15:00:00,6.087,6.125,6.077,6.123,573,10,0
2023-11-06 16:00:00,6.123,6.131,6.098,6.105,855,10,0
2023-11-06 17:00:00,6.105,6.108,6.089,6.099,724,10,0
2023-11-06 18:00:00,6.099,6.104,6.09,6.093,256,10,0
2023-11-07 10:00:00,6.072,6.1370000000000005,6.071,6.075,912,10,0
2023-11-07 11:00:00,6.092,6.092,6.052,6.07,719,10,0
2023-11-07 12:00:00,6.07,6.085,6.067,6.084,521,10,0
2023-11-07 13:00:00,6.084,6.084,6.063,6.071,538,10,0
2023-11-07 14:00:00,6.07,6.08,6.057,6.075,579,10,0
2023-11-07 15:00:00,6.076,6.085,6.063,6.079,471,10,0
2023-11-07 16:00:00,6.079,6.092,6.063,6.091,769,10,0
2023-11-07 17:00:00,6.091,6.105,6.075,6.103,636,10,0
2023-11-07 18:00:00,6.104,6.105,6.086,6.093,277,10,0
2023-11-08 10:00:00,6.095,6.117,6.035,6.116,959,10,0
2023-11-08 11:00:00,6.116,6.117,6.077,6.095,721,10,0
2023-11-08 12:00:00,6.096,6.098,6.071,6.089,560,10,0
2023-11-08 13:00:00,6.089,6.1,6.084,6.092,488,10,0
2023-11-08 14:00:00,6.094,6.109,6.085,6.108,520,10,0
2023-11-08 15:00:00,6.108,6.115,6.089,6.09,672,10,0
2023-11-08 16:00:00,6.09,6.122,6.084,6.118,887,10,0
2023-11-08 17:00:00,6.118,6.125,6.093,6.095,543,10,0
2023-11-08 18:00:00,6.095,6.099,6.085,6.088,316,10,0
2023-11-09 10:00:00,5.998,6.0,5.929,5.949,1066,10,0
2023-11-09 11:00:00,5.95,5.974,5.936,5.974,773,10,0
2023-11-09 12:00:00,5.974,6.001,5.962,5.987,544,10,0
2023-11-09 13:00:00,5.988,6.003,5.981,5.995,581,10,0
2023-11-09 14:00:00,5.995,6.012,5.995,6.002,453,10,0
2023-11-09 15:00:00,6.002,6.026,6.0,6.005,520,10,0
2023-11-09 16:00:00,6.006,6.046,6.002,6.042,918,10,0
2023-11-09 17:00:00,6.044,6.045,6.023,6.035,843,10,0
2023-11-09 18:00:00,6.034,6.049,6.025,6.035,274,10,0
2023-11-10 10:00:00,5.994,6.03,5.989,6.01,1078,10,0
2023-11-10 11:00:00,6.01,6.029,5.987,5.999,765,10,0
2023-11-10 12:00:00,5.992,6.001,5.971,5.972,601,10,0
2023-11-10 13:00:00,5.972,5.978,5.963,5.969,465,10,0
2023-11-10 14:00:00,5.969,5.993,5.968,5.989,465,10,0
2023-11-10 15:00:00,5.983,5.992,5.978,5.983,452,10,0
2023-11-10 16:00:00,5.982,5.996,5.964,5.982,656,10,0
2023-11-10 17:00:00,5.98,5.996,5.969,5.976,606,10,0
2023-11-10 18:00:00,5.975,5.991,5.973,5.988,244,10,0
2023-11-13 10:00:00,6.027,6.066,6.012,6.064,796,10,0
2023-11-13 11:00:00,6.064,6.08,6.052,6.069,573,10,0
2023-11-13 12:00:00,6.07,6.076,6.053,6.074,430,10,0
2023-11-13 13:00:00,6.074,6.083,6.064,6.083,436,10,0
2023-11-13 14:00:00,6.083,6.093,6.071,6.082,481,10,0
2023-11-13 15:00:00,6.081,6.088,6.066,6.08,357,10,0
2023-11-13 16:00:00,6.081,6.084,6.052,6.079,706,10,0
2023-11-13 17:00:00,6.079,6.086,6.068,6.085,474,10,0
2023-11-13 18:00:00,6.085,6.087,6.075,6.084,263,10,0
2023-11-14 10:00:00,6.09,6.09,6.051,6.079,991,10,0
2023-11-14 11:00:00,6.079,6.087,6.05,6.057,581,10,0
2023-11-14 12:00:00,6.057,6.058,6.035,6.053,642,10,0
2023-11-14 13:00:00,6.053,6.061,6.04,6.06,422,10,0
2023-11-14 14:00:00,6.06,6.064,6.046,6.054,497,10,0
2023-11-14 15:00:00,6.054,6.085,6.027,6.035,1032,10,0
2023-11-14 16:00:00,6.036,6.047,6.028,6.042,954,10,0
2023-11-14 17:00:00,6.042,6.061,6.034,6.05,618,10,0
2023-11-14 18:00:00,6.05,6.064,6.047,6.063,168,10,0
2023-11-15 10:00:00,6.129,6.194,6.116,6.149,1182,10,0
2023-11-15 11:00:00,6.142,6.149,6.118,6.133,867,10,0
2023-11-15 12:00:00,6.125,6.146,6.125,6.141,643,10,0
2023-11-15 13:00:00,6.141,6.162,6.136,6.161,436,10,0
2023-11-15 14:00:00,6.16,6.168,6.148,6.166,559,10,0
2023-11-15 15:00:00,6.166,6.208,6.156,6.183,672,10,0
2023-11-15 16:00:00,6.183,6.197,6.152,6.164,944,10,0
2023-11-15 17:00:00,6.164,6.173,6.155,6.163,549,10,0
2023-11-15 18:00:00,6.163,6.174,6.161,6.163,243,10,0
2023-11-16 10:00:00,6.139,6.167,6.123,6.162,907,10,0
2023-11-16 11:00:00,6.161,6.162,6.114,6.126,751,10,0
2023-11-16 12:00:00,6.125,6.13,6.114,6.116,579,10,0
2023-11-16 13:00:00,6.116,6.123,6.101,6.111,555,10,0
2023-11-16 14:00:00,6.11,6.122,6.101,6.102,561,10,0
2023-11-16 15:00:00,6.109,6.121,6.093,6.093,629,10,0
2023-11-16 16:00:00,6.093,6.102,6.07,6.101,749,10,0
2023-11-16 17:00:00,6.101,6.102,6.082,6.086,556,10,0
2023-11-16 18:00:00,6.086,6.088,6.072,6.072,313,10,0
2023-11-17 10:00:00,6.108,6.128,6.095,6.124,786,10,0
2023-11-17 11:00:00,6.124,6.135,6.116,6.13,585,10,0
2023-11-17 12:00:00,6.131,6.143,6.121,6.13,483,10,0
2023-11-17 13:00:00,6.13,6.14,6.121,6.131,414,10,0
2023-11-17 14:00:00,6.131,6.1370000000000005,6.124,6.13,365,10,0
2023-11-17 15:00:00,6.13,6.153,6.121,6.152,444,10,0
2023-11-17 16:00:00,6.152,6.171,6.14,6.15,669,10,0
2023-11-17 17:00:00,6.15,6.165,6.147,6.152,488,10,0
2023-11-17 18:00:00,6.152,6.16,6.146,6.154,159,10,0
2023-11-20 10:00:00,6.155,6.173,6.126,6.157,851,10,0
2023-11-20 11:00:00,6.157,6.173,6.136,6.136,548,10,0
2023-11-20 12:00:00,6.1370000000000005,6.158,6.136,6.151,480,10,0
2023-11-20 13:00:00,6.145,6.159,6.145,6.154,352,10,0
2023-11-20 14:00:00,6.153,6.157,6.134,6.135,396,10,0
2023-11-20 15:00:00,6.135,6.153,6.131,6.152,312,10,0
2023-11-20 16:00:00,6.152,6.158,6.1370000000000005,6.155,519,10,0
2023-11-20 17:00:00,6.15,6.162,6.15,6.157,390,10,0
2023-11-20 18:00:00,6.157,6.168,6.156,6.167,170,10,0
2023-11-21 10:00:00,6.115,6.128,6.095,6.117,713,10,0
2023-11-21 11:00:00,6.117,6.124,6.088,6.088,500,10,0
2023-11-21 12:00:00,6.089,6.1,6.08,6.085,427,10,0
2023-11-21 13:00:00,6.085,6.095,6.08,6.095,409,10,0
2023-11-21 14:00:00,6.095,6.099,6.083,6.089,396,10,0
2023-11-21 15:00:00,6.089,6.104,6.087,6.095,430,10,0
2023-11-21 16:00:00,6.096,6.128,6.095,6.111,677,10,0
2023-11-21 17:00:00,6.111,6.134,6.108,6.134,455,10,0
2023-11-21 18:00:00,6.133,6.1370000000000005,6.121,6.132,177,10,0
2023-11-22 10:00:00,6.118,6.12,6.079,6.082,715,10,0
2023-11-22 11:00:00,6.081,6.091,6.024,6.029,692,10,0
2023-11-22 12:00:00,6.028,6.043,6.018,6.042,750,10,0
2023-11-22 13:00:00,6.042,6.043,6.012,6.014,426,10,0
2023-11-22 14:00:00,6.014,6.036,6.005,6.033,393,10,0
2023-11-22 15:00:00,6.033,6.059,6.026,6.054,536,10,0
2023-11-22 16:00:00,6.054,6.063,6.032,6.037,865,10,0
2023-11-22 17:00:00,6.036,6.073,6.031,6.071,606,10,0
2023-11-22 18:00:00,6.072,6.077,6.058,6.064,267,10,0
2023-11-23 10:00:00,6.113,6.153,6.103,6.129,845,10,0
2023-11-23 11:00:00,6.13,6.139,6.108,6.116,676,10,0
2023-11-23 12:00:00,6.117,6.123,6.09,6.095,583,10,0
2023-11-23 13:00:00,6.094,6.107,6.081,6.09,402,10,0
2023-11-23 14:00:00,6.091,6.105,6.083,6.101,396,10,0
2023-11-23 15:00:00,6.102,6.114,6.1,6.112,260,10,0
2023-11-23 16:00:00,6.112,6.133,6.108,6.13,367,10,0
2023-11-23 17:00:00,6.13,6.138,6.126,6.13,324,10,0
2023-11-23 18:00:00,6.13,6.133,6.12,6.12,148,10,0
2023-11-24 10:00:00,6.057,6.073,6.043,6.056,664,10,0
2023-11-24 11:00:00,6.056,6.056,6.033,6.044,476,10,0
2023-11-24 12:00:00,6.044,6.072,6.041,6.065,419,10,0
2023-11-24 13:00:00,6.063,6.076,6.06,6.072,355,10,0
2023-11-24 14:00:00,6.071,6.075,6.062,6.065,386,10,0
2023-11-24 15:00:00,6.066,6.071,6.053,6.071,419,10,0
2023-11-24 16:00:00,6.071,6.089,6.054,6.085,650,10,0
2023-11-24 17:00:00,6.086,6.102,6.076,6.102,523,10,0
2023-11-24 18:00:00,6.102,6.106,6.094,6.098,198,10,0
2023-11-27 10:00:00,6.086,6.09,6.067,6.074,750,10,0
2023-11-27 11:00:00,6.074,6.081,6.047,6.05,519,10,0
2023-11-27 12:00:00,6.05,6.071,6.046,6.061,562,10,0
2023-11-27 13:00:00,6.061,6.074,6.054,6.07,338,10,0
2023-11-27 14:00:00,6.07,6.085,6.065,6.077,384,10,0
2023-11-27 15:00:00,6.078,6.095,6.075,6.082,486,10,0
2023-11-27 16:00:00,6.081,6.093,6.077,6.084,568,10,0
2023-11-27 17:00:00,6.085,6.091,6.077,6.078,503,10,0
2023-11-27 18:00:00,6.078,6.083,6.069,6.074,230,10,0
2023-11-28 10:00:00,6.054,6.077,6.027,6.04,1046,10,0
2023-11-28 11:00:00,6.04,6.064,6.03,6.059,587,10,0
2023-11-28 12:00:00,6.059,6.065,6.051,6.061,470,10,0
2023-11-28 13:00:00,6.061,6.065,6.054,6.056,365,10,0
2023-11-28 14:00:00,6.056,6.069,6.055,6.062,334,10,0
2023-11-28 15:00:00,6.062,6.082,6.056,6.075,434,10,0
2023-11-28 16:00:00,6.075,6.09,6.07,6.084,607,10,0
2023-11-28 17:00:00,6.088,6.094,6.079,6.088,540,10,0
2023-11-28 18:00:00,6.088,6.088,6.069,6.08,213,10,0
