time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,22.0,22.0,22.0,22.0,2,1500,0
2023-11-03 12:00:00,22.0,22.05,22.0,22.05,6,1500,0
2023-11-03 14:00:00,22.1,22.1,22.1,22.1,7,1500,0
2023-11-03 15:00:00,22.1,22.1,22.0,22.1,10,1500,0
2023-11-03 16:00:00,22.15,22.15,22.15,22.15,2,1500,0
2023-11-03 17:00:00,22.15,22.15,22.15,22.15,4,1000,0
2023-11-03 18:00:00,22.15,22.15,22.15,22.15,3,1000,0
2023-11-03 19:00:00,22.15,22.15,22.15,22.15,1,1000,0
2023-11-06 10:00:00,21.9,21.9,21.9,21.9,1,2000,0
2023-11-06 11:00:00,21.9,22.0,21.9,22.0,4,2000,0
2023-11-06 12:00:00,22.0,22.0,22.0,22.0,6,2000,0
2023-11-06 13:00:00,22.0,22.05,22.0,22.05,7,1500,0
2023-11-06 14:00:00,22.05,22.05,22.0,22.0,11,1000,0
2023-11-06 15:00:00,22.0,22.0,21.9,21.9,2,1000,0
2023-11-06 16:00:00,21.9,21.95,21.9,21.95,9,1000,0
2023-11-06 17:00:00,21.95,21.95,21.9,21.9,9,1000,0
2023-11-06 18:00:00,21.9,21.9,21.9,21.9,3,1000,0
2023-11-08 14:00:00,22.1,22.1,22.1,22.1,6,2000,0
2023-11-08 15:00:00,22.1,22.1,22.1,22.1,12,2000,0
2023-11-08 16:00:00,22.3,22.35,22.3,22.35,2,1500,0
2023-11-08 17:00:00,22.35,22.35,22.2,22.2,7,1500,0
2023-11-08 18:00:00,22.2,22.3,22.2,22.2,7,500,0
2023-11-09 15:00:00,22.15,22.3,22.15,22.3,6,1500,0
2023-11-09 16:00:00,22.3,22.3,22.15,22.15,5,1000,0
2023-11-09 17:00:00,22.05,22.1,22.05,22.1,6,1500,0
2023-11-09 18:00:00,22.05,22.05,22.05,22.05,1,1500,0
2023-11-10 13:00:00,22.25,22.25,22.1,22.1,3,1500,0
2023-11-10 14:00:00,22.1,22.1,22.1,22.1,2,2000,0
2023-11-10 18:00:00,22.05,22.05,22.05,22.05,1,1500,0
2023-11-13 13:00:00,22.0,22.0,22.0,22.0,3,2000,0
2023-11-13 15:00:00,22.05,22.05,22.05,22.05,1,1500,0
2023-11-13 16:00:00,22.05,22.05,22.0,22.05,10,1500,0
2023-11-13 17:00:00,22.05,22.05,22.05,22.05,1,1500,0
2023-11-13 18:00:00,22.1,22.15,22.1,22.15,3,1000,0
2023-11-14 11:00:00,22.15,22.25,22.15,22.25,7,1000,0
2023-11-14 12:00:00,22.25,22.35,22.25,22.35,4,1500,0
2023-11-14 13:00:00,22.25,22.35,22.25,22.25,12,1500,0
2023-11-14 14:00:00,22.25,22.25,22.25,22.25,9,500,0
2023-11-14 15:00:00,22.25,22.55,22.15,22.55,23,500,0
2023-11-14 16:00:00,22.55,22.6,22.4,22.4,20,500,0
2023-11-14 17:00:00,22.45,22.65,22.4,22.45,21,1000,0
2023-11-14 18:00:00,22.45,22.8,22.45,22.7,9,1000,0
2023-11-15 10:00:00,22.9,22.9,22.9,22.9,1,2000,0
2023-11-15 11:00:00,22.9,23.2,22.9,23.2,15,1000,0
2023-11-15 12:00:00,23.15,23.2,23.15,23.15,15,1000,0
2023-11-15 13:00:00,23.15,23.35,23.1,23.15,14,1000,0
2023-11-15 14:00:00,23.35,23.35,23.2,23.25,7,1500,0
2023-11-15 15:00:00,23.15,23.15,23.15,23.15,3,2000,0
2023-11-15 16:00:00,23.25,23.25,23.2,23.2,7,1500,0
2023-11-15 17:00:00,23.2,23.2,23.2,23.2,3,2000,0
2023-11-15 18:00:00,23.5,23.5,23.5,23.5,3,1000,0
2023-11-16 12:00:00,23.5,23.5,23.5,23.5,1,1500,0
2023-11-16 13:00:00,23.5,23.5,23.5,23.5,1,1500,0
2023-11-16 14:00:00,23.25,23.5,23.15,23.15,8,1500,0
2023-11-16 15:00:00,23.15,23.15,23.1,23.1,8,1500,0
2023-11-16 16:00:00,23.1,23.1,23.1,23.1,5,1500,0
2023-11-16 17:00:00,23.1,23.15,23.1,23.15,11,1500,0
2023-11-16 18:00:00,23.25,23.25,23.15,23.15,7,1500,0
2023-11-17 11:00:00,23.25,23.25,23.1,23.1,11,1000,0
2023-11-17 12:00:00,23.1,23.1,23.05,23.05,7,1500,0
2023-11-17 13:00:00,23.05,23.05,22.95,22.95,2,1500,0
2023-11-17 14:00:00,23.0,23.0,22.95,23.0,8,1500,0
2023-11-17 15:00:00,23.0,23.0,23.0,23.0,2,2000,0
2023-11-17 16:00:00,23.05,23.05,22.9,22.95,14,1500,0
2023-11-17 17:00:00,22.9,23.0,22.9,23.0,13,1500,0
2023-11-17 18:00:00,23.0,23.0,23.0,23.0,8,1500,0
2023-11-20 12:00:00,22.95,22.95,22.95,22.95,7,1500,0
2023-11-20 13:00:00,22.95,23.0,22.95,23.0,9,1500,0
2023-11-20 14:00:00,23.0,23.0,23.0,23.0,6,1000,0
2023-11-20 15:00:00,23.0,23.0,23.0,23.0,3,1000,0
2023-11-20 16:00:00,23.0,23.1,23.0,23.05,10,500,0
2023-11-20 17:00:00,23.1,23.15,23.05,23.05,20,1000,0
2023-11-20 18:00:00,23.05,23.1,23.0,23.0,9,1000,0
2023-11-21 12:00:00,22.95,22.95,22.95,22.95,1,2000,0
2023-11-21 13:00:00,22.95,22.95,22.95,22.95,2,2000,0
