time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,7.196,7.468,7.196,7.458,322,80,0
2023-11-03 12:00:00,7.446,7.486,7.404,7.45,194,40,0
2023-11-03 13:00:00,7.45,7.486,7.332,7.342,194,40,0
2023-11-03 14:00:00,7.342,7.418,7.304,7.406,213,20,0
2023-11-03 15:00:00,7.406,7.492,7.366,7.478,193,60,0
2023-11-03 16:00:00,7.482,7.552,7.454,7.48,228,20,0
2023-11-03 17:00:00,7.518,7.554,7.466,7.482,236,40,0
2023-11-03 18:00:00,7.482,7.528,7.436,7.44,236,40,0
2023-11-03 19:00:00,7.466,7.496,7.44,7.466,128,20,0
2023-11-06 10:00:00,7.478,7.478,7.378,7.416,210,120,0
2023-11-06 11:00:00,7.434,7.484,7.372,7.398,238,40,0
2023-11-06 12:00:00,7.396,7.434,7.384,7.386,136,40,0
2023-11-06 13:00:00,7.386,7.41,7.38,7.388,115,60,0
2023-11-06 14:00:00,7.388,7.41,7.376,7.408,120,40,0
2023-11-06 15:00:00,7.402,7.424,7.376,7.396,205,40,0
2023-11-06 16:00:00,7.396,7.418,7.316,7.336,244,40,0
2023-11-06 17:00:00,7.318,7.364,7.292,7.33,268,20,0
2023-11-06 18:00:00,7.324,7.34,7.3,7.324,128,40,0
2023-11-07 10:00:00,7.294,7.328,7.256,7.3,188,120,0
2023-11-07 11:00:00,7.3,7.3,7.232,7.237999999999999,127,100,0
2023-11-07 12:00:00,7.237999999999999,7.326,7.232,7.268,241,60,0
2023-11-07 13:00:00,7.3,7.3,7.228,7.248,165,40,0
2023-11-07 14:00:00,7.25,7.27,7.23,7.258,151,60,0
2023-11-07 15:00:00,7.266,7.28,7.226,7.234,151,80,0
2023-11-07 16:00:00,7.244,7.266,7.186,7.23,229,60,0
2023-11-07 17:00:00,7.23,7.294,7.19,7.286,323,40,0
2023-11-07 18:00:00,7.294,7.294,7.244,7.27,158,40,0
2023-11-08 10:00:00,7.096,7.16,7.012,7.068,144,80,0
2023-11-08 11:00:00,7.102,7.126,7.05,7.114,191,80,0
2023-11-08 12:00:00,7.114,7.114,7.038,7.076,196,60,0
2023-11-08 13:00:00,7.076,7.092,7.002,7.004,226,80,0
2023-11-08 14:00:00,7.004,7.07,7.002,7.056,126,60,0
2023-11-08 15:00:00,7.054,7.1,6.924,7.028,222,80,0
2023-11-08 16:00:00,7.026,7.146,7.026,7.124,223,40,0
2023-11-08 17:00:00,7.102,7.154,7.084,7.086,312,40,0
2023-11-08 18:00:00,7.084,7.122,7.082,7.1,167,20,0
2023-11-09 10:00:00,7.036,7.076,7.008,7.046,231,40,0
2023-11-09 11:00:00,7.026,7.076,6.992,7.044,94,140,0
2023-11-09 12:00:00,7.044,7.134,7.008,7.116,87,80,0
2023-11-09 13:00:00,7.138,7.138,7.088,7.12,72,80,0
2023-11-09 14:00:00,7.102,7.138,7.088,7.12,128,80,0
2023-11-09 15:00:00,7.116,7.188,7.06,7.176,113,80,0
2023-11-09 16:00:00,7.196,7.27,7.136,7.252,186,40,0
2023-11-09 17:00:00,7.236,7.262,7.18,7.208,230,20,0
2023-11-09 18:00:00,7.208,7.264,7.208,7.248,117,40,0
2023-11-10 10:00:00,7.114,7.132,7.07,7.098,165,120,0
2023-11-10 11:00:00,7.104,7.128,7.022,7.08,136,60,0
2023-11-10 12:00:00,7.072,7.088,7.024,7.07,146,40,0
2023-11-10 13:00:00,7.084,7.088,7.002,7.034,132,60,0
2023-11-10 14:00:00,7.026,7.07,7.018,7.042,132,60,0
2023-11-10 15:00:00,7.042,7.12,7.024,7.12,127,60,0
2023-11-10 16:00:00,7.12,7.12,7.076,7.106,140,40,0
2023-11-10 17:00:00,7.106,7.112,7.048,7.102,206,20,0
2023-11-10 18:00:00,7.066,7.14,7.066,7.124,121,20,0
2023-11-13 10:00:00,7.136,7.154,7.084,7.1,150,120,0
2023-11-13 11:00:00,7.106,7.144,7.088,7.118,108,60,0
2023-11-13 12:00:00,7.088,7.118,7.028,7.09,143,60,0
2023-11-13 13:00:00,7.09,7.114,7.028,7.114,133,60,0
2023-11-13 14:00:00,7.112,7.126,7.068,7.104,96,80,0
2023-11-13 15:00:00,7.106,7.136,7.104,7.104,105,60,0
2023-11-13 16:00:00,7.128,7.15,7.078,7.116,162,60,0
2023-11-13 17:00:00,7.12,7.182,7.078,7.144,223,40,0
2023-11-13 18:00:00,7.144,7.208,7.12,7.188,112,60,0
2023-11-14 10:00:00,7.162,7.162,7.048,7.104,113,160,0
2023-11-14 11:00:00,7.11,7.152,7.08,7.134,136,140,0
2023-11-14 12:00:00,7.15,7.184,7.114,7.16,160,80,0
2023-11-14 13:00:00,7.162,7.184,7.082,7.11,197,60,0
2023-11-14 14:00:00,7.106,7.166,7.082,7.144,148,80,0
2023-11-14 15:00:00,7.144,7.36,7.134,7.356,233,60,0
2023-11-14 16:00:00,7.354,7.42,7.256,7.414,224,80,0
2023-11-14 17:00:00,7.362,7.471999999999999,7.338,7.446,227,20,0
2023-11-14 18:00:00,7.446,7.474,7.43,7.456,144,20,0
2023-11-15 10:00:00,7.492,7.71,7.456,7.71,239,120,0
2023-11-15 11:00:00,7.63,7.721999999999999,7.56,7.582,305,120,0
2023-11-15 12:00:00,7.614,7.658,7.56,7.64,197,40,0
2023-11-15 13:00:00,7.634,7.694,7.612,7.664,198,40,0
2023-11-15 14:00:00,7.664,7.694,7.648,7.656,133,40,0
2023-11-15 15:00:00,7.65,7.702,7.592,7.638,246,40,0
2023-11-15 16:00:00,7.632,7.676,7.582,7.626,285,60,0
2023-11-15 17:00:00,7.594,7.64,7.536,7.556,296,40,0
2023-11-15 18:00:00,7.556,7.576,7.487999999999999,7.54,133,40,0
2023-11-16 10:00:00,7.184,7.244,7.14,7.186,211,100,0
2023-11-16 11:00:00,7.172,7.206,7.116,7.132,183,60,0
2023-11-16 12:00:00,7.132,7.198,7.132,7.178,141,60,0
2023-11-16 13:00:00,7.196,7.196,7.146,7.148,140,60,0
2023-11-16 14:00:00,7.15,7.18,7.128,7.144,105,40,0
2023-11-16 15:00:00,7.126,7.184,7.114,7.17,134,40,0
2023-11-16 16:00:00,7.17,7.182,7.118,7.138,220,80,0
2023-11-16 17:00:00,7.138,7.162,7.074,7.1,300,40,0
2023-11-16 18:00:00,7.094,7.116,7.076,7.096,112,40,0
2023-11-17 10:00:00,7.134,7.208,7.116,7.182,79,80,0
2023-11-17 11:00:00,7.184,7.226,7.168,7.22,101,80,0
2023-11-17 12:00:00,7.224,7.278,7.062,7.252,120,120,0
2023-11-17 13:00:00,7.272,7.274,7.196,7.22,112,20,0
2023-11-17 14:00:00,7.228,7.248,7.196,7.224,101,60,0
2023-11-17 15:00:00,7.212,7.272,7.202,7.25,124,40,0
2023-11-17 16:00:00,7.22,7.256,7.16,7.192,178,40,0
2023-11-17 17:00:00,7.186,7.278,7.164,7.276,180,40,0
2023-11-17 18:00:00,7.276,7.278,7.237999999999999,7.272,85,40,0
2023-11-20 10:00:00,7.232,7.3,7.172,7.184,151,120,0
2023-11-20 11:00:00,7.182,7.222,7.156,7.198,151,40,0
2023-11-20 12:00:00,7.16,7.24,7.16,7.2,150,20,0
2023-11-20 13:00:00,7.2,7.208,7.142,7.178,132,20,0
2023-11-20 14:00:00,7.178,7.192,7.154,7.17,113,20,0
2023-11-20 15:00:00,7.174,7.204,7.154,7.2,95,20,0
2023-11-20 16:00:00,7.172,7.224,7.172,7.214,173,20,0
2023-11-20 17:00:00,7.218,7.22,7.14,7.192,214,20,0
2023-11-20 18:00:00,7.192,7.22,7.168,7.21,98,20,0
2023-11-21 10:00:00,7.212,7.23,7.108,7.146,123,100,0
2023-11-21 11:00:00,7.182,7.194,7.134,7.152,117,60,0
2023-11-21 12:00:00,7.152,7.152,7.112,7.116,103,40,0
2023-11-21 13:00:00,7.116,7.136,7.1,7.134,112,40,0
2023-11-21 14:00:00,7.128,7.142,7.108,7.138,89,60,0
2023-11-21 15:00:00,7.138,7.142,7.066,7.112,164,40,0
2023-11-21 16:00:00,7.112,7.124,7.046,7.09,152,60,0
2023-11-21 17:00:00,7.102,7.108,7.046,7.084,180,40,0
2023-11-21 18:00:00,7.084,7.094,7.048,7.08,96,40,0
2023-11-22 10:00:00,7.136,7.174,7.116,7.168,187,100,0
2023-11-22 11:00:00,7.138,7.172,7.116,7.146,130,60,0
2023-11-22 12:00:00,7.16,7.162,7.12,7.148,124,60,0
2023-11-22 13:00:00,7.128,7.23,7.128,7.21,182,60,0
2023-11-22 14:00:00,7.21,7.266,7.186,7.214,174,60,0
2023-11-22 15:00:00,7.214,7.228,6.968,7.056,241,60,0
2023-11-22 16:00:00,7.016,7.088,6.986,7.084,257,80,0
2023-11-22 17:00:00,7.066,7.108,7.038,7.078,269,20,0
2023-11-22 18:00:00,7.078,7.09,7.048,7.062,125,40,0
2023-11-23 10:00:00,7.072,7.082,7.03,7.054,129,80,0
2023-11-23 11:00:00,7.056,7.082,6.976,6.992,81,200,0
2023-11-23 12:00:00,6.982,6.992,6.952,6.962,91,100,0
2023-11-23 13:00:00,6.968,6.988,6.944,6.946,72,100,0
2023-11-23 14:00:00,6.946,6.968,6.934,6.936,108,60,0
2023-11-23 15:00:00,6.936,6.97,6.934,6.956,86,40,0
2023-11-23 16:00:00,6.964,6.982,6.924,6.968,136,40,0
2023-11-23 17:00:00,6.968,7.012,6.924,6.99,163,80,0
2023-11-23 18:00:00,6.99,7.012,6.96,6.996,81,40,0
2023-11-24 10:00:00,7.05,7.05,6.926,6.938,180,160,0
2023-11-24 11:00:00,6.938,7.002,6.934,6.992,138,100,0
2023-11-24 12:00:00,6.99,7.016,6.974,6.996,105,40,0
2023-11-24 13:00:00,6.986,7.03,6.986,7.01,101,40,0
2023-11-24 14:00:00,6.994,7.006,6.964,6.986,56,60,0
2023-11-24 15:00:00,7.0,7.022,6.954,7.022,151,40,0
2023-11-24 16:00:00,7.022,7.034,6.98,7.026,187,40,0
2023-11-24 17:00:00,7.026,7.072,6.994,7.044,195,40,0
2023-11-24 18:00:00,7.064,7.09,7.032,7.084,102,20,0
2023-11-27 10:00:00,7.074,7.132,7.054,7.122,145,60,0
2023-11-27 11:00:00,7.122,7.122,7.014,7.034,117,60,0
2023-11-27 12:00:00,7.026,7.074,7.014,7.064,126,20,0
2023-11-27 13:00:00,7.064,7.092,6.994,7.012,161,20,0
2023-11-27 14:00:00,7.012,7.046,7.004,7.04,103,80,0
2023-11-27 15:00:00,7.036,7.048,6.994,7.012,129,80,0
2023-11-27 16:00:00,7.016,7.044,6.986,7.014,148,40,0
2023-11-27 17:00:00,7.002,7.086,7.002,7.04,191,40,0
2023-11-27 18:00:00,7.072,7.072,7.02,7.038,87,40,0
2023-11-28 10:00:00,7.014,7.048,6.954,6.984,327,80,0
2023-11-28 11:00:00,6.994,7.022,6.954,7.014,141,100,0
2023-11-28 12:00:00,7.014,7.022,6.97,6.984,133,100,0
2023-11-28 13:00:00,6.984,7.018,6.972,7.002,145,100,0
2023-11-28 14:00:00,6.98,7.02,6.98,7.0,143,140,0
2023-11-28 15:00:00,7.0,7.046,6.998,7.0,146,80,0
2023-11-28 16:00:00,7.0,7.046,6.956,7.03,241,100,0
2023-11-28 17:00:00,7.028,7.05,6.954,7.038,234,40,0
2023-11-28 18:00:00,7.042,7.06,7.03,7.038,110,40,0
