time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.9795,1.005,0.9795,1.004,133,30,0
2023-11-03 12:00:00,1.005,1.008,0.999,1.002,60,10,0
2023-11-03 13:00:00,1.002,1.003,0.9965,1.0,64,20,0
2023-11-03 14:00:00,0.9965,1.006,0.9965,1.006,69,20,0
2023-11-03 15:00:00,1.006,1.02,1.005,1.01,105,10,0
2023-11-03 16:00:00,1.014,1.018,1.01,1.017,78,20,0
2023-11-03 17:00:00,1.017,1.019,1.009,1.01,82,10,0
2023-11-03 18:00:00,1.01,1.012,1.003,1.006,106,20,0
2023-11-03 19:00:00,1.007,1.007,1.003,1.006,36,10,0
2023-11-06 10:00:00,0.9925,1.003,0.989,1.002,118,10,0
2023-11-06 11:00:00,1.002,1.002,0.993,0.9985,96,10,0
2023-11-06 12:00:00,0.999,1.002,0.9945,1.0,68,10,0
2023-11-06 13:00:00,0.9975,1.003,0.9975,1.0,37,10,0
2023-11-06 14:00:00,0.9995,1.003,0.9955,0.9985,56,5,0
2023-11-06 15:00:00,0.9985,1.0,0.997,0.9995,42,5,0
2023-11-06 16:00:00,1.001,1.002,0.9895,0.991,92,5,0
2023-11-06 17:00:00,0.991,0.9975,0.9895,0.99,105,5,0
2023-11-06 18:00:00,0.9905,0.9915,0.9845,0.9865,72,5,0
2023-11-07 10:00:00,0.9665,0.99,0.965,0.9845,200,10,0
2023-11-07 11:00:00,0.9845,0.9885,0.9835,0.9845,64,10,0
2023-11-07 12:00:00,0.9855,0.995,0.9835,0.991,109,10,0
2023-11-07 13:00:00,0.992,0.992,0.985,0.9875,104,10,0
2023-11-07 14:00:00,0.988,0.988,0.9825,0.9875,82,10,0
2023-11-07 15:00:00,0.987,0.9895,0.986,0.988,79,5,0
2023-11-07 16:00:00,0.988,0.9895,0.985,0.9895,135,5,0
2023-11-07 17:00:00,0.9855,0.9915,0.9855,0.9895,172,5,0
2023-11-07 18:00:00,0.9895,0.9915,0.986,0.9875,79,5,0
2023-11-08 10:00:00,0.974,0.994,0.974,0.991,220,15,0
2023-11-08 11:00:00,0.991,0.994,0.99,0.9925,71,10,0
2023-11-08 12:00:00,0.991,0.9965,0.9875,0.9965,81,10,0
2023-11-08 13:00:00,0.9945,1.002,0.9945,1.001,52,10,0
2023-11-08 14:00:00,1.001,1.006,0.997,1.005,72,10,0
2023-11-08 15:00:00,1.006,1.008,1.003,1.005,77,20,0
2023-11-08 16:00:00,1.005,1.013,1.004,1.013,81,10,0
2023-11-08 17:00:00,1.012,1.013,1.004,1.008,91,10,0
2023-11-08 18:00:00,1.008,1.011,1.005,1.008,48,10,0
2023-11-09 10:00:00,0.9995,1.012,0.994,1.011,108,20,0
2023-11-09 11:00:00,1.007,1.012,1.001,1.005,53,20,0
2023-11-09 12:00:00,1.006,1.016,1.004,1.014,50,20,0
2023-11-09 13:00:00,1.016,1.019,1.014,1.016,51,20,0
2023-11-09 14:00:00,1.016,1.021,1.014,1.021,32,20,0
2023-11-09 15:00:00,1.02,1.026,1.018,1.023,70,20,0
2023-11-09 16:00:00,1.025,1.025,1.018,1.022,32,10,0
2023-11-09 17:00:00,1.02,1.022,1.015,1.02,85,10,0
2023-11-09 18:00:00,1.022,1.029,1.02,1.027,61,10,0
2023-11-10 10:00:00,1.027,1.035,1.016,1.021,139,20,0
2023-11-10 11:00:00,1.021,1.025,1.017,1.018,47,20,0
2023-11-10 12:00:00,1.017,1.02,1.011,1.015,79,10,0
2023-11-10 13:00:00,1.016,1.017,1.01,1.01,51,10,0
2023-11-10 14:00:00,1.013,1.016,1.01,1.013,30,20,0
2023-11-10 15:00:00,1.013,1.022,1.013,1.02,39,20,0
2023-11-10 16:00:00,1.019,1.022,1.009,1.01,89,20,0
2023-11-10 17:00:00,1.016,1.016,1.001,1.008,107,10,0
2023-11-10 18:00:00,1.009,1.01,1.001,1.006,76,10,0
2023-11-13 10:00:00,0.997,1.009,0.997,0.9975,75,20,0
2023-11-13 11:00:00,0.998,1.005,0.997,1.004,95,10,0
2023-11-13 12:00:00,1.004,1.007,1.001,1.007,65,10,0
2023-11-13 13:00:00,1.006,1.007,1.004,1.005,66,20,0
2023-11-13 14:00:00,1.005,1.008,1.004,1.006,81,10,0
2023-11-13 15:00:00,1.006,1.007,1.003,1.006,54,10,0
2023-11-13 16:00:00,1.004,1.014,1.003,1.01,67,10,0
2023-11-13 17:00:00,1.01,1.017,1.009,1.014,115,10,0
2023-11-13 18:00:00,1.014,1.019,1.014,1.017,40,10,0
2023-11-14 10:00:00,1.025,1.036,1.007,1.031,125,10,0
2023-11-14 11:00:00,1.032,1.043,1.032,1.043,58,10,0
2023-11-14 12:00:00,1.04,1.043,1.038,1.043,51,20,0
2023-11-14 13:00:00,1.042,1.043,1.034,1.035,54,20,0
2023-11-14 14:00:00,1.035,1.044,1.035,1.044,51,10,0
2023-11-14 15:00:00,1.043,1.052,1.038,1.05,146,10,0
2023-11-14 16:00:00,1.046,1.061,1.042,1.06,117,10,0
2023-11-14 17:00:00,1.06,1.067,1.057,1.067,104,10,0
2023-11-14 18:00:00,1.067,1.068,1.062,1.065,47,10,0
2023-11-15 10:00:00,1.07,1.083,1.066,1.08,132,20,0
2023-11-15 11:00:00,1.08,1.085,1.076,1.076,78,10,0
2023-11-15 12:00:00,1.076,1.077,1.069,1.076,50,20,0
2023-11-15 13:00:00,1.07,1.077,1.069,1.077,60,20,0
2023-11-15 14:00:00,1.075,1.077,1.072,1.075,36,20,0
2023-11-15 15:00:00,1.073,1.076,1.071,1.074,51,10,0
2023-11-15 16:00:00,1.073,1.075,1.065,1.07,79,10,0
2023-11-15 17:00:00,1.073,1.079,1.068,1.078,79,10,0
2023-11-15 18:00:00,1.077,1.078,1.072,1.074,41,10,0
2023-11-16 10:00:00,1.078,1.081,1.063,1.08,119,20,0
2023-11-16 11:00:00,1.08,1.081,1.07,1.075,99,20,0
2023-11-16 12:00:00,1.076,1.081,1.073,1.076,93,20,0
2023-11-16 13:00:00,1.077,1.078,1.073,1.074,80,20,0
2023-11-16 14:00:00,1.077,1.077,1.069,1.074,65,20,0
2023-11-16 15:00:00,1.074,1.078,1.072,1.073,97,10,0
2023-11-16 16:00:00,1.075,1.079,1.069,1.074,112,10,0
2023-11-16 17:00:00,1.074,1.075,1.059,1.062,156,10,0
2023-11-16 18:00:00,1.062,1.064,1.056,1.056,57,10,0
2023-11-17 10:00:00,1.041,1.063,1.041,1.059,85,20,0
2023-11-17 11:00:00,1.06,1.06,1.053,1.053,56,10,0
2023-11-17 12:00:00,1.054,1.063,1.053,1.06,75,10,0
2023-11-17 13:00:00,1.06,1.061,1.055,1.057,46,10,0
2023-11-17 14:00:00,1.057,1.059,1.055,1.055,34,10,0
2023-11-17 15:00:00,1.055,1.057,1.051,1.056,75,10,0
2023-11-17 16:00:00,1.055,1.059,1.051,1.053,95,10,0
2023-11-17 17:00:00,1.055,1.056,1.051,1.055,74,10,0
2023-11-17 18:00:00,1.055,1.055,1.054,1.055,20,10,0
2023-11-20 10:00:00,1.048,1.062,1.048,1.055,48,20,0
2023-11-20 11:00:00,1.055,1.055,1.047,1.052,70,10,0
2023-11-20 12:00:00,1.052,1.054,1.051,1.053,33,10,0
2023-11-20 13:00:00,1.051,1.053,1.049,1.05,27,10,0
2023-11-20 14:00:00,1.05,1.055,1.05,1.053,38,10,0
2023-11-20 15:00:00,1.053,1.055,1.053,1.054,65,20,0
2023-11-20 16:00:00,1.054,1.055,1.052,1.053,46,10,0
2023-11-20 17:00:00,1.054,1.055,1.052,1.053,38,10,0
2023-11-20 18:00:00,1.053,1.054,1.052,1.054,29,10,0
2023-11-21 10:00:00,1.051,1.059,1.051,1.054,92,30,0
2023-11-21 11:00:00,1.054,1.059,1.054,1.059,22,20,0
2023-11-21 12:00:00,1.055,1.063,1.055,1.056,49,20,0
2023-11-21 13:00:00,1.056,1.062,1.056,1.061,25,10,0
2023-11-21 14:00:00,1.061,1.065,1.059,1.059,36,20,0
2023-11-21 15:00:00,1.059,1.064,1.057,1.06,69,20,0
2023-11-21 16:00:00,1.059,1.061,1.058,1.059,40,10,0
2023-11-21 17:00:00,1.057,1.06,1.053,1.056,82,20,0
