time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.208,6.298,6.166,6.264,325,40,0
2023-11-03 12:00:00,6.264,6.298,6.228,6.266,233,40,0
2023-11-03 13:00:00,6.274,6.336,6.26,6.294,228,40,0
2023-11-03 14:00:00,6.288,6.32,6.268,6.306,168,20,0
2023-11-03 15:00:00,6.304,6.416,6.286,6.382,178,20,0
2023-11-03 16:00:00,6.382,6.498,6.368,6.486,212,20,0
2023-11-03 17:00:00,6.486,6.502,6.428,6.442,294,20,0
2023-11-03 18:00:00,6.46,6.492,6.412,6.426,355,20,0
2023-11-03 19:00:00,6.434,6.446,6.396,6.408,131,20,0
2023-11-06 10:00:00,6.394,6.4,6.336,6.366,162,40,0
2023-11-06 11:00:00,6.354,6.406,6.336,6.392,173,20,0
2023-11-06 12:00:00,6.394,6.422,6.366,6.402,136,40,0
2023-11-06 13:00:00,6.396,6.44,6.396,6.43,161,20,0
2023-11-06 14:00:00,6.43,6.44,6.404,6.418,124,40,0
2023-11-06 15:00:00,6.418,6.428,6.398,6.41,125,20,0
2023-11-06 16:00:00,6.406,6.416,6.34,6.342,216,20,0
2023-11-06 17:00:00,6.358,6.382,6.318,6.354,264,20,0
2023-11-06 18:00:00,6.352,6.356,6.332,6.336,92,20,0
2023-11-07 10:00:00,6.286,6.382,6.286,6.37,320,60,0
2023-11-07 11:00:00,6.336,6.374,6.33,6.358,221,20,0
2023-11-07 12:00:00,6.344,6.376,6.334,6.348,269,20,0
2023-11-07 13:00:00,6.358,6.358,6.324,6.324,155,20,0
2023-11-07 14:00:00,6.324,6.34,6.308,6.33,187,20,0
2023-11-07 15:00:00,6.33,6.356,6.312,6.35,167,20,0
2023-11-07 16:00:00,6.35,6.36,6.318,6.354,262,20,0
2023-11-07 17:00:00,6.356,6.398,6.316,6.392,352,20,0
2023-11-07 18:00:00,6.38,6.396,6.362,6.368,130,20,0
2023-11-08 10:00:00,6.288,6.386,6.288,6.372,285,40,0
2023-11-08 11:00:00,6.372,6.386,6.334,6.338,174,40,0
2023-11-08 12:00:00,6.35,6.374,6.334,6.366,127,40,0
2023-11-08 13:00:00,6.366,6.386,6.358,6.38,98,20,0
2023-11-08 14:00:00,6.384,6.4,6.364,6.37,115,20,0
2023-11-08 15:00:00,6.384,6.39,6.362,6.372,113,40,0
2023-11-08 16:00:00,6.382,6.468,6.372,6.468,260,40,0
2023-11-08 17:00:00,6.432,6.476,6.414,6.438,260,20,0
2023-11-08 18:00:00,6.442,6.448,6.404,6.404,123,20,0
2023-11-09 10:00:00,6.386,6.438,6.37,6.396,362,80,0
2023-11-09 11:00:00,6.396,6.42,6.358,6.388,222,60,0
2023-11-09 12:00:00,6.388,6.442,6.358,6.438,213,40,0
2023-11-09 13:00:00,6.42,6.45,6.416,6.45,133,60,0
2023-11-09 14:00:00,6.44,6.466,6.428,6.466,128,40,0
2023-11-09 15:00:00,6.454,6.502,6.434,6.488,193,80,0
2023-11-09 16:00:00,6.488,6.546,6.484,6.524,212,40,0
2023-11-09 17:00:00,6.54,6.546,6.438,6.468,295,20,0
2023-11-09 18:00:00,6.444,6.496,6.444,6.482,123,20,0
2023-11-10 10:00:00,6.352,6.484,6.352,6.452,521,60,0
2023-11-10 11:00:00,6.43,6.466,6.416,6.43,246,20,0
2023-11-10 12:00:00,6.438,6.458,6.384,6.396,209,40,0
2023-11-10 13:00:00,6.39,6.436,6.382,6.4,202,40,0
2023-11-10 14:00:00,6.412,6.44,6.382,6.436,179,40,0
2023-11-10 15:00:00,6.432,6.47,6.414,6.444,196,40,0
2023-11-10 16:00:00,6.454,6.468,6.426,6.442,334,40,0
2023-11-10 17:00:00,6.436,6.456,6.406,6.436,347,20,0
2023-11-10 18:00:00,6.438,6.458,6.418,6.458,124,20,0
2023-11-13 10:00:00,6.49,6.51,6.464,6.478,236,40,0
2023-11-13 11:00:00,6.478,6.524,6.474,6.51,233,40,0
2023-11-13 12:00:00,6.52,6.52,6.488,6.504,164,20,0
2023-11-13 13:00:00,6.522,6.522,6.502,6.504,104,20,0
2023-11-13 14:00:00,6.502,6.508,6.474,6.488,131,20,0
2023-11-13 15:00:00,6.482,6.506,6.466,6.466,151,20,0
2023-11-13 16:00:00,6.466,6.514,6.462,6.492,236,20,0
2023-11-13 17:00:00,6.492,6.532,6.468,6.53,300,20,0
2023-11-13 18:00:00,6.522,6.536,6.51,6.524,129,20,0
2023-11-14 10:00:00,6.466,6.516,6.456,6.498,308,60,0
2023-11-14 11:00:00,6.504,6.5440000000000005,6.486,6.54,176,40,0
2023-11-14 12:00:00,6.542,6.566,6.52,6.554,174,20,0
2023-11-14 13:00:00,6.55,6.556,6.5,6.51,138,60,0
2023-11-14 14:00:00,6.51,6.554,6.5,6.54,167,20,0
2023-11-14 15:00:00,6.54,6.672,6.526,6.598,316,20,0
2023-11-14 16:00:00,6.598,6.74,6.598,6.72,410,20,0
2023-11-14 17:00:00,6.734,6.804,6.718,6.786,329,20,0
2023-11-14 18:00:00,6.7940000000000005,6.804,6.772,6.8,144,20,0
2023-11-15 10:00:00,6.828,7.022,6.828,7.002,389,40,0
2023-11-15 11:00:00,7.002,7.02,6.89,6.92,433,20,0
2023-11-15 12:00:00,6.922,6.944,6.886,6.918,316,20,0
2023-11-15 13:00:00,6.924,6.972,6.882,6.972,230,20,0
2023-11-15 14:00:00,6.976,6.978,6.906,6.946,211,40,0
2023-11-15 15:00:00,6.944,6.954,6.892,6.93,390,20,0
2023-11-15 16:00:00,6.916,6.972,6.89,6.966,452,20,0
2023-11-15 17:00:00,6.966,7.0,6.938,6.976,439,20,0
2023-11-15 18:00:00,6.998,7.008,6.964,6.98,170,20,0
2023-11-16 10:00:00,6.926,6.994,6.926,6.946,305,20,0
2023-11-16 11:00:00,6.952,6.974,6.922,6.932,310,20,0
2023-11-16 12:00:00,6.94,6.968,6.926,6.944,301,20,0
2023-11-16 13:00:00,6.94,6.956,6.918,6.952,208,20,0
2023-11-16 14:00:00,6.938,6.958,6.884,6.916,260,20,0
2023-11-16 15:00:00,6.916,6.944,6.89,6.932,270,20,0
2023-11-16 16:00:00,6.936,6.938,6.87,6.874,345,20,0
2023-11-16 17:00:00,6.874,6.9,6.818,6.858,395,20,0
2023-11-16 18:00:00,6.82,6.866,6.82,6.86,129,20,0
2023-11-17 10:00:00,6.844,6.906,6.844,6.878,275,40,0
2023-11-17 11:00:00,6.864,6.902,6.852,6.902,167,40,0
2023-11-17 12:00:00,6.898,6.924,6.866,6.924,238,20,0
2023-11-17 13:00:00,6.902,6.936,6.876,6.89,173,40,0
2023-11-17 14:00:00,6.886,6.898,6.874,6.89,134,40,0
2023-11-17 15:00:00,6.894,6.898,6.862,6.884,189,40,0
2023-11-17 16:00:00,6.882,6.908,6.858,6.884,337,20,0
2023-11-17 17:00:00,6.878,6.904,6.856,6.876,293,20,0
2023-11-17 18:00:00,6.888,6.898,6.854,6.88,126,20,0
2023-11-20 10:00:00,6.862,6.916,6.862,6.882,595,80,0
2023-11-20 11:00:00,6.892,6.916,6.864,6.872,245,40,0
2023-11-20 12:00:00,6.882,6.932,6.868,6.91,196,40,0
2023-11-20 13:00:00,6.91,6.932,6.87,6.894,156,40,0
2023-11-20 14:00:00,6.874,6.896,6.85,6.864,115,20,0
2023-11-20 15:00:00,6.868,6.904,6.85,6.878,109,20,0
2023-11-20 16:00:00,6.882,6.914,6.854,6.896,228,20,0
2023-11-20 17:00:00,6.894,6.904,6.866,6.89,271,20,0
2023-11-20 18:00:00,6.89,6.904,6.868,6.868,134,20,0
2023-11-21 10:00:00,6.86,6.94,6.86,6.918,253,100,0
2023-11-21 11:00:00,6.93,6.936,6.878,6.878,211,60,0
2023-11-21 12:00:00,6.88,6.932,6.878,6.892,228,80,0
2023-11-21 13:00:00,6.892,6.934,6.87,6.904,196,60,0
2023-11-21 14:00:00,6.902,6.932,6.88,6.914,218,60,0
2023-11-21 15:00:00,6.88,6.914,6.864,6.864,176,40,0
2023-11-21 16:00:00,6.87,6.894,6.85,6.88,237,40,0
2023-11-21 17:00:00,6.88,6.888,6.852,6.87,245,20,0
2023-11-21 18:00:00,6.87,6.87,6.83,6.85,132,20,0
2023-11-22 10:00:00,6.87,6.95,6.87,6.908,271,60,0
2023-11-22 11:00:00,6.908,6.942,6.874,6.894,259,40,0
2023-11-22 12:00:00,6.898,6.926,6.876,6.922,297,40,0
2023-11-22 13:00:00,6.92,6.95,6.894,6.934,253,20,0
2023-11-22 14:00:00,6.934,6.944,6.9,6.922,203,20,0
2023-11-22 15:00:00,6.922,6.954,6.888,6.94,332,20,0
2023-11-22 16:00:00,6.938,6.96,6.918,6.944,363,20,0
2023-11-22 17:00:00,6.934,6.97,6.906,6.956,374,20,0
2023-11-22 18:00:00,6.954,6.966,6.934,6.934,179,40,0
2023-11-23 10:00:00,6.92,6.98,6.916,6.956,145,80,0
2023-11-23 11:00:00,6.958,6.988,6.914,6.916,210,60,0
2023-11-23 12:00:00,6.94,6.95,6.914,6.94,122,60,0
2023-11-23 13:00:00,6.94,6.946,6.906,6.906,152,40,0
2023-11-23 14:00:00,6.91,6.93,6.884,6.924,130,40,0
2023-11-23 15:00:00,6.922,6.934,6.884,6.926,108,40,0
2023-11-23 16:00:00,6.934,6.974,6.918,6.972,162,40,0
2023-11-23 17:00:00,6.98,6.992,6.95,6.986,132,40,0
2023-11-23 18:00:00,6.988,6.99,6.958,6.97,70,20,0
2023-11-24 10:00:00,6.962,6.99,6.934,6.946,167,40,0
2023-11-24 11:00:00,6.952,6.994,6.93,6.99,155,20,0
2023-11-24 12:00:00,6.99,7.01,6.96,6.988,151,20,0
2023-11-24 13:00:00,6.986,7.0,6.96,7.0,153,20,0
2023-11-24 14:00:00,6.998,7.014,6.97,7.006,174,40,0
2023-11-24 15:00:00,7.008,7.016,6.974,6.998,178,20,0
2023-11-24 16:00:00,6.998,7.024,6.97,7.022,226,20,0
2023-11-24 17:00:00,7.028,7.034,6.992,7.028,265,20,0
2023-11-24 18:00:00,7.03,7.048,7.026,7.042,73,20,0
2023-11-27 10:00:00,7.038,7.132,7.038,7.13,203,60,0
2023-11-27 11:00:00,7.122,7.134,7.098,7.1,231,20,0
2023-11-27 12:00:00,7.106,7.156,7.098,7.132,247,20,0
2023-11-27 13:00:00,7.132,7.148,7.098,7.132,137,40,0
2023-11-27 14:00:00,7.126,7.15,7.098,7.142,165,20,0
2023-11-27 15:00:00,7.134,7.154,7.132,7.148,186,20,0
2023-11-27 16:00:00,7.154,7.182,7.14,7.166,250,20,0
2023-11-27 17:00:00,7.184,7.184,7.134,7.172,227,20,0
2023-11-27 18:00:00,7.166,7.184,7.16,7.182,147,20,0
2023-11-28 10:00:00,7.086,7.182,7.086,7.118,320,40,0
2023-11-28 11:00:00,7.116,7.144,7.1,7.128,257,40,0
2023-11-28 12:00:00,7.128,7.152,7.126,7.13,209,20,0
2023-11-28 13:00:00,7.136,7.158,7.13,7.15,146,20,0
2023-11-28 14:00:00,7.14,7.158,7.13,7.138,156,40,0
2023-11-28 15:00:00,7.152,7.196,7.138,7.192,235,20,0
2023-11-28 16:00:00,7.186,7.218,7.176,7.218,265,20,0
2023-11-28 17:00:00,7.218,7.24,7.202,7.232,302,20,0
2023-11-28 18:00:00,7.234,7.252,7.22,7.248,129,20,0
