time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.515,6.68,6.515,6.6,223,100,0
2023-11-03 12:00:00,6.575,6.615,6.535,6.5600000000000005,84,100,0
2023-11-03 13:00:00,6.5600000000000005,6.57,6.515,6.53,80,100,0
2023-11-03 14:00:00,6.545,6.555,6.5,6.515,83,50,0
2023-11-03 15:00:00,6.52,6.61,6.5,6.59,101,50,0
2023-11-03 16:00:00,6.61,6.675,6.585,6.675,81,50,0
2023-11-03 17:00:00,6.675,6.68,6.605,6.635,118,50,0
2023-11-03 18:00:00,6.635,6.64,6.595,6.62,82,50,0
2023-11-03 19:00:00,6.625,6.625,6.585,6.595,48,50,0
2023-11-06 10:00:00,6.59,6.595,6.5600000000000005,6.585,39,150,0
2023-11-06 11:00:00,6.585,6.605,6.5600000000000005,6.6,82,50,0
2023-11-06 12:00:00,6.6,6.62,6.58,6.595,91,50,0
2023-11-06 13:00:00,6.605,6.615,6.585,6.605,60,50,0
2023-11-06 14:00:00,6.605,6.62,6.595,6.615,54,50,0
2023-11-06 15:00:00,6.61,6.625,6.595,6.595,34,50,0
2023-11-06 16:00:00,6.625,6.635,6.585,6.585,82,50,0
2023-11-06 17:00:00,6.59,6.61,6.575,6.59,119,50,0
2023-11-06 18:00:00,6.59,6.6,6.555,6.57,43,50,0
2023-11-07 10:00:00,6.57,6.615,6.51,6.51,132,50,0
2023-11-07 11:00:00,6.555,6.6,6.51,6.59,93,50,0
2023-11-07 12:00:00,6.59,6.62,6.575,6.595,111,50,0
2023-11-07 13:00:00,6.595,6.6,6.55,6.58,82,50,0
2023-11-07 14:00:00,6.585,6.605,6.575,6.58,86,50,0
2023-11-07 15:00:00,6.6,6.61,6.555,6.565,113,50,0
2023-11-07 16:00:00,6.57,6.59,6.555,6.58,127,50,0
2023-11-07 17:00:00,6.58,6.59,6.565,6.585,137,50,0
2023-11-07 18:00:00,6.585,6.585,6.54,6.575,79,50,0
2023-11-08 10:00:00,6.485,6.5600000000000005,6.48,6.545,104,100,0
2023-11-08 11:00:00,6.535,6.57,6.535,6.57,72,50,0
2023-11-08 12:00:00,6.5600000000000005,6.59,6.555,6.58,98,50,0
2023-11-08 13:00:00,6.58,6.59,6.575,6.575,63,50,0
2023-11-08 14:00:00,6.575,6.595,6.555,6.585,78,50,0
2023-11-08 15:00:00,6.6,6.61,6.58,6.595,61,50,0
2023-11-08 16:00:00,6.605,6.68,6.595,6.665,131,50,0
2023-11-08 17:00:00,6.675,6.68,6.63,6.64,162,50,0
2023-11-08 18:00:00,6.65,6.65,6.635,6.65,79,50,0
2023-11-09 10:00:00,6.625,6.69,6.57,6.655,140,50,0
2023-11-09 11:00:00,6.655,6.66,6.605,6.635,111,50,0
2023-11-09 12:00:00,6.62,6.695,6.61,6.6850000000000005,118,50,0
2023-11-09 13:00:00,6.69,6.69,6.655,6.675,106,50,0
2023-11-09 14:00:00,6.67,6.675,6.645,6.65,95,50,0
2023-11-09 15:00:00,6.65,6.71,6.65,6.71,132,50,0
2023-11-09 16:00:00,6.7,6.725,6.68,6.715,174,50,0
2023-11-09 17:00:00,6.715,6.725,6.645,6.675,166,50,0
2023-11-09 18:00:00,6.69,6.72,6.68,6.71,85,50,0
2023-11-10 10:00:00,6.575,6.655,6.525,6.645,169,100,0
2023-11-10 11:00:00,6.645,6.675,6.615,6.67,118,50,0
2023-11-10 12:00:00,6.65,6.675,6.635,6.635,121,50,0
2023-11-10 13:00:00,6.64,6.645,6.62,6.63,86,50,0
2023-11-10 14:00:00,6.63,6.66,6.62,6.655,85,50,0
2023-11-10 15:00:00,6.655,6.69,6.635,6.68,128,50,0
2023-11-10 16:00:00,6.6850000000000005,6.69,6.665,6.6850000000000005,101,50,0
2023-11-10 17:00:00,6.675,6.6850000000000005,6.65,6.655,116,50,0
