time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.6406,0.663,0.6406,0.6624,178,4,0
2023-11-03 12:00:00,0.6618,0.662,0.6576,0.659,141,4,0
2023-11-03 13:00:00,0.659,0.6608,0.6556,0.6594,115,2,0
2023-11-03 14:00:00,0.659,0.6624,0.6576,0.661,146,2,0
2023-11-03 15:00:00,0.661,0.6672,0.661,0.666,183,2,0
2023-11-03 16:00:00,0.6652,0.6704,0.6634,0.669,282,4,0
2023-11-03 17:00:00,0.669,0.6702,0.665,0.6658,266,2,0
2023-11-03 18:00:00,0.6682,0.6722,0.665,0.6712,243,4,0
2023-11-03 19:00:00,0.6712,0.6716,0.6698,0.6702,109,2,0
2023-11-06 10:00:00,0.6724,0.6724,0.6542,0.6682,248,4,0
2023-11-06 11:00:00,0.6682,0.6696,0.6626,0.6642,159,4,0
2023-11-06 12:00:00,0.6632,0.6654,0.6626,0.6632,112,2,0
2023-11-06 13:00:00,0.6632,0.6636,0.661,0.6624,89,4,0
2023-11-06 14:00:00,0.6618,0.6624,0.6584,0.66,202,2,0
2023-11-06 15:00:00,0.6602,0.6602,0.6572,0.659,198,4,0
2023-11-06 16:00:00,0.659,0.6636,0.6548,0.6552,283,2,0
2023-11-06 17:00:00,0.6552,0.6586,0.6532,0.6572,316,2,0
2023-11-06 18:00:00,0.6572,0.6586,0.6558,0.6566,121,2,0
2023-11-07 10:00:00,0.6532,0.6604,0.6462,0.655,164,4,0
2023-11-07 11:00:00,0.655,0.6564,0.6508,0.6508,182,4,0
2023-11-07 12:00:00,0.6508,0.6566,0.649,0.653,184,2,0
2023-11-07 13:00:00,0.6532,0.6534,0.6458,0.6458,193,2,0
2023-11-07 14:00:00,0.6474,0.6484,0.6446,0.646,251,4,0
2023-11-07 15:00:00,0.646,0.647,0.6352,0.6448,240,2,0
2023-11-07 16:00:00,0.6456,0.6508,0.6448,0.6482,353,2,0
2023-11-07 17:00:00,0.6482,0.6564,0.6464,0.6552,428,2,0
2023-11-07 18:00:00,0.6522,0.6564,0.6516,0.6552,185,2,0
2023-11-08 10:00:00,0.6124,0.6552,0.6,0.6142,354,4,0
2023-11-08 11:00:00,0.6142,0.616,0.6078,0.6138,360,4,0
2023-11-08 12:00:00,0.6104,0.6156,0.6092,0.6126,253,4,0
2023-11-08 13:00:00,0.6126,0.6222,0.6098,0.6222,241,4,0
2023-11-08 14:00:00,0.621,0.6248,0.619,0.6216,205,4,0
2023-11-08 15:00:00,0.6218,0.623,0.6178,0.6194,210,2,0
2023-11-08 16:00:00,0.62,0.6232,0.6174,0.6198,265,2,0
2023-11-08 17:00:00,0.6194,0.62,0.6132,0.616,339,2,0
2023-11-08 18:00:00,0.6146,0.6192,0.6142,0.6176,144,2,0
2023-11-09 10:00:00,0.6164,0.6202,0.6136,0.617,199,4,0
2023-11-09 11:00:00,0.619,0.6202,0.612,0.6158,159,4,0
2023-11-09 12:00:00,0.6158,0.6196,0.6146,0.6162,184,4,0
2023-11-09 13:00:00,0.6162,0.6198,0.615,0.616,211,4,0
2023-11-09 14:00:00,0.616,0.623,0.616,0.6194,233,4,0
2023-11-09 15:00:00,0.6194,0.623,0.618,0.6194,186,4,0
2023-11-09 16:00:00,0.6196,0.622,0.6178,0.6192,292,2,0
2023-11-09 17:00:00,0.6204,0.6216,0.614,0.6148,302,2,0
2023-11-09 18:00:00,0.6156,0.6178,0.6146,0.6172,194,2,0
2023-11-10 10:00:00,0.6086,0.6104,0.6046,0.6064,259,4,0
2023-11-10 11:00:00,0.606,0.6066,0.6018,0.6044,272,2,0
2023-11-10 12:00:00,0.6044,0.6054,0.6016,0.6016,286,2,0
2023-11-10 13:00:00,0.6016,0.6044,0.599,0.6018,197,2,0
2023-11-10 14:00:00,0.6002,0.6028,0.598,0.5992,342,2,0
2023-11-10 15:00:00,0.5992,0.5998,0.5982,0.5984,233,2,0
2023-11-10 16:00:00,0.5984,0.5998,0.5954,0.5986,287,2,0
2023-11-10 17:00:00,0.5986,0.5992,0.595,0.5954,255,2,0
2023-11-10 18:00:00,0.5954,0.599,0.5954,0.5986,178,2,0
2023-11-13 10:00:00,0.6002,0.6032,0.595,0.5992,224,4,0
2023-11-13 11:00:00,0.5986,0.5994,0.5966,0.5966,169,2,0
2023-11-13 12:00:00,0.5966,0.5984,0.5946,0.5952,180,4,0
2023-11-13 13:00:00,0.5952,0.5972,0.594,0.5954,151,2,0
2023-11-13 14:00:00,0.5954,0.6018,0.5944,0.6002,95,2,0
2023-11-13 15:00:00,0.6012,0.6032,0.5982,0.5992,147,2,0
2023-11-13 16:00:00,0.5982,0.6014,0.597,0.597,271,2,0
2023-11-13 17:00:00,0.5994,0.5998,0.595,0.5964,278,2,0
2023-11-13 18:00:00,0.596,0.597,0.5946,0.5948,141,2,0
2023-11-14 10:00:00,0.5886,0.5976,0.5886,0.5968,291,4,0
2023-11-14 11:00:00,0.5968,0.6002,0.5946,0.5964,224,2,0
2023-11-14 12:00:00,0.5964,0.5988,0.5952,0.5952,135,2,0
2023-11-14 13:00:00,0.5954,0.5966,0.5944,0.5958,180,4,0
2023-11-14 14:00:00,0.5958,0.5978,0.5952,0.5962,184,2,0
2023-11-14 15:00:00,0.5962,0.6044,0.5914,0.6026,308,2,0
2023-11-14 16:00:00,0.6026,0.605,0.5976,0.6012,581,2,0
2023-11-14 17:00:00,0.601,0.6016,0.5956,0.597,413,2,0
2023-11-14 18:00:00,0.597,0.599,0.5966,0.5968,162,2,0
2023-11-15 10:00:00,0.5992,0.6218,0.5992,0.6182,321,4,0
2023-11-15 11:00:00,0.6204,0.6218,0.6122,0.6146,309,2,0
2023-11-15 12:00:00,0.6142,0.6182,0.6122,0.6158,217,2,0
2023-11-15 13:00:00,0.615,0.6222,0.6146,0.6222,186,2,0
2023-11-15 14:00:00,0.6208,0.6222,0.6178,0.6184,231,2,0
2023-11-15 15:00:00,0.6194,0.6212,0.6144,0.6166,255,2,0
2023-11-15 16:00:00,0.6166,0.6168,0.6134,0.6142,265,2,0
2023-11-15 17:00:00,0.6142,0.6162,0.6116,0.6126,272,2,0
2023-11-15 18:00:00,0.6126,0.6136,0.6114,0.6118,91,2,0
2023-11-16 10:00:00,0.6102,0.6142,0.6046,0.6102,168,6,0
