time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.349,1.39,1.338,1.378,179,40,0
2023-11-03 12:00:00,1.378,1.39,1.375,1.378,27,40,0
2023-11-03 13:00:00,1.379,1.379,1.375,1.375,20,40,0
2023-11-03 14:00:00,1.375,1.377,1.373,1.374,13,30,0
2023-11-03 15:00:00,1.375,1.396,1.369,1.387,74,30,0
2023-11-03 16:00:00,1.396,1.425,1.387,1.413,101,40,0
2023-11-03 17:00:00,1.412,1.425,1.409,1.418,74,10,0
2023-11-03 18:00:00,1.42,1.422,1.401,1.412,88,10,0
2023-11-03 19:00:00,1.412,1.416,1.403,1.41,48,20,0
2023-11-06 10:00:00,1.418,1.418,1.393,1.398,90,40,0
2023-11-06 11:00:00,1.398,1.415,1.398,1.412,101,20,0
2023-11-06 12:00:00,1.41,1.421,1.404,1.413,88,30,0
2023-11-06 13:00:00,1.412,1.419,1.409,1.419,48,20,0
2023-11-06 14:00:00,1.416,1.419,1.409,1.415,37,20,0
2023-11-06 15:00:00,1.417,1.417,1.399,1.406,62,30,0
2023-11-06 16:00:00,1.401,1.409,1.363,1.372,108,30,0
2023-11-06 17:00:00,1.372,1.387,1.363,1.383,133,10,0
2023-11-06 18:00:00,1.382,1.384,1.372,1.379,50,20,0
2023-11-07 10:00:00,1.377,1.39,1.363,1.365,194,110,0
2023-11-07 11:00:00,1.366,1.395,1.364,1.386,144,40,0
2023-11-07 12:00:00,1.386,1.415,1.382,1.409,115,50,0
2023-11-07 13:00:00,1.409,1.417,1.388,1.417,79,50,0
2023-11-07 14:00:00,1.413,1.429,1.406,1.416,114,60,0
2023-11-07 15:00:00,1.416,1.428,1.393,1.419,150,40,0
2023-11-07 16:00:00,1.405,1.42,1.393,1.407,146,30,0
2023-11-07 17:00:00,1.409,1.412,1.391,1.4,120,20,0
2023-11-07 18:00:00,1.4,1.403,1.379,1.395,92,10,0
2023-11-08 10:00:00,1.379,1.392,1.359,1.366,200,60,0
