time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,17.81,18.07,17.81,18.05,427,50,0
2023-11-03 12:00:00,18.05,18.08,18.01,18.025,306,50,0
2023-11-03 13:00:00,18.07,18.07,18.005,18.02,228,50,0
2023-11-03 14:00:00,18.02,18.075,18.02,18.065,195,50,0
2023-11-03 15:00:00,18.06,18.075,18.035,18.06,289,50,0
2023-11-03 16:00:00,18.06,18.09,18.035,18.045,373,50,0
2023-11-03 17:00:00,18.035,18.06,17.995,18.01,334,50,0
2023-11-03 18:00:00,18.015,18.055,17.975,17.975,330,50,0
2023-11-03 19:00:00,17.975,18.005,17.965,18.0,124,50,0
2023-11-06 10:00:00,17.965,18.065,17.94,18.065,510,50,0
2023-11-06 11:00:00,18.02,18.09,18.015,18.075,363,50,0
2023-11-06 12:00:00,18.06,18.09,17.985,18.01,311,50,0
2023-11-06 13:00:00,18.01,18.015,17.98,18.015,195,50,0
2023-11-06 14:00:00,18.015,18.055,17.985,18.04,266,50,0
2023-11-06 15:00:00,18.045,18.13,18.03,18.105,357,50,0
2023-11-06 16:00:00,18.115,18.135,18.01,18.015,373,50,0
2023-11-06 17:00:00,18.015,18.08,17.945,18.0,537,50,0
2023-11-06 18:00:00,18.0,18.01,17.965,17.985,136,50,0
2023-11-07 10:00:00,17.915,18.05,17.865,17.955,527,50,0
2023-11-07 11:00:00,17.955,18.09,17.93,18.065,458,50,0
2023-11-07 12:00:00,18.065,18.14,18.05,18.125,497,50,0
2023-11-07 13:00:00,18.125,18.14,18.005,18.02,387,50,0
2023-11-07 14:00:00,18.025,18.04,17.985,18.01,430,50,0
2023-11-07 15:00:00,18.015,18.07,17.98,18.055,399,50,0
2023-11-07 16:00:00,18.06,18.09,17.985,17.995,447,50,0
2023-11-07 17:00:00,17.995,18.08,17.985,18.05,393,50,0
2023-11-07 18:00:00,18.055,18.08,17.99,18.0,164,50,0
2023-11-08 10:00:00,18.025,18.08,17.95,18.005,475,50,0
2023-11-08 11:00:00,18.03,18.03,17.89,17.955,336,50,0
2023-11-08 12:00:00,17.935,18.0,17.875,17.97,399,50,0
2023-11-08 13:00:00,17.995,18.055,17.97,18.055,353,50,0
2023-11-08 14:00:00,18.05,18.1,18.03,18.09,242,50,0
2023-11-08 15:00:00,18.085,18.105,18.065,18.075,290,50,0
2023-11-08 16:00:00,18.08,18.115,18.04,18.1,369,50,0
2023-11-08 17:00:00,18.1,18.115,17.98,18.005,473,50,0
2023-11-08 18:00:00,18.02,18.035,17.98,18.015,148,50,0
2023-11-09 10:00:00,18.08,18.095,17.97,18.02,635,50,0
2023-11-09 11:00:00,18.02,18.06,17.9,17.915,541,50,0
2023-11-09 12:00:00,17.92,17.975,17.9,17.965,368,50,0
2023-11-09 13:00:00,17.965,17.98,17.925,17.955,316,50,0
2023-11-09 14:00:00,17.955,17.995,17.92,17.97,349,50,0
2023-11-09 15:00:00,17.97,18.03,17.95,17.96,415,50,0
2023-11-09 16:00:00,17.965,18.025,17.945,17.985,519,50,0
2023-11-09 17:00:00,17.99,18.015,17.95,17.97,379,50,0
2023-11-09 18:00:00,17.97,17.975,17.93,17.935,163,50,0
2023-11-10 10:00:00,17.925,17.975,17.8,17.86,646,50,0
2023-11-10 11:00:00,17.86,17.865,17.765,17.845,458,50,0
2023-11-10 12:00:00,17.845,17.845,17.68,17.73,371,50,0
2023-11-10 13:00:00,17.695,17.745,17.605,17.72,390,50,0
2023-11-10 14:00:00,17.715,17.73,17.635,17.665,355,50,0
2023-11-10 15:00:00,17.665,17.73,17.595,17.675,301,50,0
2023-11-10 16:00:00,17.68,17.72,17.6,17.635,431,50,0
2023-11-10 17:00:00,17.605,17.645,17.49,17.54,417,50,0
2023-11-10 18:00:00,17.54,17.59,17.515,17.59,152,50,0
2023-11-13 10:00:00,17.6,17.7,17.56,17.675,451,50,0
2023-11-13 11:00:00,17.675,17.88,17.645,17.845,452,50,0
2023-11-13 12:00:00,17.845,17.845,17.765,17.795,318,50,0
2023-11-13 13:00:00,17.805,17.825,17.74,17.82,274,50,0
2023-11-13 14:00:00,17.76,17.835,17.76,17.825,275,50,0
2023-11-13 15:00:00,17.785,17.865,17.775,17.82,373,50,0
2023-11-13 16:00:00,17.82,17.83,17.71,17.81,421,50,0
2023-11-13 17:00:00,17.81,17.875,17.76,17.865,380,50,0
2023-11-13 18:00:00,17.865,17.885,17.835,17.85,136,50,0
2023-11-14 10:00:00,18.07,18.075,17.735,17.805,315,50,0
2023-11-14 11:00:00,17.795,17.88,17.72,17.78,309,50,0
2023-11-14 12:00:00,17.775,17.805,17.685,17.735,307,50,0
2023-11-14 13:00:00,17.7,17.79,17.59,17.785,361,50,0
2023-11-14 14:00:00,17.79,17.82,17.705,17.775,312,100,0
2023-11-14 15:00:00,17.775,17.87,17.69,17.85,424,50,0
2023-11-14 16:00:00,17.85,17.925,17.795,17.82,506,50,0
2023-11-14 17:00:00,17.815,17.89,17.74,17.865,450,50,0
2023-11-14 18:00:00,17.865,18.035,17.78,18.015,251,50,0
2023-11-15 10:00:00,18.17,18.46,18.055,18.425,690,50,0
2023-11-15 11:00:00,18.41,18.46,18.195,18.295,571,50,0
2023-11-15 12:00:00,18.295,18.35,18.21,18.315,417,50,0
2023-11-15 13:00:00,18.275,18.42,18.275,18.41,373,50,0
2023-11-15 14:00:00,18.41,18.455,18.36,18.445,380,50,0
2023-11-15 15:00:00,18.45,18.495,18.42,18.46,459,50,0
2023-11-15 16:00:00,18.465,18.495,18.19,18.23,645,50,0
2023-11-15 17:00:00,18.225,18.3,18.11,18.16,471,50,0
2023-11-15 18:00:00,18.155,18.18,18.095,18.115,167,50,0
2023-11-16 10:00:00,18.06,18.235,18.06,18.225,382,50,0
2023-11-16 11:00:00,18.225,18.25,18.195,18.215,374,50,0
2023-11-16 12:00:00,18.21,18.225,18.155,18.17,368,50,0
2023-11-16 13:00:00,18.17,18.23,18.15,18.23,248,50,0
2023-11-16 14:00:00,18.225,18.24,18.155,18.195,424,50,0
2023-11-16 15:00:00,18.165,18.225,18.155,18.185,356,50,0
2023-11-16 16:00:00,18.2,18.22,18.155,18.205,435,50,0
2023-11-16 17:00:00,18.205,18.215,18.145,18.145,354,50,0
2023-11-16 18:00:00,18.15,18.185,18.115,18.135,140,50,0
2023-11-17 10:00:00,18.17,18.39,18.17,18.39,462,50,0
2023-11-17 11:00:00,18.4,18.425,18.325,18.41,519,50,0
2023-11-17 12:00:00,18.395,18.465,18.385,18.42,362,50,0
2023-11-17 13:00:00,18.445,18.45,18.355,18.37,347,50,0
2023-11-17 14:00:00,18.37,18.39,18.335,18.35,373,50,0
2023-11-17 15:00:00,18.345,18.43,18.345,18.43,449,50,0
2023-11-17 16:00:00,18.435,18.505,18.39,18.475,525,50,0
2023-11-17 17:00:00,18.475,18.505,18.455,18.48,468,50,0
2023-11-17 18:00:00,18.48,18.49,18.425,18.425,163,50,0
2023-11-20 10:00:00,18.43,18.52,18.405,18.51,501,50,0
2023-11-20 11:00:00,18.48,18.55,18.425,18.43,344,50,0
2023-11-20 12:00:00,18.525,18.54,18.38,18.425,346,50,0
2023-11-20 13:00:00,18.43,18.465,18.41,18.45,270,50,0
2023-11-20 14:00:00,18.45,18.45,18.365,18.4,277,50,0
2023-11-20 15:00:00,18.4,18.455,18.375,18.445,277,50,0
2023-11-20 16:00:00,18.445,18.48,18.355,18.395,369,50,0
2023-11-20 17:00:00,18.395,18.465,18.355,18.425,442,50,0
2023-11-20 18:00:00,18.455,18.46,18.405,18.42,217,50,0
2023-11-21 10:00:00,18.465,18.68,18.425,18.625,447,50,0
2023-11-21 11:00:00,18.61,18.64,18.58,18.59,329,50,0
2023-11-21 12:00:00,18.595,18.62,18.57,18.615,311,50,0
2023-11-21 13:00:00,18.615,18.67,18.59,18.6,264,50,0
2023-11-21 14:00:00,18.605,18.635,18.58,18.59,220,50,0
2023-11-21 15:00:00,18.59,18.615,18.545,18.59,268,50,0
2023-11-21 16:00:00,18.57,18.71,18.545,18.71,363,50,0
2023-11-21 17:00:00,18.71,18.74,18.65,18.705,447,50,0
2023-11-21 18:00:00,18.705,18.71,18.675,18.695,139,50,0
2023-11-22 10:00:00,18.655,18.78,18.635,18.77,382,50,0
2023-11-22 11:00:00,18.77,18.805,18.67,18.71,440,50,0
2023-11-22 12:00:00,18.71,18.745,18.675,18.725,293,50,0
2023-11-22 13:00:00,18.73,18.735,18.66,18.69,202,50,0
2023-11-22 14:00:00,18.685,18.73,18.65,18.72,341,50,0
2023-11-22 15:00:00,18.715,18.775,18.67,18.77,339,50,0
2023-11-22 16:00:00,18.77,18.775,18.675,18.69,385,50,0
2023-11-22 17:00:00,18.69,18.78,18.69,18.76,357,50,0
2023-11-22 18:00:00,18.76,18.785,18.725,18.755,151,50,0
2023-11-23 10:00:00,18.28,18.385,18.16,18.3,457,50,0
2023-11-23 11:00:00,18.3,18.38,18.2,18.2,412,50,0
2023-11-23 12:00:00,18.2,18.26,18.19,18.24,318,50,0
2023-11-23 13:00:00,18.24,18.24,18.17,18.175,216,50,0
2023-11-23 14:00:00,18.175,18.255,18.175,18.255,197,50,0
2023-11-23 15:00:00,18.255,18.295,18.23,18.285,187,50,0
2023-11-23 16:00:00,18.29,18.365,18.28,18.35,220,50,0
2023-11-23 17:00:00,18.36,18.38,18.34,18.365,227,50,0
2023-11-23 18:00:00,18.365,18.37,18.345,18.365,95,50,0
2023-11-24 10:00:00,18.275,18.35,18.245,18.29,420,50,0
2023-11-24 11:00:00,18.285,18.335,18.27,18.315,304,50,0
2023-11-24 12:00:00,18.315,18.38,18.3,18.37,214,50,0
2023-11-24 13:00:00,18.355,18.37,18.325,18.33,177,50,0
2023-11-24 14:00:00,18.33,18.36,18.305,18.33,177,50,0
2023-11-24 15:00:00,18.33,18.36,18.28,18.285,241,50,0
2023-11-24 16:00:00,18.28,18.385,18.28,18.385,281,50,0
2023-11-24 17:00:00,18.385,18.4,18.35,18.395,258,50,0
2023-11-24 18:00:00,18.395,18.425,18.365,18.415,109,50,0
2023-11-27 10:00:00,18.335,18.545,18.295,18.54,466,100,0
2023-11-27 11:00:00,18.54,18.565,18.445,18.47,371,50,0
2023-11-27 12:00:00,18.475,18.545,18.445,18.515,402,50,0
2023-11-27 13:00:00,18.52,18.585,18.42,18.455,379,50,0
2023-11-27 14:00:00,18.46,18.48,18.42,18.455,276,50,0
