time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,13.665,14.17,13.665,14.155,258,150,0
2023-11-03 12:00:00,14.16,14.17,14.035,14.065,219,100,0
2023-11-03 13:00:00,14.105,14.12,13.955,13.975,235,50,0
2023-11-03 14:00:00,13.975,14.005,13.92,13.925,234,100,0
2023-11-03 15:00:00,13.92,14.07,13.81,14.015,312,100,0
2023-11-03 16:00:00,14.015,14.235,13.99,14.17,396,100,0
2023-11-03 17:00:00,14.2,14.25,14.1,14.115,480,50,0
2023-11-03 18:00:00,14.12,14.145,14.04,14.115,447,50,0
2023-11-03 19:00:00,14.115,14.135,14.055,14.11,200,50,0
2023-11-06 10:00:00,14.13,14.205,14.095,14.17,194,150,0
2023-11-06 11:00:00,14.16,14.205,14.06,14.125,200,50,0
2023-11-06 12:00:00,14.115,14.22,14.105,14.175,280,100,0
2023-11-06 13:00:00,14.185,14.185,14.06,14.12,280,50,0
2023-11-06 14:00:00,14.11,14.155,14.085,14.13,189,100,0
2023-11-06 15:00:00,14.13,14.17,14.01,14.055,436,100,0
2023-11-06 16:00:00,14.05,14.05,13.9,13.905,417,50,0
2023-11-06 17:00:00,13.94,13.97,13.8,13.88,345,50,0
2023-11-06 18:00:00,13.83,13.88,13.79,13.805,131,50,0
2023-11-07 10:00:00,13.655,13.92,13.655,13.84,335,100,0
2023-11-07 11:00:00,13.845,13.87,13.785,13.805,433,50,0
2023-11-07 12:00:00,13.8,13.965,13.79,13.935,478,50,0
2023-11-07 13:00:00,13.935,13.935,13.83,13.865,286,50,0
2023-11-07 14:00:00,13.87,13.92,13.845,13.885,322,50,0
2023-11-07 15:00:00,13.88,13.93,13.85,13.895,386,50,0
2023-11-07 16:00:00,13.875,13.9,13.8,13.845,359,50,0
2023-11-07 17:00:00,13.845,13.945,13.8,13.93,400,50,0
2023-11-07 18:00:00,13.925,13.945,13.875,13.89,161,50,0
2023-11-08 10:00:00,13.815,13.925,13.725,13.915,350,100,0
2023-11-08 11:00:00,13.91,13.965,13.88,13.955,293,50,0
2023-11-08 12:00:00,13.94,13.99,13.885,13.935,293,100,0
2023-11-08 13:00:00,13.945,13.99,13.935,13.955,259,50,0
2023-11-08 14:00:00,13.955,13.995,13.93,13.99,187,50,0
2023-11-08 15:00:00,13.99,14.005,13.935,13.985,193,50,0
