time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,38.17,38.29,37.98,38.21,338,100,0
2023-11-03 12:00:00,38.21,38.3,38.07,38.24,301,100,0
2023-11-03 13:00:00,38.24,38.31,38.15,38.24,243,100,0
2023-11-03 14:00:00,38.25,38.28,38.16,38.25,303,100,0
2023-11-03 15:00:00,38.25,38.56,38.15,38.44,462,100,0
2023-11-03 16:00:00,38.48,38.61,38.38,38.48,467,100,0
2023-11-03 17:00:00,38.48,38.56,38.33,38.43,434,100,0
2023-11-03 18:00:00,38.43,38.62,38.33,38.59,403,100,0
2023-11-03 19:00:00,38.6,38.69,38.56,38.66,135,100,0
2023-11-06 10:00:00,38.81,38.83,38.47,38.71,396,200,0
2023-11-06 11:00:00,38.69,38.78,38.38,38.49,265,200,0
2023-11-06 12:00:00,38.48,38.56,38.26,38.34,276,100,0
2023-11-06 13:00:00,38.4,38.4,38.22,38.33,248,100,0
2023-11-06 14:00:00,38.31,38.43,38.27,38.42,273,100,0
2023-11-06 15:00:00,38.39,38.57,38.33,38.56,292,100,0
2023-11-06 16:00:00,38.56,38.59,38.27,38.35,338,100,0
2023-11-06 17:00:00,38.35,38.5,38.25,38.45,387,100,0
2023-11-06 18:00:00,38.48,38.49,38.36,38.43,222,100,0
2023-11-07 10:00:00,38.4,38.77,38.37,38.76,400,200,0
2023-11-07 11:00:00,38.68,38.79,38.64,38.69,309,200,0
2023-11-07 12:00:00,38.69,38.81,38.62,38.77,314,100,0
2023-11-07 13:00:00,38.77,38.81,38.63,38.71,201,100,0
2023-11-07 14:00:00,38.71,38.77,38.57,38.65,263,100,0
2023-11-07 15:00:00,38.66,38.77,38.51,38.74,383,100,0
2023-11-07 16:00:00,38.74,38.86,38.67,38.79,491,100,0
2023-11-07 17:00:00,38.79,38.85,38.65,38.8,376,100,0
2023-11-07 18:00:00,38.8,38.83,38.6,38.71,187,100,0
2023-11-08 10:00:00,38.63,38.63,38.14,38.23,400,200,0
2023-11-08 11:00:00,38.22,38.26,38.03,38.2,260,200,0
2023-11-08 12:00:00,38.2,38.47,38.18,38.44,302,100,0
2023-11-08 13:00:00,38.45,38.52,38.33,38.39,239,100,0
2023-11-08 14:00:00,38.36,38.6,38.28,38.57,307,100,0
2023-11-08 15:00:00,38.57,38.67,38.47,38.6,254,100,0
2023-11-08 16:00:00,38.6,38.67,38.5,38.6,325,100,0
2023-11-08 17:00:00,38.6,38.63,38.44,38.52,335,100,0
2023-11-08 18:00:00,38.52,38.57,38.46,38.51,171,100,0
2023-11-09 10:00:00,38.43,38.56,38.28,38.49,437,100,0
2023-11-09 11:00:00,38.48,38.56,38.28,38.34,342,100,0
