time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.248,1.3005,1.248,1.294,249,15,0
2023-11-03 12:00:00,1.294,1.3005,1.2855,1.2975,214,20,0
2023-11-03 13:00:00,1.3005,1.3025,1.2875,1.289,173,15,0
2023-11-03 14:00:00,1.2925,1.2955,1.284,1.285,134,10,0
2023-11-03 15:00:00,1.284,1.3005,1.2655,1.3005,240,10,0
2023-11-03 16:00:00,1.2955,1.317,1.287,1.3035,232,10,0
2023-11-03 17:00:00,1.3185,1.3215,1.298,1.3195,343,15,0
2023-11-03 18:00:00,1.318,1.3285,1.311,1.32,322,5,0
2023-11-03 19:00:00,1.32,1.3205,1.309,1.309,85,5,0
2023-11-06 10:00:00,1.336,1.342,1.32,1.33,208,20,0
2023-11-06 11:00:00,1.328,1.3325,1.3205,1.3265,157,10,0
2023-11-06 12:00:00,1.3265,1.3365,1.3265,1.3305,97,15,0
2023-11-06 13:00:00,1.3315,1.333,1.325,1.3315,77,15,0
2023-11-06 14:00:00,1.33,1.3335,1.325,1.3315,92,10,0
2023-11-06 15:00:00,1.331,1.3345,1.323,1.329,141,10,0
2023-11-06 16:00:00,1.325,1.3325,1.315,1.3205,205,10,0
2023-11-06 17:00:00,1.3215,1.3305,1.315,1.328,209,10,0
2023-11-06 18:00:00,1.328,1.3295,1.3205,1.3285,76,5,0
2023-11-07 10:00:00,1.309,1.349,1.309,1.345,186,15,0
2023-11-07 11:00:00,1.345,1.345,1.33,1.333,175,10,0
2023-11-07 12:00:00,1.337,1.345,1.33,1.3335,111,15,0
2023-11-07 13:00:00,1.333,1.343,1.3285,1.341,95,10,0
2023-11-07 14:00:00,1.341,1.3435,1.333,1.3335,135,10,0
2023-11-07 15:00:00,1.338,1.3405,1.332,1.3365,155,20,0
2023-11-07 16:00:00,1.3365,1.3425,1.327,1.3425,209,10,0
2023-11-07 17:00:00,1.342,1.345,1.333,1.3405,198,10,0
2023-11-07 18:00:00,1.3405,1.343,1.3335,1.3355,118,5,0
2023-11-08 10:00:00,1.336,1.3545,1.332,1.353,205,10,0
2023-11-08 11:00:00,1.353,1.354,1.333,1.336,191,10,0
2023-11-08 12:00:00,1.336,1.3465,1.3315,1.342,110,10,0
2023-11-08 13:00:00,1.3415,1.3455,1.332,1.3405,133,10,0
2023-11-08 14:00:00,1.3405,1.342,1.33,1.3375,169,10,0
2023-11-08 15:00:00,1.337,1.3395,1.33,1.333,112,10,0
2023-11-08 16:00:00,1.333,1.359,1.33,1.357,210,10,0
2023-11-08 17:00:00,1.353,1.359,1.341,1.3415,230,10,0
2023-11-08 18:00:00,1.345,1.351,1.3385,1.3435,113,10,0
2023-11-09 10:00:00,1.335,1.335,1.3185,1.331,141,20,0
2023-11-09 11:00:00,1.3265,1.334,1.3215,1.3335,127,20,0
2023-11-09 12:00:00,1.3335,1.346,1.329,1.3415,166,10,0
2023-11-09 13:00:00,1.3375,1.3485,1.3365,1.3465,132,25,0
