time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,6.64,6.8100000000000005,6.63,6.75,177,150,0
2023-11-03 12:00:00,6.755,6.805,6.725,6.805,39,200,0
2023-11-03 13:00:00,6.8100000000000005,6.845,6.73,6.76,56,150,0
2023-11-03 14:00:00,6.785,6.79,6.7,6.745,60,150,0
2023-11-03 15:00:00,6.765,6.855,6.73,6.845,83,100,0
2023-11-03 16:00:00,6.845,6.87,6.775,6.865,70,150,0
2023-11-03 17:00:00,6.865,6.875,6.8,6.85,78,100,0
2023-11-03 18:00:00,6.85,6.86,6.785,6.8,95,100,0
2023-11-03 19:00:00,6.82,6.82,6.745,6.8,39,100,0
2023-11-06 10:00:00,6.62,6.76,6.61,6.76,109,200,0
2023-11-06 11:00:00,6.74,6.78,6.71,6.745,57,150,0
2023-11-06 12:00:00,6.745,6.805,6.745,6.8,48,150,0
2023-11-06 13:00:00,6.8,6.8100000000000005,6.745,6.785,43,150,0
2023-11-06 14:00:00,6.79,6.83,6.75,6.82,53,200,0
2023-11-06 15:00:00,6.825,6.835,6.725,6.785,93,150,0
2023-11-06 16:00:00,6.785,6.8,6.675,6.71,121,100,0
2023-11-06 17:00:00,6.69,6.735,6.69,6.73,117,100,0
2023-11-06 18:00:00,6.73,6.79,6.69,6.755,107,50,0
2023-11-07 10:00:00,6.735,6.88,6.68,6.755,163,300,0
2023-11-07 11:00:00,6.765,6.8100000000000005,6.755,6.8100000000000005,46,150,0
2023-11-07 12:00:00,6.8100000000000005,6.855,6.765,6.825,98,150,0
2023-11-07 13:00:00,6.825,6.825,6.79,6.815,49,150,0
2023-11-07 14:00:00,6.79,6.87,6.79,6.85,70,100,0
2023-11-07 15:00:00,6.855,6.865,6.755,6.82,43,100,0
2023-11-07 16:00:00,6.82,6.835,6.755,6.775,100,100,0
2023-11-07 17:00:00,6.76,6.85,6.76,6.84,141,100,0
2023-11-07 18:00:00,6.84,6.85,6.8,6.82,65,100,0
2023-11-08 10:00:00,6.645,6.8100000000000005,6.645,6.765,146,800,0
2023-11-08 11:00:00,6.765,6.8100000000000005,6.695,6.72,263,750,0
2023-11-08 12:00:00,6.71,6.85,6.7,6.79,120,450,0
2023-11-08 13:00:00,6.79,6.8100000000000005,6.755,6.805,67,400,0
2023-11-08 14:00:00,6.805,6.845,6.765,6.845,73,200,0
2023-11-08 15:00:00,6.795,6.845,6.725,6.78,95,350,0
2023-11-08 16:00:00,6.755,6.885,6.73,6.855,93,200,0
2023-11-08 17:00:00,6.855,6.885,6.765,6.8100000000000005,104,150,0
2023-11-08 18:00:00,6.83,6.845,6.695,6.785,70,200,0
2023-11-09 10:00:00,6.655,6.725,6.625,6.6850000000000005,97,400,0
2023-11-09 11:00:00,6.625,6.66,6.58,6.645,69,300,0
2023-11-09 12:00:00,6.645,6.68,6.605,6.67,71,300,0
2023-11-09 13:00:00,6.67,6.7,6.62,6.62,63,150,0
2023-11-09 14:00:00,6.625,6.675,6.62,6.65,31,350,0
2023-11-09 15:00:00,6.675,6.745,6.655,6.74,78,250,0
2023-11-09 16:00:00,6.73,6.775,6.725,6.725,58,150,0
2023-11-09 17:00:00,6.755,6.78,6.7,6.72,117,100,0
2023-11-09 18:00:00,6.745,6.775,6.705,6.745,45,100,0
2023-11-10 10:00:00,6.64,6.67,6.505,6.575,177,250,0
2023-11-10 11:00:00,6.565,6.61,6.505,6.61,113,150,0
2023-11-10 12:00:00,6.585,6.61,6.57,6.585,71,250,0
2023-11-10 13:00:00,6.585,6.585,6.525,6.535,51,400,0
2023-11-10 14:00:00,6.535,6.5600000000000005,6.525,6.5600000000000005,31,200,0
2023-11-10 15:00:00,6.545,6.585,6.525,6.57,56,150,0
2023-11-10 16:00:00,6.54,6.59,6.525,6.525,77,200,0
2023-11-10 17:00:00,6.57,6.59,6.55,6.565,59,200,0
2023-11-10 18:00:00,6.575,6.645,6.565,6.625,44,100,0
2023-11-13 10:00:00,6.575,6.67,6.575,6.635,104,250,0
2023-11-13 11:00:00,6.635,6.67,6.61,6.63,56,200,0
2023-11-13 12:00:00,6.63,6.67,6.63,6.63,36,100,0
2023-11-13 13:00:00,6.655,6.67,6.62,6.64,40,200,0
2023-11-13 14:00:00,6.64,6.665,6.62,6.62,17,200,0
2023-11-13 15:00:00,6.62,6.645,6.6,6.615,51,100,0
2023-11-13 16:00:00,6.61,6.695,6.6,6.65,101,100,0
2023-11-13 17:00:00,6.65,6.73,6.64,6.6850000000000005,92,150,0
2023-11-13 18:00:00,6.68,6.715,6.675,6.675,46,150,0
2023-11-14 10:00:00,6.6850000000000005,6.735,6.585,6.735,73,200,0
2023-11-14 11:00:00,6.74,6.79,6.66,6.755,85,100,0
2023-11-14 12:00:00,6.76,6.85,6.755,6.835,98,100,0
2023-11-14 13:00:00,6.83,6.835,6.745,6.745,38,150,0
2023-11-14 14:00:00,6.755,6.8,6.745,6.78,47,150,0
2023-11-14 15:00:00,6.795,7.005,6.78,6.995,79,150,0
2023-11-14 16:00:00,7.015,7.03,6.905,6.985,109,100,0
2023-11-14 17:00:00,6.98,7.05,6.94,7.015,137,50,0
2023-11-14 18:00:00,7.02,7.05,7.02,7.03,71,50,0
2023-11-15 10:00:00,7.07,7.325,7.07,7.305,97,150,0
2023-11-15 11:00:00,7.225,7.325,7.17,7.175,99,200,0
2023-11-15 12:00:00,7.18,7.22,7.105,7.195,97,200,0
2023-11-15 13:00:00,7.22,7.245,7.165,7.22,54,250,0
2023-11-15 14:00:00,7.225,7.3,7.19,7.29,67,150,0
2023-11-15 15:00:00,7.265,7.335,7.225,7.27,98,100,0
2023-11-15 16:00:00,7.31,7.32,7.195,7.275,120,150,0
2023-11-15 17:00:00,7.23,7.405,7.195,7.355,152,100,0
2023-11-15 18:00:00,7.37,7.405,7.305,7.34,79,100,0
2023-11-16 10:00:00,7.16,7.305,7.15,7.305,54,600,0
2023-11-16 11:00:00,7.29,7.305,7.095,7.135,109,400,0
2023-11-16 12:00:00,7.14,7.205,7.07,7.07,61,400,0
2023-11-16 13:00:00,7.075,7.09,7.015,7.035,47,600,0
2023-11-16 14:00:00,7.04,7.075,6.96,6.96,95,600,0
2023-11-16 15:00:00,6.97,7.13,6.97,7.13,104,250,0
2023-11-16 16:00:00,7.13,7.17,7.07,7.135,85,200,0
2023-11-16 17:00:00,7.16,7.17,6.96,6.98,121,150,0
2023-11-16 18:00:00,7.03,7.04,6.92,6.95,53,150,0
2023-11-17 10:00:00,6.945,7.02,6.925,7.01,81,300,0
2023-11-17 11:00:00,7.01,7.065,6.97,7.015,85,100,0
2023-11-17 12:00:00,7.025,7.085,7.005,7.075,112,100,0
2023-11-17 13:00:00,7.03,7.075,7.015,7.015,66,200,0
2023-11-17 14:00:00,7.055,7.055,6.945,6.985,64,100,0
2023-11-17 15:00:00,7.005,7.02,6.94,7.015,77,100,0
2023-11-17 16:00:00,6.995,7.07,6.995,7.035,78,150,0
2023-11-17 17:00:00,7.015,7.075,6.995,7.055,96,100,0
2023-11-17 18:00:00,7.05,7.06,7.005,7.045,42,100,0
2023-11-20 10:00:00,6.915,7.045,6.87,7.015,117,300,0
2023-11-20 11:00:00,7.025,7.14,7.025,7.135,55,200,0
2023-11-20 12:00:00,7.13,7.14,7.075,7.13,40,250,0
2023-11-20 13:00:00,7.13,7.14,7.06,7.12,31,150,0
2023-11-20 14:00:00,7.13,7.13,7.075,7.085,42,150,0
2023-11-20 15:00:00,7.115,7.135,7.045,7.135,55,100,0
2023-11-20 16:00:00,7.135,7.15,7.065,7.1,57,100,0
2023-11-20 17:00:00,7.095,7.165,7.07,7.13,116,50,0
2023-11-20 18:00:00,7.09,7.135,7.09,7.11,54,50,0
2023-11-21 10:00:00,7.005,7.12,6.965,7.045,84,350,0
2023-11-21 11:00:00,7.075,7.075,6.995,7.03,30,350,0
2023-11-21 12:00:00,7.01,7.045,6.925,6.98,53,150,0
2023-11-21 13:00:00,6.99,7.015,6.925,6.995,41,150,0
2023-11-21 14:00:00,7.015,7.015,6.95,6.995,14,150,0
2023-11-21 15:00:00,6.995,7.035,6.99,7.035,29,250,0
2023-11-21 16:00:00,7.025,7.03,6.995,7.03,24,200,0
2023-11-21 17:00:00,7.01,7.02,6.995,7.015,26,150,0
2023-11-21 18:00:00,7.0,7.015,6.965,6.98,42,100,0
2023-11-22 10:00:00,6.915,6.99,6.9,6.915,30,700,0
2023-11-22 11:00:00,6.95,7.03,6.9,7.005,62,150,0
2023-11-22 12:00:00,6.945,7.02,6.945,6.985,45,100,0
2023-11-22 13:00:00,6.985,7.065,6.98,7.055,73,100,0
2023-11-22 14:00:00,7.055,7.09,6.965,7.035,72,100,0
2023-11-22 15:00:00,6.985,7.11,6.965,7.07,85,150,0
2023-11-22 16:00:00,7.07,7.11,7.03,7.08,49,200,0
2023-11-22 17:00:00,7.065,7.145,7.065,7.14,77,150,0
2023-11-22 18:00:00,7.13,7.145,7.09,7.145,32,100,0
2023-11-23 10:00:00,6.98,7.075,6.98,7.055,45,600,0
2023-11-23 11:00:00,7.07,7.105,6.9350000000000005,6.98,78,100,0
2023-11-23 12:00:00,6.965,6.99,6.9350000000000005,6.975,44,200,0
2023-11-23 13:00:00,6.975,7.01,6.9350000000000005,6.9350000000000005,44,100,0
2023-11-23 14:00:00,6.985,7.03,6.9350000000000005,7.02,50,150,0
2023-11-23 15:00:00,7.025,7.05,6.955,7.045,46,200,0
2023-11-23 16:00:00,7.05,7.075,6.995,7.045,59,100,0
2023-11-23 17:00:00,6.995,7.105,6.995,7.09,82,150,0
2023-11-23 18:00:00,7.095,7.095,7.02,7.08,55,150,0
2023-11-24 10:00:00,6.955,7.1,6.93,7.025,67,350,0
2023-11-24 11:00:00,6.985,7.12,6.975,7.105,104,100,0
2023-11-24 12:00:00,7.115,7.13,7.085,7.12,35,200,0
2023-11-24 13:00:00,7.115,7.12,7.055,7.095,55,50,0
2023-11-24 14:00:00,7.085,7.11,7.03,7.07,47,50,0
2023-11-24 15:00:00,7.085,7.085,7.01,7.065,44,50,0
2023-11-24 16:00:00,7.07,7.11,7.065,7.11,38,100,0
2023-11-24 17:00:00,7.115,7.15,7.105,7.125,74,50,0
2023-11-24 18:00:00,7.115,7.17,7.115,7.135,41,50,0
2023-11-27 10:00:00,7.12,7.15,7.12,7.15,43,600,0
2023-11-27 11:00:00,7.135,7.15,7.02,7.07,61,150,0
2023-11-27 12:00:00,7.035,7.11,7.02,7.085,105,100,0
2023-11-27 13:00:00,7.085,7.09,7.03,7.03,70,100,0
2023-11-27 14:00:00,7.04,7.075,7.03,7.065,49,50,0
2023-11-27 15:00:00,7.04,7.095,7.035,7.09,85,100,0
2023-11-27 16:00:00,7.07,7.11,7.055,7.1,103,50,0
2023-11-27 17:00:00,7.1,7.12,7.06,7.095,129,50,0
2023-11-27 18:00:00,7.065,7.115,7.045,7.08,70,50,0
2023-11-28 10:00:00,7.04,7.085,6.985,7.05,65,350,0
2023-11-28 11:00:00,7.02,7.065,6.96,7.025,52,350,0
2023-11-28 12:00:00,7.035,7.075,6.985,7.06,40,350,0
2023-11-28 13:00:00,7.06,7.07,6.98,6.99,33,250,0
2023-11-28 14:00:00,7.02,7.02,6.95,7.02,40,250,0
2023-11-28 15:00:00,6.99,7.06,6.99,7.045,22,150,0
2023-11-28 16:00:00,7.06,7.06,6.995,7.01,55,300,0
2023-11-28 17:00:00,7.05,7.155,6.995,7.135,95,150,0
2023-11-28 18:00:00,7.1,7.145,7.08,7.125,52,150,0
