time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,15.495,15.745,15.45,15.68,197,200,0
2023-11-03 12:00:00,15.68,15.735,15.55,15.58,168,100,0
2023-11-03 13:00:00,15.63,15.68,15.565,15.655,123,100,0
2023-11-03 14:00:00,15.65,15.695,15.615,15.665,143,100,0
2023-11-03 15:00:00,15.655,15.805,15.61,15.74,163,100,0
2023-11-03 16:00:00,15.8,15.88,15.675,15.87,219,100,0
2023-11-03 17:00:00,15.895,15.895,15.65,15.65,233,100,0
2023-11-03 18:00:00,15.65,15.705,15.6,15.65,195,100,0
2023-11-03 19:00:00,15.675,15.715,15.62,15.685,96,50,0
2023-11-06 10:00:00,15.585,15.595,15.355,15.51,292,150,0
2023-11-06 11:00:00,15.51,15.54,15.32,15.375,182,50,0
2023-11-06 12:00:00,15.375,15.495,15.355,15.37,168,50,0
2023-11-06 13:00:00,15.39,15.44,15.355,15.38,182,50,0
2023-11-06 14:00:00,15.375,15.405,15.355,15.39,100,100,0
2023-11-06 15:00:00,15.39,15.43,15.355,15.43,116,50,0
2023-11-06 16:00:00,15.44,15.465,15.305,15.345,200,50,0
2023-11-06 17:00:00,15.35,15.38,15.27,15.31,226,100,0
2023-11-06 18:00:00,15.31,15.345,15.215,15.28,93,100,0
2023-11-07 10:00:00,15.135,15.405,15.135,15.35,283,150,0
2023-11-07 11:00:00,15.35,15.42,15.29,15.345,186,50,0
2023-11-07 12:00:00,15.345,15.365,15.22,15.265,212,100,0
2023-11-07 13:00:00,15.265,15.355,15.14,15.14,170,100,0
2023-11-07 14:00:00,15.15,15.175,15.06,15.125,180,150,0
2023-11-07 15:00:00,15.135,15.26,15.06,15.16,191,100,0
2023-11-07 16:00:00,15.26,15.315,15.17,15.315,219,50,0
2023-11-07 17:00:00,15.215,15.35,15.195,15.3,336,50,0
2023-11-07 18:00:00,15.315,15.35,15.25,15.275,136,50,0
2023-11-08 10:00:00,15.0,15.225,15.0,15.155,177,250,0
2023-11-08 11:00:00,15.205,15.225,15.055,15.17,125,100,0
2023-11-08 12:00:00,15.14,15.17,14.97,15.045,151,50,0
2023-11-08 13:00:00,15.05,15.14,15.045,15.09,131,100,0
2023-11-08 14:00:00,15.09,15.255,15.045,15.25,115,50,0
2023-11-08 15:00:00,15.23,15.295,15.22,15.27,127,100,0
2023-11-08 16:00:00,15.27,15.43,15.265,15.405,175,100,0
2023-11-08 17:00:00,15.375,15.415,15.27,15.31,214,50,0
2023-11-08 18:00:00,15.35,15.365,15.275,15.355,114,50,0
2023-11-09 10:00:00,15.27,15.435,15.24,15.38,140,250,0
2023-11-09 11:00:00,15.355,15.48,15.34,15.45,142,150,0
2023-11-09 12:00:00,15.45,15.665,15.42,15.64,200,100,0
2023-11-09 13:00:00,15.655,15.675,15.585,15.6,133,100,0
2023-11-09 14:00:00,15.6,15.72,15.595,15.7,136,100,0
2023-11-09 15:00:00,15.69,15.77,15.67,15.735,171,50,0
2023-11-09 16:00:00,15.755,15.785,15.63,15.7,234,50,0
2023-11-09 17:00:00,15.705,15.765,15.58,15.625,267,100,0
2023-11-09 18:00:00,15.67,15.71,15.58,15.695,127,100,0
2023-11-10 10:00:00,15.33,15.53,15.25,15.39,347,150,0
2023-11-10 11:00:00,15.39,15.425,15.31,15.385,177,100,0
2023-11-10 12:00:00,15.425,15.425,15.315,15.38,209,100,0
2023-11-10 13:00:00,15.405,15.41,15.285,15.33,211,100,0
2023-11-10 14:00:00,15.33,15.37,15.25,15.355,164,100,0
2023-11-10 15:00:00,15.355,15.43,15.25,15.375,173,150,0
2023-11-10 16:00:00,15.375,15.43,15.315,15.39,281,50,0
2023-11-10 17:00:00,15.37,15.4,15.25,15.255,350,50,0
2023-11-10 18:00:00,15.25,15.36,15.25,15.355,111,50,0
2023-11-13 10:00:00,15.23,15.26,14.81,15.1,490,150,0
2023-11-13 11:00:00,15.13,15.165,15.07,15.09,195,150,0
2023-11-13 12:00:00,15.055,15.11,14.955,15.0,155,100,0
2023-11-13 13:00:00,14.975,15.195,14.97,15.18,210,150,0
2023-11-13 14:00:00,15.165,15.2,14.965,15.07,206,150,0
2023-11-13 15:00:00,14.965,15.065,14.9,14.9,159,50,0
2023-11-13 16:00:00,14.945,15.225,14.9,15.19,266,50,0
2023-11-13 17:00:00,15.18,15.265,15.17,15.215,289,50,0
2023-11-13 18:00:00,15.255,15.305,15.21,15.285,114,50,0
2023-11-14 10:00:00,15.425,15.435,15.295,15.34,258,100,0
2023-11-14 11:00:00,15.395,15.53,15.335,15.435,271,100,0
2023-11-14 12:00:00,15.44,15.505,15.28,15.34,229,50,0
2023-11-14 13:00:00,15.34,15.375,15.2,15.28,212,50,0
2023-11-14 14:00:00,15.21,15.375,15.195,15.35,216,50,0
2023-11-14 15:00:00,15.35,15.715,15.3,15.57,284,50,0
2023-11-14 16:00:00,15.565,15.815,15.565,15.745,301,50,0
2023-11-14 17:00:00,15.775,15.89,15.7,15.865,227,50,0
2023-11-14 18:00:00,15.84,15.89,15.82,15.84,107,50,0
2023-11-15 10:00:00,15.68,16.195,15.51,16.175,600,50,0
2023-11-15 11:00:00,16.07,16.21,15.865,15.935,383,50,0
2023-11-15 12:00:00,16.01,16.03,15.85,15.895,257,50,0
2023-11-15 13:00:00,15.9,15.95,15.795,15.92,228,100,0
2023-11-15 14:00:00,15.92,15.93,15.81,15.86,208,50,0
2023-11-15 15:00:00,15.865,15.89,15.73,15.765,294,50,0
2023-11-15 16:00:00,15.78,15.8,15.57,15.615,320,50,0
2023-11-15 17:00:00,15.615,15.705,15.55,15.57,251,50,0
2023-11-15 18:00:00,15.58,15.61,15.445,15.475,122,50,0
2023-11-16 10:00:00,15.315,15.65,15.28,15.45,256,100,0
2023-11-16 11:00:00,15.45,15.515,15.285,15.345,177,100,0
2023-11-16 12:00:00,15.36,15.48,15.285,15.4,152,150,0
2023-11-16 13:00:00,15.4,15.42,15.26,15.335,185,100,0
2023-11-16 14:00:00,15.335,15.34,15.195,15.29,175,50,0
2023-11-16 15:00:00,15.27,15.4,15.25,15.39,182,100,0
