time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,10.67,11.13,10.67,11.06,463,100,0
2023-11-03 12:00:00,11.06,11.13,10.88,10.94,371,200,0
2023-11-03 13:00:00,10.91,10.97,10.84,10.9,263,200,0
2023-11-03 14:00:00,10.88,11.03,10.84,10.98,272,200,0
2023-11-03 15:00:00,11.02,11.12,10.9,11.04,297,100,0
2023-11-03 16:00:00,11.08,11.12,10.9,10.9,382,200,0
2023-11-03 17:00:00,10.94,10.99,10.75,10.78,382,200,0
2023-11-03 18:00:00,10.78,10.86,10.73,10.8,312,200,0
2023-11-03 19:00:00,10.79,10.85,10.74,10.76,114,200,0
2023-11-06 10:00:00,10.92,11.02,10.78,10.94,373,200,0
2023-11-06 11:00:00,10.93,11.04,10.84,10.9,230,100,0
2023-11-06 12:00:00,10.91,11.16,10.84,11.13,270,100,0
2023-11-06 13:00:00,11.11,11.13,10.93,10.98,249,100,0
2023-11-06 14:00:00,10.98,11.0,10.93,10.97,177,200,0
2023-11-06 15:00:00,10.98,11.05,10.94,11.01,168,200,0
2023-11-06 16:00:00,11.03,11.08,10.89,10.94,262,100,0
2023-11-06 17:00:00,10.95,10.99,10.89,10.92,294,100,0
2023-11-06 18:00:00,10.91,10.95,10.89,10.92,116,100,0
2023-11-07 10:00:00,10.93,10.96,10.8,10.91,232,300,0
2023-11-07 11:00:00,10.85,11.02,10.85,10.98,186,200,0
2023-11-07 12:00:00,10.98,11.06,10.91,10.99,179,200,0
2023-11-07 13:00:00,11.02,11.04,10.91,11.04,187,200,0
2023-11-07 14:00:00,11.01,11.06,10.91,10.95,208,200,0
2023-11-07 15:00:00,10.94,11.05,10.91,11.01,196,200,0
2023-11-07 16:00:00,11.01,11.11,10.96,11.09,190,200,0
2023-11-07 17:00:00,11.08,11.19,11.05,11.18,161,200,0
2023-11-07 18:00:00,11.16,11.19,11.1,11.1,62,200,0
2023-11-08 10:00:00,11.08,11.25,11.01,11.1,290,200,0
2023-11-08 11:00:00,11.09,11.15,11.03,11.06,245,200,0
2023-11-08 12:00:00,11.06,11.15,11.06,11.14,219,200,0
2023-11-08 13:00:00,11.15,11.24,11.12,11.17,170,100,0
2023-11-08 14:00:00,11.16,11.2,11.13,11.16,166,100,0
2023-11-08 15:00:00,11.17,11.25,11.14,11.19,138,200,0
2023-11-08 16:00:00,11.2,11.28,11.18,11.24,151,200,0
2023-11-08 17:00:00,11.24,11.28,11.1,11.16,224,100,0
2023-11-08 18:00:00,11.14,11.16,11.1,11.11,74,100,0
2023-11-09 10:00:00,11.06,11.17,10.97,11.01,316,200,0
2023-11-09 11:00:00,11.01,11.12,10.95,11.12,233,100,0
2023-11-09 12:00:00,11.05,11.21,11.04,11.18,244,200,0
2023-11-09 13:00:00,11.18,11.23,11.15,11.23,188,200,0
2023-11-09 14:00:00,11.23,11.33,11.18,11.26,132,200,0
2023-11-09 15:00:00,11.31,11.44,11.26,11.4,189,200,0
2023-11-09 16:00:00,11.4,11.5,11.37,11.43,201,200,0
2023-11-09 17:00:00,11.44,11.49,11.29,11.37,238,200,0
2023-11-09 18:00:00,11.38,11.44,11.32,11.39,155,100,0
2023-11-10 10:00:00,11.08,11.13,10.89,10.92,358,200,0
2023-11-10 11:00:00,10.96,11.03,10.87,11.02,242,200,0
2023-11-10 12:00:00,10.94,11.11,10.94,11.02,228,200,0
2023-11-10 13:00:00,11.03,11.05,10.95,10.96,150,200,0
2023-11-10 14:00:00,10.96,11.02,10.95,11.01,137,200,0
2023-11-10 15:00:00,10.97,11.06,10.95,11.03,111,200,0
2023-11-10 16:00:00,11.03,11.12,11.01,11.07,151,100,0
2023-11-10 17:00:00,11.07,11.11,10.99,10.99,197,200,0
2023-11-10 18:00:00,11.0,11.12,11.0,11.09,83,100,0
2023-11-13 10:00:00,11.14,11.23,11.06,11.23,238,200,0
2023-11-13 11:00:00,11.23,11.49,11.1,11.47,267,200,0
2023-11-13 12:00:00,11.46,11.57,11.41,11.57,205,200,0
2023-11-13 13:00:00,11.57,11.58,11.43,11.5,153,100,0
2023-11-13 14:00:00,11.44,11.51,11.41,11.48,143,200,0
2023-11-13 15:00:00,11.43,11.48,11.35,11.37,184,100,0
2023-11-13 16:00:00,11.38,11.44,11.35,11.37,294,100,0
2023-11-13 17:00:00,11.36,11.49,11.31,11.46,286,100,0
2023-11-13 18:00:00,11.45,11.49,11.42,11.49,123,100,0
2023-11-14 10:00:00,11.46,11.68,11.46,11.52,374,200,0
