time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,11.34,11.71,11.34,11.64,87,600,0
2023-11-03 12:00:00,11.64,11.71,11.51,11.56,27,600,0
2023-11-03 13:00:00,11.55,11.59,11.49,11.58,39,500,0
2023-11-03 14:00:00,11.55,11.58,11.55,11.58,7,500,0
2023-11-03 15:00:00,11.58,11.76,11.58,11.7,64,300,0
2023-11-03 16:00:00,11.65,11.76,11.6,11.7,81,300,0
2023-11-03 17:00:00,11.74,11.8,11.6,11.71,76,100,0
2023-11-03 18:00:00,11.71,11.8,11.6,11.72,42,100,0
2023-11-03 19:00:00,11.72,11.73,11.52,11.67,35,200,0
2023-11-06 10:00:00,11.8,11.8,11.78,11.78,7,1900,0
2023-11-06 11:00:00,11.78,11.8,11.61,11.77,49,400,0
2023-11-06 12:00:00,11.79,11.82,11.64,11.76,29,300,0
2023-11-06 13:00:00,11.77,11.77,11.65,11.71,20,300,0
2023-11-06 14:00:00,11.71,11.8,11.71,11.78,18,500,0
2023-11-06 15:00:00,11.78,11.81,11.74,11.79,30,100,0
2023-11-06 16:00:00,11.79,11.81,11.52,11.56,80,100,0
2023-11-06 17:00:00,11.56,11.68,11.52,11.65,87,300,0
2023-11-06 18:00:00,11.65,11.65,11.53,11.6,41,300,0
2023-11-07 10:00:00,11.58,11.58,11.58,11.58,3,1900,0
2023-11-07 11:00:00,11.61,11.63,11.58,11.63,14,1200,0
2023-11-07 12:00:00,11.63,11.68,11.54,11.67,70,800,0
2023-11-07 13:00:00,11.68,11.68,11.5,11.57,80,600,0
2023-11-07 14:00:00,11.58,11.69,11.53,11.66,50,300,0
2023-11-07 15:00:00,11.66,11.76,11.65,11.72,73,600,0
2023-11-07 16:00:00,11.72,11.85,11.72,11.81,72,300,0
2023-11-07 17:00:00,11.81,11.91,11.72,11.76,96,700,0
2023-11-07 18:00:00,11.74,11.84,11.61,11.66,89,700,0
2023-11-08 10:00:00,11.69,11.85,11.69,11.73,52,800,0
2023-11-08 11:00:00,11.72,11.81,11.7,11.8,44,400,0
2023-11-08 12:00:00,11.74,11.8,11.72,11.76,43,800,0
2023-11-08 13:00:00,11.74,11.8,11.74,11.76,51,800,0
2023-11-08 14:00:00,11.76,11.86,11.72,11.8,50,500,0
2023-11-08 15:00:00,11.83,11.93,11.78,11.86,20,300,0
2023-11-08 16:00:00,11.88,12.01,11.85,11.94,80,200,0
2023-11-08 17:00:00,11.98,12.01,11.94,11.94,77,200,0
2023-11-08 18:00:00,11.94,11.95,11.87,11.92,34,300,0
2023-11-09 11:00:00,11.69,11.88,11.67,11.8,38,1000,0
2023-11-09 12:00:00,11.81,11.99,11.8,11.91,45,700,0
2023-11-09 13:00:00,11.97,11.98,11.97,11.98,27,600,0
2023-11-09 14:00:00,11.98,12.07,11.97,12.0,48,400,0
2023-11-09 15:00:00,12.07,12.12,12.0,12.05,59,400,0
2023-11-09 16:00:00,12.06,12.09,12.0,12.03,35,400,0
2023-11-09 17:00:00,12.01,12.07,12.0,12.04,57,700,0
2023-11-09 18:00:00,12.05,12.16,12.02,12.16,32,200,0
2023-11-10 10:00:00,12.06,12.17,12.03,12.17,25,400,0
2023-11-10 11:00:00,12.11,12.23,12.11,12.22,57,300,0
2023-11-10 12:00:00,12.21,12.22,12.1,12.16,38,400,0
2023-11-10 13:00:00,12.21,12.21,12.11,12.15,27,200,0
2023-11-10 14:00:00,12.13,12.2,12.12,12.17,31,200,0
2023-11-10 15:00:00,12.16,12.25,12.12,12.25,63,200,0
2023-11-10 16:00:00,12.23,12.32,12.16,12.32,62,100,0
2023-11-10 17:00:00,12.32,12.32,12.21,12.28,102,100,0
2023-11-10 18:00:00,12.26,12.38,12.26,12.35,63,100,0
2023-11-13 11:00:00,10.04,10.04,9.75,9.75,5,1500,0
2023-11-13 12:00:00,9.8,9.8,9.8,9.8,10,1200,0
2023-11-13 13:00:00,9.8,9.815,9.65,9.65,44,400,0
2023-11-13 14:00:00,9.65,9.65,9.65,9.65,8,1000,0
2023-11-13 15:00:00,9.65,9.65,9.305,9.305,9,450,0
2023-11-13 16:00:00,9.395,9.395,9.1,9.3,11,300,0
2023-11-13 17:00:00,9.165,9.3,8.9,9.08,22,0,0
2023-11-13 18:00:00,9.08,9.52,8.995,9.405,55,0,0
2023-11-14 10:00:00,9.52,9.52,9.095,9.3,118,600,0
2023-11-14 11:00:00,9.1,9.485,9.1,9.485,97,850,0
2023-11-14 12:00:00,9.485,9.49,9.33,9.395,104,850,0
2023-11-14 13:00:00,9.395,9.665,9.235,9.555,89,450,0
2023-11-14 14:00:00,9.57,9.81,9.45,9.685,74,0,0
2023-11-14 15:00:00,9.59,10.03,9.52,9.985,65,650,0
2023-11-14 16:00:00,9.835,10.03,9.82,9.97,106,400,0
2023-11-14 17:00:00,9.985,10.14,9.925,10.03,79,200,0
2023-11-14 18:00:00,10.07,10.14,10.0,10.0,77,300,0
2023-11-15 10:00:00,10.0,10.12,10.0,10.12,42,200,0
2023-11-15 11:00:00,10.12,10.12,9.82,10.0,139,150,0
2023-11-15 12:00:00,10.05,10.07,9.875,10.06,142,300,0
2023-11-15 13:00:00,10.06,10.07,9.875,10.0,103,200,0
2023-11-15 14:00:00,10.0,10.02,9.835,9.985,138,200,0
2023-11-15 15:00:00,9.985,10.02,9.76,9.805,180,200,0
2023-11-15 16:00:00,9.88,9.92,9.795,9.875,177,100,0
2023-11-15 17:00:00,9.905,9.97,9.835,9.885,199,100,0
2023-11-15 18:00:00,9.885,9.915,9.83,9.9,122,100,0
2023-11-16 10:00:00,9.72,9.855,9.72,9.81,27,700,0
2023-11-16 11:00:00,9.81,9.855,9.63,9.63,73,0,0
2023-11-16 12:00:00,9.805,9.94,9.64,9.89,67,350,0
2023-11-16 13:00:00,9.89,9.955,9.78,9.92,48,250,0
2023-11-16 14:00:00,9.92,9.97,9.78,9.87,42,250,0
2023-11-16 15:00:00,9.8,9.985,9.8,9.985,56,250,0
2023-11-16 16:00:00,9.99,10.06,9.96,10.03,67,300,0
2023-11-16 17:00:00,10.03,10.14,9.98,10.08,112,300,0
2023-11-16 18:00:00,10.08,10.11,9.92,9.965,66,300,0
2023-11-17 10:00:00,10.17,10.17,9.985,10.09,32,1200,0
2023-11-17 11:00:00,10.1,10.1,9.935,9.985,69,100,0
2023-11-17 12:00:00,9.985,10.06,9.895,9.895,91,300,0
2023-11-17 13:00:00,9.955,10.07,9.895,10.03,70,300,0
2023-11-17 14:00:00,9.995,10.08,9.96,10.01,68,200,0
2023-11-17 15:00:00,10.05,10.07,9.96,10.02,39,300,0
2023-11-17 16:00:00,10.02,10.06,9.825,9.855,50,300,0
2023-11-17 17:00:00,9.945,10.02,9.825,9.935,77,100,0
2023-11-17 18:00:00,9.96,10.06,9.9,10.0,60,100,0
2023-11-20 10:00:00,10.15,10.19,10.0,10.12,36,900,0
2023-11-20 11:00:00,10.14,10.17,9.935,9.975,76,400,0
2023-11-20 12:00:00,9.965,10.05,9.865,9.915,81,600,0
2023-11-20 13:00:00,9.95,9.975,9.795,9.835,101,600,0
2023-11-20 14:00:00,9.835,9.955,9.815,9.94,61,650,0
2023-11-20 15:00:00,9.94,9.98,9.855,9.925,50,500,0
2023-11-20 16:00:00,9.91,9.96,9.765,9.765,100,400,0
2023-11-20 17:00:00,9.88,9.95,9.765,9.895,108,400,0
2023-11-20 18:00:00,9.865,9.96,9.855,9.9,61,200,0
2023-11-21 10:00:00,9.85,9.87,9.85,9.87,21,1400,0
2023-11-21 11:00:00,9.85,9.87,9.73,9.74,30,900,0
2023-11-21 12:00:00,9.765,9.845,9.73,9.755,51,750,0
2023-11-21 13:00:00,9.81,9.86,9.75,9.85,25,500,0
2023-11-21 14:00:00,9.865,9.915,9.805,9.865,46,450,0
2023-11-21 15:00:00,9.915,9.915,9.76,9.76,42,350,0
2023-11-21 16:00:00,9.76,9.83,9.72,9.785,105,450,0
2023-11-21 17:00:00,9.79,9.855,9.745,9.77,115,100,0
2023-11-21 18:00:00,9.8,9.82,9.755,9.82,80,200,0
2023-11-22 10:00:00,9.77,9.845,9.77,9.845,19,1350,0
2023-11-22 11:00:00,9.875,9.905,9.845,9.905,9,1050,0
2023-11-22 12:00:00,9.875,10.04,9.715,9.715,103,300,0
2023-11-22 13:00:00,9.725,9.93,9.725,9.815,48,250,0
2023-11-22 14:00:00,9.82,9.93,9.815,9.845,72,250,0
2023-11-22 15:00:00,9.875,9.915,9.83,9.915,23,450,0
2023-11-22 16:00:00,9.89,9.93,9.845,9.91,39,200,0
2023-11-22 17:00:00,9.9,9.93,9.74,9.9,69,200,0
2023-11-22 18:00:00,9.795,9.9,9.74,9.74,47,150,0
2023-11-23 10:00:00,9.74,9.74,9.51,9.56,24,1200,0
2023-11-23 11:00:00,9.58,9.58,9.395,9.44,49,700,0
2023-11-23 12:00:00,9.43,9.575,9.385,9.525,37,750,0
2023-11-23 13:00:00,9.525,9.61,9.435,9.545,46,500,0
2023-11-23 14:00:00,9.5,9.56,9.5,9.5,27,350,0
2023-11-23 15:00:00,9.5,9.615,9.5,9.585,87,350,0
