time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,5.99,6.14,5.956,6.094,154,80,0
2023-11-03 12:00:00,6.094,6.14,6.082,6.134,146,40,0
2023-11-03 13:00:00,6.12,6.132,6.078,6.108,178,20,0
2023-11-03 14:00:00,6.108,6.124,6.076,6.102,169,20,0
2023-11-03 15:00:00,6.08,6.172,6.062,6.156,200,20,0
2023-11-03 16:00:00,6.156,6.206,6.128,6.188,221,20,0
2023-11-03 17:00:00,6.178,6.202,6.122,6.156,251,20,0
2023-11-03 18:00:00,6.162,6.162,6.104,6.156,224,20,0
2023-11-03 19:00:00,6.158,6.164,6.134,6.148,102,20,0
2023-11-06 10:00:00,6.204,6.204,5.986,6.074,232,100,0
2023-11-06 11:00:00,6.056,6.094,6.04,6.05,125,140,0
2023-11-06 12:00:00,6.054,6.104,6.04,6.09,99,40,0
2023-11-06 13:00:00,6.064,6.094,6.044,6.06,199,40,0
2023-11-06 14:00:00,6.076,6.084,6.056,6.062,54,160,0
2023-11-06 15:00:00,6.062,6.08,6.032,6.032,82,80,0
2023-11-06 16:00:00,6.042,6.052,5.968,5.984,177,40,0
2023-11-06 17:00:00,5.958,6.024,5.95,6.016,283,40,0
2023-11-06 18:00:00,6.014,6.016,5.98,5.992,113,20,0
2023-11-07 10:00:00,5.948,6.036,5.946,6.036,207,60,0
2023-11-07 11:00:00,5.99,6.076,5.988,6.064,153,40,0
2023-11-07 12:00:00,6.048,6.096,6.032,6.062,157,40,0
2023-11-07 13:00:00,6.06,6.074,6.012,6.012,120,40,0
2023-11-07 14:00:00,6.012,6.054,6.012,6.042,107,40,0
2023-11-07 15:00:00,6.04,6.07,6.034,6.046,116,40,0
2023-11-07 16:00:00,6.036,6.072,6.032,6.046,165,40,0
2023-11-07 17:00:00,6.046,6.074,6.01,6.052,255,20,0
2023-11-07 18:00:00,6.054,6.072,6.028,6.042,110,20,0
2023-11-08 10:00:00,5.996,6.056,5.96,6.03,157,80,0
2023-11-08 11:00:00,6.028,6.052,6.014,6.046,128,40,0
2023-11-08 12:00:00,6.026,6.048,6.016,6.046,103,20,0
2023-11-08 13:00:00,6.04,6.052,6.038,6.044,84,40,0
2023-11-08 14:00:00,6.042,6.05,6.02,6.04,80,20,0
2023-11-08 15:00:00,6.04,6.066,6.018,6.018,136,20,0
2023-11-08 16:00:00,6.038,6.056,6.002,6.02,191,40,0
2023-11-08 17:00:00,6.038,6.056,5.992,6.006,234,40,0
2023-11-08 18:00:00,6.006,6.018,5.976,5.982,101,20,0
2023-11-09 10:00:00,6.02,6.038,5.912,5.912,196,60,0
2023-11-09 11:00:00,5.914,5.968,5.912,5.922,134,60,0
2023-11-09 12:00:00,5.918,5.998,5.918,5.972,65,60,0
2023-11-09 13:00:00,5.974,6.002,5.972,5.972,74,80,0
2023-11-09 14:00:00,5.984,6.04,5.972,5.998,81,60,0
2023-11-09 15:00:00,6.038,6.076,6.0,6.032,125,60,0
2023-11-09 16:00:00,6.046,6.078,6.028,6.044,136,60,0
2023-11-09 17:00:00,6.06,6.074,6.014,6.026,213,40,0
2023-11-09 18:00:00,6.016,6.05,6.014,6.03,75,40,0
2023-11-10 10:00:00,5.948,5.95,5.886,5.91,207,60,0
2023-11-10 11:00:00,5.902,5.926,5.898,5.926,90,40,0
2023-11-10 12:00:00,5.902,5.926,5.902,5.916,67,60,0
2023-11-10 13:00:00,5.916,5.926,5.886,5.896,65,60,0
2023-11-10 14:00:00,5.902,5.914,5.88,5.914,59,60,0
2023-11-10 15:00:00,5.914,5.95,5.884,5.93,79,40,0
2023-11-10 16:00:00,5.936,5.95,5.914,5.94,107,20,0
2023-11-10 17:00:00,5.938,5.96,5.902,5.948,164,40,0
2023-11-10 18:00:00,5.958,5.994,5.926,5.994,78,20,0
2023-11-13 10:00:00,6.004,6.174,6.004,6.134,175,140,0
2023-11-13 11:00:00,6.134,6.15,6.1,6.112,116,80,0
2023-11-13 12:00:00,6.112,6.13,6.07,6.09,132,60,0
2023-11-13 13:00:00,6.092,6.122,6.078,6.084,81,280,0
2023-11-13 14:00:00,6.086,6.114,6.068,6.068,82,40,0
2023-11-13 15:00:00,6.068,6.084,6.026,6.074,76,40,0
2023-11-13 16:00:00,6.074,6.074,6.026,6.04,128,40,0
2023-11-13 17:00:00,6.07,6.082,6.04,6.07,168,40,0
2023-11-13 18:00:00,6.06,6.068,6.03,6.062,103,40,0
2023-11-14 10:00:00,5.886,6.056,5.886,6.032,113,360,0
