time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,2.207,2.256,2.207,2.253,521,10,0
2023-11-03 12:00:00,2.254,2.256,2.228,2.231,461,10,0
2023-11-03 13:00:00,2.231,2.237,2.221,2.228,322,10,0
2023-11-03 14:00:00,2.223,2.23,2.222,2.228,212,10,0
2023-11-03 15:00:00,2.228,2.237,2.218,2.232,304,10,0
2023-11-03 16:00:00,2.233,2.244,2.23,2.243,336,10,0
2023-11-03 17:00:00,2.241,2.242,2.218,2.222,477,10,0
2023-11-03 18:00:00,2.222,2.225,2.216,2.219,343,10,0
2023-11-03 19:00:00,2.219,2.222,2.216,2.22,109,10,0
2023-11-06 10:00:00,2.237,2.241,2.219,2.238,416,10,0
2023-11-06 11:00:00,2.237,2.241,2.233,2.237,261,10,0
2023-11-06 12:00:00,2.233,2.24,2.232,2.234,182,10,0
2023-11-06 13:00:00,2.236,2.239,2.232,2.238,136,10,0
2023-11-06 14:00:00,2.236,2.241,2.233,2.238,174,10,0
2023-11-06 15:00:00,2.238,2.253,2.236,2.253,199,10,0
2023-11-06 16:00:00,2.253,2.257,2.241,2.246,329,10,0
2023-11-06 17:00:00,2.242,2.251,2.223,2.225,380,10,0
2023-11-06 18:00:00,2.227,2.227,2.219,2.22,113,10,0
2023-11-07 10:00:00,2.213,2.227,2.213,2.221,524,10,0
2023-11-07 11:00:00,2.221,2.226,2.215,2.215,295,10,0
2023-11-07 12:00:00,2.215,2.23,2.214,2.226,329,10,0
2023-11-07 13:00:00,2.226,2.226,2.205,2.218,333,10,0
2023-11-07 14:00:00,2.218,2.222,2.215,2.22,251,10,0
2023-11-07 15:00:00,2.22,2.222,2.216,2.221,194,10,0
2023-11-07 16:00:00,2.221,2.223,2.215,2.219,350,10,0
2023-11-07 17:00:00,2.217,2.222,2.212,2.219,287,10,0
2023-11-07 18:00:00,2.219,2.219,2.211,2.211,110,10,0
2023-11-08 10:00:00,2.188,2.195,2.17,2.19,542,10,0
2023-11-08 11:00:00,2.19,2.195,2.17,2.183,380,10,0
2023-11-08 12:00:00,2.182,2.192,2.17,2.191,290,10,0
2023-11-08 13:00:00,2.19,2.199,2.19,2.195,220,10,0
2023-11-08 14:00:00,2.195,2.197,2.191,2.196,223,10,0
2023-11-08 15:00:00,2.194,2.199,2.193,2.195,260,10,0
2023-11-08 16:00:00,2.196,2.212,2.194,2.21,250,10,0
2023-11-08 17:00:00,2.206,2.212,2.203,2.207,332,10,0
2023-11-08 18:00:00,2.208,2.211,2.203,2.204,92,10,0
2023-11-09 10:00:00,2.2,2.205,2.183,2.198,399,10,0
2023-11-09 11:00:00,2.203,2.205,2.192,2.199,316,10,0
2023-11-09 12:00:00,2.199,2.217,2.198,2.215,185,10,0
2023-11-09 13:00:00,2.214,2.216,2.213,2.215,160,10,0
2023-11-09 14:00:00,2.216,2.226,2.215,2.225,134,10,0
2023-11-09 15:00:00,2.225,2.228,2.22,2.226,260,10,0
2023-11-09 16:00:00,2.223,2.237,2.221,2.235,339,10,0
2023-11-09 17:00:00,2.236,2.236,2.222,2.225,380,10,0
2023-11-09 18:00:00,2.225,2.235,2.225,2.23,176,10,0
2023-11-10 10:00:00,2.212,2.22,2.206,2.214,583,10,0
2023-11-10 11:00:00,2.214,2.217,2.201,2.202,327,10,0
2023-11-10 12:00:00,2.205,2.207,2.194,2.199,203,10,0
2023-11-10 13:00:00,2.2,2.2,2.188,2.189,277,10,0
2023-11-10 14:00:00,2.191,2.195,2.188,2.195,229,10,0
2023-11-10 15:00:00,2.195,2.204,2.191,2.202,218,10,0
2023-11-10 16:00:00,2.202,2.204,2.195,2.199,289,10,0
2023-11-10 17:00:00,2.199,2.201,2.192,2.198,260,10,0
2023-11-10 18:00:00,2.198,2.206,2.193,2.204,132,10,0
2023-11-13 10:00:00,2.217,2.247,2.217,2.239,529,10,0
2023-11-13 11:00:00,2.239,2.245,2.233,2.239,273,10,0
2023-11-13 12:00:00,2.239,2.24,2.232,2.236,296,10,0
2023-11-13 13:00:00,2.235,2.239,2.229,2.235,246,10,0
2023-11-13 14:00:00,2.236,2.238,2.231,2.232,189,10,0
2023-11-13 15:00:00,2.232,2.239,2.231,2.234,261,10,0
2023-11-13 16:00:00,2.234,2.245,2.232,2.245,287,10,0
2023-11-13 17:00:00,2.243,2.252,2.241,2.248,263,10,0
2023-11-13 18:00:00,2.25,2.25,2.246,2.249,119,10,0
2023-11-14 10:00:00,2.237,2.248,2.231,2.24,361,10,0
2023-11-14 11:00:00,2.24,2.258,2.239,2.25,236,10,0
2023-11-14 12:00:00,2.249,2.251,2.234,2.236,219,10,0
2023-11-14 13:00:00,2.235,2.239,2.232,2.236,154,10,0
2023-11-14 14:00:00,2.236,2.236,2.221,2.225,265,10,0
2023-11-14 15:00:00,2.225,2.249,2.223,2.24,481,10,0
2023-11-14 16:00:00,2.24,2.267,2.24,2.264,493,10,0
2023-11-14 17:00:00,2.264,2.271,2.263,2.265,283,10,0
2023-11-14 18:00:00,2.266,2.27,2.265,2.268,106,10,0
2023-11-15 10:00:00,2.275,2.308,2.274,2.307,626,10,0
2023-11-15 11:00:00,2.308,2.311,2.282,2.287,458,10,0
2023-11-15 12:00:00,2.29,2.292,2.282,2.286,385,10,0
2023-11-15 13:00:00,2.289,2.294,2.283,2.291,267,10,0
2023-11-15 14:00:00,2.294,2.294,2.285,2.291,280,10,0
2023-11-15 15:00:00,2.287,2.297,2.283,2.286,356,10,0
2023-11-15 16:00:00,2.286,2.292,2.28,2.29,448,10,0
2023-11-15 17:00:00,2.287,2.296,2.285,2.291,309,10,0
2023-11-15 18:00:00,2.291,2.292,2.287,2.288,183,10,0
2023-11-16 10:00:00,2.273,2.3,2.273,2.293,475,10,0
2023-11-16 11:00:00,2.293,2.295,2.269,2.273,382,10,0
2023-11-16 12:00:00,2.274,2.284,2.27,2.271,281,10,0
2023-11-16 13:00:00,2.274,2.275,2.267,2.275,209,10,0
2023-11-16 14:00:00,2.275,2.276,2.262,2.262,217,10,0
2023-11-16 15:00:00,2.262,2.273,2.26,2.267,330,10,0
2023-11-16 16:00:00,2.268,2.275,2.257,2.271,319,10,0
2023-11-16 17:00:00,2.271,2.272,2.258,2.259,399,10,0
2023-11-16 18:00:00,2.262,2.265,2.257,2.258,171,10,0
2023-11-17 10:00:00,2.266,2.286,2.263,2.281,441,10,0
2023-11-17 11:00:00,2.281,2.291,2.28,2.286,298,10,0
2023-11-17 12:00:00,2.286,2.295,2.25,2.29,265,10,0
2023-11-17 13:00:00,2.29,2.295,2.282,2.283,327,10,0
2023-11-17 14:00:00,2.285,2.288,2.283,2.283,186,10,0
2023-11-17 15:00:00,2.283,2.293,2.282,2.289,305,10,0
2023-11-17 16:00:00,2.29,2.307,2.287,2.291,365,10,0
2023-11-17 17:00:00,2.296,2.301,2.289,2.297,381,10,0
2023-11-17 18:00:00,2.301,2.304,2.297,2.301,157,10,0
2023-11-20 10:00:00,2.299,2.309,2.292,2.296,541,10,0
2023-11-20 11:00:00,2.296,2.315,2.296,2.302,484,10,0
