time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,0.4149,0.4249,0.4149,0.4239,708,1,0
2023-11-03 12:00:00,0.4239,0.4247,0.4222,0.4229,465,0,0
2023-11-03 13:00:00,0.4229,0.4243,0.4222,0.4234,375,0,0
2023-11-03 14:00:00,0.4234,0.4244,0.423,0.4239,434,0,0
2023-11-03 15:00:00,0.4239,0.4252,0.4223,0.424,408,0,0
2023-11-03 16:00:00,0.4245,0.4281,0.4236,0.4275,526,0,0
2023-11-03 17:00:00,0.4276,0.4278,0.4235,0.4254,561,0,0
2023-11-03 18:00:00,0.4241,0.4264,0.4235,0.4237,466,0,0
2023-11-03 19:00:00,0.4238,0.4244,0.4234,0.4238,144,0,0
2023-11-06 10:00:00,0.4239,0.425,0.4198,0.4237,552,0,0
2023-11-06 11:00:00,0.4237,0.4242,0.4202,0.4224,391,0,0
2023-11-06 12:00:00,0.4224,0.4228,0.4215,0.4224,344,0,0
2023-11-06 13:00:00,0.4224,0.4225,0.421,0.4219,370,0,0
2023-11-06 14:00:00,0.4217,0.423,0.4209,0.4229,431,0,0
2023-11-06 15:00:00,0.4229,0.4248,0.4224,0.4248,404,0,0
2023-11-06 16:00:00,0.4248,0.425,0.422,0.4236,463,0,0
2023-11-06 17:00:00,0.4236,0.4236,0.4203,0.4211,427,0,0
2023-11-06 18:00:00,0.4211,0.4211,0.42,0.4206,171,0,0
2023-11-07 10:00:00,0.4204,0.4237,0.4204,0.4229,569,1,0
2023-11-07 11:00:00,0.4231,0.4234,0.4202,0.422,486,0,0
2023-11-07 12:00:00,0.4226,0.4259,0.4219,0.4243,414,0,0
2023-11-07 13:00:00,0.4243,0.4259,0.4219,0.4232,426,0,0
2023-11-07 14:00:00,0.4232,0.424,0.4213,0.4223,374,0,0
2023-11-07 15:00:00,0.422,0.4228,0.4201,0.4209,381,0,0
2023-11-07 16:00:00,0.4209,0.4215,0.4176,0.4212,508,0,0
2023-11-07 17:00:00,0.4211,0.4216,0.4198,0.4211,357,0,0
2023-11-07 18:00:00,0.4212,0.4213,0.4202,0.4207,159,0,0
2023-11-08 10:00:00,0.4154,0.4189,0.415,0.4178,516,1,0
2023-11-08 11:00:00,0.4186,0.4186,0.416,0.4178,392,0,0
2023-11-08 12:00:00,0.4178,0.419,0.4164,0.4187,460,0,0
2023-11-08 13:00:00,0.4187,0.4197,0.4182,0.419,315,0,0
2023-11-08 14:00:00,0.4191,0.4202,0.4179,0.42,285,0,0
2023-11-08 15:00:00,0.42,0.4202,0.4177,0.4184,346,0,0
2023-11-08 16:00:00,0.4185,0.4218,0.4182,0.4214,423,0,0
2023-11-08 17:00:00,0.4214,0.4216,0.4194,0.4199,433,0,0
2023-11-08 18:00:00,0.42,0.4211,0.4197,0.4205,184,0,0
2023-11-09 10:00:00,0.4178,0.4207,0.4167,0.4181,646,1,0
