time,open,high,low,close,tick_volume,spread,real_volume
2023-11-03 11:00:00,1.759,1.795,1.745,1.788,201,50,0
2023-11-03 12:00:00,1.788,1.8,1.777,1.7970000000000002,158,30,0
2023-11-03 13:00:00,1.7970000000000002,1.7970000000000002,1.784,1.793,122,10,0
2023-11-03 14:00:00,1.792,1.795,1.77,1.778,111,20,0
2023-11-03 15:00:00,1.778,1.802,1.768,1.795,143,10,0
2023-11-03 16:00:00,1.802,1.809,1.786,1.799,230,10,0
2023-11-03 17:00:00,1.8,1.802,1.778,1.789,230,20,0
2023-11-03 18:00:00,1.786,1.795,1.774,1.792,152,20,0
2023-11-03 19:00:00,1.795,1.795,1.79,1.794,37,20,0
2023-11-06 10:00:00,1.759,1.768,1.748,1.763,192,40,0
2023-11-06 11:00:00,1.759,1.769,1.745,1.754,94,20,0
2023-11-06 12:00:00,1.755,1.773,1.745,1.769,119,20,0
2023-11-06 13:00:00,1.762,1.771,1.753,1.766,134,20,0
2023-11-06 14:00:00,1.764,1.769,1.753,1.766,69,20,0
2023-11-06 15:00:00,1.766,1.769,1.746,1.751,132,20,0
2023-11-06 16:00:00,1.752,1.755,1.731,1.733,216,10,0
2023-11-06 17:00:00,1.736,1.747,1.726,1.742,193,10,0
2023-11-06 18:00:00,1.741,1.742,1.73,1.74,64,10,0
2023-11-07 10:00:00,1.731,1.754,1.723,1.752,160,20,0
2023-11-07 11:00:00,1.751,1.765,1.746,1.756,136,30,0
2023-11-07 12:00:00,1.753,1.769,1.749,1.756,134,20,0
2023-11-07 13:00:00,1.75,1.759,1.73,1.735,123,30,0
2023-11-07 14:00:00,1.74,1.744,1.73,1.736,161,20,0
2023-11-07 15:00:00,1.74,1.743,1.728,1.729,156,10,0
2023-11-07 16:00:00,1.733,1.737,1.715,1.715,187,10,0
2023-11-07 17:00:00,1.715,1.729,1.715,1.726,212,10,0
2023-11-07 18:00:00,1.725,1.727,1.72,1.723,68,10,0
2023-11-08 10:00:00,1.6989999999999998,1.736,1.6989999999999998,1.733,140,20,0
2023-11-08 11:00:00,1.734,1.738,1.726,1.737,117,30,0
2023-11-08 12:00:00,1.73,1.737,1.719,1.719,81,20,0
2023-11-08 13:00:00,1.728,1.729,1.708,1.717,135,10,0
2023-11-08 14:00:00,1.717,1.725,1.708,1.72,145,10,0
2023-11-08 15:00:00,1.719,1.728,1.715,1.719,159,10,0
2023-11-08 16:00:00,1.722,1.741,1.722,1.736,118,20,0
2023-11-08 17:00:00,1.74,1.741,1.723,1.731,142,20,0
2023-11-08 18:00:00,1.73,1.733,1.721,1.721,74,10,0
2023-11-09 10:00:00,1.733,1.741,1.717,1.724,187,30,0
2023-11-09 11:00:00,1.724,1.736,1.724,1.736,83,30,0
2023-11-09 12:00:00,1.74,1.746,1.729,1.744,92,20,0
2023-11-09 13:00:00,1.746,1.751,1.739,1.746,73,30,0
2023-11-09 14:00:00,1.746,1.758,1.746,1.75,71,20,0
2023-11-09 15:00:00,1.754,1.775,1.754,1.766,113,20,0
2023-11-09 16:00:00,1.767,1.779,1.757,1.777,128,20,0
